"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.01,2.03,1.61,1.75,"6,578,210","171,798,000","1ST",-0.129353233830846
"2018-01-09",2.03,2.34,1.92,2.01,"13,404,900","173,259,000","1ST",-0.00985221674876848
"2018-01-08",1.92,2.04,1.57,2.04,"9,660,440","164,573,000","1ST",0.0625000000000001
"2018-01-07",2.01,2.32,1.89,1.91,"13,423,300","171,862,000","1ST",-0.0497512437810945
"2018-01-06",1.64,2.19,1.54,1.98,"12,774,100","140,303,000","1ST",0.207317073170732
"2018-01-05",1.68,1.98,1.53,1.64,"16,348,400","144,085,000","1ST",-0.0238095238095238
"2018-01-04",1.77,1.92,1.45,1.71,"16,298,900","151,310,000","1ST",-0.0338983050847458
"2018-01-03",1.26,1.74,1.23,1.74,"18,344,100","107,757,000","1ST",0.380952380952381
"2018-01-02",0.958985,1.4,0.957667,1.25,"20,246,000","82,049,200","1ST",0.303461472285802
"2018-01-01",0.931759,0.99929,0.872101,0.971998,"3,068,450","79,719,800","1ST",0.0431860599146346
"2017-12-31",0.850406,0.969826,0.802794,0.943851,"4,673,820","72,759,400","1ST",0.109882808917153
"2017-12-30",1.02,1.02,0.78052,0.850102,"2,968,820","86,854,300","1ST",-0.166566666666667
"2017-12-29",1.13,1.13,0.997921,1.03,"5,025,590","96,540,400","1ST",-0.0884955752212388
"2017-12-28",1.14,1.26,0.920612,1.11,"13,981,900","97,602,500","1ST",-0.026315789473684
"2017-12-27",0.975891,1.15,0.910552,1.06,"6,245,240","83,495,700","1ST",0.0861868794773188
"2017-12-26",0.976568,1.21,0.822077,1.01,"15,494,300","83,553,600","1ST",0.0342341751931253
"2017-12-25",0.833401,1.09,0.770273,0.953564,"10,124,100","71,304,400","1ST",0.144183892267948
"2017-12-24",0.699615,0.840854,0.629508,0.82419,"4,748,250","59,857,900","1ST",0.17806221993525
"2017-12-23",0.600988,0.811929,0.583624,0.70023,"2,811,750","51,419,500","1ST",0.16513141693345
"2017-12-22",0.803177,0.806097,0.435696,0.599772,"3,499,980","68,718,500","1ST",-0.253250528837355
"2017-12-21",0.67908,0.901878,0.675624,0.801338,"9,371,310","58,101,000","1ST",0.180034752900984
"2017-12-20",0.737988,0.745141,0.610967,0.679902,"3,338,810","63,141,100","1ST",-0.0787085968877542
"2017-12-19",0.824926,0.864482,0.715369,0.749793,"7,201,110","70,579,300","1ST",-0.0910784724932903
