"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.002629,0.002913,0.000958,0.0021,"141","10,457,900",808,-0.201217192848992
"2018-01-09",0.002108,0.003005,0.001806,0.002625,"58","8,387,540",808,0.245256166982922
"2018-01-08",0.00228,0.003054,0.002046,0.002114,"172","9,069,850",808,-0.0728070175438596
"2018-01-07",0.001548,0.00333,0.001504,0.002283,"2,057","6,159,140",808,0.474806201550388
"2018-01-06",3e-04,0.001549,3e-04,0.001549,"197","1,195,370",808,4.16333333333333
"2018-01-05",0.000272,0.000307,0.00021,0.000302,"29,620","1,080,880",808,0.110294117647059
"2018-01-04",0.000188,0.000302,0.000184,0.000271,"27,620","747,279",808,0.441489361702128
"2018-01-03",0.000137,0.000199,0.000127,0.00019,"11,934","544,777",808,0.386861313868613
"2018-01-02",9e-05,0.000139,8.8e-05,0.000137,"8,098","359,711",808,0.522222222222222
"2018-01-01",0.000128,0.000128,8.5e-05,9e-05,"6,358","508,567",808,-0.296875
"2017-12-31",0.000129,0.000144,0.000107,0.000128,"4,337","514,719",808,-0.0077519379844961
"2017-12-30",0.000186,0.000186,0.000108,0.00013,"8,331","738,553",808,-0.301075268817204
"2017-12-29",0.000258,0.000271,0.000104,0.000187,"13,128","1,027,150",808,-0.275193798449612
"2017-12-28",7.8e-05,0.000284,7.8e-05,0.00024,"38,694","309,888",808,2.07692307692308
"2017-12-27",5.4e-05,8.1e-05,4e-05,8.1e-05,"10,182","213,333",808,0.5
"2017-12-26",5e-05,6.8e-05,5e-05,5.4e-05,"671","197,583",808,0.0799999999999999
"2017-12-25",5.9e-05,7.5e-05,3.6e-05,5e-05,"1,695","234,818",808,-0.152542372881356
"2017-12-24",7.1e-05,7.1e-05,5e-05,5.9e-05,"1,701","282,375",808,-0.169014084507042
"2017-12-23",7.8e-05,9.1e-05,4.3e-05,7.1e-05,"3,974","309,479",808,-0.0897435897435897
"2017-12-22",9.7e-05,9.9e-05,5.5e-05,7.7e-05,"2,658","384,890",808,-0.206185567010309
"2017-12-21",7.7e-05,0.000107,7.7e-05,9.7e-05,"6,262","306,058",808,0.25974025974026
"2017-12-20",6.7e-05,8e-05,5.7e-05,7.7e-05,"7,751","267,596",808,0.149253731343284
"2017-12-19",7.8e-05,8e-05,6.5e-05,6.7e-05,"4,920","310,719",808,-0.141025641025641
"2017-12-18",7.1e-05,8e-05,6.7e-05,7.8e-05,"7,797","282,347",808,0.0985915492957746
"2017-12-17",6.9e-05,0.000104,6.4e-05,7.1e-05,"2,724","273,951",808,0.0289855072463769
"2017-12-16",5.9e-05,7.3e-05,3.6e-05,6.7e-05,"10,696","236,413",808,0.135593220338983
"2017-12-15",8.1e-05,9.4e-05,5.1e-05,5.9e-05,"3,718","323,134",808,-0.271604938271605
"2017-12-14",0.000109,0.000109,7.1e-05,8.1e-05,"6,197","432,432",808,-0.256880733944954
"2017-12-13",9.6e-05,0.000121,8.2e-05,0.000108,"2,159","382,778",808,0.125
"2017-12-12",8.4e-05,0.00011,8.1e-05,9.6e-05,"2,001","335,184",808,0.142857142857143
"2017-12-11",9.4e-05,0.000124,8.2e-05,8.3e-05,"2,003","375,644",808,-0.117021276595745
"2017-12-10",9.1e-05,9.7e-05,6.4e-05,9.6e-05,"1,171","360,348",808,0.0549450549450549
"2017-12-09",8.8e-05,0.000111,7.6e-05,9e-05,"878","350,259",808,0.0227272727272728
"2017-12-08",9.3e-05,0.000102,7.6e-05,8.8e-05,"1,339","369,824",808,-0.053763440860215
"2017-12-07",9.6e-05,0.000101,6.1e-05,9.3e-05,"907","382,536",808,-0.0312500000000001
"2017-12-06",8.3e-05,0.00011,7.9e-05,9.6e-05,"3,241","328,455",808,0.156626506024096
"2017-12-05",6.1e-05,8.3e-05,5.6e-05,8.3e-05,"6,211","241,058",808,0.360655737704918
"2017-12-04",0.000106,0.000106,5.8e-05,6e-05,"3,431","422,578",808,-0.433962264150943
"2017-12-03",0.000109,0.000118,0.000102,0.000106,"3,826","434,905",808,-0.0275229357798166
"2017-12-02",0.000215,0.00022,0.000108,0.000109,"16,578","855,208",808,-0.493023255813953
"2017-12-01",0.000103,0.000215,9.7e-05,0.000215,"6,038","411,500",808,1.0873786407767
"2017-11-30",0.000102,0.000208,9.2e-05,0.000104,"1,141","93,235",808,0.0196078431372548
"2017-11-29",0.000197,0.000224,9.5e-05,0.000101,"1,906","179,651",808,-0.487309644670051
"2017-11-28",0.000195,0.000199,9.8e-05,0.000197,"4,135","177,507",808,0.0102564102564102
"2017-11-27",0.000186,0.000195,9.5e-05,0.000194,"7,442","169,722",808,0.0430107526881721
"2017-11-26",0.000175,0.000189,8.8e-05,0.000186,"13,366","159,228",808,0.0628571428571428
"2017-11-25",0.000165,0.000261,8.8e-05,0.000175,"12,447","150,188",808,0.0606060606060606
"2017-11-24",0.000161,0.00025,0.000158,0.000166,"2,336","146,636",808,0.0310559006211179
"2017-11-23",0.000249,0.000251,0.000161,0.000161,"3,865","227,136",808,-0.353413654618474
"2017-11-22",0.000244,0.000251,0.000163,0.00025,"3,738","221,819",808,0.0245901639344263
"2017-11-21",0.000175,0.000252,0.000163,0.000243,"12,064","159,095",808,0.388571428571429
"2017-11-20",0.000399,0.000415,0.000175,0.000175,"15,428","363,601",808,-0.56140350877193
"2017-11-19",0.000389,0.000478,0.000385,0.000399,"7,772","354,609",808,0.0257069408740359
"2017-11-18",0.000384,0.000472,0.000307,0.00039,"24,879","350,084",808,0.015625
"2017-11-17",0.000392,0.000479,0.000378,0.000386,"4,225","357,381",808,-0.0153061224489795
"2017-11-16",0.000438,0.000469,0.000359,0.000393,"6,593","398,988",808,-0.102739726027397
"2017-11-15",0.000397,0.000439,0.000339,0.000436,"12,841","361,122",808,0.0982367758186399
"2017-11-14",0.000391,0.000403,0.000323,0.000396,"4,657","356,306",808,0.0127877237851661
"2017-11-13",0.00036,0.000428,0.000255,0.00039,"9,906","327,513",808,0.0833333333333332
"2017-11-12",0.000319,0.000493,0.000286,0.000413,"9,816","290,126",808,0.294670846394984
"2017-11-11",0.000527,0.00061,0.000315,0.000382,"10,032","479,894",808,-0.275142314990512
"2017-11-10",0.000503,0.000658,0.000503,0.000529,"12,068","458,207",808,0.05168986083499
"2017-11-09",0.000524,0.000666,0.000441,0.000571,"30,796","477,495",808,0.0896946564885495
"2017-11-08",0.000427,0.000473,0.000375,0.000451,"28,362","389,128",808,0.0562060889929742
"2017-11-07",0.000487,0.000504,0.000358,0.000429,"21,105","443,704",808,-0.119096509240246
"2017-11-06",0.000371,5e-04,0.000289,0.000419,"20,794","337,741",808,0.129380053908356
"2017-11-05",0.000295,0.00038,0.000293,0.00037,"3,846","268,904",808,0.254237288135593
"2017-11-04",0.000287,0.000376,0.000218,0.000296,"12,926","261,042",808,0.0313588850174216
"2017-11-03",0.00035,0.000511,0.000217,0.000287,"23,361","318,332",808,-0.18
"2017-11-02",0.000615,0.000628,0.000341,0.00035,"16,357","560,353",808,-0.430894308943089
"2017-11-01",0.000902,0.000902,0.000266,0.000615,"38,146","821,060",808,-0.318181818181818
"2017-10-31",0.000918,0.001024,0.000763,0.000902,"31,324","835,679",808,-0.0174291938997821
"2017-10-30",0.000926,0.001037,0.00085,0.000922,"23,988","843,032",808,-0.00431965442764578
"2017-10-29",0.000916,0.000935,0.000752,0.000871,"27,631","834,103",808,-0.0491266375545852
"2017-10-28",0.00098,0.001045,0.000854,0.000917,"11,386","892,510",808,-0.0642857142857143
"2017-10-27",0.001,0.001072,0.000912,0.000977,"12,698","910,580",808,-0.023
"2017-10-26",0.00109,0.001136,0.000971,0.001,"12,862","992,645",808,-0.0825688073394496
"2017-10-25",0.001109,0.001227,0.00102,0.00109,"19,408","1,010,270",808,-0.0171325518485121
"2017-10-24",0.000938,0.001285,0.000901,0.001108,"20,139","854,492",808,0.181236673773987
"2017-10-23",0.001017,0.001064,0.000853,0.00094,"15,779","925,667",808,-0.0757128810226155
"2017-10-22",0.001023,0.001091,0.000819,0.001018,"29,660","931,480",808,-0.00488758553274684
"2017-10-21",0.000905,0.001199,0.000852,0.001023,"19,303","824,247",808,0.130386740331492
"2017-10-20",0.000979,0.001138,0.000898,0.000907,"17,077","891,509",808,-0.0735444330949949
"2017-10-19",0.001171,0.001295,0.000909,0.000979,"16,711","1,066,150",808,-0.16396242527754
"2017-10-18",0.001074,0.001433,0.000685,0.001171,"36,540","978,402",808,0.0903165735567969
"2017-10-17",0.001572,0.001616,0.001014,0.001075,"40,320","1,431,240",808,-0.316157760814249
"2017-10-16",0.00182,0.001829,0.001552,0.001571,"18,653","1,657,370",808,-0.136813186813187
"2017-10-15",0.001864,0.001935,0.001257,0.001874,"57,805","1,697,790",808,0.0053648068669528
"2017-10-14",0.001697,0.001939,0.001687,0.001861,"23,102","1,545,160",808,0.0966411314083678
"2017-10-13",0.001796,0.002031,0.001675,0.001696,"37,989","1,635,240",808,-0.0556792873051225
"2017-10-12",0.001557,0.00179,0.001553,0.00179,"7,254","1,418,110",808,0.149646756583173
"2017-10-11",0.001574,0.001714,0.001519,0.001556,"15,159","1,433,500",808,-0.01143583227446
"2017-10-10",0.001484,0.001708,0.001484,0.001574,"27,174","1,350,950",808,0.0606469002695418
"2017-10-09",0.001605,0.001623,0.001417,0.001484,"33,350","1,461,370",808,-0.0753894080996885
"2017-10-08",0.001557,0.001613,0.001485,0.001605,"23,064","1,418,170",808,0.0308285163776494
"2017-10-07",0.001441,0.001566,0.001395,0.001562,"13,097","1,312,520",808,0.083969465648855
"2017-10-06",0.001441,0.001604,0.001411,0.001447,"16,644","1,312,250",808,0.00416377515614152
"2017-10-05",0.001314,0.001692,0.001256,0.001441,"32,475","1,196,270",808,0.0966514459665144
"2017-10-04",0.001299,0.001431,0.001263,0.001313,"12,103","1,182,490",808,0.0107775211701308
"2017-10-03",0.001365,0.001435,0.001202,0.001296,"11,129","1,243,250",808,-0.0505494505494504
"2017-10-02",0.001361,0.001511,0.001272,0.001365,"11,015","1,239,080",808,0.00293901542983092
"2017-10-01",0.001185,0.001402,0.00108,0.001361,"21,333","1,079,140",808,0.148523206751055
"2017-09-30",0.001335,0.001389,0.001183,0.001184,"21,388","1,215,800",808,-0.11310861423221
"2017-09-29",0.001261,0.001394,0.001228,0.001335,"13,317","1,147,890",808,0.0586835844567804
"2017-09-28",0.001389,0.001454,0.001208,0.001261,"24,411","1,264,730",808,-0.0921526277897769
"2017-09-27",0.001428,0.001476,0.001187,0.001389,"15,072","1,300,070",808,-0.0273109243697479
"2017-09-26",0.001459,0.001621,0.001294,0.001432,"13,890","1,328,940",808,-0.0185058259081563
"2017-09-25",0.001284,0.001563,0.001179,0.001459,"12,570","1,169,660",808,0.136292834890966
"2017-09-24",0.001138,0.001405,0.001036,0.001286,"16,114","1,036,060",808,0.130052724077329
"2017-09-23",0.000975,0.001138,0.000947,0.001138,"18,555","887,962",808,0.167179487179487
"2017-09-22",0.001016,0.001091,0.000818,0.000978,"9,078","925,342",808,-0.0374015748031497
"2017-09-21",0.001127,0.00119,0.000971,0.001017,"4,197","1,026,070",808,-0.0976042590949424
"2017-09-20",0.001136,0.00118,0.001025,0.001132,"12,156","1,034,340",808,-0.00352112676056347
"2017-09-19",0.001232,0.001243,0.00106,0.001137,"5,688","1,121,500",808,-0.0771103896103896
"2017-09-18",0.001109,0.001305,0.001109,0.001229,"28,045","1,009,670",808,0.108205590622182
"2017-09-17",0.001227,0.001298,0.000949,0.001111,"13,450","1,117,770",808,-0.0945395273023635
"2017-09-16",0.001187,0.001435,0.001053,0.001228,"14,958","1,081,090",808,0.0345408593091828
"2017-09-15",0.001103,0.001248,0.000932,0.00119,"8,616","1,004,320",808,0.0788757932910245
"2017-09-14",0.001396,0.001644,0.000994,0.001094,"11,585","1,271,440",808,-0.216332378223496
"2017-09-13",0.001254,0.001447,0.001168,0.001396,"11,706","1,142,020",808,0.113237639553429
"2017-09-12",0.001601,0.001624,0.00095,0.001259,"10,118","1,458,330",808,-0.213616489693941
"2017-09-11",0.00157,0.001661,0.001388,0.0016,"21,697","1,429,930",808,0.0191082802547771
"2017-09-10",0.001902,0.001902,0.001412,0.001573,"2,258","1,731,650",808,-0.172975814931651
"2017-09-09",0.001819,0.002677,0.001455,0.0019,"13,100","1,656,750",808,0.0445299615173172
"2017-09-08",0.002132,0.002345,0.001595,0.001815,"21,743","1,941,660",808,-0.148686679174484
"2017-09-07",0.002307,0.002311,0.002038,0.002132,"7,462","2,101,110",808,-0.0758560901603814
"2017-09-06",0.002167,0.002382,0.001855,0.002312,"23,065","1,960,050",808,0.0669127826488231
"2017-09-05",0.002197,0.00227,0.00185,0.002165,"14,352","1,968,910",808,-0.0145653163404644
"2017-09-04",0.002173,0.002475,0.001681,0.002186,"14,915","1,913,420",808,0.00598251265531523
"2017-09-03",0.002948,0.002957,0.001904,0.002172,"8,369","2,491,640",808,-0.263229308005427
"2017-09-02",0.002218,0.002946,0.001873,0.002946,"16,614","1,841,820",808,0.328223624887286
"2017-09-01",0.002617,0.003303,0.001717,0.002215,"29,688","2,137,560",808,-0.15361100496752
"2017-08-31",0.002338,0.002853,0.001991,0.002617,"13,859","1,890,980",808,0.119332763045338
"2017-08-30",0.001737,0.002692,0.001606,0.002342,"23,640","1,380,760",808,0.348301669545193
"2017-08-29",0.001626,0.00195,0.001407,0.00174,"25,169","1,275,670",808,0.070110701107011
"2017-08-28",0.001381,0.001623,0.001329,0.001623,"7,729","1,075,620",808,0.175235336712527
"2017-08-27",0.001313,0.002016,0.001313,0.001382,"6,885","1,012,070",808,0.0525514089870526
"2017-08-26",0.00118,0.002,0.001125,0.001313,"19,359","872,618",808,0.11271186440678
