"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.37,1.39,1.08,1.18,"42,999,700","412,074,000","ACT",-0.138686131386861
"2018-01-09",1.12,1.38,1.09,1.38,"56,420,800","336,010,000","ACT",0.232142857142857
"2018-01-08",1.14,1.18,0.961853,1.13,"33,777,600","342,198,000","ACT",-0.00877192982456141
"2018-01-07",1.03,1.15,0.980364,1.15,"25,596,600","310,008,000","ACT",0.116504854368932
"2018-01-06",0.706824,1.07,0.674297,1.03,"29,355,200","212,047,000","ACT",0.457222731542789
"2018-01-05",0.69635,0.731829,0.565905,0.706567,"21,843,000","208,905,000","ACT",0.0146722194298843
"2018-01-04",0.418316,0.69919,0.371449,0.69919,"31,189,200","125,495,000","ACT",0.671439772803335
"2018-01-03",0.381203,0.412302,0.355434,0.396465,"4,833,230","114,361,000","ACT",0.040036411046083
"2018-01-02",0.390168,0.408351,0.36142,0.386248,"6,662,880","117,050,000","ACT",-0.0100469541325789
"2018-01-01",0.379346,0.390901,0.356587,0.389248,"2,355,570","113,804,000","ACT",0.0261028190622808
"2017-12-31",0.351382,0.392342,0.344482,0.378268,"1,701,320","105,414,000","ACT",0.076515017843828
"2017-12-30",0.403399,0.405278,0.324149,0.355026,"1,461,990","121,020,000","ACT",-0.119913534738559
"2017-12-29",0.33683,0.415264,0.326051,0.40693,"2,295,270","101,049,000","ACT",0.208116854199448
"2017-12-28",0.370456,0.382856,0.32108,0.333399,"675,555","111,137,000","ACT",-0.100030772885309
"2017-12-27",0.366469,0.400611,0.330314,0.369398,"924,525","109,941,000","ACT",0.00799249049714987
"2017-12-26",0.359402,0.395247,0.342327,0.366131,"1,139,280","107,821,000","ACT",0.0187227672633986
"2017-12-25",0.332386,0.379218,0.321523,0.359743,"1,184,230","99,715,900","ACT",0.0823049105557995
"2017-12-24",0.314485,0.404797,0.27893,0.331581,"3,406,260","94,345,600","ACT",0.0543618932540503
"2017-12-23",0.250894,0.356225,0.248731,0.304419,"1,723,730","75,268,200","ACT",0.21333710650713
"2017-12-22",0.374576,0.382572,0.240393,0.246491,"2,852,870","112,373,000","ACT",-0.341946627653667
"2017-12-21",0.419403,0.433116,0.347789,0.37663,"2,402,000","125,821,000","ACT",-0.101985441210483
"2017-12-20",0.445353,0.461057,0.390467,0.418554,"2,896,110","133,606,000","ACT",-0.0601747377922682
"2017-12-19",0.390995,0.459755,0.367644,0.434762,"4,814,810","117,299,000","ACT",0.111937492806813
"2017-12-18",0.317822,0.401881,0.29225,0.390854,"3,562,680","95,346,700","ACT",0.229789001390716
"2017-12-17",0.333165,0.349544,0.308405,0.318702,"1,490,610","99,949,500","ACT",-0.0434109225158705
"2017-12-16",0.268262,0.348985,0.265447,0.332068,"2,587,640","80,478,500","ACT",0.237849564977522
"2017-12-15",0.267415,0.28223,0.253973,0.267877,"1,430,810","80,224,400","ACT",0.00172765177720009
"2017-12-14",0.260601,0.28843,0.235968,0.267034,"1,609,940","78,180,300","ACT",0.0246852467949086
"2017-12-13",0.247736,0.296812,0.234445,0.257064,"1,312,050","74,320,900","ACT",0.0376529854361094
"2017-12-12",0.295384,0.298048,0.246388,0.24909,"1,470,280","88,615,200","ACT",-0.156724805676678
"2017-12-11",0.261238,0.301863,0.25806,0.293631,"1,333,150","78,371,500","ACT",0.123998040101363
"2017-12-10",0.280484,0.280713,0.235344,0.264489,"687,960","84,145,100","ACT",-0.0570264257497755
"2017-12-09",0.292321,0.296523,0.25409,0.277693,"466,354","87,696,300","ACT",-0.0500408797178443
"2017-12-08",0.306354,0.306354,0.253505,0.292556,"735,718","91,906,200","ACT",-0.045039398865365
"2017-12-07",0.306576,0.330103,0.284102,0.300849,"1,028,710","91,972,700","ACT",-0.0186805229372163
"2017-12-06",0.260629,0.319669,0.252397,0.313354,"2,700,770","78,188,700","ACT",0.202299053443784
"2017-12-05",0.245145,0.279197,0.221107,0.26334,"2,982,290","73,543,600","ACT",0.0742213791837485
"2017-12-04",0.208935,0.241244,0.203962,0.241155,"1,726,410","62,680,500","ACT",0.154210639672625
"2017-12-03",0.205644,0.222733,0.195055,0.208689,"1,121,870","61,693,300","ACT",0.0148071424403339
"2017-12-02",0.24066,0.24066,0.201507,0.205081,"922,364","72,197,900","ACT",-0.147839275326186
"2017-12-01",0.2435,0.24722,0.178806,0.242074,"1,575,190","73,050,100","ACT",-0.00585626283367549
"2017-11-30",0.194685,0.245684,0.186071,0.244417,"839,983","58,405,600","ACT",0.255448545085651
"2017-11-29",0.210667,0.232425,0.169211,0.184347,"542,045","63,200,100","ACT",-0.124936511176406
"2017-11-28",0.229721,0.233132,0.21067,0.211461,"427,066","68,916,300","ACT",-0.0794877264159567
"2017-11-27",0.225093,0.240065,0.207994,0.229414,"663,289","67,527,800","ACT",0.0191965098870246
"2017-11-26",0.17867,0.24839,0.1741,0.224701,"992,316","53,600,900","ACT",0.257631387474114
