"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.023481,0.037132,0.017735,0.037131,"1,779,800","19,701,100","ADC",0.581321068097611
"2018-01-09",0.012677,0.029271,0.010751,0.021633,"1,050,840","10,635,400","ADC",0.706476295653546
"2018-01-08",0.013083,0.013826,0.010612,0.01271,"50,846","10,974,800","ADC",-0.0285102805167009
"2018-01-07",0.011111,0.013656,0.009778,0.013283,"54,169","9,320,240","ADC",0.195481954819548
"2018-01-06",0.00926,0.012001,0.007809,0.01112,"77,297","7,767,100","ADC",0.200863930885529
"2018-01-05",0.011723,0.012108,0.008221,0.009205,"89,578","9,832,890","ADC",-0.214791435639342
"2018-01-04",0.01036,0.025313,0.009168,0.01126,"213,600","8,688,450","ADC",0.0868725868725869
"2018-01-03",0.005985,0.010386,0.005476,0.009552,"113,529","5,019,330","ADC",0.595989974937343
"2018-01-02",0.004588,0.006003,0.004319,0.006003,"27,694","3,846,950","ADC",0.308413251961639
"2018-01-01",0.004245,0.004803,0.004185,0.004588,"7,243","3,558,950","ADC",0.0808009422850413
"2017-12-31",0.00408,0.004735,0.00408,0.004231,"10,405","3,420,200","ADC",0.0370098039215686
"2017-12-30",0.004861,0.004907,0.003953,0.004267,"12,572","4,074,400","ADC",-0.122197078790372
"2017-12-29",0.004435,0.005057,0.004147,0.004873,"5,580","3,716,660","ADC",0.0987598647125141
"2017-12-28",0.004685,0.004936,0.003971,0.00439,"15,998","3,925,950","ADC",-0.0629669156883672
"2017-12-27",0.004983,0.005162,0.0045,0.004694,"5,923","4,175,620","ADC",-0.0579971904475214
"2017-12-26",0.004156,0.004997,0.004042,0.004979,"14,292","3,482,230","ADC",0.198026948989413
"2017-12-25",0.004117,0.004479,0.003776,0.00416,"7,728","3,449,470","ADC",0.0104444984211804
"2017-12-24",0.00376,0.004195,0.003365,0.004051,"15,165","3,150,560","ADC",0.0773936170212766
"2017-12-23",0.003718,0.004429,0.003481,0.003719,"17,099","3,115,050","ADC",0.000268961807423382
"2017-12-22",0.00385,0.004144,0.002846,0.003681,"11,750","3,224,670","ADC",-0.043896103896104
"2017-12-21",0.003198,0.004625,0.003155,0.003837,"35,228","2,678,510","ADC",0.199812382739212
"2017-12-20",0.003387,0.003742,0.003127,0.00319,"9,561","2,836,800","ADC",-0.0581635665780926
"2017-12-19",0.003992,0.004053,0.00339,0.00339,"7,708","3,343,260","ADC",-0.150801603206413
"2017-12-18",0.004055,0.004197,0.003715,0.003991,"6,780","3,395,440","ADC",-0.0157829839704069
"2017-12-17",0.004233,0.004818,0.003799,0.00405,"2,174","3,543,100","ADC",-0.0432317505315379
"2017-12-16",0.003539,0.004265,0.003528,0.004218,"1,381","2,961,830","ADC",0.191862107940096
"2017-12-15",0.003648,0.004277,0.003416,0.003534,"4,120","3,053,320","ADC",-0.0312500000000001
"2017-12-14",0.003748,0.003855,0.003357,0.003643,"1,832","3,136,820","ADC",-0.0280149413020278
"2017-12-13",0.00393,0.004058,0.003329,0.003757,"1,134","3,288,500","ADC",-0.0440203562340968
"2017-12-12",0.003354,0.004207,0.003317,0.003926,"11,286","2,806,480","ADC",0.170542635658915
"2017-12-11",0.002941,0.003573,0.002941,0.003344,"2,815","2,460,210","ADC",0.137028221693302
"2017-12-10",0.003115,0.003206,0.002727,0.002965,"686","2,605,830","ADC",-0.0481540930979133
"2017-12-09",0.003339,0.003593,0.002995,0.003103,"1,278","2,792,430","ADC",-0.0706798442647499
"2017-12-08",0.003643,0.003696,0.002941,0.003341,"1,829","3,045,870","ADC",-0.0828987098545156
"2017-12-07",0.003143,0.003799,0.002988,0.003634,"6,011","2,628,120","ADC",0.156220171810372
"2017-12-06",0.003155,0.003431,0.002876,0.003149,"5,348","2,637,380","ADC",-0.00190174326465925
"2017-12-05",0.003033,0.003282,0.002828,0.003162,"2,321","2,535,270","ADC",0.0425321463897131
"2017-12-04",0.00313,0.003401,0.002751,0.003027,"3,748","2,616,460","ADC",-0.0329073482428114
"2017-12-03",0.003076,0.003399,0.002963,0.003119,"832","2,571,000","ADC",0.0139791937581273
"2017-12-02",0.003234,0.003353,0.002953,0.003071,"556","2,702,980","ADC",-0.0504019789734075
"2017-12-01",0.0031,0.003397,0.002867,0.003235,"1,292","2,591,270","ADC",0.0435483870967742
