"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.004889,0.005987,0.003876,0.005725,"350","121,879","ADCN",0.170996113724688
"2018-01-09",0.003669,0.006163,0.003248,0.004883,"3,547","91,472","ADCN",0.330880348868902
"2018-01-08",0.003583,0.003854,0.003222,0.003679,"434","89,320","ADCN",0.0267931900641921
"2018-01-07",0.004228,0.004228,0.00346,0.003588,"216","105,418","ADCN",-0.151371807000946
"2018-01-06",0.003746,0.004357,0.00344,0.004231,"269","93,404","ADCN",0.129471436198612
"2018-01-05",0.003643,0.004419,0.003608,0.003744,"718","90,836","ADCN",0.0277244029645896
"2018-01-04",0.002738,0.003643,0.00247,0.003643,"694","68,260","ADCN",0.330533235938641
"2018-01-03",0.003264,0.003402,0.002545,0.002723,"221","81,372","ADCN",-0.165747549019608
"2018-01-02",0.003375,0.003482,0.002738,0.003275,"236","84,151","ADCN",-0.0296296296296296
"2018-01-01",0.003216,0.003433,0.002501,0.003376,"408","80,171","ADCN",0.0497512437810945
"2017-12-31",0.002967,0.003293,0.002913,0.003203,"390","73,959","ADCN",0.079541624536569
"2017-12-30",0.003353,0.00344,0.002854,0.002997,"662","83,592","ADCN",-0.106173575902177
"2017-12-29",0.003327,0.003422,0.002821,0.003356,"523","82,939","ADCN",0.00871656146678688
"2017-12-28",0.003413,0.003428,0.002845,0.002862,"62","85,102","ADCN",-0.161441547026077
"2017-12-27",0.002376,0.003634,0.002357,0.003421,"1,595","59,225","ADCN",0.439814814814815
"2017-12-26",0.002786,0.003105,0.002345,0.002374,"124","69,451","ADCN",-0.147882268485284
"2017-12-25",0.002204,0.002805,0.002096,0.002789,"147","54,937","ADCN",0.265426497277677
"2017-12-24",0.002273,0.002273,0.002005,0.002184,"332","56,660","ADCN",-0.0391553013638362
"2017-12-23",0.002164,0.002414,0.002139,0.002251,"343","53,958","ADCN",0.0402033271719038
"2017-12-22",0.002422,0.002443,0.001863,0.002147,"326","60,376","ADCN",-0.113542526837325
"2017-12-21",0.002527,0.002651,0.002345,0.002414,"369","62,993","ADCN",-0.0447170557973883
"2017-12-20",0.002683,0.002713,0.002429,0.002521,"387","66,892","ADCN",-0.0603801714498696
"2017-12-19",0.002328,0.003644,0.002291,0.002685,"413","58,036","ADCN",0.153350515463917
"2017-12-18",0.002321,0.002699,0.002188,0.002326,"247","57,865","ADCN",0.00215424386040491
"2017-12-17",0.003111,0.003469,0.002292,0.002318,"134","77,572","ADCN",-0.254901960784314
"2017-12-16",0.003,0.003599,0.002873,0.003111,"84","74,792","ADCN",0.037
"2017-12-15",0.001991,0.003165,0.00199,0.002996,"147","49,626","ADCN",0.5047714716223
"2017-12-14",0.000983,0.003071,0.000983,0.001988,"224","24,498","ADCN",1.02238046795524
"2017-12-13",0.003973,0.004026,0.000979,0.000986,"278","99,063","ADCN",-0.751824817518248
"2017-12-12",0.003872,0.004084,0.003782,0.00397,"74","96,544","ADCN",0.0253099173553718
"2017-12-11",0.003507,0.004026,0.003491,0.00386,"72","87,428","ADCN",0.100655831194753
"2017-12-10",0.003303,0.003618,0.002914,0.003532,"66","82,337","ADCN",0.0693309112927642
"2017-12-09",0.003578,0.003631,0.002709,0.003289,"63","89,204","ADCN",-0.0807713806595864
"2017-12-08",0.00365,0.00374,0.002596,0.003582,"135","90,998","ADCN",-0.0186301369863013
"2017-12-07",0.002899,0.004011,0.002863,0.003642,"161","72,284","ADCN",0.256295274232494
"2017-12-06",0.00234,0.003197,0.00234,0.002904,"62","58,343","ADCN",0.241025641025641
"2017-12-05",0.002681,0.00306,0.002344,0.002345,"831","66,839","ADCN",-0.12532637075718
"2017-12-04",0.002583,0.002764,0.00256,0.002676,"373","64,409","ADCN",0.0360046457607434
"2017-12-03",0.00297,0.003158,0.002414,0.002575,"892","74,043","ADCN",-0.132996632996633
"2017-12-02",0.003157,0.003546,0.002478,0.002967,"1,449","78,697","ADCN",-0.0601837187203041
"2017-12-01",0.002498,0.003786,0.001802,0.003159,"109,294","62,285","ADCN",0.264611689351481
"2017-11-30",0.002555,0.0031,0.00198,0.002511,"263","63,710","ADCN",-0.0172211350293541
"2017-11-29",0.002681,0.002983,0.002364,0.002517,"73","66,829","ADCN",-0.0611712047743378
"2017-11-28",0.002981,0.003011,0.00265,0.002683,"93","74,315","ADCN",-0.0999664542099967
"2017-11-27",0.002609,0.002978,0.002453,0.002974,"437","65,044","ADCN",0.139900344959755
"2017-11-26",0.002711,0.002848,0.002512,0.002608,"197","67,597","ADCN",-0.0379933603836222
"2017-11-25",0.002299,0.003037,0.002286,0.002712,"341","57,311","ADCN",0.179643323183993
"2017-11-24",0.00225,0.002335,0.002207,0.002303,"94","56,104","ADCN",0.0235555555555556
"2017-11-23",0.002303,0.002314,0.002253,0.002253,"92","57,418","ADCN",-0.0217108119843683
"2017-11-22",0.002272,0.002324,0.002107,0.002304,"94","56,642","ADCN",0.0140845070422535
"2017-11-21",0.00239,0.002437,0.002234,0.002266,"354","59,586","ADCN",-0.0518828451882847
"2017-11-20",0.002333,0.002562,0.002327,0.00239,"7,280","58,154","ADCN",0.0244320617231034
"2017-11-19",0.003193,0.003209,0.002084,0.002334,"271","79,598","ADCN",-0.269025994362668
"2017-11-18",0.003152,0.003239,0.00269,0.003199,"463","78,572","ADCN",0.0149111675126904
"2017-11-17",0.00251,0.003319,0.002015,0.003164,"709","62,584","ADCN",0.260557768924303
"2017-11-16",0.002337,0.002561,0.002001,0.002514,"133","58,263","ADCN",0.0757381258023107
"2017-11-15",0.002446,0.002576,0.002131,0.002543,"797","60,989","ADCN",0.0396565821749797
"2017-11-14",0.002416,0.00258,0.002416,0.002445,"301","60,244","ADCN",0.0120033112582781
"2017-11-13",0.002029,0.002425,0.002014,0.002411,"229","50,577","ADCN",0.188270083785116
