"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.11474,0.11578,0.100129,0.110938,"18,767","4,996,260","ADZ",-0.0331357852536169
"2018-01-09",0.106454,0.125058,0.093438,0.115577,"55,340","4,635,320","ADZ",0.0856989873560412
"2018-01-08",0.065916,0.122056,0.064786,0.108192,"48,118","2,870,040","ADZ",0.641361733114873
"2018-01-07",0.063784,0.067173,0.058218,0.067173,"18,383","2,777,110","ADZ",0.0531324470086543
"2018-01-06",0.052839,0.067557,0.050631,0.06227,"23,473","2,300,340","ADZ",0.178485588296523
"2018-01-05",0.047604,0.055886,0.043441,0.052799,"7,861","2,072,990","ADZ",0.109129484917234
"2018-01-04",0.041558,0.049266,0.041049,0.048628,"7,648","1,809,460","ADZ",0.170123682564127
"2018-01-03",0.047405,0.049426,0.038669,0.041337,"5,042","2,059,220","ADZ",-0.128003375171396
"2018-01-02",0.041849,0.051345,0.038158,0.04757,"21,834","1,818,920","ADZ",0.136705775526297
"2018-01-01",0.035827,0.043203,0.034147,0.041649,"10,830","1,558,100","ADZ",0.162503140089876
"2017-12-31",0.027631,0.038659,0.027361,0.036495,"5,385","1,200,080","ADZ",0.320799102457385
"2017-12-30",0.031311,0.033378,0.024959,0.027926,"5,998","1,360,010","ADZ",-0.108108971288046
"2017-12-29",0.030825,0.034501,0.028874,0.032446,"7,612","1,338,960","ADZ",0.0525871857258719
"2017-12-28",0.03238,0.032837,0.027957,0.030508,"10,962","1,406,510","ADZ",-0.0578134651019147
"2017-12-27",0.036377,0.037846,0.031057,0.03245,"5,080","1,580,350","ADZ",-0.107952827335954
"2017-12-26",0.032033,0.037852,0.031458,0.03635,"3,126","1,391,400","ADZ",0.134767271251522
"2017-12-25",0.032085,0.040804,0.029885,0.032065,"5,337","1,393,430","ADZ",-0.00062334424185754
"2017-12-24",0.030171,0.032733,0.027322,0.031773,"2,607","1,310,290","ADZ",0.0530973451327435
"2017-12-23",0.028451,0.034618,0.028451,0.029859,"2,715","1,235,480","ADZ",0.0494885944255035
"2017-12-22",0.031543,0.031625,0.024286,0.028206,"1,199","1,370,110","ADZ",-0.105792093332911
"2017-12-21",0.033612,0.036646,0.030356,0.03144,"1,852","1,459,670","ADZ",-0.064619778650482
"2017-12-20",0.035515,0.036572,0.030927,0.03353,"2,399","1,542,370","ADZ",-0.0558918766718288
"2017-12-19",0.036279,0.038879,0.032454,0.035548,"1,428","1,577,140","ADZ",-0.0201493977232006
"2017-12-18",0.037766,0.038953,0.034322,0.036238,"1,923","1,642,060","ADZ",-0.0404596727214956
"2017-12-17",0.039082,0.044335,0.035279,0.039183,"8,066","1,699,750","ADZ",0.00258430991249178
