"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",8.34,8.59,7.34,7.69,"1,206,490","122,178,000","AEON",-0.0779376498800959
"2018-01-09",8.5,9.45,8.2,8.33,"1,933,650","124,576,000","AEON",-0.02
"2018-01-08",7.9,8.8,7.31,8.6,"2,477,470","115,741,000","AEON",0.0886075949367088
"2018-01-07",7.91,9.11,7.85,7.85,"1,534,860","115,958,000","AEON",-0.0075853350189634
"2018-01-06",7.09,8.34,6.98,7.92,"973,171","103,903,000","AEON",0.117066290550071
"2018-01-05",6.99,7.92,6.13,7.06,"1,615,760","102,431,000","AEON",0.0100143061516451
"2018-01-04",6.79,7.19,6.12,7.19,"1,799,060","99,532,300","AEON",0.0589101620029456
"2018-01-03",7.76,8.01,6.29,6.75,"2,411,890","113,727,000","AEON",-0.130154639175258
"2018-01-02",5.24,8.49,5.02,7.81,"3,071,330","76,828,100","AEON",0.490458015267175
"2018-01-01",5.87,6.19,5.12,5.12,"656,562","85,962,900","AEON",-0.127768313458262
"2017-12-31",5.44,6.26,4.67,5.79,"1,714,710","79,742,100","AEON",0.0643382352941176
"2017-12-30",6.26,7.16,5.1,5.5,"3,277,320","91,716,600","AEON",-0.121405750798722
"2017-12-29",4.03,6.84,3.87,6.34,"3,012,330","59,074,100","AEON",0.573200992555831
"2017-12-28",3.91,4.14,3.43,3.98,"485,093","57,279,700","AEON",0.0179028132992327
"2017-12-27",3.7,4.28,3.64,3.92,"274,532","54,212,800","AEON",0.0594594594594594
"2017-12-26",3.89,4.18,3.62,3.73,"402,429","56,950,500","AEON",-0.0411311053984576
"2017-12-25",3.8,4.08,3.39,3.81,"372,251","55,703,500","AEON",0.00263157894736848
"2017-12-24",3.87,3.94,3.26,3.72,"334,629","56,654,400","AEON",-0.0387596899224806
"2017-12-23",3.3,4.41,3.3,3.79,"463,509","48,309,600","AEON",0.148484848484849
"2017-12-22",4.17,4.37,2.53,3.31,"484,677","61,101,400","AEON",-0.206235011990408
