"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.03,2.45,1.5,2.26,"321,350","38,168,000","ALQO",0.113300492610837
"2018-01-09",1.32,3.45,1.14,2.34,"388,652","24,621,000","ALQO",0.772727272727272
"2018-01-08",1.12,1.37,1.02,1.33,"319,101","20,632,000","ALQO",0.1875
"2018-01-07",0.993275,1.35,0.916337,1.12,"225,245","18,050,700","ALQO",0.127582995645718
"2018-01-06",0.996273,1.29,0.830211,0.994005,"236,239","17,899,500","ALQO",-0.00227648445757331
"2018-01-05",0.919168,1.54,0.820045,0.881118,"83,601","16,324,800","ALQO",-0.0413961321542961
"2018-01-04",1.08,1.09,0.564152,0.9187,"148,235","18,913,000","ALQO",-0.149351851851852
"2018-01-03",0.982835,1.14,0.899065,1.07,"346,548","17,036,300","ALQO",0.0886873178102123
"2018-01-02",0.835854,0.974119,0.666601,0.966406,"399,846","14,258,500","ALQO",0.156189956619218
"2018-01-01",0.776007,0.913959,0.680417,0.835919,"295,086","13,024,700","ALQO",0.0772054891257424
"2017-12-31",0.947225,1.02,0.680176,0.772936,"352,164","15,639,600","ALQO",-0.183999577713848
"2017-12-30",0.984213,1.18,0.524298,0.95758,"374,583","15,980,100","ALQO",-0.0270601993674134
"2017-12-29",0.672787,1.47,0.239273,0.986695,"437,978","10,737,400","ALQO",0.466578575388645
"2017-12-28",0.620638,0.665893,0.545061,0.665893,"347","9,734,690","ALQO",0.0729169016399253
"2017-12-27",0.474304,0.684404,0.457542,0.621942,"302,011","7,308,730","ALQO",0.311272938874646
"2017-12-26",0.325708,0.531054,0.300998,0.472466,"304,198","4,929,590","ALQO",0.450581502450047
"2017-12-25",0.32288,0.356188,0.292283,0.326039,"115,494","4,797,930","ALQO",0.00978382061446984
"2017-12-24",0.350252,0.354483,0.291562,0.319561,"107,330","5,107,930","ALQO",-0.0876254810821923
"2017-12-23",0.345058,0.393607,0.297889,0.333202,"137,156","4,938,050","ALQO",-0.0343594410215094
"2017-12-22",0.325797,0.375734,0.223181,0.326205,"125,664","4,572,950","ALQO",0.00125231355721514
"2017-12-21",0.382825,0.427613,0.315815,0.324672,"199,849","5,268,130","ALQO",-0.151904917390453
"2017-12-20",0.451509,0.476735,0.340555,0.381825,"144,376","6,089,140","ALQO",-0.154335793970884
"2017-12-19",0.486349,0.56769,0.43666,0.451953,"218,403","6,425,640","ALQO",-0.0707228759594447
"2017-12-18",0.420417,0.539298,0.188822,0.475826,"308,144","5,438,010","ALQO",0.131795336534917
"2017-12-17",0.261303,0.489963,0.230232,0.471403,"223,903","3,308,200","ALQO",0.804047408564004
"2017-12-16",0.204095,0.267216,0.176804,0.26187,"85,170","2,528,080","ALQO",0.283078958328229
"2017-12-15",0.1349,1.62,0.134876,0.181212,"93,057","1,634,020","ALQO",0.343306152705708
"2017-12-14",0.13109,0.631812,0.124252,0.134698,"42,685","1,551,660","ALQO",0.0275230757494851
"2017-12-13",0.149036,0.15253,0.036557,0.131512,"45,723","1,723,220","ALQO",-0.117582329101694
"2017-12-12",0.128464,0.149677,0.124523,0.148912,"44,121","1,449,940","ALQO",0.159172997882675
"2017-12-11",0.136683,0.147262,0.111946,0.128053,"41,538","1,505,350","ALQO",-0.0631387956073542
"2017-12-10",0.117,0.137678,0.093672,0.137678,"63,692","1,256,540","ALQO",0.176735042735043
"2017-12-09",0.139524,0.154214,0.105053,0.116528,"31,864","1,460,260","ALQO",-0.164817522433416
"2017-12-08",0.164051,0.181081,0.019272,0.139665,"51,512","1,671,810","ALQO",-0.148648895770218
"2017-12-07",0.149721,0.209723,0.014825,0.134464,"111,239","1,484,660","ALQO",-0.101902872676512
"2017-12-06",0.10413,0.158292,0.095674,0.12257,"61,207","1,004,670","ALQO",0.177086334389705
"2017-12-05",0.087844,0.104433,0.07755,0.104361,"60,030","823,445","ALQO",0.188026501525431
"2017-12-04",0.100161,0.101361,0.067642,0.087671,"38,544","911,382","ALQO",-0.124699234232885
"2017-12-03",0.090409,0.146562,0.070614,0.09983,"49,967","797,855","ALQO",0.104204227455231
"2017-12-02",0.127576,0.154203,0.018954,0.09037,"68,949","1,090,910","ALQO",-0.291637925628645
"2017-12-01",0.048842,0.128992,0.015575,0.126377,"64,813","404,242","ALQO",1.58746570574506
"2017-11-30",0.040592,0.067591,0.037183,0.063236,"28,542","324,829","ALQO",0.557843910130075
"2017-11-29",0.044199,0.057483,0.038463,0.039978,"23,180","341,686","ALQO",-0.0954998981877419
"2017-11-28",0.075068,0.075069,0.0442,0.044243,"25,229","559,749","ALQO",-0.410627697554218
"2017-11-27",0.067367,0.077775,0.062469,0.074874,"45,438","483,842","ALQO",0.111434381818991
"2017-11-26",0.109329,0.109329,0.062879,0.067354,"32,734","755,307","ALQO",-0.383932899779564
"2017-11-25",0.0821,0.109365,0.055898,0.109365,"40,717","544,649","ALQO",0.332095006090134
"2017-11-24",0.084413,0.148301,0.040939,0.082128,"34,371","537,171","ALQO",-0.0270692902751945
"2017-11-23",0.105151,0.115539,0.082275,0.084529,"42,840","640,284","ALQO",-0.196117963690312
"2017-11-22",0.081133,0.212561,0.081133,0.105184,"57,146","471,836","ALQO",0.296439180111669
"2017-11-21",0.119542,0.148484,0.083805,0.08661,"65,614","-","ALQO",-0.275484766860183
"2017-11-20",0.142892,0.142892,0.117635,0.119487,"90,795","-","ALQO",-0.163795034011701
