"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.012414,0.017546,0.010369,0.017398,"19,899","965,516","AMMO",0.40148219751893
"2018-01-09",0.013554,0.013684,0.010136,0.010647,"18,173","1,054,190","AMMO",-0.214475431606906
"2018-01-08",0.017913,0.017913,0.008972,0.013591,"4,216","1,393,270","AMMO",-0.241277284653603
"2018-01-07",0.011182,0.019383,0.010369,0.017938,"11,678","869,684","AMMO",0.604185297800036
"2018-01-06",0.016135,0.020304,0.010046,0.01119,"29,976","1,254,930","AMMO",-0.306476603656647
"2018-01-05",0.005921,0.01626,0.005863,0.016122,"36,330","460,495","AMMO",1.72285086978551
"2018-01-04",0.005932,0.006028,0.004907,0.005919,"9,061","461,393","AMMO",-0.00219150370869858
"2018-01-03",0.004896,0.006197,0.003121,0.0059,"6,454","380,784","AMMO",0.205065359477124
"2018-01-02",0.0027,0.005016,0.002563,0.004913,"3,342","210,022","AMMO",0.819629629629629
"2018-01-01",0.001538,0.002747,0.001202,0.0027,"1,540","119,618","AMMO",0.755526657997399
"2017-12-31",0.00089,0.001593,0.000765,0.001532,"1,378","69,223","AMMO",0.721348314606742
"2017-12-30",0.00145,0.00145,0.000852,9e-04,"547","112,745","AMMO",-0.379310344827586
"2017-12-29",0.001157,0.001468,0.00113,0.001453,"699","90,020","AMMO",0.255834053586863
"2017-12-28",0.001396,0.001558,0.001103,0.001146,"160","108,611","AMMO",-0.179083094555874
"2017-12-27",0.001584,0.001955,0.001264,0.001399,"966","123,177","AMMO",-0.116792929292929
"2017-12-26",0.000975,0.001614,0.000971,0.001583,"1,834","75,839","AMMO",0.623589743589744
"2017-12-25",0.000986,0.00145,0.000942,0.000976,"71","76,695","AMMO",-0.0101419878296145
"2017-12-24",0.001461,0.001461,0.00088,0.000976,"384","113,605","AMMO",-0.331964407939767
"2017-12-23",0.001379,0.001552,0.00099,0.001445,"94","107,253","AMMO",0.0478607686729515
"2017-12-22",0.001257,0.001687,0.000868,0.001366,"374","97,770","AMMO",0.086714399363564
"2017-12-21",0.001319,0.002228,0.001017,0.001253,"8,171","102,562","AMMO",-0.0500379075056862
"2017-12-20",0.001233,0.001427,0.001123,0.001315,"5","95,924","AMMO",0.0665044606650446
"2017-12-19",0.001148,0.001282,0.001123,0.001235,"8","89,290","AMMO",0.0757839721254356
"2017-12-18",0.001913,0.001913,0.001109,0.001147,"43","148,804","AMMO",-0.40041819132253
"2017-12-17",0.002142,0.002142,0.000779,0.001907,"2,357","166,634","AMMO",-0.109710550887021
"2017-12-16",0.001235,0.002159,0.00122,0.002142,"70","96,077","AMMO",0.734412955465587
"2017-12-15",0.001825,0.001875,0.001062,0.001234,"547","141,916","AMMO",-0.323835616438356
"2017-12-14",0.001965,0.002048,0.001811,0.001822,"699","152,838","AMMO",-0.0727735368956744
"2017-12-13",0.0019,0.002101,0.0019,0.001971,"880","147,806","AMMO",0.0373684210526316
"2017-12-12",0.001852,0.002007,0.001645,0.001899,"159","144,047","AMMO",0.0253779697624191
"2017-12-11",0.001067,0.001896,0.001063,0.001846,"344","83,011","AMMO",0.73008434864105
"2017-12-10",0.001203,0.001729,0.001024,0.001075,"58","93,567","AMMO",-0.106400665004156
"2017-12-09",0.000976,0.001249,0.000922,0.001198,"2","75,898","AMMO",0.227459016393443
"2017-12-08",0.001041,0.00237,0.000845,0.000977,"420","80,992","AMMO",-0.0614793467819405
"2017-12-07",0.000962,0.001767,0.00087,0.001039,"357","74,784","AMMO",0.0800415800415801
"2017-12-06",0.001404,0.00167,0.000874,0.000963,"305","109,207","AMMO",-0.314102564102564
"2017-12-05",0.001982,0.001988,0.001034,0.001407,"1,078","154,122","AMMO",-0.290110998990918
"2017-12-04",0.000787,0.002372,0.000786,0.001978,"1,153","61,205","AMMO",1.5133418043202
"2017-12-03",0.000782,0.001894,0.000741,0.000784,"456","60,822","AMMO",0.00255754475703317
"2017-12-02",0.000762,0.000784,0.000751,0.000765,"2","59,259","AMMO",0.0039370078740157
"2017-12-01",6e-04,0.000965,0.000599,0.000763,"32","46,634","AMMO",0.271666666666667
"2017-11-30",0.000885,0.000962,0.00054,0.000603,"114","68,801","AMMO",-0.31864406779661
