"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",6.87,6.93,5.4,6.1,"2,579,540","220,874,000","ANT",-0.112081513828239
"2018-01-09",6.69,7.26,6.55,6.91,"2,079,090","215,090,000","ANT",0.0328849028400598
"2018-01-08",7.56,7.75,5.73,6.7,"5,129,650","243,736,000","ANT",-0.113756613756614
"2018-01-07",5.98,7.76,5.93,7.7,"5,045,620","192,856,000","ANT",0.287625418060201
"2018-01-06",5.36,6.17,5.07,5.99,"2,001,070","172,791,000","ANT",0.117537313432836
"2018-01-05",6.09,6.37,5.18,5.35,"2,592,980","196,455,000","ANT",-0.121510673234811
"2018-01-04",6.41,6.96,5.6,6.27,"4,249,260","206,882,000","ANT",-0.0218408736349455
"2018-01-03",4.57,6.86,4.57,6.55,"5,024,030","147,410,000","ANT",0.433260393873085
"2018-01-02",4.29,5.36,4.11,4.61,"3,763,910","138,303,000","ANT",0.0745920745920747
"2018-01-01",3.83,4.3,3.47,4.27,"2,137,650","123,637,000","ANT",0.114882506527415
"2017-12-31",3.4,4.02,3.32,3.89,"1,516,050","109,665,000","ANT",0.144117647058824
"2017-12-30",3.79,3.91,3.01,3.45,"1,309,030","122,346,000","ANT",-0.0897097625329815
"2017-12-29",3.7,4.05,3.52,3.95,"1,491,210","119,468,000","ANT",0.0675675675675676
"2017-12-28",3.86,4,3.13,3.68,"1,857,820","124,353,000","ANT",-0.0466321243523315
"2017-12-27",3.75,3.83,3.43,3.83,"1,444,870","121,101,000","ANT",0.0213333333333334
"2017-12-26",4,4.28,3.4,3.75,"2,109,130","128,921,000","ANT",-0.0625
"2017-12-25",3.84,4.22,3.65,4.07,"2,435,090","123,884,000","ANT",0.0598958333333334
"2017-12-24",3.36,3.84,2.83,3.79,"2,585,130","108,223,000","ANT",0.127976190476191
"2017-12-23",2.9,3.65,2.9,3.32,"1,253,340","93,387,600","ANT",0.144827586206897
"2017-12-22",3.55,3.57,2.22,2.87,"1,230,300","114,358,000","ANT",-0.191549295774648
"2017-12-21",3.44,3.94,3.33,3.53,"2,138,150","110,950,000","ANT",0.0261627906976744
"2017-12-20",3.32,3.67,2.92,3.51,"2,199,840","107,186,000","ANT",0.0572289156626506
"2017-12-19",3.23,3.7,3.1,3.28,"3,547,700","104,238,000","ANT",0.0154798761609907
"2017-12-18",2.68,3.39,2.55,3.26,"2,569,300","86,433,800","ANT",0.216417910447761
"2017-12-17",2.56,2.82,2.55,2.68,"1,702,240","82,948,900","ANT",0.046875
"2017-12-16",2.54,2.63,2.42,2.54,"1,047,860","82,072,000","ANT",0
"2017-12-15",2.58,2.63,2.32,2.53,"1,226,100","83,546,500","ANT",-0.0193798449612404
"2017-12-14",2.73,2.87,2.48,2.59,"1,488,340","88,568,400","ANT",-0.0512820512820513
"2017-12-13",2.49,2.89,2.28,2.74,"1,731,580","80,733,700","ANT",0.100401606425703
"2017-12-12",2.14,2.64,2.04,2.49,"2,131,230","69,243,500","ANT",0.163551401869159
"2017-12-11",1.86,2.2,1.85,2.13,"1,290,950","60,380,900","ANT",0.145161290322581
"2017-12-10",2.02,2.03,1.72,1.89,"626,556","65,564,900","ANT",-0.0643564356435644
"2017-12-09",2.01,2.1,1.86,2.02,"792,752","65,267,200","ANT",0.00497512437810957
"2017-12-08",1.89,2.03,1.67,1.96,"773,768","61,577,900","ANT",0.0370370370370371
"2017-12-07",2.13,2.17,1.83,1.9,"984,717","69,268,200","ANT",-0.107981220657277
"2017-12-06",2.22,2.45,1.94,2.13,"1,804,040","72,209,300","ANT",-0.0405405405405407
"2017-12-05",2.24,2.39,2.18,2.22,"947,807","72,822,900","ANT",-0.00892857142857144
"2017-12-04",2.06,2.24,2.01,2.24,"590,453","67,023,400","ANT",0.0873786407766991
"2017-12-03",2.04,2.26,1.92,2.05,"598,348","66,364,800","ANT",0.00490196078431362
"2017-12-02",2.15,2.16,1.98,2.04,"526,706","69,779,900","ANT",-0.0511627906976744
"2017-12-01",1.8,2.19,1.7,2.15,"685,523","58,527,700","ANT",0.194444444444444
"2017-11-30",1.82,1.93,1.62,1.81,"490,782","59,312,800","ANT",-0.0054945054945055
"2017-11-29",2.22,2.34,1.73,1.8,"760,301","72,216,500","ANT",-0.189189189189189
"2017-11-28",2.37,2.39,2.13,2.22,"783,917","77,139,900","ANT",-0.0632911392405063
"2017-11-27",2.03,2.45,2.03,2.37,"1,457,120","65,887,400","ANT",0.167487684729064
"2017-11-26",2.03,2.11,1.93,2.03,"590,313","66,133,100","ANT",0
"2017-11-25",1.94,2.28,1.92,2.03,"1,297,350","63,196,800","ANT",0.0463917525773195
"2017-11-24",1.75,1.95,1.7,1.94,"649,323","57,060,500","ANT",0.108571428571429
"2017-11-23",1.81,1.85,1.7,1.76,"530,295","58,749,700","ANT",-0.0276243093922652
"2017-11-22",1.76,1.84,1.71,1.82,"587,607","57,071,100","ANT",0.0340909090909091
"2017-11-21",1.64,1.77,1.52,1.75,"555,686","53,202,700","ANT",0.0670731707317074
"2017-11-20",1.55,1.67,1.55,1.64,"456,294","50,445,500","ANT",0.0580645161290322
"2017-11-19",1.49,1.65,1.45,1.56,"764,575","48,471,600","ANT",0.0469798657718121
"2017-11-18",1.46,1.52,1.38,1.49,"603,517","47,523,300","ANT",0.0205479452054795
"2017-11-17",1.4,1.57,1.37,1.47,"833,458","45,565,300","ANT",0.05
"2017-11-16",1.32,1.45,1.3,1.41,"521,774","43,139,300","ANT",0.0681818181818181
"2017-11-15",1.35,1.38,1.3,1.32,"307,997","43,943,200","ANT",-0.0222222222222222
"2017-11-14",1.29,1.38,1.21,1.36,"425,966","42,152,900","ANT",0.0542635658914729
"2017-11-13",1.15,1.31,1.13,1.29,"326,498","37,552,400","ANT",0.121739130434783
"2017-11-12",1.2,1.21,1.08,1.14,"430,354","39,323,400","ANT",-0.05
"2017-11-11",1.33,1.38,1.17,1.2,"484,159","43,532,500","ANT",-0.0977443609022557
"2017-11-10",1.62,1.7,1.26,1.34,"580,034","52,790,200","ANT",-0.17283950617284
"2017-11-09",1.32,1.73,1.3,1.6,"908,574","43,006,200","ANT",0.212121212121212
"2017-11-08",1.15,1.37,1.13,1.33,"575,560","37,438,400","ANT",0.156521739130435
"2017-11-07",1.09,1.16,1.08,1.15,"296,883","35,752,300","ANT",0.0550458715596329
"2017-11-06",1.2,1.22,1.05,1.1,"630,406","39,292,700","ANT",-0.0833333333333332
"2017-11-05",1.25,1.29,1.16,1.2,"402,734","41,006,300","ANT",-0.04
"2017-11-04",1.17,1.42,1.16,1.26,"571,028","38,150,000","ANT",0.076923076923077
"2017-11-03",1.1,1.29,1,1.17,"674,683","36,081,000","ANT",0.0636363636363635
"2017-11-02",1.23,1.28,0.873685,1.1,"890,030","40,355,800","ANT",-0.105691056910569
"2017-11-01",1.38,1.4,1.24,1.24,"506,138","45,142,200","ANT",-0.101449275362319
"2017-10-31",1.48,1.49,1.38,1.39,"370,278","48,225,300","ANT",-0.0608108108108109
"2017-10-30",1.45,1.48,1.42,1.48,"270,562","47,376,100","ANT",0.0206896551724138
"2017-10-29",1.44,1.51,1.44,1.45,"355,395","47,076,000","ANT",0.00694444444444445
"2017-10-28",1.49,1.52,1.44,1.44,"376,313","48,817,400","ANT",-0.0335570469798658
"2017-10-27",1.51,1.54,1.48,1.49,"314,497","49,381,200","ANT",-0.0132450331125828
"2017-10-26",1.62,1.63,1.49,1.51,"442,666","53,001,100","ANT",-0.0679012345679013
"2017-10-25",1.64,1.66,1.55,1.62,"300,779","53,497,100","ANT",-0.0121951219512194
"2017-10-24",1.54,1.78,1.49,1.64,"490,482","50,355,300","ANT",0.0649350649350648
"2017-10-23",1.51,1.6,1.44,1.53,"473,655","49,550,100","ANT",0.0132450331125828
"2017-10-22",1.49,1.54,1.45,1.51,"360,050","48,658,900","ANT",0.0134228187919463
"2017-10-21",1.64,1.67,1.43,1.49,"477,910","53,684,900","ANT",-0.0914634146341463
"2017-10-20",1.81,1.81,1.62,1.64,"639,154","59,138,900","ANT",-0.0939226519337017
"2017-10-19",1.67,1.9,1.65,1.79,"681,141","54,681,500","ANT",0.0718562874251498
"2017-10-18",1.73,1.73,1.56,1.66,"600,299","56,584,500","ANT",-0.0404624277456648
"2017-10-17",1.82,2.02,1.64,1.75,"806,478","59,527,600","ANT",-0.0384615384615385
"2017-10-16",1.61,1.82,1.54,1.82,"972,053","52,939,200","ANT",0.130434782608696
"2017-10-15",1.74,1.74,1.48,1.64,"372,857","56,981,700","ANT",-0.0574712643678161
"2017-10-14",1.96,1.96,1.66,1.7,"645,581","64,500,600","ANT",-0.13265306122449
"2017-10-13",1.62,3.45,1.59,1.99,"5,260,750","53,236,800","ANT",0.228395061728395
"2017-10-12",1.73,1.75,1.6,1.62,"411,624","56,800,600","ANT",-0.0635838150289017
"2017-10-11",1.72,1.75,1.68,1.73,"246,870","56,615,600","ANT",0.0058139534883721
"2017-10-10",1.7,1.86,1.67,1.72,"466,173","56,115,200","ANT",0.011764705882353
"2017-10-09",1.67,1.76,1.56,1.71,"669,321","54,956,900","ANT",0.0239520958083833
"2017-10-08",1.77,1.79,1.66,1.67,"371,480","58,218,700","ANT",-0.056497175141243
"2017-10-07",1.8,1.83,1.71,1.77,"386,192","59,314,400","ANT",-0.0166666666666667
"2017-10-06",1.92,1.94,1.7,1.81,"517,011","63,143,600","ANT",-0.0572916666666666
"2017-10-05",1.68,1.93,1.62,1.93,"429,164","55,472,600","ANT",0.148809523809524
"2017-10-04",1.75,1.76,1.64,1.68,"358,119","57,557,500","ANT",-0.04
"2017-10-03",1.8,1.83,1.63,1.74,"401,641","59,389,500","ANT",-0.0333333333333334
"2017-10-02",1.9,1.95,1.78,1.8,"369,341","62,729,700","ANT",-0.0526315789473684
"2017-10-01",1.94,1.96,1.85,1.9,"492,416","63,861,700","ANT",-0.0206185567010309
"2017-09-30",1.82,1.94,1.82,1.93,"318,152","60,113,500","ANT",0.0604395604395604
"2017-09-29",1.88,1.9,1.79,1.82,"283,930","61,842,300","ANT",-0.0319148936170212
"2017-09-28",1.94,1.94,1.85,1.89,"341,170","63,862,000","ANT",-0.0257731958762887
"2017-09-27",1.8,1.94,1.79,1.92,"334,295","59,377,700","ANT",0.0666666666666666
"2017-09-26",1.82,1.88,1.8,1.8,"330,678","59,993,400","ANT",-0.010989010989011
"2017-09-25",1.76,1.85,1.73,1.82,"348,933","57,855,200","ANT",0.0340909090909091
"2017-09-24",1.89,1.89,1.72,1.76,"330,400","62,221,000","ANT",-0.0687830687830687
"2017-09-23",1.63,1.88,1.61,1.88,"385,085","53,624,100","ANT",0.153374233128834
"2017-09-22",1.66,1.71,1.6,1.63,"281,181","54,811,100","ANT",-0.0180722891566265
"2017-09-21",1.91,1.95,1.63,1.66,"380,055","63,081,100","ANT",-0.130890052356021
"2017-09-20",1.82,1.99,1.79,1.94,"486,492","59,880,800","ANT",0.0659340659340659
"2017-09-19",1.93,1.97,1.82,1.82,"436,441","63,622,200","ANT",-0.0569948186528497
"2017-09-18",1.64,1.93,1.64,1.93,"469,489","53,921,000","ANT",0.176829268292683
"2017-09-17",1.58,1.65,1.52,1.64,"282,616","52,008,700","ANT",0.0379746835443037
"2017-09-16",1.64,1.69,1.55,1.58,"363,528","53,964,100","ANT",-0.0365853658536584
"2017-09-15",1.44,1.66,1.24,1.64,"395,562","47,438,500","ANT",0.138888888888889
"2017-09-14",1.79,1.83,1.35,1.43,"396,526","59,031,700","ANT",-0.201117318435754
"2017-09-13",1.89,1.89,1.62,1.79,"741,807","62,271,200","ANT",-0.0529100529100528
"2017-09-12",1.89,1.99,1.82,1.88,"480,641","62,378,200","ANT",-0.0052910052910053
"2017-09-11",1.93,2.06,1.84,1.89,"497,748","63,864,500","ANT",-0.0207253886010363
"2017-09-10",2.07,2.07,1.87,1.94,"390,270","68,181,800","ANT",-0.0628019323671497
"2017-09-09",2.09,2.17,1.98,2.06,"486,870","68,894,600","ANT",-0.0143540669856458
"2017-09-08",2.16,2.3,1.97,2.08,"585,419","71,433,700","ANT",-0.0370370370370371
"2017-09-07",2.28,2.29,2.15,2.17,"721,831","75,250,000","ANT",-0.0482456140350877
"2017-09-06",2.32,2.42,2.23,2.3,"540,724","76,443,000","ANT",-0.00862068965517242
"2017-09-05",2.13,2.36,1.88,2.33,"527,783","70,178,600","ANT",0.0938967136150236
"2017-09-04",2.58,2.58,1.86,2.14,"991,351","85,208,400","ANT",-0.170542635658915
"2017-09-03",2.56,2.67,2.49,2.58,"382,014","84,660,000","ANT",0.00781250000000001
"2017-09-02",2.84,2.86,2.43,2.56,"505,254","93,767,200","ANT",-0.0985915492957746
"2017-09-01",2.93,2.97,2.73,2.82,"904,657","96,592,900","ANT",-0.0375426621160411
"2017-08-31",3.06,3.12,2.9,2.92,"689,530","102,908,000","ANT",-0.0457516339869281
"2017-08-30",3.01,3.14,2.93,3.07,"563,509","101,180,000","ANT",0.0199335548172758
"2017-08-29",3.19,3.21,2.91,3.01,"904,782","107,213,000","ANT",-0.0564263322884013
"2017-08-28",2.84,3.18,2.73,3.18,"958,386","95,505,300","ANT",0.119718309859155
"2017-08-27",2.94,2.99,2.74,2.84,"482,067","98,829,900","ANT",-0.0340136054421769
"2017-08-26",2.77,2.95,2.67,2.92,"613,011","92,932,600","ANT",0.0541516245487364
"2017-08-25",2.81,2.85,2.68,2.76,"399,046","94,384,700","ANT",-0.0177935943060499
"2017-08-24",2.52,2.84,2.5,2.78,"624,648","84,798,300","ANT",0.103174603174603
"2017-08-23",2.54,2.62,2.47,2.56,"467,406","85,399,400","ANT",0.0078740157480315
"2017-08-22",2.66,2.66,2.36,2.54,"405,765","89,302,200","ANT",-0.0451127819548873
"2017-08-21",2.75,2.93,2.62,2.65,"867,557","92,511,300","ANT",-0.0363636363636364
"2017-08-20",2.55,2.86,2.45,2.77,"739,923","85,718,500","ANT",0.0862745098039217
"2017-08-19",2.35,2.62,2.2,2.56,"795,690","79,090,200","ANT",0.0893617021276596
"2017-08-18",2.44,2.48,2.27,2.35,"543,222","81,976,500","ANT",-0.0368852459016393
"2017-08-17",2.54,2.55,2.3,2.45,"742,746","85,282,400","ANT",-0.0354330708661417
"2017-08-16",2.44,2.6,2.38,2.54,"750,076","81,867,900","ANT",0.0409836065573771
"2017-08-15",2.71,2.76,2.28,2.45,"767,516","90,924,200","ANT",-0.095940959409594
"2017-08-14",2.55,2.78,2.34,2.7,"932,953","85,558,300","ANT",0.0588235294117649
"2017-08-13",2.93,2.99,2.52,2.52,"1,102,490","98,518,000","ANT",-0.139931740614334
"2017-08-12",2.89,3.1,2.78,2.92,"1,078,570","97,178,000","ANT",0.0103806228373702
"2017-08-11",2.56,3.02,2.56,2.96,"2,631,060","86,115,200","ANT",0.15625
"2017-08-10",2.37,2.8,2.28,2.56,"1,299,060","79,673,700","ANT",0.080168776371308
"2017-08-09",2.12,2.39,2.12,2.36,"727,888","71,148,400","ANT",0.113207547169811
"2017-08-08",2.08,2.25,2.01,2.15,"587,613","69,909,000","ANT",0.0336538461538461
"2017-08-07",2.08,2.13,1.98,2.09,"403,798","70,010,800","ANT",0.0048076923076922
"2017-08-06",2.12,2.19,2.02,2.09,"404,444","71,165,600","ANT",-0.0141509433962265
"2017-08-05",1.92,2.17,1.9,2.09,"472,444","64,388,300","ANT",0.0885416666666666
"2017-08-04",1.88,1.98,1.87,1.92,"362,206","63,204,600","ANT",0.0212765957446809
"2017-08-03",1.76,1.91,1.74,1.88,"409,120","59,094,900","ANT",0.0681818181818181
"2017-08-02",1.8,1.8,1.6,1.76,"306,111","60,371,300","ANT",-0.0222222222222222
"2017-08-01",1.68,1.85,1.6,1.81,"299,507","56,594,700","ANT",0.0773809523809525
"2017-07-31",1.64,1.71,1.58,1.68,"265,313","55,122,400","ANT",0.024390243902439
"2017-07-30",1.63,1.66,1.54,1.64,"239,215","54,902,300","ANT",0.00613496932515338
"2017-07-29",1.59,1.63,1.49,1.63,"350,613","53,296,000","ANT",0.0251572327044024
"2017-07-28",1.69,1.72,1.52,1.59,"490,408","56,712,400","ANT",-0.059171597633136
"2017-07-27",1.77,1.8,1.64,1.68,"265,010","59,608,000","ANT",-0.0508474576271187
"2017-07-26",1.68,1.78,1.61,1.77,"445,200","56,585,200","ANT",0.0535714285714286
"2017-07-25",2.15,2.19,1.59,1.69,"593,523","72,384,500","ANT",-0.213953488372093
"2017-07-24",2.16,2.2,2.11,2.15,"276,677","72,588,200","ANT",-0.00462962962962974
"2017-07-23",2.26,2.3,2.11,2.19,"339,806","75,970,700","ANT",-0.0309734513274336
"2017-07-22",2.08,2.27,2.07,2.26,"322,467","69,978,500","ANT",0.0865384615384614
"2017-07-21",2.02,2.18,1.98,2.08,"312,070","67,813,400","ANT",0.0297029702970297
"2017-07-20",1.81,2.17,1.81,2,"445,853","60,864,000","ANT",0.104972375690608
"2017-07-19",2.02,2.12,1.78,1.8,"423,748","68,046,300","ANT",-0.108910891089109
"2017-07-18",1.72,2.12,1.64,2.02,"508,917","57,784,000","ANT",0.174418604651163
"2017-07-17",1.43,1.71,1.39,1.71,"477,114","47,913,100","ANT",0.195804195804196
"2017-07-16",1.53,1.6,1.26,1.43,"327,985","51,413,100","ANT",-0.0653594771241831
"2017-07-15",1.81,1.82,1.52,1.52,"288,078","60,870,400","ANT",-0.160220994475138
"2017-07-14",1.98,1.99,1.69,1.81,"315,431","66,498,700","ANT",-0.0858585858585858
"2017-07-13",2.01,2.03,1.85,1.98,"435,082","67,494,500","ANT",-0.0149253731343283
"2017-07-12",1.74,2.03,1.62,2,"565,016","58,459,800","ANT",0.149425287356322
"2017-07-11",1.6,1.93,1.22,1.74,"907,017","53,801,000","ANT",0.0874999999999999
"2017-07-10",2.12,2.13,1.51,1.61,"487,679","71,386,300","ANT",-0.240566037735849
"2017-07-09",2.17,2.25,2.1,2.13,"305,830","72,776,100","ANT",-0.0184331797235023
"2017-07-08",2.09,2.18,1.99,2.16,"350,485","70,227,600","ANT",0.0334928229665073
"2017-07-07",2.45,2.47,2.08,2.09,"647,124","82,400,200","ANT",-0.146938775510204
"2017-07-06",2.32,2.48,2.23,2.45,"555,626","77,845,000","ANT",0.0560344827586208
"2017-07-05",2.24,2.36,2.12,2.32,"404,513","75,188,500","ANT",0.0357142857142855
"2017-07-04",2.34,2.4,2.17,2.21,"434,296","78,701,200","ANT",-0.0555555555555555
