"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.958046,1.2,0.574059,0.604427,"26,553","1,474,480","ARCO",-0.369104406260242
"2018-01-09",0.262106,1.2,0.261233,0.956962,"78,540","403,018","ARCO",2.65104957536264
"2018-01-08",0.220794,0.263742,0.216436,0.262798,"2,343","339,172","ARCO",0.190240676829986
"2018-01-07",0.179046,0.224987,0.178119,0.221104,"1,245","274,794","ARCO",0.234900528355841
"2018-01-06",0.218211,0.223709,0.178872,0.179177,"1,639","334,604","ARCO",-0.178881907878155
"2018-01-05",0.20952,0.219779,0.16553,0.218068,"590","320,983","ARCO",0.0407980145093547
"2018-01-04",0.193211,0.209441,0.154485,0.209441,"523","295,724","ARCO",0.0840014284900963
"2018-01-03",0.178897,0.223305,0.170492,0.192396,"143","273,562","ARCO",0.075456827112808
"2018-01-02",0.110137,0.181662,0.106493,0.179518,"423","168,260","ARCO",0.62995178731943
"2018-01-01",0.115451,0.115451,0.088942,0.110122,"298","176,214","ARCO",-0.0461581103671688
"2017-12-31",0.103351,0.117128,0.102313,0.115104,"655","157,600","ARCO",0.113719267351066
"2017-12-30",0.128516,0.128516,0.104205,0.104461,"404","195,791","ARCO",-0.187175137726042
"2017-12-29",0.145315,0.165223,0.113308,0.128224,"500","221,179","ARCO",-0.117613460413584
"2017-12-28",0.13755,0.150484,0.123165,0.143881,"465","209,166","ARCO",0.0460268993093421
"2017-12-27",0.124481,0.137802,0.113718,0.137802,"684","189,112","ARCO",0.10701231513243
"2017-12-26",0.113409,0.133448,0.109256,0.124389,"303","172,128","ARCO",0.0968177128799302
"2017-12-25",0.109717,0.117025,0.106499,0.113518,"703","166,371","ARCO",0.0346436741799356
"2017-12-24",0.10345,0.109506,0.092305,0.108883,"181","156,722","ARCO",0.0525181246979216
"2017-12-23",0.110704,0.118021,0.099282,0.102402,"48","167,555","ARCO",-0.0749927735221852
"2017-12-22",0.128553,0.131616,0.096412,0.109669,"1,345","194,389","ARCO",-0.146896610736428
"2017-12-21",0.141339,0.156644,0.097283,0.128109,"21,091","213,524","ARCO",-0.0936047375459002
"2017-12-20",0.125998,0.214189,0.104266,0.142108,"414","190,166","ARCO",0.127859172367815
"2017-12-19",0.140401,0.140763,0.116942,0.126096,"445","211,683","ARCO",-0.101886738698442
"2017-12-18",0.151963,0.336111,0.126468,0.139859,"28","228,905","ARCO",-0.0796509676697616
"2017-12-17",0.247388,0.270303,0.140439,0.151582,"191","372,308","ARCO",-0.387270199039565
"2017-12-16",0.123536,0.266973,0.123177,0.238868,"92","185,747","ARCO",0.933590208522212
"2017-12-15",0.130759,0.138725,0.122042,0.123375,"77","196,427","ARCO",-0.0564703003234958
"2017-12-14",0.102066,0.1316,0.100998,0.130538,"323","153,186","ARCO",0.278956753473243
"2017-12-13",0.106662,0.118526,0.101663,0.102387,"683","159,936","ARCO",-0.0400798784946841
"2017-12-12",0.128052,0.14404,0.106323,0.106573,"335","191,830","ARCO",-0.167736544528785
"2017-12-11",0.109289,0.131323,0.109237,0.127235,"260","163,568","ARCO",0.164206827768577
"2017-12-10",0.103286,0.113158,0.088208,0.111096,"36","154,439","ARCO",0.0756152818387777
"2017-12-09",0.111206,0.113413,0.091953,0.102917,"336","166,124","ARCO",-0.0745373451072784
"2017-12-08",0.121002,0.122731,0.098963,0.111266,"94","180,587","ARCO",-0.0804614799755376
"2017-12-07",0.097104,0.120739,0.089618,0.120739,"358","144,784","ARCO",0.243398830120283
"2017-12-06",0.08475,0.097325,0.08475,0.097122,"5","126,245","ARCO",0.145982300884956
"2017-12-05",0.077216,0.085867,0.074221,0.085128,"53","114,914","ARCO",0.102465810194778
"2017-12-04",0.078881,0.081074,0.073637,0.077064,"246","117,281","ARCO",-0.0230346978359809
"2017-12-03",0.076565,0.083072,0.072931,0.078619,"67","113,731","ARCO",0.0268268791223144
"2017-12-02",0.075481,0.083068,0.071814,0.076491,"59","112,014","ARCO",0.0133808508101376
"2017-12-01",0.074926,0.080427,0.064679,0.075545,"92","111,086","ARCO",0.00826148466486927
"2017-11-30",0.079468,0.083865,0.067461,0.075299,"995","117,708","ARCO",-0.0524613680978506
"2017-11-29",0.074595,0.090652,0.069538,0.078288,"116","110,387","ARCO",0.0495073396340238
"2017-11-28",0.071523,0.074575,0.069472,0.074271,"27","105,740","ARCO",0.038421207164129
"2017-11-27",0.08768,0.094495,0.069814,0.071476,"199","129,504","ARCO",-0.184808394160584
"2017-11-26",0.064707,0.088348,0.064706,0.087641,"58","95,482","ARCO",0.354428423509048
"2017-11-25",0.060355,0.06602,0.060334,0.064742,"143","88,975","ARCO",0.0726866042581393
"2017-11-24",0.064789,0.071242,0.060022,0.060477,"172","95,419","ARCO",-0.066554507709642
"2017-11-23",0.085452,0.085928,0.064878,0.064878,"187","125,729","ARCO",-0.240766746243505
"2017-11-22",0.072013,0.088103,0.071199,0.08548,"688","105,853","ARCO",0.187007901351145
"2017-11-21",0.058088,0.170908,0.055133,0.071839,"8,653","85,303","ARCO",0.236727034843685
"2017-11-20",0.056597,0.061119,0.053657,0.058098,"7","83,034","ARCO",0.0265208403272257
"2017-11-19",0.059761,0.060043,0.056118,0.05662,"5","87,591","ARCO",-0.0525593614564683
"2017-11-18",0.057881,0.063838,0.056112,0.059873,"14","84,754","ARCO",0.0344154385722431
"2017-11-17",0.059227,0.066344,0.056828,0.058104,"70","86,641","ARCO",-0.0189609468654499
"2017-11-16",0.052027,0.059516,0.049988,0.059325,"7","76,034","ARCO",0.140273319622504
"2017-11-15",0.052957,0.060755,0.051398,0.051766,"39","77,319","ARCO",-0.0224899446720924
"2017-11-14",0.049267,0.058188,0.049267,0.052921,"143","71,863","ARCO",0.0741672925081699
"2017-11-13",0.043855,0.050428,0.043513,0.049165,"12","63,906","ARCO",0.121080834568464
"2017-11-12",0.041352,0.044404,0.036086,0.043791,"29","60,201","ARCO",0.0589814277423098
"2017-11-11",0.044252,0.045835,0.040015,0.041382,"5","64,361","ARCO",-0.0648558257253909
"2017-11-10",0.053074,0.05396,0.041938,0.044413,"7","77,115","ARCO",-0.163187247993368
"2017-11-09",0.041593,0.054101,0.040601,0.052247,"24","60,375","ARCO",0.256148871204289
"2017-11-08",0.037573,0.04164,0.03735,0.041636,"4","54,487","ARCO",0.108136161605408
"2017-11-07",0.041527,0.042856,0.037035,0.037692,"84","60,161","ARCO",-0.0923495557107424
"2017-11-06",0.055867,0.061603,0.041442,0.041593,"183","80,857","ARCO",-0.255499668856391
"2017-11-05",0.0508,0.05842,0.050171,0.055744,"7","73,452","ARCO",0.0973228346456694
"2017-11-04",0.060421,0.061342,0.048841,0.050603,"14","87,278","ARCO",-0.162493172903461
"2017-11-03",0.039257,0.062075,0.038821,0.060579,"272","56,652","ARCO",0.543138803270754
