"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",9.56,24.77,6.94,8.67,"20,649","2,842,240","AU",-0.0930962343096235
"2018-01-09",6.39,12.22,6.17,9.55,"7,917","1,897,870","AU",0.49452269170579
"2018-01-08",7.84,7.87,5.79,6.4,"2,205","2,329,080","AU",-0.183673469387755
"2018-01-07",7.16,8.52,6.73,7.85,"2,181","2,128,290","AU",0.0963687150837988
"2018-01-06",8.3,8.6,6.39,7.18,"1,662","2,466,150","AU",-0.134939759036145
"2018-01-05",4.65,8.37,4.61,8.29,"4,831","1,380,790","AU",0.782795698924731
"2018-01-04",4.44,5.3,3.93,4.64,"516","1,318,170","AU",0.0450450450450449
"2018-01-03",5.47,5.53,4.15,4.42,"755","1,626,300","AU",-0.191956124314442
"2018-01-02",4.71,5.56,4.05,5.49,"294","1,398,640","AU",0.165605095541401
"2018-01-01",4.24,4.77,3.35,4.71,"654","1,254,990","AU",0.110849056603774
"2017-12-31",3.2,4.34,2.51,4.22,"727","947,321","AU",0.31875
"2017-12-30",4.56,4.56,3.2,3.23,"1,666","1,351,660","AU",-0.291666666666667
"2017-12-29",5.82,6.79,4.53,4.58,"3,043","1,724,130","AU",-0.213058419243986
"2017-12-28",3.43,6.14,3.36,5.76,"3,294","1,017,030","AU",0.679300291545189
"2017-12-27",4.13,4.56,3.28,3.44,"979","1,223,350","AU",-0.167070217917676
"2017-12-26",3.46,4.19,3.39,4.13,"198","1,024,680","AU",0.19364161849711
"2017-12-25",3.42,4.12,3.22,3.46,"209","1,011,940","AU",0.0116959064327485
"2017-12-24",2.64,5.75,2.45,3.38,"1,751","782,181","AU",0.28030303030303
"2017-12-23",2.4,3.85,2.37,2.61,"263","711,456","AU",0.0875
"2017-12-22",2.98,3.19,2.3,2.38,"237","883,788","AU",-0.201342281879195
"2017-12-21",2.72,4.34,2.54,2.97,"1,077","804,454","AU",0.0919117647058823
"2017-12-20",1.78,3.37,1.65,2.71,"4,179","527,628","AU",0.522471910112359
"2017-12-19",2.04,2.7,1.71,1.78,"264","604,914","AU",-0.127450980392157
"2017-12-18",2.85,2.85,1.89,2.03,"46","845,253","AU",-0.287719298245614
"2017-12-17",2.9,2.95,2.42,2.85,"160","858,370","AU",-0.0172413793103448
"2017-12-16",2.65,2.95,2.61,2.9,"134","783,852","AU",0.0943396226415094
"2017-12-15",2.49,2.71,2.49,2.64,"1,443","736,831","AU",0.0602409638554216
"2017-12-14",1.71,2.53,1.69,2.48,"322","506,800","AU",0.450292397660819
"2017-12-13",1.99,2.02,1.69,1.72,"129","589,217","AU",-0.135678391959799
"2017-12-12",2.49,2.64,1.99,1.99,"112","738,811","AU",-0.200803212851406
"2017-12-11",1.92,2.59,1.91,2.49,"158","567,299","AU",0.296875
"2017-12-10",2.09,2.62,1.84,1.93,"276","620,504","AU",-0.0765550239234449
"2017-12-09",1.61,2.11,1.56,2.09,"71","477,132","AU",0.298136645962733
"2017-12-08",1.82,1.85,1.27,1.61,"53","539,180","AU",-0.115384615384615
"2017-12-07",1.58,1.93,1.56,1.82,"376","468,294","AU",0.151898734177215
"2017-12-06",1.65,1.89,1.46,1.58,"58","488,505","AU",-0.0424242424242423
"2017-12-05",1.66,1.97,1.59,1.65,"66","490,407","AU",-0.00602409638554217
"2017-12-04",1.61,1.66,1.56,1.65,"59","477,354","AU",0.0248447204968943
"2017-12-03",1.26,1.7,1.25,1.61,"284","372,381","AU",0.277777777777778
"2017-12-02",1.36,1.57,1.25,1.26,"244","404,236","AU",-0.0735294117647059
"2017-12-01",1.25,1.49,1.17,1.37,"99","369,501","AU",0.0960000000000001
"2017-11-30",1.29,1.34,1.12,1.25,"28","381,360","AU",-0.0310077519379845
"2017-11-29",1.23,1.53,1.18,1.27,"57","365,380","AU",0.0325203252032521
"2017-11-28",1.28,1.49,1.23,1.23,"271","378,351","AU",-0.0390625
"2017-11-27",1.18,1.28,1.18,1.27,"181","348,610","AU",0.076271186440678
"2017-11-26",1.14,1.2,1.12,1.18,"12","336,802","AU",0.0350877192982456
"2017-11-25",1.05,1.22,1.05,1.14,"13","311,888","AU",0.0857142857142856
"2017-11-24",1.55,1.61,1.04,1.06,"88","460,386","AU",-0.316129032258064
"2017-11-23",1.22,1.99,0.97278,1.6,"5","362,388","AU",0.311475409836066
"2017-11-22",1.02,1.3,1.02,1.24,"16","302,988","AU",0.215686274509804
"2017-11-21",1.23,1.23,1.01,1.02,"24","364,371","AU",-0.170731707317073
"2017-11-20",1.06,1.24,1.04,1.23,"4","314,534","AU",0.160377358490566
"2017-11-19",0.981462,1.07,0.977727,1.06,"35","290,724","AU",0.0800214374066445
"2017-11-18",0.960841,1.16,0.931478,0.983285,"3","284,616","AU",0.0233587034691484
"2017-11-17",1.02,1.04,0.951526,0.964539,"16","302,083","AU",-0.0543735294117647
"2017-11-16",0.95093,1.04,0.928208,1.02,"26","281,680","AU",0.0726341581399261
"2017-11-15",0.951013,1.14,0.881528,0.945973,"43","281,705","AU",-0.00529961209783677
"2017-11-14",1.05,1.08,0.836743,0.950362,"69","310,339","AU",-0.0948933333333333
"2017-11-13",0.854203,1.07,0.847547,1.05,"101","253,028","AU",0.229216006031353
"2017-11-12",0.866517,0.882393,0.755286,0.852961,"21","256,676","AU",-0.0156442401014637
"2017-11-11",1.07,1.09,0.848825,0.86715,"5","316,326","AU",-0.189579439252337
"2017-11-10",2.03,2.05,1.77,1.81,"124","601,451","AU",-0.108374384236453
"2017-11-09",1.04,1.04,0.97277,0.973558,"10","307,532","AU",-0.0638865384615385
"2017-11-08",0.956251,1.16,0.950605,1.04,"15","283,256","AU",0.0875805620072555
"2017-11-07",0.94162,1.14,0.940315,0.959066,"13","278,922","AU",0.0185276438478367
"2017-11-06",1,1.01,0.939703,0.94313,"12","296,902","AU",-0.05687
