"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.96,2.05,1.76,1.99,"497,173","16,958,000","AUR",0.0153061224489796
"2018-01-09",1.93,2.17,1.82,1.93,"572,448","16,669,000","AUR",0
"2018-01-08",2.03,2.11,1.8,1.91,"444,928","17,575,700","AUR",-0.0591133004926108
"2018-01-07",1.9,2.23,1.84,2.03,"706,279","16,444,100","AUR",0.0684210526315789
"2018-01-06",1.94,2.05,1.57,1.92,"827,090","16,777,400","AUR",-0.0103092783505155
"2018-01-05",1.9,2.03,1.67,1.86,"553,830","16,411,200","AUR",-0.0210526315789473
"2018-01-04",2.14,2.16,1.81,1.88,"530,930","18,500,900","AUR",-0.121495327102804
"2018-01-03",1.81,2.13,1.74,2.13,"908,198","15,696,800","AUR",0.176795580110497
"2018-01-02",1.76,2.06,1.65,1.82,"1,210,790","15,277,100","AUR",0.0340909090909091
"2018-01-01",1.7,2.01,1.65,1.75,"1,717,790","14,713,000","AUR",0.0294117647058824
"2017-12-31",2.16,2.65,1.5,1.69,"5,067,370","18,668,500","AUR",-0.217592592592593
"2017-12-30",1.41,2.38,1.2,2,"2,356,110","12,206,300","AUR",0.418439716312057
"2017-12-29",1.45,1.55,1.4,1.41,"351,257","12,591,600","AUR",-0.0275862068965517
"2017-12-28",1.49,1.51,1.31,1.44,"229,276","12,884,400","AUR",-0.0335570469798658
"2017-12-27",1.51,1.59,1.4,1.52,"139,823","13,080,500","AUR",0.0066225165562914
"2017-12-26",1.41,1.55,1.41,1.51,"221,437","12,224,300","AUR",0.0709219858156029
"2017-12-25",1.37,1.51,1.29,1.41,"227,080","11,892,400","AUR",0.0291970802919707
"2017-12-24",1.35,1.37,1.18,1.36,"167,878","11,653,800","AUR",0.00740740740740741
"2017-12-23",1.26,1.48,1.24,1.33,"205,924","10,878,700","AUR",0.0555555555555556
"2017-12-22",1.6,1.63,1.03,1.24,"275,449","13,813,400","AUR",-0.225
"2017-12-21",1.73,1.79,1.44,1.58,"277,247","14,950,400","AUR",-0.0867052023121387
"2017-12-20",1.51,1.77,1.26,1.72,"373,336","13,063,500","AUR",0.139072847682119
"2017-12-19",1.68,1.97,1.48,1.51,"419,551","14,528,200","AUR",-0.101190476190476
"2017-12-18",1.5,1.69,1.45,1.68,"184,993","13,009,800","AUR",0.12
"2017-12-17",1.44,1.86,1.43,1.5,"386,657","12,440,900","AUR",0.0416666666666667
"2017-12-16",1.31,1.48,1.28,1.47,"150,584","11,369,700","AUR",0.122137404580153
"2017-12-15",1.37,1.39,1.25,1.31,"135,397","11,862,500","AUR",-0.0437956204379562
"2017-12-14",1.32,1.61,1.31,1.37,"342,232","11,450,000","AUR",0.0378787878787879
"2017-12-13",1.46,1.54,1.24,1.33,"160,930","12,644,700","AUR",-0.0890410958904109
"2017-12-12",1.34,2.01,1.17,1.47,"1,027,560","11,581,000","AUR",0.0970149253731342
"2017-12-11",1.04,1.45,1.03,1.3,"254,122","8,997,830","AUR",0.25
"2017-12-10",1.08,1.12,0.925716,1.04,"83,104","9,371,200","AUR",-0.0370370370370371
"2017-12-09",1.18,1.19,0.959786,1.07,"133,450","10,254,800","AUR",-0.0932203389830508
"2017-12-08",1.22,1.77,1.1,1.19,"530,581","10,545,500","AUR",-0.0245901639344263
"2017-12-07",2.45,2.8,1.11,1.25,"3,207,200","21,214,700","AUR",-0.489795918367347
"2017-12-06",0.97021,2.72,0.97021,2.57,"3,200,180","8,400,220","AUR",1.64891106049206
"2017-12-05",0.881975,1.04,0.870566,0.971953,"143,719","7,636,260","AUR",0.102018764704215
"2017-12-04",0.888918,0.96029,0.855484,0.880303,"88,777","7,696,380","AUR",-0.00969155760148859
"2017-12-03",0.781511,0.976163,0.761083,0.891227,"151,033","6,766,430","AUR",0.140389578649565
"2017-12-02",0.752878,0.814271,0.730829,0.780675,"33,931","6,518,530","AUR",0.0369209885266935
"2017-12-01",0.710526,0.772681,0.677048,0.753196,"36,386","6,151,830","AUR",0.0600541007647855
"2017-11-30",0.680951,0.738419,0.651704,0.712309,"20,695","5,895,770","AUR",0.0460503031789365
"2017-11-29",0.752939,0.824708,0.680403,0.688632,"34,947","6,519,050","AUR",-0.0854079812574458
"2017-11-28",0.765629,0.780272,0.751084,0.753568,"28,052","6,628,930","AUR",-0.0157530605554387
"2017-11-27",0.73955,0.78974,0.730813,0.764849,"31,817","6,403,130","AUR",0.0342086403894259
"2017-11-26",0.750674,0.776191,0.720131,0.73939,"33,640","6,499,440","AUR",-0.0150318247335061
"2017-11-25",0.713448,0.788232,0.664363,0.736471,"253,572","6,177,130","AUR",0.0322700463103128
"2017-11-24",0.689779,0.729168,0.68394,0.714927,"38,290","5,972,200","AUR",0.0364580539564121
"2017-11-23",0.707553,0.745774,0.684028,0.692952,"55,751","6,126,090","AUR",-0.0206359099601019
"2017-11-22",0.729469,0.778686,0.700772,0.720005,"99,058","6,315,840","AUR",-0.0129738206832642
"2017-11-21",0.657983,0.749033,0.635096,0.728386,"83,547","5,696,910","AUR",0.106998205120801
"2017-11-20",0.653046,0.673014,0.64061,0.665012,"15,929","5,654,160","AUR",0.0183233646634388
"2017-11-19",0.641903,0.661295,0.629572,0.653429,"16,977","5,557,680","AUR",0.0179559840038137
"2017-11-18",0.633664,0.652109,0.61718,0.642771,"12,360","5,486,350","AUR",0.01437197000303
"2017-11-17",0.683308,0.686734,0.634302,0.635759,"25,848","5,916,180","AUR",-0.0695864822305608
"2017-11-16",0.666562,0.699816,0.650278,0.684521,"24,696","5,771,190","AUR",0.0269427300086114
"2017-11-15",0.621687,0.672653,0.621687,0.663284,"20,372","5,382,650","AUR",0.0669098758700118
"2017-11-14",0.578357,0.631974,0.577561,0.62111,"36,619","5,007,500","AUR",0.0739214706487516
"2017-11-13",0.528279,0.587292,0.526835,0.576645,"14,139","4,573,910","AUR",0.0915538948169431
"2017-11-12",0.557192,0.567791,0.486704,0.527745,"32,786","4,824,250","AUR",-0.0528489281971026
"2017-11-11",0.606385,0.6172,0.551585,0.557588,"17,115","5,250,170","AUR",-0.0804719773741105
"2017-11-10",0.648932,0.66023,0.585215,0.604047,"56,687","5,618,550","AUR",-0.0691674936665166
"2017-11-09",0.639068,0.716854,0.621092,0.64739,"157,257","5,533,140","AUR",0.0130220884162563
"2017-11-08",0.623596,0.65623,0.605342,0.63976,"32,772","5,399,180","AUR",0.0259206280989614
"2017-11-07",0.596838,0.627511,0.589197,0.624883,"22,955","5,167,500","AUR",0.0469893002791377
"2017-11-06",0.637434,0.650659,0.596649,0.597721,"20,014","5,518,990","AUR",-0.0623013519831073
