"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",184.64,185.26,146.55,167.41,"2,155,780","-","B2X",-0.0933167244367417
"2018-01-09",194.84,199.08,177.52,183.47,"1,011,670","-","B2X",-0.058355573804147
"2018-01-08",205.95,213.14,162.66,196.54,"1,887,500","-","B2X",-0.0456907016266084
"2018-01-07",215.62,218.63,199.55,206.89,"1,497,500","-","B2X",-0.040487895371487
"2018-01-06",182.46,214.34,178.73,213.91,"1,426,480","-","B2X",0.172366546092294
"2018-01-05",204.28,212.5,180.63,182.34,"2,483,720","-","B2X",-0.107401605639319
"2018-01-04",222.9,225.72,171.3,203.74,"1,786,490","-","B2X",-0.0859578286227008
"2018-01-03",225.09,243.5,211.34,223.56,"1,822,070","-","B2X",-0.00679728108756498
"2018-01-02",247.7,263.19,225.58,226.02,"3,194,280","-","B2X",-0.0875252321356479
"2018-01-01",272.9,274.58,241.21,247.54,"2,152,670","-","B2X",-0.0929278123854891
"2017-12-31",249.3,283.63,245.38,272.2,"3,296,480","-","B2X",0.0918572001604492
"2017-12-30",298.17,299.24,220.33,254.03,"3,462,680","-","B2X",-0.14803635509944
"2017-12-29",390.97,392.68,245.74,295.31,"3,532,870","-","B2X",-0.244673504360948
"2017-12-28",881.07,881.07,316.14,392.65,"11,072,000","-","B2X",-0.554348689661434
"2017-12-27",747.55,1205.05,716.84,862.67,"12,124,000","-","B2X",0.153996388201458
"2017-12-26",560.65,805.76,549.74,805.45,"3,815,670","-","B2X",0.43663604744493
"2017-12-25",590.48,633.29,529.92,558.4,"1,607,610","-","B2X",-0.0543286817504404
"2017-12-24",531.62,586.64,383.17,584.04,"2,183,220","-","B2X",0.0986042662051841
"2017-12-23",641.91,706.05,515.76,525.97,"1,455,000","-","B2X",-0.180617220482622
"2017-12-22",528.93,770.44,463.87,635.48,"2,708,150","-","B2X",0.201444425538351
"2017-12-21",656.25,696.46,508.51,527.15,"2,659,970","-","B2X",-0.19672380952381
"2017-12-20",546.85,822.55,546.85,660.79,"4,660,420","-","B2X",0.20835695346073
"2017-12-19",201.04,207.98,187.94,202.04,"825,910","-","B2X",0.0049741345005969
"2017-12-18",192.45,204,179.75,200.93,"776,884","-","B2X",0.0440633930891142
"2017-12-17",201.74,201.82,192.22,192.22,"403,836","-","B2X",-0.0471894517696045
"2017-12-16",193,215.72,191.94,200.67,"540,415","-","B2X",0.039740932642487
"2017-12-15",183.69,204.93,175.78,190.58,"505,458","-","B2X",0.037508846426044
"2017-12-14",190.84,196.9,178.07,184.17,"433,731","-","B2X",-0.0349507440788096
"2017-12-13",198.37,210.58,186.47,193.36,"441,514","-","B2X",-0.0252558350557039
"2017-12-12",205.2,206.47,190.46,200.26,"707,224","-","B2X",-0.0240740740740741
"2017-12-11",209.69,219.23,187.71,200.37,"657,767","-","B2X",-0.0444465639753922
"2017-12-10",189.16,228.16,165.29,208.63,"605,771","-","B2X",0.102928737576655
"2017-12-09",195.33,210.12,186.09,188.35,"727,285","-","B2X",-0.0357343981979216
"2017-12-08",190.61,205.45,175.16,192.53,"741,753","-","B2X",0.0100729237710508
"2017-12-07",201.15,211.47,186.61,190.21,"585,996","-","B2X",-0.0543872731792195
"2017-12-06",223.57,228.76,197.91,201.44,"718,873","-","B2X",-0.0989846580489332
"2017-12-05",220.33,232.66,217.47,224.13,"636,329","-","B2X",0.0172468569872463
"2017-12-04",211.44,226.38,208.92,220.38,"634,706","-","B2X",0.0422814982973893
"2017-12-03",242.35,260.97,203.36,212.9,"660,276","-","B2X",-0.121518465029915
"2017-12-02",207.59,244.6,201.16,242.67,"735,894","-","B2X",0.168986945421263
"2017-12-01",209.43,212.13,196.92,209.75,"457,653","-","B2X",0.00152795683521937
"2017-11-30",188.4,216.01,185.69,211.28,"501,678","-","B2X",0.121443736730361
"2017-11-29",208.14,231.43,186.03,186.18,"746,270","-","B2X",-0.105505909484001
"2017-11-28",241.2,248.81,205,205,"812,895","-","B2X",-0.150082918739635
"2017-11-27",259.86,269.61,237.4,242.58,"761,176","-","B2X",-0.0664973447240822
"2017-11-26",263.55,277.58,255.03,259.76,"542,935","-","B2X",-0.0143805729463101
"2017-11-25",274.61,283.67,253.63,264.63,"570,527","-","B2X",-0.0363424492917229
"2017-11-24",251.16,289.43,235.62,269.71,"731,901","-","B2X",0.0738573021181716
"2017-11-23",267.27,267.77,243.76,251.54,"550,534","-","B2X",-0.0588543420511093
"2017-11-22",236.07,323.29,234.78,266.93,"838,605","-","B2X",0.130723937815055
"2017-11-21",161.14,361.8,127.33,235.87,"1,650,470","-","B2X",0.463758222663523
"2017-11-20",198,200.64,144.58,170.69,"688,418","-","B2X",-0.137929292929293
"2017-11-19",185.71,245.45,178.46,199.32,"493,901","-","B2X",0.0732863066070755
"2017-11-18",291.46,291.46,179.26,183.59,"892,535","-","B2X",-0.37010224387566
"2017-11-17",243.81,457.24,243.81,259.51,"2,400,190","-","B2X",0.0643944054796767
"2017-11-16",253.39,399.74,174.07,242.65,"981,468","-","B2X",-0.0423852559295946
"2017-11-15",272.95,325.22,240.11,257.08,"569,258","-","B2X",-0.0581425169444953
"2017-11-14",321.55,419.27,211.48,272.54,"655,143","-","B2X",-0.152417975431504
"2017-11-13",293.57,340.58,272.5,325.29,"481,109","-","B2X",0.108049187587288
"2017-11-12",332,365.35,247.22,298.3,"548,180","-","B2X",-0.101506024096386
"2017-11-11",447.05,453.45,322.29,335.14,"673,142","-","B2X",-0.250329940722514
"2017-11-10",340.46,527.67,331.48,450.52,"1,543,180","-","B2X",0.323268519062445
"2017-11-09",183.34,394.1,146.3,335.25,"1,292,500","-","B2X",0.828569870186539
"2017-11-08",1331.57,1347.87,181.09,183.03,"1,384,530","-","B2X",-0.862545716710349
"2017-11-07",1377.3,1510.61,1323.1,1334.71,"699,599","-","B2X",-0.0309228200101648
"2017-11-06",1658.09,1676.68,1359.78,1385.38,"886,347","-","B2X",-0.164472374840931
"2017-11-05",1656.84,1802.89,1423.85,1606.27,"1,157,290","-","B2X",-0.0305219574611911
"2017-11-04",1901.78,1968.8,1494.84,1647.74,"830,738","-","B2X",-0.133580119677355
"2017-11-03",1223.4,2476.23,1194.11,1903.03,"1,371,430","-","B2X",0.555525584436815
"2017-11-02",1179.9,1280.71,1068.86,1217.38,"683,080","-","B2X",0.0317654038477837
"2017-11-01",1148.09,1226.03,1101.23,1182.8,"658,474","-","B2X",0.0302328214687002
"2017-10-31",1006.37,1162.96,998.29,1159.1,"622,285","-","B2X",0.151763267982949
"2017-10-30",1023.71,1033.8,971.1,1011.45,"515,032","-","B2X",-0.0119760479041916
"2017-10-29",1021.04,1052,984.97,1016.73,"8,153,750","-","B2X",-0.00422118624147922
"2017-10-28",1011.61,1039.83,968.16,1021.03,"568,309","-","B2X",0.00931188896906907
"2017-10-27",1082.68,1100.87,975.59,1010.37,"516,201","-","B2X",-0.0667879705914952
"2017-10-26",1020.59,1085.03,992.99,1083.33,"544,014","-","B2X",0.0614742452894893
"2017-10-25",929.96,1039.25,891.3,1020.25,"615,221","-","B2X",0.0970901974278463
"2017-10-24",1081.98,1106.26,923.48,926.89,"743,579","-","B2X",-0.143339063568643
"2017-10-23",906.98,1190.72,874.47,1088.14,"485,334","-","B2X",0.199739795805861
"2017-10-22",850.05,1063.1,814.57,916.11,"352,207","-","B2X",0.0777130757014294
"2017-10-21",819.54,1002.41,814.01,854.22,"1,832,880","-","B2X",0.0423164214071309
"2017-10-20",810.82,865.31,487.57,820.13,"3,263,060","-","B2X",0.011482203201697
