"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.144134,0.144783,0.126584,0.137343,"7","1,483,400","B@",-0.0471158782799341
"2018-01-09",0.143052,0.157409,0.066118,0.14379,"260","1,472,260","B@",0.00515896317423027
"2018-01-08",0.206101,0.221524,0.14708,0.151988,"19","2,121,140","B@",-0.262555737235627
"2018-01-07",0.209897,0.221288,0.161261,0.206004,"1,615","2,160,210","B@",-0.0185471921942667
"2018-01-06",0.195086,0.214133,0.133394,0.211127,"369","2,007,780","B@",0.08222527500692
"2018-01-05",0.12547,0.198623,0.123891,0.194918,"159","1,291,310","B@",0.5535028293616
"2018-01-04",0.226447,0.234423,0.123101,0.125441,"878","2,330,540","B@",-0.446046977880034
"2018-01-03",0.250031,0.257274,0.249661,0.250213,"171","2,573,260","B@",0.000727909739192402
"2018-01-02",0.227518,0.250352,0.188972,0.250352,"436","2,341,560","B@",0.100361290095729
"2018-01-01",0.227171,0.233256,0.216898,0.227578,"237","2,337,990","B@",0.00179160192101981
"2017-12-31",0.209192,0.233247,0.207112,0.230346,"86","2,152,960","B@",0.101122413859039
"2017-12-30",0.249128,0.250179,0.201222,0.211469,"80","2,563,970","B@",-0.151163257441958
"2017-12-29",0.24824,0.253493,0.236829,0.250036,"461","2,554,830","B@",0.00723493393490168
"2017-12-27",0.261152,0.273058,0.242756,0.255334,"11","2,687,720","B@",-0.0222782134542335
"2017-12-26",0.259218,0.270477,0.255122,0.260963,"74","2,667,810","B@",0.00673178560130854
"2017-12-25",0.227483,0.268451,0.218842,0.259748,"256","2,341,200","B@",0.141834774466663
"2017-12-24",0.213218,0.226035,0.20676,0.225821,"862","2,194,400","B@",0.0591085180425668
"2017-12-23",0.24527,0.301967,0.244382,0.256457,"73","2,524,270","B@",0.0456109593509194
"2017-12-22",0.194878,0.273081,0.1831,0.242065,"537","2,005,640","B@",0.242136105666109
"2017-12-21",0.273622,0.288617,0.270206,0.272235,"979","2,816,060","B@",-0.0050690368464523
"2017-12-20",0.077096,0.291237,0.075746,0.272907,"1,063","793,455","B@",2.53983345439452
"2017-12-18",0.361156,0.389266,0.347702,0.389266,"16","3,716,940","B@",0.0778334016325356
"2017-12-17",0.338505,0.372438,0.060581,0.36043,"16,376","3,483,820","B@",0.0647700920222743
"2017-12-16",0.429192,0.444808,0.184169,0.338469,"1,281","4,417,160","B@",-0.211380920427221
"2017-12-15",0.526055,0.526055,0.160241,0.430366,"243","5,414,040","B@",-0.181899231068995
"2017-12-14",0.45476,0.539197,0.074876,0.535136,"15,401","4,680,290","B@",0.176743776937285
"2017-12-13",0.436014,0.456807,0.202969,0.202969,"41","4,487,360","B@",-0.534489718220057
"2017-12-12",0.500065,0.502887,0.065407,0.437269,"170","5,146,560","B@",-0.125575675162229
"2017-12-11",0.668502,0.731268,0.07316,0.501029,"79,254","6,880,080","B@",-0.250519818938463
"2017-12-10",0.708761,0.733607,0.291929,0.671875,"16,975","7,294,410","B@",-0.0520429312560933
"2017-12-09",0.937417,0.951688,0.289508,0.706454,"22,733","9,647,690","B@",-0.246382346383733
"2017-12-08",1.05,1.1,0.382678,0.938444,"33,730","10,781,100","B@",-0.10624380952381
"2017-12-07",1.54,1.7,0.429811,1.06,"59,684","15,888,700","B@",-0.311688311688312
"2017-12-06",0.857862,1.78,0.705171,1.55,"77,876","8,828,930","B@",0.806817413523387
"2017-12-05",2.57,2.94,2.55,2.92,"0","26,451,900","B@",0.136186770428016
"2017-12-04",0.725882,2.56,0.725118,2.56,"56,371","7,470,620","B@",2.52674401624506
"2017-12-03",0.724197,0.757383,0.219173,0.72361,"707","7,453,280","B@",-0.000810552929658648
"2017-12-02",0.914067,0.955185,0.234388,0.723554,"1,608","9,407,380","B@",-0.208423452547789
"2017-12-01",0.914315,0.937406,0.182781,0.915243,"16,556","5,997,900","B@",0.00101496748932265
"2017-11-30",0.562352,1.29,0.235722,0.918819,"17,700","3,689,030","B@",0.633885893532876
"2017-11-29",0.592066,0.629067,0.394943,0.56535,"3,255","3,883,950","B@",-0.0451233477348808
"2017-11-28",0.628051,0.62912,0.580931,0.588,"424","4,120,010","B@",-0.0637702989088467
"2017-11-27",0.616525,0.627489,0.599038,0.626428,"22","4,044,400","B@",0.0160626089777381
"2017-11-26",0.705891,0.722185,0.567776,0.614499,"82","4,630,640","B@",-0.129470413987429
"2017-11-25",0.53374,0.704779,0.52784,0.704751,"1,414","3,501,330","B@",0.320401318994267
"2017-11-24",0.647176,0.652306,0.39293,0.534145,"1,175","4,245,470","B@",-0.174652644721065
"2017-11-23",0.402312,1.05,0.401855,0.64619,"5,523","2,639,170","B@",0.60619121477858
"2017-11-22",1.37,1.38,0.402565,0.40308,"1,002","8,998,070","B@",-0.70578102189781
"2017-11-21",0.482201,2.26,0.369016,1.36,"15,194","3,163,240","B@",1.82040062131767
"2017-11-20",0.869944,0.879306,0.335401,0.482239,"2,301","5,706,830","B@",-0.445666617621364
"2017-11-19",0.891212,0.892702,0.366141,0.871261,"539","5,846,350","B@",-0.0223863682266397
"2017-11-18",0.892963,0.945596,0.35452,0.892611,"16,020","5,857,840","B@",-0.000394193264446464
"2017-11-17",1.17,1.21,0.441876,0.891937,"7,639","7,659,100","B@",-0.237660683760684
"2017-11-16",0.315823,1.19,0.315823,1.17,"12,112","2,071,800","B@",2.70460669425596
"2017-11-15",0.725416,0.800526,0.725416,0.789946,"61","4,758,730","B@",0.0889558542960179
"2017-11-14",0.57577,0.728822,0.304557,0.72492,"159","3,777,050","B@",0.259044410094309
"2017-11-13",0.467616,0.964746,0.467616,0.577978,"3,391","3,067,560","B@",0.236009888455485
"2017-11-12",0.820696,0.820696,0.46121,0.466357,"220","5,383,760","B@",-0.431754267109868
"2017-11-11",0.981735,1.54,0.621048,0.820883,"6,394","6,440,180","B@",-0.163844622021218
"2017-11-10",1.1,1.1,0.754963,0.984352,"739","7,234,870","B@",-0.105134545454546
"2017-11-09",1.62,1.65,0.762313,1.09,"3,785","10,597,600","B@",-0.327160493827161
"2017-11-08",1.06,2.05,0.837061,1.62,"2,637","6,922,260","B@",0.528301886792453
"2017-11-07",1,1.96,0.907412,1.06,"3,421","6,571,690","B@",0.0600000000000001
"2017-11-06",1.2,2.01,1,1,"494","7,851,510","B@",-0.166666666666667
"2017-11-05",1.36,1.36,0.886038,1.19,"2,678","8,926,450","B@",-0.125
"2017-11-04",1.49,1.49,0.999655,1.36,"407","9,797,790","B@",-0.0872483221476509
"2017-11-03",1.07,1.53,0.95063,1.5,"587","6,990,940","B@",0.401869158878505
"2017-11-02",1.11,1.2,0.984889,1.05,"541","7,299,180","B@",-0.0540540540540541
"2017-11-01",1.48,1.52,1.02,1.14,"1,372","9,726,340","B@",-0.22972972972973
"2017-10-31",1.51,1.62,1.46,1.48,"940","9,918,870","B@",-0.0198675496688742
"2017-10-30",1.86,1.89,1.34,1.51,"3,584","12,206,500","B@",-0.188172043010753
"2017-10-29",1.81,1.9,1.39,1.86,"1,606","11,879,000","B@",0.0276243093922652
"2017-10-28",1.34,2.04,1.33,1.82,"2,682","8,783,970","B@",0.358208955223881
"2017-10-27",1.28,1.75,1.22,1.34,"1,299","8,395,410","B@",0.046875
"2017-10-26",1.92,2.2,1.28,1.28,"1,338","-","B@",-0.333333333333333
"2017-10-25",2.31,2.32,0.827917,1.93,"4,677","-","B@",-0.164502164502165
"2017-10-24",1.25,2.77,0.575507,2.3,"28,363","-","B@",0.84
"2017-10-23",1.28,2.27,0.459657,1.24,"22,539","-","B@",-0.03125
"2017-10-22",2.24,2.29,1.24,1.28,"704","-","B@",-0.428571428571429
"2017-10-21",2.73,2.78,0.979256,2.24,"2,092","-","B@",-0.179487179487179
"2017-10-20",2.98,2.99,1.98,2.74,"1,339","-","B@",-0.0805369127516778
"2017-10-19",3.65,3.92,1.66,2.99,"2,086","-","B@",-0.180821917808219
"2017-10-18",0.474401,4.01,0.431818,3.66,"24,346","-","B@",6.71499216907216
"2017-10-17",0.745936,0.751281,0.463617,0.473952,"118","-","B@",-0.364621093498638
"2017-10-16",0.729115,0.768885,0.445406,0.750432,"505","-","B@",0.0292368144942842
"2017-10-15",0.762446,0.78047,0.377306,0.729773,"1,141","-","B@",-0.0428528708918402
"2017-10-14",0.463325,0.770246,0.458869,0.762446,"1,249","-","B@",0.645596503534236
"2017-10-13",0.660856,0.681616,0.446315,0.463283,"271","-","B@",-0.298965281392618
"2017-10-12",0.720855,0.734751,0.661797,0.661797,"723","-","B@",-0.0819277108433736
"2017-10-11",0.709736,0.766017,0.5184,0.720855,"1,260","-","B@",0.0156663886290113
"2017-10-10",0.710707,0.732779,0.671976,0.706683,"451","-","B@",-0.00566196759001955
"2017-10-09",0.37655,0.80618,0.37655,0.712244,"1,431","-","B@",0.89149913690081
"2017-10-07",0.585244,0.60422,0.433398,0.435238,"12","-","B@",-0.256313605948972
"2017-10-06",0.634872,0.650534,0.414824,0.58556,"111","-","B@",-0.0776723497019872
"2017-10-05",0.615793,0.642948,0.387235,0.636138,"1,116","-","B@",0.0330386996929162
"2017-10-04",0.772707,0.777594,0.295902,0.615933,"278","-","B@",-0.202889322861059
"2017-10-03",0.395728,0.771792,0.358816,0.770919,"113","-","B@",0.948103242631302
"2017-10-02",0.466686,0.704482,0.274747,0.39652,"1,370","-","B@",-0.150349485521314
"2017-10-01",0.508707,1.06,0.063968,0.466909,"855","-","B@",-0.0821651756315522
"2017-09-30",0.48783,0.525363,0.48783,0.508352,"102","-","B@",0.0420679335014248
"2017-09-29",0.528,0.5291,0.4906,0.5291,"8","-","B@",0.00208333333333331
"2017-09-28",1.03,1.03,0.528,0.528,"8","-","B@",-0.487378640776699
"2017-09-27",1.21,1.24,0.572229,1.03,"2,002","-","B@",-0.148760330578512
"2017-09-26",1.16,1.23,1.14,1.21,"6,987","-","B@",0.0431034482758621
"2017-09-25",1.03,1.11,1.02,1.09,"496","11,837,400","B@",0.0582524271844661
"2017-09-24",1.07,1.07,0.623434,1.03,"467","12,324,700","B@",-0.0373831775700935
"2017-09-23",0.874487,1.07,0.05635,1.07,"15,157","10,068,700","B@",0.223574507111026
"2017-09-22",0.986685,1.03,0.171555,0.875209,"4,454","11,360,500","B@",-0.112980333135702
"2017-09-21",1.27,1.28,0.498113,0.986047,"261","14,676,300","B@",-0.223585039370079
"2017-09-20",0.513197,1.34,0.506222,1.27,"51","5,908,870","B@",1.47468321132041
"2017-09-19",1.73,1.74,0.475478,0.514292,"1,581","19,967,300","B@",-0.702721387283237
"2017-09-18",0.383573,1.75,0.383573,1.73,"4,976","4,416,400","B@",3.51022360802246
"2017-09-17",1.49,1.49,1.42,1.42,"4,410","17,103,600","B@",-0.0469798657718121
"2017-09-16",1.36,1.53,1.35,1.48,"4,594","15,639,300","B@",0.088235294117647
"2017-09-15",1.18,1.41,1.01,1.35,"96","13,569,200","B@",0.14406779661017
"2017-09-14",1.46,1.54,1.29,1.35,"68","16,819,800","B@",-0.0753424657534246
"2017-09-13",1.83,1.83,0.765039,1.46,"81","21,064,900","B@",-0.202185792349727
"2017-09-12",1.96,2.05,0.898142,1.83,"6,387","22,556,000","B@",-0.0663265306122448
"2017-09-11",1.98,2.05,1.87,1.96,"290","22,831,200","B@",-0.0101010101010101
"2017-09-10",1.94,2.06,1.74,1.99,"7,565","22,332,700","B@",0.0257731958762887
"2017-09-09",2.03,2.03,2.01,2.01,"86","23,331,000","B@",-0.00985221674876848
"2017-09-08",2.23,2.26,1.93,2.02,"242","25,671,200","B@",-0.0941704035874439
"2017-09-07",2.37,2.37,2.25,2.35,"479","27,309,600","B@",-0.00843881856540085
"2017-09-06",2.39,2.5,2.03,2.37,"483","27,511,700","B@",-0.00836820083682009
"2017-09-05",1.44,2.46,1.34,2.39,"1,274","16,599,100","B@",0.659722222222222
"2017-09-04",1.54,1.54,1.14,1.45,"2,014","17,691,800","B@",-0.0584415584415585
"2017-09-03",1.2,1.27,1.15,1.19,"42","13,860,500","B@",-0.00833333333333334
"2017-09-02",1.19,1.2,1.17,1.2,"42","13,650,200","B@",0.00840336134453782
"2017-09-01",1.44,1.48,0.818914,0.846573,"3","16,531,100","B@",-0.412102083333333
"2017-08-31",0.979293,4.01,0.958312,1.43,"1,624","11,275,400","B@",0.460237130256215
