"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.004966,0.005099,0.004149,0.005099,"24","-","BAC",0.0267821184051551
"2018-01-09",0.00512,0.005246,0.004889,0.004959,"156","-","BAC",-0.0314453125000001
"2018-01-08",0.004885,0.005156,0.004415,0.005134,"34","-","BAC",0.0509723643807574
"2018-01-07",0.004817,0.004955,0.004449,0.004892,"23","-","BAC",0.0155698567573177
"2018-01-06",0.004925,0.005108,0.004688,0.00482,"52","-","BAC",-0.0213197969543147
"2018-01-05",0.004376,0.004963,0.004331,0.004921,"14","-","BAC",0.124542961608775
"2018-01-04",0.004411,0.004482,0.004166,0.004243,"2","-","BAC",-0.0380866016776241
"2018-01-03",0.004362,0.004431,0.00429,0.004387,"2","-","BAC",0.00573131591013293
"2018-01-01",0.003915,0.003917,0.003615,0.00383,"7","-","BAC",-0.0217113665389527
"2017-12-31",0.00356,0.003988,0.003525,0.0039,"12","-","BAC",0.0955056179775281
"2017-12-30",0.003624,0.00367,0.003593,0.003599,"1","-","BAC",-0.00689845474613682
"2017-12-29",0.003328,0.003781,0.003308,0.003633,"2","-","BAC",0.0916466346153847
"2017-12-28",0.003569,0.004674,0.003172,0.003293,"76","-","BAC",-0.0773325861585879
"2017-12-27",0.012748,0.012748,0.001476,0.003576,"2,567","-","BAC",-0.719485409475996
"2017-12-26",0.003622,0.004196,0.003607,0.004103,"2","-","BAC",0.132799558255108
"2017-12-25",0.003651,0.003683,0.003554,0.003625,"2","-","BAC",-0.00712133662010408
"2017-12-24",0.003067,0.003067,0.002639,0.002913,"2","-","BAC",-0.0502119334854907
"2017-12-23",0.003112,0.003288,0.00302,0.003034,"4","-","BAC",-0.0250642673521852
"2017-12-22",0.002043,0.002063,0.001488,0.001725,"242","-","BAC",-0.155653450807636
"2017-12-21",0.003461,0.003651,0.001969,0.002036,"285","-","BAC",-0.41173071366657
"2017-12-20",0.003448,0.003556,0.003311,0.003452,"215","-","BAC",0.00116009280742462
"2017-12-19",0.004783,0.004801,0.00444,0.004545,"26","-","BAC",-0.0497595651264895
"2017-12-18",0.004735,0.004779,0.004622,0.004779,"28","-","BAC",0.00929250263991566
"2017-12-17",0.004869,0.004992,0.004717,0.004747,"4","-","BAC",-0.0250564797699732
"2017-12-16",0.004907,0.004907,0.004869,0.004869,"4","-","BAC",-0.00774403912777661
"2017-12-15",0.004147,0.004519,0.004146,0.004432,"15","-","BAC",0.0687243790692068
"2017-12-14",0.00393,0.004192,0.003886,0.004141,"14","-","BAC",0.0536895674300253
"2017-12-13",0.004492,0.004551,0.003825,0.003943,"61","-","BAC",-0.122217275155833
"2017-12-12",0.005002,0.00515,0.00448,0.004488,"5","-","BAC",-0.102758896441424
"2017-12-10",0.003759,0.003759,0.00331,0.003467,"207","-","BAC",-0.0776802341048151
"2017-12-09",0.004879,0.004951,0.003386,0.003744,"228","-","BAC",-0.232629637220742
"2017-12-08",0.00538,0.00546,0.004225,0.004884,"37","-","BAC",-0.0921933085501859
"2017-12-07",0.004258,0.005368,0.004204,0.005368,"5","-","BAC",0.260685767966181
"2017-12-06",0.003935,0.004271,0.003872,0.004265,"1","-","BAC",0.0838627700127064
"2017-12-05",0.00373,0.003813,0.003678,0.003769,"1","-","BAC",0.0104557640750671
"2017-12-04",0.003597,0.003723,0.003375,0.003723,"18","-","BAC",0.0350291909924938
"2017-12-03",0.003607,0.003788,0.003388,0.003585,"12","-","BAC",-0.00609925145550316
"2017-12-02",0.003701,0.003806,0.003599,0.003604,"2","-","BAC",-0.0262091326668468
"2017-12-01",0.003398,0.003704,0.003217,0.003704,"1","-","BAC",0.0900529723366686
"2017-11-30",0.003282,0.003446,0.00306,0.003415,"1","-","BAC",0.0405240706886045
"2017-11-29",0.003376,0.003889,0.003092,0.003362,"1","-","BAC",-0.00414691943127966
"2017-11-28",0.003609,0.003692,0.003167,0.003379,"172","-","BAC",-0.0637295649764477
"2017-11-27",0.003448,0.003606,0.003448,0.0036,"3","-","BAC",0.0440835266821345
"2017-11-26",0.003273,0.003521,0.003135,0.003447,"7","-","BAC",0.0531622364802933
"2017-11-25",0.003038,0.003222,0.003021,0.003209,"5","-","BAC",0.0562870309414089
"2017-11-24",0.002813,0.003067,0.002759,0.003044,"5","-","BAC",0.0821187344472093
"2017-11-23",0.002879,0.002893,0.002817,0.002817,"1","-","BAC",-0.0215352552969781
"2017-11-22",0.002869,0.002894,0.002836,0.00288,"9","-","BAC",0.00383408853258981
"2017-11-20",0.002815,0.002822,0.002782,0.002812,"1","-","BAC",-0.00106571936056837
"2017-11-19",0.002404,0.002839,0.002404,0.002816,"3","-","BAC",0.171381031613977
"2017-11-17",0.002353,0.002409,0.00227,0.002332,"115","-","BAC",-0.00892477688057806
"2017-11-16",0.002921,0.002983,0.002217,0.002357,"116","-","BAC",-0.193084560082164
"2017-11-15",0.002903,0.00292,0.002883,0.002906,"52","-","BAC",0.00103341370995521
"2017-11-11",0.00263,0.002724,0.002592,0.002592,"1","-","BAC",-0.0144486692015209
"2017-11-10",0.002743,0.002773,0.002581,0.002639,"1","-","BAC",-0.0379146919431281
"2017-11-08",0.002846,0.003137,0.00283,0.003101,"3","-","BAC",0.0895994378074491
"2017-11-07",0.002821,0.002856,0.002806,0.002855,"3","-","BAC",0.0120524636653668
"2017-11-01",0.002578,0.002578,0.002548,0.002573,"1","-","BAC",-0.00193948797517447
"2017-10-31",0.002696,0.002709,0.002438,0.002579,"1","-","BAC",-0.0433976261127596
"2017-10-30",0.00314,0.003143,0.002656,0.002705,"1","-","BAC",-0.138535031847134
"2017-10-29",0.002807,0.003224,0.002799,0.003158,"6","-","BAC",0.125044531528322
"2017-10-28",0.002363,0.002838,0.002269,0.002811,"29","-","BAC",0.189589504866695
"2017-10-27",0.002424,0.002424,0.002342,0.002357,"2","-","BAC",-0.0276402640264026
"2017-10-26",0.00258,0.002693,0.002564,0.00267,"1","-","BAC",0.0348837209302327
"2017-10-25",0.002428,0.002585,0.002368,0.002581,"1","-","BAC",0.0630148270181219
"2017-10-24",0.002405,0.002528,0.002282,0.002427,"5","-","BAC",0.0091476091476091
"2017-10-23",0.002452,0.002488,0.002322,0.00241,"5","-","BAC",-0.0171288743882546
"2017-10-22",0.002405,0.002487,0.002357,0.002455,"2","-","BAC",0.0207900207900208
"2017-10-21",0.002443,0.002477,0.002361,0.002405,"6","-","BAC",-0.0155546459271387
"2017-10-20",0.00251,0.002689,0.002473,0.002626,"3","-","BAC",0.046215139442231
