"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",353.65,353.65,311.02,327.27,"25,960,000","2,185,870,000","BCC",-0.0745935246712852
"2018-01-09",360.25,371.85,343.2,353.23,"22,227,900","2,225,580,000","BCC",-0.0194864677307425
"2018-01-08",375.03,382.83,335.59,361.85,"19,204,000","2,315,860,000","BCC",-0.0351438551582539
"2018-01-07",449.02,449.02,372.9,376.96,"21,804,900","2,770,550,000","BCC",-0.160482829272638
"2018-01-06",402.66,451.29,394,449.47,"24,776,400","2,482,510,000","BCC",0.11625192470074
"2018-01-05",428.6,429.67,397.46,402.82,"36,359,800","2,641,470,000","BCC",-0.0601493233784415
"2018-01-04",450.46,451.06,409.01,428.53,"24,251,600","2,774,750,000","BCC",-0.0486835679083604
"2018-01-03",428.23,447.77,419.69,447.53,"27,060,700","2,636,180,000","BCC",0.0450692384933329
"2018-01-02",385.47,429.82,366.95,428.6,"25,422,700","2,387,210,000","BCC",0.111889381793654
"2018-01-01",420.98,445.46,376.74,385.5,"27,366,000","2,605,740,000","BCC",-0.0842795382203431
"2017-12-31",380.71,431.38,377.46,418.96,"21,278,700","2,355,660,000","BCC",0.100470174148302
"2017-12-30",461.94,462.06,369.14,384.56,"26,618,900","2,857,050,000","BCC",-0.167510932155691
"2017-12-29",413.53,470.86,407.81,463.31,"41,366,100","2,556,520,000","BCC",0.120378207143375
"2017-12-28",420.53,479.3,372.94,409.57,"60,271,900","2,533,780,000","BCC",-0.0260623498918032
"2017-12-27",397.43,476.4,342.22,421.6,"65,798,100","2,393,430,000","BCC",0.060815741136804
"2017-12-26",219.87,427.11,216.66,397.87,"89,649,200","1,323,500,000","BCC",0.809569290944649
"2017-12-25",244.16,244.16,216.11,220.01,"18,920,000","1,468,910,000","BCC",-0.0989105504587156
"2017-12-24",291.72,291.72,224.09,241.63,"14,577,700","1,708,250,000","BCC",-0.171705745235157
"2017-12-23",292.51,314.15,286.95,288.51,"15,772,600","1,712,400,000","BCC",-0.0136747461625244
"2017-12-22",341.75,344.77,244.23,289.79,"22,788,300","1,999,910,000","BCC",-0.152040965618142
"2017-12-21",363.26,381.93,330.41,340.55,"19,732,800","1,745,220,000","BCC",-0.0625172053074932
"2017-12-20",387.11,393.7,348.98,362.78,"18,826,800","1,859,370,000","BCC",-0.0628503526129525
"2017-12-19",430.55,456.14,374.84,387.42,"23,525,300","2,066,800,000","BCC",-0.100174195796075
"2017-12-18",428.94,476.62,409.93,430.04,"26,753,200","2,056,020,000","BCC",0.00256446123000891
"2017-12-17",457.7,509.99,425.81,427.71,"21,532,200","2,192,630,000","BCC",-0.0655232685164955
"2017-12-16",400.71,461.08,395.56,457.47,"26,412,700","1,918,270,000","BCC",0.141648573781538
"2017-12-15",373.81,403.65,373.79,396.08,"32,579,600","1,788,160,000","BCC",0.0595757202857066
"2017-12-14",365.37,383.02,360.52,373.44,"13,732,500","1,747,280,000","BCC",0.0220871992774448
"2017-12-13",388.2,394.73,355.94,366.3,"28,852,100","1,855,820,000","BCC",-0.0564142194744976
"2017-12-12",380.64,399.23,371.32,387.75,"27,229,000","1,819,050,000","BCC",0.0186790668348046
"2017-12-11",371.31,396.37,369.68,379.63,"39,237,900","1,773,700,000","BCC",0.0224071530527053
