"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",23.61,23.61,16.91,17.33,"12,070,100","-","BCD",-0.265988987717069
"2018-01-09",27.31,27.76,22.84,23.51,"12,572,900","-","BCD",-0.139143170999634
"2018-01-08",26.79,30.66,24.8,27.47,"15,915,800","-","BCD",0.0253826054497947
"2018-01-07",28.17,32.68,27.05,27.05,"16,371,800","-","BCD",-0.0397586084487043
"2018-01-06",24.79,27.96,23.03,27.96,"12,356,900","-","BCD",0.127874142799516
"2018-01-05",24.91,26.15,21.85,24.66,"12,946,300","-","BCD",-0.0100361300682457
"2018-01-04",23.82,26.83,22.43,24.65,"779,524,000","-","BCD",0.0348446683459277
"2018-01-03",26.59,27.42,23.62,23.84,"406,035,000","-","BCD",-0.103422339225273
"2018-01-02",26.9,28.15,25.54,26.67,"12,581,100","-","BCD",-0.00855018587360583
"2018-01-01",30.76,30.76,27.01,27.01,"8,525,740","-","BCD",-0.121911573472042
"2017-12-31",31.02,31.37,26.62,30.76,"7,705,000","-","BCD",-0.008381689232753
"2017-12-30",34.68,34.72,26.62,31.13,"7,365,910","-","BCD",-0.102364475201845
"2017-12-29",31.47,40.13,31.33,34.8,"9,884,250","-","BCD",0.105815061963775
"2017-12-28",44.48,44.48,29.77,31.34,"10,183,000","-","BCD",-0.295413669064748
"2017-12-27",64.89,67.07,39.96,40.15,"14,988,700","-","BCD",-0.381260594852828
"2017-12-26",51.25,76.45,43.94,64.67,"21,672,200","-","BCD",0.261853658536585
"2017-12-25",40.65,52.88,40.01,51.44,"7,201,650","-","BCD",0.265436654366544
"2017-12-24",39.72,40.56,34.25,40.4,"4,319,190","-","BCD",0.0171198388721047
"2017-12-23",42.74,45.8,39.06,39.06,"8,449,980","-","BCD",-0.0861020121665887
"2017-12-22",48.93,58.25,35.18,43.42,"10,007,700","-","BCD",-0.112609850807276
"2017-12-21",68.18,69.18,48.29,48.75,"15,000,200","-","BCD",-0.284980932824875
"2017-12-20",46.37,70.4,46.06,67.88,"28,903,400","-","BCD",0.463877507008842
"2017-12-19",44.74,47.06,43.42,46.46,"9,968,920","-","BCD",0.0384443451050514
"2017-12-18",45.34,46.88,43.13,44.75,"9,332,280","-","BCD",-0.0130127922364359
"2017-12-17",43.13,46.33,43.13,45.19,"7,733,990","-","BCD",0.0477625782517968
"2017-12-16",43.84,46.96,41.23,43.38,"12,230,100","-","BCD",-0.010492700729927
"2017-12-15",37.73,48.4,35.9,44.53,"18,905,000","-","BCD",0.180227935329976
"2017-12-14",31.62,37.69,31.54,37.69,"11,436,000","-","BCD",0.191967109424415
"2017-12-13",33.41,34.28,30.55,31.87,"7,563,820","-","BCD",-0.0460939838371744
"2017-12-12",38.05,38.05,32.2,33.44,"8,794,210","-","BCD",-0.121156373193167
"2017-12-11",39.8,43.55,36.57,37.84,"8,156,630","-","BCD",-0.0492462311557787
"2017-12-10",33.6,48.55,29.92,39.75,"14,494,700","-","BCD",0.183035714285714
"2017-12-09",35.23,35.76,31.47,33.57,"6,132,550","-","BCD",-0.0471189327277887
"2017-12-08",36.29,38.26,32.15,35.56,"8,632,940","-","BCD",-0.0201157343620831
"2017-12-07",37.77,37.77,34.35,35.98,"7,586,480","-","BCD",-0.0473921101403232
"2017-12-06",42.86,43.42,32.76,38.16,"11,912,000","-","BCD",-0.109659356042931
"2017-12-05",46.84,47.88,42.78,42.99,"6,604,280","-","BCD",-0.0821947053800171
"2017-12-04",47.49,48.2,43.3,46.77,"6,704,090","-","BCD",-0.0151610865445357
"2017-12-03",47.11,51.14,44.79,47.37,"6,135,070","-","BCD",0.00551899808957754
"2017-12-02",51.71,51.96,45.07,47.24,"6,309,450","-","BCD",-0.0864436279249661
"2017-12-01",47.23,52.23,45.58,51.81,"8,257,780","-","BCD",0.096972263391912
"2017-11-30",45.87,54.29,42.92,47.93,"10,105,800","-","BCD",0.0449095269239155
"2017-11-29",54.27,57.18,43.43,45.14,"15,311,200","-","BCD",-0.168232909526442
"2017-11-28",65.67,65.7,50.29,54.47,"22,958,800","-","BCD",-0.170549718288412
"2017-11-27",66.3,70.6,63.82,65.89,"22,995,100","-","BCD",-0.00618401206636496
"2017-11-26",94.2,94.25,65.9,66.12,"20,896,400","-","BCD",-0.298089171974522
"2017-11-25",69.35,104.84,68.77,94.22,"45,941,900","-","BCD",0.358615717375631
"2017-11-24",61.71,74.44,61.71,69.3,"23,322,800","-","BCD",0.122994652406417
