"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.72,1.9,1.44,1.58,"9,462,790","77,738,700","BCPT",-0.0813953488372093
"2018-01-09",1.48,2.19,1.44,1.73,"24,595,900","66,672,400","BCPT",0.168918918918919
"2018-01-08",1.74,1.78,1.22,1.46,"12,469,300","78,458,300","BCPT",-0.160919540229885
"2018-01-07",1.85,2.19,1.61,1.75,"27,034,800","83,649,200","BCPT",-0.0540540540540541
"2018-01-06",1.05,2.39,1.05,1.81,"86,116,300","47,518,100","BCPT",0.723809523809524
"2018-01-05",0.785016,1.25,0.735046,1.04,"20,056,000","35,456,200","BCPT",0.324813761757722
"2018-01-04",0.650872,0.867582,0.634993,0.789733,"6,444,650","29,397,400","BCPT",0.213346095699308
"2018-01-03",0.644405,0.687091,0.582378,0.648245,"3,622,010","29,105,300","BCPT",0.0059589854206593
"2018-01-02",0.703536,0.765498,0.536854,0.657989,"8,034,000","31,776,100","BCPT",-0.0647401128016192
"2018-01-01",0.459772,0.730973,0.435802,0.720167,"15,477,700","20,766,100","BCPT",0.566356802937108
"2017-12-31",0.370119,0.486154,0.361399,0.456501,"2,336,460","16,716,900","BCPT",0.233389801658386
"2017-12-30",0.449606,0.454456,0.313253,0.374112,"2,119,230","20,307,000","BCPT",-0.167911460256313
"2017-12-29",0.382275,0.506042,0.366908,0.45125,"3,484,980","17,265,900","BCPT",0.18043293440586
"2017-12-28",0.357238,0.440868,0.298797,0.377764,"3,318,330","16,135,100","BCPT",0.0574574933237785
"2017-12-27",0.325853,0.421136,0.319888,0.355894,"1,062,530","14,717,500","BCPT",0.0921918779326874
"2017-12-26",0.350047,0.381548,0.312002,0.325469,"895,871","15,810,300","BCPT",-0.0702134284824609
"2017-12-25",0.392961,0.481475,0.319741,0.347773,"1,845,300","17,748,500","BCPT",-0.114993599873779
"2017-12-24",0.358461,0.386084,0.276009,0.381176,"1,191,920","16,190,300","BCPT",0.0633681209392376
"2017-12-23",0.300506,0.427158,0.293185,0.359323,"1,412,980","13,572,700","BCPT",0.195726541233786
"2017-12-22",0.438077,0.481808,0.238288,0.298506,"1,328,750","19,786,300","BCPT",-0.318599241685822
"2017-12-21",0.532625,0.664546,0.392504,0.436344,"3,887,250","24,056,700","BCPT",-0.180766956113588
"2017-12-20",0.364281,0.543981,0.332588,0.525055,"4,757,290","16,453,200","BCPT",0.441346103694675
"2017-12-19",0.332394,0.425098,0.315415,0.36469,"1,320,300","15,013,000","BCPT",0.0971618019579174
"2017-12-18",0.321944,0.376136,0.253258,0.332183,"2,314,130","14,541,000","BCPT",0.0318036677186094
"2017-12-17",0.207145,0.447223,0.207145,0.311144,"4,684,720","9,355,970","BCPT",0.502058944217818
"2017-12-16",0.167784,0.228113,0.160491,0.208335,"704,712","7,578,160","BCPT",0.241685738807038
"2017-12-15",0.176373,0.181034,0.135831,0.168388,"408,417","7,966,120","BCPT",-0.0452733695066705
"2017-12-14",0.155321,0.203922,0.149359,0.176111,"599,961","7,015,280","BCPT",0.133851829437101
"2017-12-13",0.164821,0.176575,0.142584,0.163377,"374,785","7,444,350","BCPT",-0.00876101953027831
"2017-12-12",0.19585,0.198202,0.15222,0.166419,"364,530","8,845,820","BCPT",-0.150273168241001
"2017-12-11",0.165952,0.199051,0.161267,0.194202,"174,624","7,495,410","BCPT",0.170229946008485
"2017-12-10",0.198347,0.198347,0.160891,0.167965,"156,700","8,958,560","BCPT",-0.153175999637
"2017-12-09",0.195946,0.225502,0.185199,0.197835,"287,533","8,850,150","BCPT",0.0096404111336797
"2017-12-08",0.191926,0.221518,0.170143,0.196074,"375,643","8,668,580","BCPT",0.0216124964830194
"2017-12-07",0.210724,0.219688,0.182568,0.19287,"348,236","9,517,620","BCPT",-0.0847269414020234
"2017-12-06",0.226416,0.237408,0.196998,0.212668,"474,841","10,226,300","BCPT",-0.0607200904529716
