"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.036949,0.041392,0.033605,0.036446,"476","32,728","BIOB",-0.0136133589542343
"2018-01-09",0.034186,0.03814,0.033757,0.036901,"280","30,280","BIOB",0.0794184753992863
"2018-01-08",0.036153,0.036288,0.019184,0.034279,"424","32,022","BIOB",-0.0518352557187509
"2018-01-07",0.031653,0.036665,0.019816,0.036203,"222","28,037","BIOB",0.14374624838088
"2018-01-06",0.029722,0.031761,0.028635,0.031676,"61","26,326","BIOB",0.0657425476078327
"2018-01-05",0.026567,0.02995,0.026134,0.029698,"45","23,532","BIOB",0.117852975495916
"2018-01-04",0.025505,0.026562,0.025144,0.026562,"28","22,591","BIOB",0.0414428543422858
"2018-01-03",0.017951,0.018709,0.017753,0.018017,"2","15,900","BIOB",0.00367667539412827
"2018-01-02",0.022682,0.026411,0.017839,0.018015,"8","20,091","BIOB",-0.205757869676395
"2018-01-01",0.018055,0.023071,0.016785,0.022684,"47","15,992","BIOB",0.256383273331487
"2017-12-31",0.014113,0.014865,0.013973,0.014811,"2","12,501","BIOB",0.0494579465740806
"2017-12-30",0.015945,0.015951,0.013513,0.014267,"4","14,124","BIOB",-0.105236751332706
"2017-12-29",0.016093,0.016151,0.015851,0.015986,"40","14,254","BIOB",-0.00664885353880566
"2017-12-28",0.028549,0.02867,0.025359,0.026473,"34","25,288","BIOB",-0.0727170829100845
"2017-12-27",0.015837,0.028642,0.015711,0.028609,"101","14,028","BIOB",0.806465871061438
"2017-12-26",0.025491,0.028416,0.015018,0.015825,"194","22,579","BIOB",-0.379192656231611
"2017-12-25",0.02532,0.025665,0.024619,0.025517,"20","22,427","BIOB",0.00778041074249616
"2017-12-22",0.017284,0.017455,0.01259,0.015508,"2","15,310","BIOB",-0.102753992131451
"2017-12-21",0.030329,0.031991,0.016793,0.017225,"4","26,864","BIOB",-0.4320617231033
"2017-12-20",0.032419,0.032817,0.029007,0.03025,"94","28,715","BIOB",-0.0669052099077703
"2017-12-19",0.035206,0.035332,0.031204,0.032451,"17","31,184","BIOB",-0.0782537067545305
"2017-12-18",0.017984,0.035502,0.017177,0.035176,"10","15,929","BIOB",0.955960854092527
"2017-12-17",0.035837,0.036741,0.017548,0.01793,"89","31,743","BIOB",-0.499679102603454
"2017-12-16",0.020294,0.036116,0.020038,0.035833,"28","17,975","BIOB",0.765694293879964
"2017-12-15",0.019928,0.020565,0.019779,0.020265,"168","17,651","BIOB",0.0169108791649938
"2017-12-13",0.019695,0.019956,0.018771,0.019484,"2","17,445","BIOB",-0.0107133790302107
"2017-12-12",0.015321,0.020245,0.01519,0.019678,"4","13,571","BIOB",0.284380915083872
"2017-12-11",0.016619,0.01828,0.014891,0.015272,"5","14,721","BIOB",-0.08105180817137
"2017-12-10",0.027368,0.028681,0.015952,0.01674,"55","24,242","BIOB",-0.38833674364221
"2017-12-09",0.0296,0.030039,0.02465,0.027258,"3","26,219","BIOB",-0.0791216216216216
"2017-12-08",0.038876,0.038876,0.01729,0.02963,"126","34,435","BIOB",-0.237833110402305
"2017-12-07",0.024725,0.038785,0.024408,0.038785,"421","21,900","BIOB",0.568655207280081
"2017-12-06",0.020944,0.031372,0.020944,0.031372,"1","18,552","BIOB",0.497899159663865
"2017-12-05",0.020865,0.021332,0.020573,0.020991,"17","18,481","BIOB",0.00603882099209191
"2017-12-04",0.02001,0.020824,0.019381,0.020824,"1","17,724","BIOB",0.040679660169915
"2017-12-03",0.021863,0.023451,0.018847,0.019944,"17","19,366","BIOB",-0.0877738645199653
"2017-12-02",0.022313,0.022806,0.021502,0.021843,"75","19,764","BIOB",-0.0210639537489355
"2017-12-01",0.020486,0.022462,0.019394,0.022332,"3","18,145","BIOB",0.0901103192424095
"2017-11-30",0.021249,0.021305,0.018448,0.020588,"6","18,822","BIOB",-0.0311073462280579
"2017-11-29",0.020452,0.023564,0.018732,0.020467,"2","18,115","BIOB",0.000733424603950599
"2017-11-28",0.019511,0.023951,0.019322,0.020472,"3","17,282","BIOB",0.049254266823843
"2017-11-27",0.023574,0.024613,0.018969,0.01946,"9","20,881","BIOB",-0.174514295410198
"2017-11-26",0.022776,0.024074,0.022707,0.023569,"2","20,174","BIOB",0.0348173515981735
"2017-11-24",0.019369,0.020097,0.019,0.019884,"378","17,157","BIOB",0.0265888791367648
