"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.28873,0.297306,0.218092,0.246873,"6,871","469,839","BIP",-0.144969348526305
"2018-01-09",0.192314,0.299664,0.192274,0.288352,"20,709","312,946","BIP",0.499381220295974
"2018-01-08",0.171969,0.217322,0.163863,0.19284,"9,298","279,839","BIP",0.121364897161698
"2018-01-07",0.169961,0.177695,0.158319,0.17221,"1,538","276,571","BIP",0.0132324474438254
"2018-01-06",0.150759,0.17106,0.142593,0.170086,"1,846","245,324","BIP",0.128197984863258
"2018-01-05",0.132905,0.162905,0.130313,0.150646,"787","216,271","BIP",0.133486324818479
"2018-01-04",0.150863,0.152925,0.12234,0.13287,"3,547","245,493","BIP",-0.119267149665591
"2018-01-03",0.130166,0.164583,0.126581,0.150068,"3,521","211,813","BIP",0.152897069895364
"2018-01-02",0.143555,0.176702,0.129478,0.130529,"1,699","233,602","BIP",-0.0907387412489985
"2018-01-01",0.138245,0.158132,0.12623,0.143583,"2,290","224,960","BIP",0.038612608050924
"2017-12-31",0.109401,0.140911,0.108325,0.137813,"2,088","178,024","BIP",0.259705121525397
"2017-12-30",0.148748,0.17356,0.101669,0.110591,"7,051","242,052","BIP",-0.256521096081964
"2017-12-29",0.060185,0.159525,0.052389,0.149118,"20,159","97,937","BIP",1.47766054664784
"2017-12-28",0.053161,0.059568,0.047574,0.059568,"3,372","86,506","BIP",0.120520682455183
"2017-12-27",0.04878,0.056413,0.040644,0.05327,"1,432","79,378","BIP",0.0920459204592046
"2017-12-26",0.043182,0.049252,0.038425,0.048744,"1,651","70,268","BIP",0.128803668195081
"2017-12-25",0.04371,0.045556,0.038549,0.043226,"217","71,129","BIP",-0.0110729810112102
"2017-12-24",0.045864,0.045864,0.03771,0.043264,"331","74,633","BIP",-0.0566893424036282
"2017-12-23",0.041804,0.048387,0.040254,0.045363,"339","68,026","BIP",0.0851353937422256
"2017-12-22",0.054996,0.055537,0.038303,0.041406,"318","89,492","BIP",-0.247108880645865
"2017-12-21",0.058748,0.062988,0.047713,0.054806,"862","95,599","BIP",-0.0671001566010758
"2017-12-20",0.053362,0.060143,0.047671,0.058595,"1,004","86,834","BIP",0.0980660395037668
"2017-12-19",0.070428,0.070734,0.050802,0.053414,"332","114,605","BIP",-0.241580053387857
"2017-12-18",0.085209,0.085209,0.061197,0.070377,"5,251","138,657","BIP",-0.17406611977608
"2017-12-17",0.080618,0.089257,0.075553,0.084953,"640","131,186","BIP",0.0537721104467986
"2017-12-16",0.071293,0.081314,0.069524,0.080604,"1,224","116,013","BIP",0.130601882372743
"2017-12-15",0.069157,0.076235,0.069157,0.071193,"410","112,536","BIP",0.0294402591205519
"2017-12-14",0.06618,0.072982,0.065438,0.069077,"169","107,692","BIP",0.0437745542459957
"2017-12-13",0.085493,0.086759,0.065923,0.066393,"1,265","139,119","BIP",-0.223410103751184
"2017-12-12",0.083775,0.090659,0.068837,0.085415,"1,381","136,323","BIP",0.0195762458967473
"2017-12-11",0.073186,0.10043,0.071285,0.083509,"918","119,092","BIP",0.141051567239636
"2017-12-10",0.07218,0.092661,0.063544,0.073718,"206","117,456","BIP",0.0213078415073429
"2017-12-09",0.078229,0.079552,0.065012,0.071889,"401","127,299","BIP",-0.0810441140753431
"2017-12-08",0.073934,0.101292,0.069669,0.078308,"185","120,310","BIP",0.0591608732112425
"2017-12-07",0.069411,0.093325,0.061874,0.07376,"279","112,949","BIP",0.0626557750212503
"2017-12-06",0.049728,0.088767,0.049728,0.06953,"1,218","80,921","BIP",0.398206241956242
"2017-12-05",0.046509,0.050199,0.045859,0.049839,"272","75,682","BIP",0.071599045346062
"2017-12-04",0.046878,0.048327,0.044154,0.046417,"140","76,283","BIP",-0.00983403728828028
"2017-12-03",0.046569,0.050202,0.044153,0.046723,"425","75,780","BIP",0.00330692091305378
"2017-12-02",0.053007,0.053959,0.044831,0.046525,"138","86,256","BIP",-0.122285735846209
"2017-12-01",0.041271,0.053362,0.039072,0.053052,"13","67,159","BIP",0.285454677618667
"2017-11-30",0.040003,0.042658,0.037345,0.041477,"137","65,095","BIP",0.0368472364572658
"2017-11-29",0.040506,0.047014,0.037009,0.039398,"265","65,914","BIP",-0.0273539722510245
"2017-11-28",0.039412,0.044291,0.039031,0.040546,"199","64,133","BIP",0.0287729625494772
"2017-11-27",0.041347,0.043195,0.038815,0.03931,"30","67,282","BIP",-0.049265968510412
"2017-11-26",0.045741,0.046146,0.036238,0.041339,"364","74,433","BIP",-0.0962375112043899
"2017-11-25",0.028981,0.050763,0.028817,0.045757,"1,124","47,160","BIP",0.578862013043028
"2017-11-24",0.027696,0.029076,0.026659,0.02904,"49","45,069","BIP",0.0485268630849221
"2017-11-23",0.035013,0.035183,0.027203,0.027734,"306","56,975","BIP",-0.207894210721732
"2017-11-22",0.026533,0.035194,0.026421,0.035024,"116","43,176","BIP",0.320016583122903
"2017-11-21",0.02695,0.02737,0.025494,0.026469,"119","43,854","BIP",-0.0178478664192951
"2017-11-20",0.027089,0.028333,0.025986,0.026944,"538","44,081","BIP",-0.00535272619882607
"2017-11-19",0.026321,0.027336,0.026015,0.027102,"43","42,831","BIP",0.029672124919266
"2017-11-18",0.026158,0.031132,0.025364,0.02637,"170","42,566","BIP",0.00810459515253461
"2017-11-17",0.027064,0.028221,0.025425,0.026257,"440","44,040","BIP",-0.0298182086905115
