"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",6.21,7.13,5.03,6.62,"750,857","42,934,800","BIS",0.0660225442834139
"2018-01-09",5.73,6.34,5.43,6.3,"578,837","39,517,800","BIS",0.0994764397905758
"2018-01-08",5.92,6.53,4.8,6.04,"391,386","40,709,400","BIS",0.0202702702702703
"2018-01-07",4.64,6.85,4.23,5.93,"1,110,680","31,847,500","BIS",0.27801724137931
"2018-01-06",4.21,5.31,3.6,5.22,"593,276","28,775,300","BIS",0.239904988123515
"2018-01-05",4.7,4.96,3.54,4.21,"343,823","32,026,800","BIS",-0.104255319148936
"2018-01-04",3.69,4.96,3.56,4.73,"390,832","25,015,800","BIS",0.281842818428184
"2018-01-03",4.6,5.06,3.39,3.68,"365,321","31,035,400","BIS",-0.2
"2018-01-02",3.63,4.68,3.59,4.48,"752,301","24,402,200","BIS",0.234159779614325
"2018-01-01",3.22,3.86,2.98,3.54,"173,444","21,574,200","BIS",0.0993788819875776
"2017-12-31",3.07,4.03,2.54,3.37,"241,776","20,465,900","BIS",0.0977198697068405
"2017-12-30",4.02,4.08,2.85,3.1,"265,644","26,590,600","BIS",-0.228855721393035
"2017-12-29",3.34,4.2,2.94,3.91,"541,390","21,972,400","BIS",0.170658682634731
"2017-12-28",3.43,3.79,2.77,3.33,"282,523","22,452,200","BIS",-0.0291545189504373
"2017-12-27",2.88,3.86,2.54,3.38,"460,696","18,790,900","BIS",0.173611111111111
"2017-12-26",1.99,2.89,1.93,2.88,"375,677","12,936,600","BIS",0.447236180904523
"2017-12-25",2.1,2.28,1.84,1.99,"143,639","13,586,500","BIS",-0.0523809523809524
"2017-12-24",2.05,2.27,1.39,2.08,"513,434","13,183,300","BIS",0.0146341463414635
"2017-12-23",0.992994,2.27,0.978901,2.02,"85,457","6,387,670","BIS",1.03425196929689
"2017-12-22",1.13,1.14,0.824104,0.983702,"17,479","7,258,970","BIS",-0.129467256637168
"2017-12-21",1.19,1.21,0.928086,1.13,"169","7,497,680","BIS",-0.0504201680672269
"2017-12-20",1.2,1.28,1.14,1.18,"1,507","7,570,850","BIS",-0.0166666666666667
"2017-12-19",1.38,1.38,1.28,1.28,"92","8,664,140","BIS",-0.0724637681159419
"2017-12-18",1.38,1.39,1.32,1.38,"981","8,659,720","BIS",0
"2017-12-17",1.48,1.52,1.34,1.37,"732","9,275,300","BIS",-0.0743243243243242
"2017-12-16",1.54,1.61,1.42,1.48,"124,572","9,645,880","BIS",-0.038961038961039
"2017-12-15",1.69,1.84,1.52,1.54,"112,717","10,524,800","BIS",-0.0887573964497041
"2017-12-14",1.15,1.69,1.14,1.69,"457,979","7,120,380","BIS",0.469565217391304
"2017-12-13",1.31,1.37,1.1,1.15,"167,451","8,070,770","BIS",-0.122137404580153
"2017-12-12",1.13,1.35,0.99411,1.3,"126,422","6,960,510","BIS",0.150442477876106
"2017-12-11",0.995855,1.25,0.958803,1.13,"199,412","6,120,030","BIS",0.134703345366544
"2017-12-10",1.05,1.09,0.876398,1,"76,904","6,288,950","BIS",-0.0476190476190477
"2017-12-09",0.947402,1.17,0.923842,1.04,"78,439","5,692,520","BIS",0.0977388690334199
"2017-12-08",1.22,1.24,0.852044,0.948352,"61,607","7,314,690","BIS",-0.222662295081967
"2017-12-07",1.1,1.3,0.914727,1.14,"97,300","6,624,710","BIS",0.0363636363636362
"2017-12-06",1,1.21,0.938893,1.1,"62,926","6,017,370","BIS",0.1
"2017-12-05",0.844424,1.09,0.809038,1,"46,633","5,073,770","BIS",0.184239197370042
"2017-12-04",1.11,1.15,0.719011,0.85945,"87,411","5,441,940","BIS",-0.225720720720721
"2017-12-03",0.794954,1.1,0.788179,1.07,"99,869","3,884,600","BIS",0.345989830858138
"2017-12-02",0.783351,0.860495,0.723134,0.794195,"20,657","3,827,900","BIS",0.0138430920494133
"2017-12-01",0.693637,0.852145,0.658501,0.784019,"42,024","3,389,500","BIS",0.130301584258049
"2017-11-30",0.662531,0.79622,0.600581,0.705513,"50,793","3,237,500","BIS",0.0648754548843752
"2017-11-29",0.766988,0.848894,0.606877,0.652321,"48,677","3,747,930","BIS",-0.149502990920327
"2017-11-28",0.745489,0.901348,0.741788,0.780568,"30,878","3,642,880","BIS",0.0470550202618685
"2017-11-27",0.670071,0.868248,0.645168,0.733942,"40,339","3,274,350","BIS",0.0953197496981663
"2017-11-26",0.598045,0.674664,0.562364,0.66994,"30,837","2,922,380","BIS",0.120216706100711
"2017-11-25",0.552303,0.598245,0.517772,0.598245,"42,419","2,698,860","BIS",0.0831826008549656
"2017-11-24",0.523432,0.590746,0.5016,0.561355,"22,444","2,557,790","BIS",0.072450671720491
"2017-11-23",0.553627,0.610951,0.501936,0.524141,"24,549","2,705,330","BIS",-0.0532596856728447
"2017-11-22",0.588635,0.639787,0.490746,0.554644,"57,979","2,876,400","BIS",-0.0577454619585991
"2017-11-21",0.647154,0.656222,0.554522,0.587208,"27,184","3,162,360","BIS",-0.0926301931225026
"2017-11-20",0.534388,0.691553,0.50168,0.647035,"38,622","2,611,320","BIS",0.210796275365465
"2017-11-19",0.483545,0.555502,0.482383,0.534638,"23,940","2,362,880","BIS",0.105663381898272
"2017-11-18",0.524985,0.534777,0.436703,0.476474,"10,419","2,565,380","BIS",-0.0924045448917589
"2017-11-17",0.652536,0.690603,0.487129,0.527006,"25,697","3,188,660","BIS",-0.192372528105729
"2017-11-16",0.556865,0.727529,0.542065,0.653607,"31,124","2,721,160","BIS",0.173726127517441
