"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1531.44,1546.21,1290,1429.59,"2,494","294,513","BITGOLD",-0.0665060335370632
"2018-01-09",1570.05,1570.05,1263.88,1529.23,"2,992","302,276","BITGOLD",-0.0259991720008917
"2018-01-08",1432.08,1586.36,1245.81,1579.69,"4,903","275,713","BITGOLD",0.10307385062287
"2018-01-07",1515.67,1539.12,1383.62,1431.02,"3","291,807","BITGOLD",-0.0558498881682689
"2018-01-06",1449.57,1635.74,1287,1518.48,"1","278,355","BITGOLD",0.0475382354767276
"2018-01-05",1482.2,1580.17,1372.31,1446.53,"92","284,621","BITGOLD",-0.0240655781945757
"2018-01-04",1534.86,1815.47,1374.75,1428.78,"2,064","294,733","BITGOLD",-0.0691137953950197
"2018-01-03",1701.19,1758.39,1463.71,1538.63,"167","326,674","BITGOLD",-0.0955566397639299
"2018-01-02",1539.67,1712.18,1209.29,1704.58,"29,086","249,498","BITGOLD",0.107107367163093
"2018-01-01",1670.42,1773.01,1369.01,1531.76,"55,249","199,692","BITGOLD",-0.0830090635887981
"2017-12-31",1533.16,1746.17,1432.69,1676.55,"423","183,284","BITGOLD",0.0935257898718985
"2017-12-30",1475.29,1841.67,1289.26,1541.05,"12,321","167,956","BITGOLD",0.044574287089318
"2017-12-29",1454.94,1682.93,1420.64,1470.22,"429","165,639","BITGOLD",0.0105021512914622
"2017-12-28",1337.66,1633.68,1269.48,1450.68,"3,046","152,287","BITGOLD",0.0844908272655234
"2017-12-27",1412.57,1512.74,1295.51,1340.12,"1,159","160,815","BITGOLD",-0.0512894936180154
"2017-12-26",1510.23,1548.69,1325.61,1411.93,"4,109","171,918","BITGOLD",-0.0650894234653
"2017-12-25",1559.99,1781.67,1368.64,1510.27,"6,694","169,231","BITGOLD",-0.0318719991794819
"2017-12-24",1241.94,1550.9,1116.75,1546.49,"4,412","138,454","BITGOLD",0.245221186208673
"2017-12-23",1329.4,1724.96,1259.4,1259.4,"27,046","122,220","BITGOLD",-0.0526553332330375
"2017-12-22",1674.25,1975.56,1118.82,1327.34,"8,867","156,189","BITGOLD",-0.207203225324772
"2017-12-21",1676.07,1827.57,1565.78,1665.48,"2,969","156,392","BITGOLD",-0.00631835185881253
"2017-12-20",1517.72,1862.85,1346.58,1671.47,"8,797","135,546","BITGOLD",0.101303270695517
"2017-12-19",1457.51,1592.89,1401.47,1518.47,"856","130,169","BITGOLD",0.0418247559193419
"2017-12-18",1577.86,1764.14,1435.22,1457.39,"904","139,308","BITGOLD",-0.076350246536448
"2017-12-17",1476.17,1702.26,1305.22,1577.43,"435","130,330","BITGOLD",0.06859643536991
"2017-12-16",1420.65,1881.07,1273.65,1478.08,"2,218","124,291","BITGOLD",0.0404251574983281
"2017-12-15",1763.2,1819.86,1418.07,1418.07,"4,203","146,326","BITGOLD",-0.195740698729583
"2017-12-14",1413.89,1756.98,1383.66,1753.16,"1,146","117,388","BITGOLD",0.239955017717078
"2017-12-13",1535.43,1828.67,1339.41,1403.76,"1,342","127,172","BITGOLD",-0.0857544792012661
"2017-12-12",1295.21,1744.54,1264.5,1536.16,"2,252","103,374","BITGOLD",0.186031608773867
"2017-12-11",1385.8,1769.54,1266.42,1290.77,"4","110,605","BITGOLD",-0.0685741088180112
"2017-12-10",1446.09,1450.38,1303.78,1389.2,"0","115,417","BITGOLD",-0.0393405666313991
"2017-12-09",1883.98,2046.43,1381.13,1435.79,"1,934","151,674","BITGOLD",-0.237895306744233
"2017-12-08",1403.49,1871.56,1287.31,1871.56,"2,482","126,271","BITGOLD",0.333504335620489
"2017-12-07",1438,1571.76,1326.65,1403.21,"1,849","129,376","BITGOLD",-0.0241933240611961
"2017-12-06",1432.47,1703.04,1387.95,1438.06,"5,731","128,879","BITGOLD",0.00390235048552495
"2017-12-05",1535.04,1535.04,1396.48,1434.34,"516","138,106","BITGOLD",-0.0656008963935794
"2017-12-04",1469.81,1763.62,1469.81,1536.88,"2,376","132,238","BITGOLD",0.0456317483212117
"2017-12-03",1401.53,1841.94,1393.84,1461.89,"1,884","126,095","BITGOLD",0.043067219395946
"2017-12-02",1508.82,1547.55,1387.1,1401.11,"197","135,748","BITGOLD",-0.071386911626304
"2017-12-01",2300.69,2300.69,1393.83,1506.93,"860","206,991","BITGOLD",-0.345009540616076
"2017-11-30",1503.22,2332.07,1340.07,2317.21,"723","135,244","BITGOLD",0.541497585183805
"2017-11-29",1524.83,1596.98,1233.89,1505.5,"1,008","137,188","BITGOLD",-0.0126768229901038
"2017-11-28",1601.26,1602.18,1358.87,1523.58,"5,420","144,065","BITGOLD",-0.0485117969598941
"2017-11-27",1334.53,1625.47,1208.52,1605.02,"272","120,067","BITGOLD",0.202685589683259
"2017-11-26",1281.74,1383.73,1278.98,1333.96,"35","115,318","BITGOLD",0.0407414920342659
"2017-11-25",1296.21,1325.3,1247,1282.21,"113","116,619","BITGOLD",-0.0108007190192947
"2017-11-24",1191.3,1356.61,1155.58,1299.91,"577","107,180","BITGOLD",0.091169310836901
"2017-11-23",1267.68,1331.99,1190.86,1190.86,"455","114,052","BITGOLD",-0.0605988893096051
"2017-11-22",1171.38,1412.04,1094.8,1267.93,"779","105,389","BITGOLD",0.0824241492939951
"2017-11-21",1279,1660.39,1166,1181.83,"1,793","115,071","BITGOLD",-0.0759734167318218
"2017-11-20",1244.03,1548.19,1229.22,1279.35,"2,072","111,925","BITGOLD",0.0283915982733535
"2017-11-19",1244.44,1694.1,1219.27,1241.08,"433","111,961","BITGOLD",-0.00270000964289168
"2017-11-18",1304.21,1304.21,1202.93,1246.92,"9,555","117,339","BITGOLD",-0.0439269749503531
"2017-11-17",1156.35,1339.98,1096.73,1304.26,"2,314","104,037","BITGOLD",0.127911099580577
"2017-11-16",1261.05,1283.55,1149.74,1170.37,"5,615","113,456","BITGOLD",-0.071908330359621
"2017-11-15",1285.21,1321.21,1208.36,1260.37,"858","115,630","BITGOLD",-0.0193275807066551
"2017-11-14",1256.5,1301.93,1197.09,1288.24,"190","113,046","BITGOLD",0.0252606446478313
"2017-11-13",1262.11,1289.36,1164.34,1264.74,"260","113,551","BITGOLD",0.00208381202906253
"2017-11-12",1285.85,1329.45,1138.07,1255.19,"1,788","115,687","BITGOLD",-0.0238441497841893
"2017-11-11",1260.6,1350.92,1210.59,1282.42,"439","113,416","BITGOLD",0.0173092178327782
"2017-11-10",1299.99,1311.3,1132.39,1260.23,"207","116,959","BITGOLD",-0.0305848506526973
"2017-11-09",1265.37,1339.51,1232.71,1302.61,"112","113,844","BITGOLD",0.0294301271564839
"2017-11-08",1272.03,1356.59,1222.93,1263.99,"23","114,443","BITGOLD",-0.00632060564609322
"2017-11-07",1284.33,1306.45,1249.2,1271.83,"297","115,550","BITGOLD",-0.00973270109707007
"2017-11-06",1301.8,1312.41,1251.42,1283.09,"137","117,122","BITGOLD",-0.0143724074358581
"2017-11-05",1310.23,1331.96,1255.39,1302.84,"35","117,881","BITGOLD",-0.00564023110446265
"2017-11-04",1261.42,1331.91,954.39,1307.41,"1,588","113,489","BITGOLD",0.0364589113855813
