"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.090997,0.112222,0.082019,0.112222,"4,372","2,100,180","BITS",0.233249447783993
"2018-01-09",0.089165,0.098165,0.082449,0.090878,"3,427","2,057,900","BITS",0.0192115740481131
"2018-01-08",0.102374,0.102799,0.078536,0.089341,"9,461","2,362,770","BITS",-0.127307714849474
"2018-01-07",0.106527,0.112062,0.084453,0.102518,"3,311","2,458,610","BITS",-0.0376336515625147
"2018-01-06",0.104494,0.109681,0.077975,0.106605,"1,705","2,411,690","BITS",0.0202021168679542
"2018-01-05",0.099598,0.113915,0.056962,0.104473,"5,934","2,298,690","BITS",0.0489467659993172
"2018-01-04",0.106447,0.114568,0.096649,0.099558,"4,044","2,456,770","BITS",-0.0647176529164749
"2018-01-03",0.095173,0.106108,0.07517,0.105886,"7,030","2,196,570","BITS",0.112563437109264
"2018-01-02",0.094126,0.096372,0.067163,0.0955,"4,459","2,172,400","BITS",0.0145974544759153
"2018-01-01",0.095668,0.095668,0.080061,0.094139,"2,134","2,207,990","BITS",-0.0159823556466112
"2017-12-31",0.075593,0.097399,0.07484,0.095332,"3,474","1,744,670","BITS",0.261122061566547
"2017-12-30",0.088231,0.088235,0.071419,0.07641,"2,264","2,036,340","BITS",-0.133977853588875
"2017-12-29",0.093539,0.095779,0.071312,0.088444,"4,466","2,158,860","BITS",-0.0544692588118325
"2017-12-28",0.091178,0.126345,0.062382,0.092606,"24,037","2,104,360","BITS",0.0156616727719406
"2017-12-27",0.025947,0.092355,0.024837,0.084121,"32,133","598,846","BITS",2.24203183412341
"2017-12-26",0.018744,0.035875,0.017807,0.025928,"1,573","432,610","BITS",0.383269312846778
"2017-12-25",0.018722,0.019657,0.016473,0.01872,"182","432,100","BITS",-0.000106826193782637
"2017-12-24",0.019462,0.019462,0.015767,0.018541,"196","449,173","BITS",-0.0473229883876273
"2017-12-23",0.018704,0.020917,0.018429,0.019252,"25","431,696","BITS",0.0292985457656116
"2017-12-22",0.020107,0.020722,0.013383,0.01854,"157","464,069","BITS",-0.0779330581389565
"2017-12-21",0.018026,0.021838,0.017487,0.020039,"398","416,045","BITS",0.111672029291024
"2017-12-20",0.023699,0.023699,0.017375,0.018004,"408","546,973","BITS",-0.240305498122284
"2017-12-19",0.022317,0.026204,0.019928,0.023691,"1,758","515,060","BITS",0.0615674149751311
"2017-12-18",0.022485,0.025422,0.020564,0.022267,"382","518,944","BITS",-0.00969535245719381
"2017-12-17",0.023389,0.050221,0.017836,0.022417,"6,368","539,814","BITS",-0.0415579973491813
"2017-12-16",0.021309,0.027193,0.021041,0.023384,"609","491,815","BITS",0.0973766952930685
"2017-12-15",0.01985,0.024742,0.019525,0.02128,"839","458,142","BITS",0.0720403022670026
"2017-12-14",0.016111,0.021031,0.010873,0.01982,"1,054","371,848","BITS",0.23021538079573
"2017-12-13",0.017344,0.019863,0.016038,0.016153,"695","400,286","BITS",-0.0686692804428043
"2017-12-12",0.017184,0.021146,0.016801,0.017329,"626","396,592","BITS",0.00843808193668525
"2017-12-11",0.016614,0.020652,0.016542,0.017126,"1,191","383,450","BITS",0.0308173829300589
"2017-12-10",0.016169,0.024793,0.014265,0.016736,"809","373,166","BITS",0.0350671037169894
"2017-12-09",0.022373,0.022718,0.014311,0.01611,"989","516,356","BITS",-0.279935636704957
