"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",19.96,20.93,17.28,18.85,"16,226","415,316","BITSILVER",-0.0556112224448898
"2018-01-09",19.13,19.92,17.98,19.92,"3,152","393,175","BITSILVER",0.0412963930998433
"2018-01-08",19.57,19.57,16.23,19.25,"31,616","403,334","BITSILVER",-0.0163515585079203
"2018-01-07",19.81,19.81,16.82,19.56,"6","408,207","BITSILVER",-0.0126198889449773
"2018-01-06",18.53,21.49,17.8,19.86,"3,121","379,960","BITSILVER",0.0717754991905018
"2018-01-05",20.54,21.09,17.76,18.46,"1,499","431,592","BITSILVER",-0.10126582278481
"2018-01-04",19.95,25.3,19.95,20.63,"742","419,242","BITSILVER",0.0340852130325814
"2018-01-03",21.59,22.91,18.87,20.07,"29,427","428,927","BITSILVER",-0.0704029643353404
"2018-01-02",20.17,21.96,14.69,21.63,"8,798","401,718","BITSILVER",0.0723847297967277
"2018-01-01",20.45,21.59,18.07,20.07,"521","407,281","BITSILVER",-0.0185819070904645
"2017-12-31",20.21,21,18.74,20.5,"408","421,634","BITSILVER",0.0143493320138545
"2017-12-30",19.4,21.4,15.52,20.27,"2,424","394,983","BITSILVER",0.0448453608247423
"2017-12-29",20.21,23.04,15.91,19.3,"304","413,416","BITSILVER",-0.0450272142503711
"2017-12-28",19.45,21.88,17.78,20.14,"6,993","402,539","BITSILVER",0.0354755784061697
"2017-12-27",19.59,20.45,18.43,19.46,"411","405,281","BITSILVER",-0.00663603879530368
"2017-12-26",16.66,20.79,16.63,19.58,"2,468","344,654","BITSILVER",0.175270108043217
"2017-12-25",18.99,22.88,16.08,16.66,"14,600","395,794","BITSILVER",-0.122696155871511
"2017-12-24",20.47,20.95,17.69,18.93,"44,839","396,004","BITSILVER",-0.0752320468978993
"2017-12-23",18.17,23.22,18.17,20.75,"2,372","341,974","BITSILVER",0.141992294991745
"2017-12-22",20.5,25.38,14.47,18.15,"26,009","383,685","BITSILVER",-0.114634146341463
"2017-12-21",25.18,26.68,18.1,20.4,"5,762","459,663","BITSILVER",-0.189833200953137
"2017-12-20",20.2,26.05,17.8,25.2,"34,928","352,571","BITSILVER",0.247524752475248
"2017-12-19",18.83,21.65,18.09,20.19,"815","327,746","BITSILVER",0.07222517259692
"2017-12-18",22.43,22.77,18.54,18.88,"45,330","338,813","BITSILVER",-0.158270173874276
"2017-12-17",19.77,23.93,18.93,22.42,"7,201","284,787","BITSILVER",0.134041476985331
"2017-12-16",19.36,23.68,16.13,19.77,"3,825","280,820","BITSILVER",0.0211776859504132
"2017-12-15",19.45,23.06,18.04,19.32,"60,112","235,716","BITSILVER",-0.00668380462724931
"2017-12-14",21.04,24.98,16.85,19.28,"12,010","236,122","BITSILVER",-0.0836501901140684
"2017-12-13",20.48,23.75,17.54,20.92,"3,266","227,059","BITSILVER",0.0214843750000001
"2017-12-12",23.34,23.96,16.52,20.47,"4,275","272,265","BITSILVER",-0.122964867180806
"2017-12-11",23.75,24.86,19.04,23.26,"60,768","190,674","BITSILVER",-0.0206315789473684
"2017-12-10",50.96,50.96,17.51,23.56,"10,582","380,226","BITSILVER",-0.537676609105181
"2017-12-09",51.54,56.97,48.27,50.57,"4,877","389,756","BITSILVER",-0.0188203337213814
"2017-12-08",37.95,58.09,32.31,51.21,"7,926","334,741","BITSILVER",0.349407114624506
"2017-12-07",28.34,39.33,25.86,37.93,"13,543","249,933","BITSILVER",0.338390966831334
"2017-12-06",19.84,43.1,19.09,28.38,"24,991","175,022","BITSILVER",0.430443548387097
"2017-12-05",21.91,21.92,19.76,19.86,"575","193,291","BITSILVER",-0.0935645823824738
"2017-12-04",19.1,22.67,18.52,21.96,"479","168,491","BITSILVER",0.149738219895288
"2017-12-03",19.81,21.79,18.07,19.02,"833","174,723","BITSILVER",-0.0398788490661282
"2017-12-02",20.98,21.53,19.62,19.81,"187","185,002","BITSILVER",-0.0557673975214491
"2017-12-01",19.38,21.3,18.45,20.95,"216","170,968","BITSILVER",0.0810113519091848
"2017-11-30",18.4,20.93,18.1,19.48,"327","162,286","BITSILVER",0.0586956521739131
"2017-11-29",21.52,21.73,17.28,18.41,"3,523","189,772","BITSILVER",-0.144516728624535
"2017-11-28",18.22,21.48,17.46,21.41,"532","160,729","BITSILVER",0.175082327113063
"2017-11-27",17.27,18.17,16.77,18.17,"2,889","152,308","BITSILVER",0.0521134916039376
"2017-11-26",17.25,18.1,17.22,17.26,"566","152,192","BITSILVER",0.000579710144927627
"2017-11-25",16.44,17.9,16.32,17.26,"126","145,022","BITSILVER",0.0498783454987835
"2017-11-24",15.69,17.09,14.91,16.48,"5,025","138,384","BITSILVER",0.0503505417463353
"2017-11-23",15.2,16.27,15.13,15.71,"2,263","134,107","BITSILVER",0.0335526315789475
