"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.908977,0.993358,0.885146,0.951418,"10,714,300","26,407,100","BITUSD",0.0466909503760821
"2018-01-09",0.940607,0.965388,0.88032,0.907755,"4,967,430","27,315,100","BITUSD",-0.0349263826443988
"2018-01-08",0.944995,0.981486,0.848904,0.969903,"9,008,080","28,252,900","BITUSD",0.0263578114169916
"2018-01-07",0.937565,0.956694,0.914116,0.944634,"2,927,720","27,864,900","BITUSD",0.00753974391108882
"2018-01-06",0.917847,0.99452,0.894844,0.939688,"4,370,840","26,706,700","BITUSD",0.023795904981985
"2018-01-05",0.928766,0.985637,0.873051,0.915301,"4,757,680","26,603,600","BITUSD",-0.0144977313984362
"2018-01-04",1.01,1.16,0.912844,0.932338,"5,010,770","28,134,900","BITUSD",-0.0768930693069307
"2018-01-03",0.944907,1.05,0.899678,1.02,"4,180,930","26,020,700","BITUSD",0.0794713130498557
"2018-01-02",0.968204,1.01,0.890045,0.94385,"9,761,840","25,784,300","BITUSD",-0.0251537899037806
"2018-01-01",0.963182,1.02,0.938256,0.965446,"4,874,320","24,863,100","BITUSD",0.00235054226511713
"2017-12-31",1.01,1.01,0.920738,0.966806,"2,872,560","25,691,700","BITUSD",-0.0427663366336633
"2017-12-30",0.93657,1.06,0.900332,1.02,"5,735,110","23,325,600","BITUSD",0.089080367724783
"2017-12-29",1.01,1.1,0.921216,0.934997,"3,734,770","24,020,900","BITUSD",-0.074260396039604
"2017-12-28",0.944109,1.09,0.896075,1,"5,689,600","22,355,500","BITUSD",0.0591997322343077
"2017-12-27",0.961156,1.03,0.912584,0.943374,"2,435,150","22,856,600","BITUSD",-0.0185006388140947
"2017-12-26",0.980198,1.05,0.920851,0.959945,"3,306,450","23,763,000","BITUSD",-0.0206621519325687
"2017-12-25",1,1.08,0.946087,0.982262,"4,654,770","23,418,500","BITUSD",-0.017738
"2017-12-24",0.902254,1.05,0.901142,0.997447,"5,950,800","21,079,600","BITUSD",0.105505766668809
"2017-12-23",0.896937,1.09,0.896937,0.909884,"6,642,010","19,424,400","BITUSD",0.014434681588562
"2017-12-22",0.976371,1.3,0.781599,0.893388,"17,627,000","22,827,500","BITUSD",-0.0849912584458162
"2017-12-21",0.994748,1.05,0.907766,0.97203,"7,643,020","21,402,900","BITUSD",-0.0228379448865441
"2017-12-20",1.01,1.15,0.896278,0.992296,"12,936,100","18,621,000","BITUSD",-0.0175287128712872
"2017-12-19",1.02,1.12,0.941098,1.01,"5,354,090","17,609,400","BITUSD",-0.00980392156862746
"2017-12-18",0.98963,1.05,0.979127,1.02,"3,987,320","15,826,500","BITUSD",0.0306882370178754
"2017-12-17",1.04,1.07,0.975901,0.986876,"5,244,070","15,922,700","BITUSD",-0.0510807692307693
"2017-12-16",0.989866,1.14,0.955192,1.04,"4,787,170","13,746,600","BITUSD",0.0506472593260098
"2017-12-15",1.08,1.2,0.932395,0.989043,"5,523,540","13,508,300","BITUSD",-0.0842194444444445
"2017-12-14",1.01,1.15,0.958397,1.07,"4,274,280","11,506,400","BITUSD",0.0594059405940595
"2017-12-13",1.07,1.17,0.962344,1.01,"2,584,540","11,668,800","BITUSD",-0.0560747663551402
"2017-12-12",1.01,1.07,0.986913,1.07,"2,324,460","10,380,600","BITUSD",0.0594059405940595
"2017-12-11",0.96945,1.17,0.959525,1.01,"858,054","9,916,120","BITUSD",0.0418278405281345
"2017-12-10",0.968433,1.03,0.924942,0.970479,"944,816","9,781,560","BITUSD",0.00211269132712329
"2017-12-09",1.01,1.17,0.959019,0.969136,"1,267,370","9,713,190","BITUSD",-0.0404594059405941
"2017-12-08",1.02,1.19,0.943677,1.01,"1,520,650","9,858,100","BITUSD",-0.00980392156862746
"2017-12-07",0.932072,1.06,0.88693,1.02,"2,336,060","9,043,960","BITUSD",0.0943360598752028
"2017-12-06",1.01,1.15,0.92278,0.929514,"1,806,990","9,713,960","BITUSD",-0.0796891089108911
"2017-12-05",1.05,1.05,0.975414,1,"1,104,700","9,824,990","BITUSD",-0.0476190476190477
"2017-12-04",1.05,1.11,1,1.06,"1,690,080","9,188,980","BITUSD",0.00952380952380953
"2017-12-03",1,1.08,0.991802,1.04,"1,316,660","8,601,530","BITUSD",0.04
"2017-12-02",0.996142,1.04,0.96549,1,"1,318,550","8,765,560","BITUSD",0.00387294180950108
"2017-12-01",0.989068,1.03,0.942345,0.994058,"822,850","8,143,580","BITUSD",0.00504515361936697
"2017-11-30",1.03,1.19,0.947696,0.991048,"1,660,770","7,989,000","BITUSD",-0.0378174757281553
"2017-11-29",1.05,1.1,0.907798,1.03,"2,651,200","7,745,470","BITUSD",-0.0190476190476191
"2017-11-28",1.03,1.28,0.98668,1.05,"1,706,530","6,459,130","BITUSD",0.0194174757281554
"2017-11-27",0.986782,1.02,0.965958,1.02,"984,678","5,616,490","BITUSD",0.0336629569651655
"2017-11-26",0.986784,1.02,0.971898,0.985379,"514,850","5,390,700","BITUSD",-0.00142381716768816
"2017-11-25",0.938266,1.04,0.925741,0.987931,"402,144","5,048,490","BITUSD",0.0529327504140616
"2017-11-24",0.90372,0.990961,0.88195,0.941014,"530,917","4,770,940","BITUSD",0.0412672066569292
"2017-11-23",0.896551,0.931853,0.874,0.901343,"640,841","4,343,690","BITUSD",0.00534492739397984
"2017-11-22",0.846717,0.905803,0.818023,0.89602,"525,809","4,091,790","BITUSD",0.0582284281524996
"2017-11-21",0.902159,0.971994,0.817051,0.848686,"1,304,130","4,129,250","BITUSD",-0.0592722568859813
"2017-11-20",0.934741,0.975185,0.893109,0.900237,"894,330","4,319,850","BITUSD",-0.0369128988671729
"2017-11-19",0.953207,1.02,0.929108,0.953588,"676,614","4,389,820","BITUSD",0.000399703317327679
"2017-11-18",0.966981,0.985035,0.943624,0.956116,"920,617","4,377,890","BITUSD",-0.0112360015346734
"2017-11-17",0.901082,0.985779,0.860018,0.968574,"979,558","3,957,410","BITUSD",0.0749010633882377
"2017-11-16",0.986079,0.996051,0.889343,0.91818,"208,991","4,198,950","BITUSD",-0.0688575661787748
"2017-11-15",0.978288,1.01,0.948843,0.983702,"505,782","3,938,020","BITUSD",0.00553415763047274
"2017-11-14",0.980837,1.02,0.947754,0.98047,"219,891","3,956,500","BITUSD",-0.000374170224002567
"2017-11-13",0.985553,1.01,0.911057,0.98549,"232,540","3,972,360","BITUSD",-6.39235028456463e-05
"2017-11-12",0.987825,1.02,0.866928,0.979159,"271,212","3,992,490","BITUSD",-0.00877280894895346
"2017-11-11",0.966732,1.02,0.932064,0.984858,"333,048","3,806,280","BITUSD",0.0187497672571095
"2017-11-10",1.01,1.01,0.938547,0.967434,"488,346","3,867,800","BITUSD",-0.0421445544554455
"2017-11-09",0.995405,1.11,0.965373,1.01,"476,812","3,678,950","BITUSD",0.0146623736067229
"2017-11-08",0.988731,1.02,0.923104,0.995987,"567,278","3,661,040","BITUSD",0.00733869980813783
"2017-11-07",0.982109,1.02,0.961398,0.989549,"404,710","3,638,660","BITUSD",0.007575533876586
"2017-11-06",0.991054,1.01,0.962359,0.983649,"332,974","3,516,510","BITUSD",-0.00747184310844817
"2017-11-05",1.01,1.03,0.84973,0.991463,"294,451","3,594,390","BITUSD",-0.0183534653465347
"2017-11-04",0.997195,1.02,0.956823,1.01,"225,035","3,492,130","BITUSD",0.0128410190584589
"2017-11-03",0.991113,1.12,0.924321,0.99929,"501,583","3,391,480","BITUSD",0.00825032059916477
"2017-11-02",0.960766,1.09,0.909359,0.996345,"519,026","3,296,690","BITUSD",0.0370319099551816
"2017-11-01",0.989273,1.08,0.957338,0.958033,"267,709","3,359,240","BITUSD",-0.0315787451997577
"2017-10-31",1.01,1.12,0.975908,0.995124,"370,236","3,350,880","BITUSD",-0.0147287128712871
"2017-10-30",1,1.03,0.992573,1.01,"58,481","3,281,910","BITUSD",0.01
"2017-10-29",0.984786,1.03,0.931559,1.01,"139,676","3,241,490","BITUSD",0.0256035321379467
"2017-10-28",0.991614,1.01,0.909508,0.98629,"49,078","3,266,830","BITUSD",-0.00536902464063637
"2017-10-27",0.967076,1.03,0.967076,0.991269,"59,597","3,172,440","BITUSD",0.0250166481227948
"2017-10-26",1.03,1.04,0.951436,0.968402,"49,737","3,364,850","BITUSD",-0.0598038834951457
"2017-10-25",1.03,1.04,0.951927,1.03,"89,171","3,303,390","BITUSD",0
"2017-10-24",1.01,1.09,0.996451,1.03,"47,591","3,226,370","BITUSD",0.0198019801980198
"2017-10-23",1.03,1.05,0.986151,1.01,"43,810","3,296,710","BITUSD",-0.0194174757281554
"2017-10-22",1.04,1.04,0.998971,1.03,"58,871","3,297,320","BITUSD",-0.00961538461538462
"2017-10-21",1.03,1.07,1,1.04,"234,770","3,289,790","BITUSD",0.00970873786407768
"2017-10-20",1.04,1.1,1,1.04,"116,029","3,312,190","BITUSD",0
"2017-10-19",1.02,1.11,0.998931,1.04,"118,717","3,206,460","BITUSD",0.0196078431372549
"2017-10-18",0.992672,1.07,0.967182,1.03,"237,351","3,100,650","BITUSD",0.0376035588794688
"2017-10-17",1.01,1.04,0.934349,0.991646,"126,672","3,168,600","BITUSD",-0.0181722772277228
"2017-10-16",1.02,1.06,0.949679,1.01,"234,314","3,169,380","BITUSD",-0.00980392156862746
"2017-10-15",1.02,1.04,0.875183,1.02,"62,500","3,138,160","BITUSD",0
"2017-10-14",1.03,1.06,0.980611,1.02,"169,492","3,187,190","BITUSD",-0.00970873786407768
"2017-10-13",1.02,1.07,0.907891,1.03,"203,450","3,154,590","BITUSD",0.00980392156862746
"2017-10-12",1.01,1.05,0.969559,1.02,"144,395","3,101,750","BITUSD",0.00990099009900991
"2017-10-11",1,1.06,0.961323,1.01,"88,211","3,024,530","BITUSD",0.01
"2017-10-10",1.01,1.07,0.949174,1,"90,107","3,050,890","BITUSD",-0.00990099009900991
"2017-10-09",1.01,1.08,0.959855,1.01,"348,631","3,175,450","BITUSD",0
"2017-10-08",1.01,1.04,0.992765,1.01,"99,491","3,172,860","BITUSD",0
"2017-10-07",1.01,1.04,0.97679,1.01,"110,517","3,157,250","BITUSD",0
"2017-10-06",0.981572,1.28,0.768579,1.01,"71,123","3,049,340","BITUSD",0.0289617063241413
"2017-10-05",0.997106,1.09,0.93955,0.981649,"106,149","3,059,710","BITUSD",-0.015501862389756
"2017-10-04",1.01,1.08,0.963822,0.99707,"337,898","3,203,250","BITUSD",-0.0128019801980198
"2017-10-03",0.962469,1.08,0.960989,1.01,"200,382","3,050,300","BITUSD",0.0493844477068872
"2017-10-02",1.02,1.1,0.938955,0.962418,"192,745","3,253,680","BITUSD",-0.0564529411764706
"2017-10-01",1.03,1.07,1.01,1.02,"73,760","3,273,960","BITUSD",-0.00970873786407768
"2017-09-30",1.01,1.1,0.968516,1.03,"54,037","3,229,660","BITUSD",0.0198019801980198
"2017-09-29",1.01,1.06,0.983318,1.01,"73,051","3,231,690","BITUSD",0
"2017-09-28",1.03,1.04,0.999557,1.01,"56,424","3,263,410","BITUSD",-0.0194174757281554
"2017-09-27",1.01,1.03,0.977974,1.03,"62,447","3,196,890","BITUSD",0.0198019801980198
"2017-09-26",1.02,1.08,0.997454,1.02,"49,096","3,197,140","BITUSD",0
"2017-09-25",1.01,1.02,0.985906,1.02,"49,913","3,226,590","BITUSD",0.00990099009900991
"2017-09-24",1.02,1.02,1.01,1.01,"1,899,170","3,237,360","BITUSD",-0.00980392156862746
"2017-09-23",1.01,1.02,1.01,1.02,"1,903,360","3,218,670","BITUSD",0.00990099009900991
"2017-09-22",1.01,1.01,1.01,1.01,"1,896,960","3,218,970","BITUSD",0
"2017-09-21",1.14,1.14,1.01,1.01,"1,897,210","3,569,490","BITUSD",-0.114035087719298
"2017-09-17",0.936178,0.936178,0.873429,0.873429,"1,714,470","2,928,650","BITUSD",-0.0670267833681201
"2017-09-16",1.1,1.17,0.887074,0.934367,"1,844,710","3,520,480","BITUSD",-0.150575454545455
"2017-09-15",0.876822,1.19,0.864517,1.1,"2,058,520","3,445,460","BITUSD",0.254530566067001
