"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.007987,0.008195,0.006625,0.00749,"57,950","2,302,530","BLAS",-0.0622261174408413
"2018-01-09",0.007065,0.008013,0.005613,0.007564,"78,937","2,036,820","BLAS",0.0706298655343242
"2018-01-08",0.027061,0.027061,0.004859,0.007543,"81,187","7,801,610","BLAS",-0.721259376963157
"2018-01-07",0.005941,0.027235,0.00496,0.027132,"82,589","1,712,780","BLAS",3.56690792795826
"2018-01-06",0.003962,0.005963,0.003477,0.005949,"62,961","1,142,150","BLAS",0.501514386673397
"2018-01-05",0.003249,0.004041,0.002882,0.003981,"38,096","936,690","BLAS",0.225300092336103
"2018-01-04",0.003147,0.003441,0.001937,0.003247,"26,149","904,855","BLAS",0.0317762948840165
"2018-01-03",0.003401,0.003922,0.002868,0.003134,"14,797","975,738","BLAS",-0.078506321670097
"2018-01-02",0.003284,0.003604,0.002662,0.003398,"23,147","811,367","BLAS",0.0347137637028014
"2018-01-01",0.003084,0.003594,0.002652,0.003354,"13,367","761,958","BLAS",0.0875486381322958
"2017-12-31",0.002398,0.004203,0.002258,0.003078,"47,003","592,501","BLAS",0.283569641367807
"2017-12-30",0.002129,0.002957,0.00198,0.002745,"17,274","526,080","BLAS",0.28933771723814
"2017-12-29",0.002209,0.002958,0.002098,0.002135,"12,578","545,878","BLAS",-0.0334993209597102
"2017-12-28",0.002531,0.00292,0.002172,0.00219,"7,233","625,284","BLAS",-0.134729355985776
"2017-12-27",0.002409,0.003067,0.002359,0.002536,"16,272","595,138","BLAS",0.0527189705271897
"2017-12-26",0.002337,0.002958,0.001901,0.002289,"12,388","577,294","BLAS",-0.0205391527599488
"2017-12-25",0.00156,0.002338,0.001521,0.002338,"8,621","385,477","BLAS",0.498717948717949
"2017-12-24",0.001556,0.002083,0.001267,0.001546,"16,092","384,323","BLAS",-0.00642673521850901
"2017-12-23",0.001487,0.001872,0.001365,0.001461,"10,385","367,318","BLAS",-0.0174848688634835
"2017-12-22",0.002017,0.002032,0.00114,0.001474,"10,450","498,227","BLAS",-0.269211700545364
"2017-12-21",0.001162,0.002012,0.001162,0.002012,"11,620","287,161","BLAS",0.731497418244406
"2017-12-20",0.001289,0.00149,0.001137,0.001163,"6,586","318,412","BLAS",-0.0977501939487975
