"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.002921,0.003334,0.00197,0.003331,"830","-","BLAZR",0.140362889421431
"2018-01-09",0.002382,0.003607,0.001502,0.002917,"917","-","BLAZR",0.224601175482788
"2018-01-08",0.001277,0.003607,0.001145,0.002388,"1,901","-","BLAZR",0.870007830853563
"2018-01-07",0.001798,0.001894,0.001269,0.00128,"529","-","BLAZR",-0.288097886540601
"2018-01-06",0.001359,0.001918,0.001341,0.0018,"140","-","BLAZR",0.324503311258278
"2018-01-05",0.001456,0.001986,0.001354,0.001358,"92","-","BLAZR",-0.0673076923076923
"2018-01-04",0.001293,0.001559,0.001285,0.001456,"191","-","BLAZR",0.126063418406806
"2018-01-03",0.001233,0.001364,0.001233,0.001286,"72","-","BLAZR",0.042984590429846
"2018-01-02",0.00108,0.001367,0.001043,0.001237,"65","-","BLAZR",0.14537037037037
"2018-01-01",0.00086,0.001099,0.000831,0.00108,"51","-","BLAZR",0.255813953488372
"2017-12-31",0.000975,0.001385,0.000844,0.000857,"227","-","BLAZR",-0.121025641025641
"2017-12-30",0.00134,0.001615,0.000895,0.000985,"119","-","BLAZR",-0.264925373134328
"2017-12-29",0.00109,0.001347,0.001075,0.001343,"153","-","BLAZR",0.232110091743119
"2017-12-28",0.00112,0.001149,0.000877,0.001079,"61","-","BLAZR",-0.0366071428571427
"2017-12-27",0.001155,0.001378,0.001068,0.001122,"143","-","BLAZR",-0.0285714285714286
"2017-12-26",0.001114,0.001745,0.001019,0.001154,"360","-","BLAZR",0.0359066427289049
"2017-12-25",0.001037,0.001212,0.001031,0.001116,"92","-","BLAZR",0.0761812921890068
"2017-12-24",0.001169,0.001169,0.000932,0.001026,"31","-","BLAZR",-0.122326775021386
"2017-12-23",0.001037,0.001308,0.001035,0.001156,"32","-","BLAZR",0.114754098360656
"2017-12-22",0.001379,0.001644,0.00094,0.001028,"28","-","BLAZR",-0.254532269760696
"2017-12-21",0.001769,0.002377,0.001323,0.001374,"119","-","BLAZR",-0.223289994347089
"2017-12-20",0.002032,0.00299,0.001484,0.001765,"1,008","-","BLAZR",-0.131397637795276
"2017-12-19",0.001555,0.002513,0.001466,0.002034,"225","-","BLAZR",0.308038585209003
"2017-12-18",0.001339,0.001856,0.001279,0.001553,"68","-","BLAZR",0.159820761762509
"2017-12-17",0.001538,0.001558,0.001321,0.001335,"107","-","BLAZR",-0.131989596879064
"2017-12-16",0.001345,0.001878,0.001329,0.001538,"48","-","BLAZR",0.143494423791822
"2017-12-15",0.001309,0.001411,0.001308,0.001343,"76","-","BLAZR",0.0259740259740259
"2017-12-14",0.001458,0.001479,0.001264,0.001307,"50","-","BLAZR",-0.103566529492455
"2017-12-13",0.001238,0.001551,0.001181,0.001463,"40","-","BLAZR",0.181744749596123
"2017-12-12",0.001262,0.00365,0.001236,0.001237,"945","-","BLAZR",-0.0198098256735341
"2017-12-11",0.001525,0.001628,0.001209,0.001258,"75","-","BLAZR",-0.175081967213115
"2017-12-10",0.002335,0.002335,0.001377,0.001536,"44","-","BLAZR",-0.342184154175589
"2017-12-09",0.001371,0.002351,0.00129,0.002325,"202","-","BLAZR",0.695842450765864
"2017-12-08",0.001412,0.002213,0.001235,0.001373,"184","-","BLAZR",-0.0276203966005665
"2017-12-07",0.001302,0.002975,0.001256,0.001408,"900","-","BLAZR",0.0814132104454685
"2017-12-06",0.001171,0.001313,0.001148,0.001311,"64","-","BLAZR",0.119555935098207
"2017-12-05",0.001166,0.001283,0.001149,0.001173,"36","-","BLAZR",0.00600343053173247
"2017-12-04",0.001124,0.001231,0.001115,0.001163,"111","-","BLAZR",0.0346975088967971
"2017-12-03",0.001093,0.001184,0.001059,0.00112,"34","-","BLAZR",0.0247026532479414
"2017-12-02",0.001197,0.001219,0.001076,0.001092,"67","-","BLAZR",-0.0877192982456139
"2017-12-01",0.001241,0.001399,0.001147,0.001198,"45","-","BLAZR",-0.0346494762288476
"2017-11-30",0.001127,0.001285,0.001018,0.001247,"73","-","BLAZR",0.106477373558119
"2017-11-29",0.001248,0.001366,0.001038,0.00111,"45","-","BLAZR",-0.110576923076923
"2017-11-28",0.001223,0.001265,0.0012,0.001249,"10","-","BLAZR",0.0212591986917416
"2017-11-27",0.001025,0.001274,0.001025,0.00122,"70","-","BLAZR",0.190243902439024
"2017-11-26",0.001152,0.001195,0.001014,0.001025,"139","-","BLAZR",-0.110243055555555
"2017-11-25",0.001125,0.001152,0.001002,0.001152,"66","-","BLAZR",0.0240000000000001
"2017-11-24",0.0012,0.001216,0.001124,0.001127,"75","-","BLAZR",-0.0608333333333333
"2017-11-23",0.001069,0.00122,0.001053,0.001201,"91","-","BLAZR",0.123479887745557
"2017-11-22",0.001142,0.001176,0.001069,0.00107,"90","-","BLAZR",-0.0630472854640981
"2017-11-21",0.001236,0.001256,0.001123,0.001139,"78","-","BLAZR",-0.0784789644012944
"2017-11-20",0.001552,0.001581,0.001227,0.001236,"49","-","BLAZR",-0.20360824742268
"2017-11-19",0.001207,0.001761,0.001202,0.001553,"245","-","BLAZR",0.286661143330572
"2017-11-18",0.002141,0.002141,0.001197,0.001209,"41","-","BLAZR",-0.435310602522186
"2017-11-17",0.001878,0.002546,0.001103,0.00215,"811","-","BLAZR",0.144834930777423
"2017-11-16",0.001376,0.003518,0.000897,0.001881,"4,052","-","BLAZR",0.367005813953488
"2017-11-15",0.00086,0.003399,0.00086,0.001368,"3,004","-","BLAZR",0.590697674418605
"2017-11-14",0.001112,0.001155,0.000852,0.000859,"408","-","BLAZR",-0.227517985611511
"2017-11-13",0.000773,0.001116,0.000773,0.00111,"43","-","BLAZR",0.435963777490298
"2017-11-12",0.001044,0.001044,0.000754,0.000772,"25","-","BLAZR",-0.260536398467433
"2017-11-11",0.001018,0.001152,0.001017,0.001045,"30","-","BLAZR",0.0265225933202357
"2017-11-10",0.001135,0.001168,0.000995,0.001022,"47","-","BLAZR",-0.0995594713656388
"2017-11-09",0.001077,0.001217,0.001029,0.001132,"120","-","BLAZR",0.0510677808727947
"2017-11-08",0.001108,0.001301,0.001037,0.001084,"63","-","BLAZR",-0.0216606498194947
"2017-11-07",0.001073,0.001143,0.001063,0.001111,"22","-","BLAZR",0.0354147250698975
"2017-11-06",0.001213,0.001215,0.001068,0.001075,"51","-","BLAZR",-0.113767518549052
"2017-11-05",0.001254,0.00126,0.001176,0.001211,"43","-","BLAZR",-0.0342902711323763
"2017-11-04",0.001148,0.001322,0.001122,0.001257,"187","-","BLAZR",0.0949477351916378
"2017-11-03",0.001165,0.002858,0.001139,0.001151,"3,958","-","BLAZR",-0.0120171673819744
