"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.068203,0.086466,0.040162,0.076042,"17,720","1,031,410","BLC",0.114936293124936
"2018-01-09",0.050451,0.076884,0.050283,0.068113,"14,429","762,948","BLC",0.350082258032547
"2018-01-08",0.074748,0.080446,0.054765,0.057837,"13,114","1,130,390","BLC",-0.226240166960989
"2018-01-07",0.077067,0.098925,0.07086,0.074853,"24,583","1,165,470","BLC",-0.0287282494452878
"2018-01-06",0.061828,0.077212,0.053604,0.077124,"11,629","934,999","BLC",0.247396001811477
"2018-01-05",0.049012,0.064047,0.045952,0.061784,"5,060","741,197","BLC",0.260589243450583
"2018-01-04",0.051181,0.05822,0.040778,0.048993,"1,549","773,994","BLC",-0.0427502393466325
"2018-01-03",0.052498,0.056856,0.039493,0.050971,"3,183","793,913","BLC",-0.0290868223551373
"2018-01-02",0.033078,0.052939,0.033078,0.052657,"5,312","500,235","BLC",0.591903984521434
"2018-01-01",0.030966,0.034054,0.028048,0.033081,"1,997","468,289","BLC",0.0683007169153265
"2017-12-31",0.025473,0.031955,0.023746,0.030881,"1,692","385,214","BLC",0.212303223020453
"2017-12-30",0.02885,0.030198,0.020888,0.025725,"707","436,292","BLC",-0.108318890814558
"2017-12-29",0.021841,0.033873,0.021824,0.028923,"1,885","330,291","BLC",0.324252552538803
"2017-12-28",0.022817,0.028163,0.0207,0.021619,"2,017","345,048","BLC",-0.0525047113993952
"2017-12-27",0.024387,0.027443,0.021182,0.022851,"606","368,804","BLC",-0.0629843769221306
"2017-12-26",0.01778,0.025133,0.016532,0.024356,"1,174","268,886","BLC",0.369853768278965
"2017-12-25",0.017728,0.019493,0.015419,0.017798,"487","268,089","BLC",0.00394855595667873
"2017-12-24",0.012713,0.017546,0.012008,0.017546,"1,872","192,258","BLC",0.380162038857862
"2017-12-23",0.012867,0.015469,0.0119,0.012574,"1,436","194,582","BLC",-0.0227714307919484
"2017-12-22",0.015243,0.015397,0.007729,0.012749,"1,179","230,507","BLC",-0.163616086072295
"2017-12-21",0.015608,0.01784,0.014412,0.0152,"541","236,033","BLC",-0.02614044079959
"2017-12-20",0.016279,0.016715,0.014922,0.015569,"372","246,185","BLC",-0.0436144726334541
"2017-12-19",0.018845,0.020527,0.016223,0.016291,"173","284,980","BLC",-0.135526664897851
"2017-12-18",0.018267,0.020264,0.017709,0.018833,"1,758","276,242","BLC",0.0309848360431379
"2017-12-17",0.01836,0.019417,0.017702,0.018213,"284","277,655","BLC",-0.00800653594771249
"2017-12-16",0.017655,0.01884,0.017066,0.018333,"1,349","266,992","BLC",0.0384027187765504
"2017-12-15",0.017411,0.018196,0.016944,0.017631,"1,640","263,303","BLC",0.0126356900809834
"2017-12-14",0.01884,0.01911,0.016403,0.017384,"806","284,910","BLC",-0.0772823779193205
