"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",51.21,52.37,45.79,49.68,"511,504","254,183,000","BLOCK",-0.0298769771528998
"2018-01-09",47.55,53.87,46.95,52.57,"697,850","235,974,000","BLOCK",0.105573080967403
"2018-01-08",51.52,52.45,43.5,47.96,"549,407","255,609,000","BLOCK",-0.0690993788819876
"2018-01-07",55.95,57.03,48.44,51.36,"904,766","277,510,000","BLOCK",-0.0820375335120644
"2018-01-06",53.27,57.24,49.83,57.16,"383,803","264,098,000","BLOCK",0.0730242162568048
"2018-01-05",50.35,56.19,48.05,53.31,"673,643","249,580,000","BLOCK",0.0587884806355512
"2018-01-04",50.17,56.7,45.4,50.34,"886,012","248,595,000","BLOCK",0.00338847917081925
"2018-01-03",44.55,51.01,42.79,49.89,"1,070,390","220,703,000","BLOCK",0.11986531986532
"2018-01-02",41.99,49.64,40.72,44.67,"874,121","207,960,000","BLOCK",0.0638247201714694
"2018-01-01",43.6,44.63,39.56,41.99,"396,244","215,865,000","BLOCK",-0.0369266055045871
"2017-12-31",40.13,44.78,38.28,44.57,"525,531","198,618,000","BLOCK",0.110640418639422
"2017-12-30",44.79,44.84,35.87,41.35,"543,088","221,649,000","BLOCK",-0.0768028577807546
"2017-12-29",43.4,54.91,39.35,45.35,"2,337,080","214,714,000","BLOCK",0.0449308755760369
"2017-12-28",36.99,54.67,29.39,42.28,"2,754,060","182,926,000","BLOCK",0.14301162476345
"2017-12-27",34.13,38.06,32.52,36.59,"881,932","168,757,000","BLOCK",0.0720773513038383
"2017-12-26",37.82,42,32.06,34.34,"1,035,430","186,935,000","BLOCK",-0.0920148069804335
"2017-12-25",35.22,38.93,33.65,38.9,"593,595","174,025,000","BLOCK",0.104486087450312
"2017-12-24",35.6,35.6,29.27,34.72,"470,922","175,844,000","BLOCK",-0.0247191011235956
"2017-12-23",31.99,39.09,31.5,35.18,"518,576","157,965,000","BLOCK",0.0997186620819006
"2017-12-22",35.3,36.83,21.04,31.62,"720,522","174,269,000","BLOCK",-0.104249291784702
"2017-12-21",31.09,42.39,31.06,34.72,"1,340,180","153,453,000","BLOCK",0.116757799935671
"2017-12-20",33.47,33.53,27.94,31.01,"675,791","165,171,000","BLOCK",-0.0734986555123991
"2017-12-19",31.96,36.45,29.18,33.21,"802,346","157,668,000","BLOCK",0.0391113892365457
"2017-12-18",26.78,32.39,26.07,31.94,"901,749","132,088,000","BLOCK",0.192681105302465
"2017-12-17",24.58,29.53,24.29,26.71,"476,494","121,179,000","BLOCK",0.0866558177379985
