"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",10.06,10.66,9.2,9.35,"24,478,900","410,188,000","BNT",-0.0705765407554673
"2018-01-09",8.66,10.24,8.58,10.01,"22,186,700","352,916,000","BNT",0.155889145496536
"2018-01-08",8.44,9.17,7.38,8.65,"20,321,200","343,922,000","BNT",0.0248815165876778
"2018-01-07",7.65,8.46,7.46,8.19,"14,097,700","311,872,000","BNT",0.0705882352941175
"2018-01-06",7.2,7.85,7.04,7.4,"11,898,200","293,762,000","BNT",0.0277777777777778
"2018-01-05",7.02,7.74,6.9,7.16,"16,267,500","286,092,000","BNT",0.01994301994302
"2018-01-04",6.63,7.49,6.3,7.05,"16,215,600","270,231,000","BNT",0.0633484162895928
"2018-01-03",6.01,6.68,5.83,6.61,"11,675,000","244,900,000","BNT",0.0998336106489186
"2018-01-02",5.36,6.25,5.36,6.01,"14,395,900","218,746,000","BNT",0.121268656716418
"2018-01-01",5.29,5.42,5.04,5.36,"7,968,180","215,694,000","BNT",0.0132325141776938
"2017-12-31",4.9,5.3,4.83,5.28,"7,434,550","199,967,000","BNT",0.0775510204081632
"2017-12-30",5.42,5.44,4.66,4.92,"9,956,090","220,894,000","BNT",-0.0922509225092251
"2017-12-29",5.1,5.56,5.08,5.42,"18,013,400","207,835,000","BNT",0.0627450980392157
"2017-12-28",4.98,5.09,4.39,5.06,"18,151,200","202,887,000","BNT",0.0160642570281123
"2017-12-27",5,5.08,4.69,4.96,"11,689,200","203,702,000","BNT",-0.00800000000000001
"2017-12-26",4.89,5.24,4.6,4.95,"24,474,500","199,400,000","BNT",0.0122699386503069
"2017-12-25",3.82,5.18,3.8,4.91,"28,141,600","155,750,000","BNT",0.285340314136126
"2017-12-24",3.91,3.91,3.3,3.81,"6,153,670","159,312,000","BNT",-0.0255754475703325
"2017-12-23",3.77,4.43,3.74,3.87,"10,164,900","153,868,000","BNT",0.0265251989389921
"2017-12-22",4.52,4.58,2.87,3.74,"5,516,460","184,423,000","BNT",-0.172566371681416
"2017-12-21",4.5,4.89,4.38,4.54,"8,224,620","183,489,000","BNT",0.0088888888888889
"2017-12-20",4.73,4.73,4.22,4.49,"8,022,840","192,664,000","BNT",-0.0507399577167019
"2017-12-19",4.71,5.03,4.55,4.73,"10,141,400","191,867,000","BNT",0.00424628450106167
"2017-12-18",4.01,4.74,3.85,4.73,"13,199,900","163,428,000","BNT",0.179551122194514
"2017-12-17",3.81,4.13,3.78,4,"5,357,790","155,184,000","BNT",0.0498687664041995
"2017-12-16",3.71,3.92,3.69,3.77,"4,245,120","151,116,000","BNT",0.0161725067385445
"2017-12-15",3.77,3.79,3.43,3.69,"6,491,670","153,772,000","BNT",-0.0212201591511937
"2017-12-14",3.85,4.11,3.62,3.74,"6,513,150","156,862,000","BNT",-0.0285714285714285
"2017-12-13",3.66,4.15,3.38,3.86,"9,020,600","149,095,000","BNT",0.0546448087431693
"2017-12-12",2.98,3.73,2.9,3.65,"8,958,670","121,652,000","BNT",0.224832214765101
"2017-12-11",2.54,2.98,2.52,2.98,"5,695,280","103,591,000","BNT",0.173228346456693
"2017-12-10",2.74,2.74,2.49,2.54,"2,993,900","111,801,000","BNT",-0.0729927007299271
"2017-12-09",2.66,2.93,2.65,2.72,"4,901,430","108,541,000","BNT",0.0225563909774436
"2017-12-08",2.5,2.74,2.42,2.66,"4,422,620","102,066,000","BNT",0.0640000000000001
"2017-12-07",2.5,2.6,2.4,2.5,"5,255,870","101,865,000","BNT",0
"2017-12-06",2.81,2.81,2.46,2.5,"5,482,920","114,371,000","BNT",-0.110320284697509
"2017-12-05",2.67,3.1,2.61,2.8,"8,684,160","108,792,000","BNT",0.048689138576779
"2017-12-04",2.56,2.74,2.48,2.67,"3,796,320","104,486,000","BNT",0.04296875
"2017-12-03",2.5,2.71,2.44,2.56,"3,197,670","102,108,000","BNT",0.024
"2017-12-02",2.53,2.64,2.47,2.51,"3,549,220","103,225,000","BNT",-0.00790513833992096
"2017-12-01",2.44,2.6,2.31,2.54,"2,934,080","99,448,100","BNT",0.0409836065573771
"2017-11-30",2.37,2.54,2.19,2.45,"2,397,210","96,826,700","BNT",0.0337552742616034
"2017-11-29",2.6,2.89,2.33,2.35,"4,369,150","106,039,000","BNT",-0.0961538461538461
"2017-11-28",2.68,2.7,2.58,2.6,"3,413,550","109,376,000","BNT",-0.0298507462686567
"2017-11-27",2.66,2.78,2.63,2.68,"4,448,550","108,647,000","BNT",0.00751879699248121
"2017-11-26",2.65,2.88,2.54,2.67,"4,779,860","108,081,000","BNT",0.00754716981132076
"2017-11-25",2.73,2.73,2.6,2.65,"3,577,920","111,156,000","BNT",-0.0293040293040293
"2017-11-24",2.41,2.75,2.31,2.73,"4,389,420","98,154,900","BNT",0.132780082987552
"2017-11-23",2.25,2.46,2.21,2.41,"3,682,080","91,575,500","BNT",0.0711111111111112
"2017-11-22",2.13,2.25,2.12,2.24,"1,954,530","86,651,900","BNT",0.0516431924882631
"2017-11-21",2.18,2.19,2.07,2.12,"1,940,570","88,794,400","BNT",-0.0275229357798165
"2017-11-20",2.09,2.18,2.08,2.17,"1,705,110","85,154,400","BNT",0.0382775119617225
"2017-11-19",2.06,2.19,2.04,2.09,"1,980,670","84,183,700","BNT",0.0145631067961164
"2017-11-18",1.96,2.07,1.92,2.07,"1,545,720","79,721,000","BNT",0.0561224489795918
"2017-11-17",2,2.01,1.93,1.97,"1,564,790","81,728,700","BNT",-0.015
"2017-11-16",2.02,2.02,1.91,1.98,"2,081,880","82,402,100","BNT",-0.0198019801980198
"2017-11-15",2.02,2.07,1.96,2.02,"2,464,150","82,241,000","BNT",0
"2017-11-14",1.96,2.04,1.93,2.04,"2,596,440","79,806,300","BNT",0.0408163265306123
"2017-11-13",1.8,2.01,1.8,1.96,"2,738,800","73,561,900","BNT",0.0888888888888888
"2017-11-12",1.93,1.93,1.77,1.81,"2,634,170","78,501,100","BNT",-0.0621761658031088
"2017-11-11",1.86,1.96,1.83,1.92,"2,650,010","75,736,600","BNT",0.0322580645161289
"2017-11-10",2.05,2.09,1.83,1.87,"1,861,230","83,624,100","BNT",-0.0878048780487804
"2017-11-09",1.95,2.11,1.92,2.03,"2,044,140","79,413,200","BNT",0.0410256410256409
"2017-11-08",1.87,2.02,1.85,1.95,"1,957,250","76,227,000","BNT",0.0427807486631015
"2017-11-07",1.85,1.91,1.82,1.87,"1,025,090","75,311,000","BNT",0.0108108108108108
"2017-11-06",1.88,1.91,1.81,1.85,"1,586,090","76,664,800","BNT",-0.0159574468085105
"2017-11-05",1.93,1.96,1.84,1.86,"2,012,750","78,562,700","BNT",-0.0362694300518134
"2017-11-04",1.94,2,1.88,1.93,"1,567,020","78,965,100","BNT",-0.00515463917525774
"2017-11-03",1.78,1.96,1.78,1.93,"1,324,870","72,696,000","BNT",0.0842696629213483
"2017-11-02",1.91,1.92,1.77,1.78,"1,379,960","77,813,200","BNT",-0.0680628272251308
"2017-11-01",1.98,2,1.87,1.93,"1,171,980","80,893,500","BNT",-0.0252525252525253
"2017-10-31",1.99,2.07,1.94,2,"990,337","80,948,200","BNT",0.00502512562814071
"2017-10-30",1.96,2.03,1.95,1.99,"1,090,470","79,972,600","BNT",0.0153061224489796
"2017-10-29",1.9,2.1,1.88,1.96,"1,154,460","77,382,200","BNT",0.0315789473684211
"2017-10-28",1.92,1.94,1.86,1.91,"1,137,270","78,418,500","BNT",-0.00520833333333334
"2017-10-27",1.92,1.97,1.86,1.92,"1,320,880","78,104,100","BNT",0
"2017-10-26",1.99,2.01,1.9,1.94,"2,022,500","81,293,400","BNT",-0.0251256281407035
"2017-10-25",1.98,2.03,1.93,1.99,"1,485,030","80,580,400","BNT",0.00505050505050506
"2017-10-24",1.87,2.15,1.82,1.97,"1,901,180","76,430,100","BNT",0.0534759358288769
"2017-10-23",1.97,2.02,1.82,1.88,"1,459,900","80,169,200","BNT",-0.0456852791878173
"2017-10-22",2.04,2.05,1.93,1.99,"1,271,590","82,976,400","BNT",-0.0245098039215686
"2017-10-21",2.05,2.1,1.85,2.02,"1,005,330","83,460,800","BNT",-0.0146341463414633
"2017-10-20",2.1,2.18,2.03,2.05,"1,148,670","85,592,100","BNT",-0.0238095238095239
"2017-10-19",2.13,2.16,2.08,2.1,"1,496,620","86,693,200","BNT",-0.0140845070422534
"2017-10-18",2.19,2.19,2,2.14,"1,583,160","89,248,600","BNT",-0.0228310502283104
"2017-10-17",2.33,2.35,2.17,2.19,"2,294,300","95,073,900","BNT",-0.0600858369098713
"2017-10-16",2.32,2.42,2.28,2.33,"892,768","94,786,600","BNT",0.00431034482758631
"2017-10-15",2.4,2.42,2.21,2.34,"823,784","97,696,500","BNT",-0.025
"2017-10-14",2.42,2.47,2.38,2.39,"681,128","98,849,300","BNT",-0.012396694214876
"2017-10-13",2.21,2.52,2.11,2.42,"1,328,750","89,977,800","BNT",0.0950226244343891
"2017-10-12",2.19,2.25,2.17,2.2,"760,881","89,489,000","BNT",0.00456621004566221
"2017-10-11",2.19,2.22,2.17,2.2,"776,844","89,188,900","BNT",0.00456621004566221
"2017-10-10",2.2,2.27,2.17,2.17,"696,724","89,785,600","BNT",-0.0136363636363637
"2017-10-09",2.26,2.3,2.07,2.2,"2,280,330","92,159,100","BNT",-0.0265486725663715
"2017-10-08",2.31,2.33,2.26,2.26,"1,787,620","94,045,600","BNT",-0.0216450216450218
"2017-10-07",2.28,2.33,2.25,2.32,"1,224,100","92,985,100","BNT",0.0175438596491228
"2017-10-06",2.18,2.37,2.17,2.28,"1,260,730","89,008,400","BNT",0.0458715596330274
"2017-10-05",2.21,2.21,2.13,2.18,"703,998","90,103,700","BNT",-0.0135746606334841
"2017-10-04",2.17,2.21,2.15,2.21,"571,837","88,340,100","BNT",0.0184331797235023
"2017-10-03",2.22,2.24,2.07,2.16,"1,593,020","90,517,500","BNT",-0.027027027027027
"2017-10-02",2.31,2.34,2.2,2.21,"1,153,440","94,120,500","BNT",-0.0432900432900433
"2017-10-01",2.31,2.38,2.21,2.34,"2,128,430","94,357,800","BNT",0.0129870129870129
"2017-09-30",2.28,2.4,2.21,2.32,"2,447,150","93,097,600","BNT",0.0175438596491228
"2017-09-29",2.32,2.33,2.15,2.28,"1,216,580","94,647,000","BNT",-0.0172413793103448
"2017-09-28",2.33,2.35,2.27,2.32,"879,419","95,054,400","BNT",-0.00429184549356233
"2017-09-27",2.17,2.35,2.17,2.33,"706,819","88,417,100","BNT",0.0737327188940093
"2017-09-26",2.24,2.26,2.15,2.18,"955,106","91,485,100","BNT",-0.0267857142857143
"2017-09-25",2.13,2.25,2.11,2.24,"603,259","87,012,700","BNT",0.0516431924882631
"2017-09-24",2.16,2.22,2.07,2.11,"658,734","88,198,300","BNT",-0.0231481481481483
"2017-09-23",1.96,2.16,1.94,2.15,"874,673","80,099,300","BNT",0.0969387755102041
"2017-09-22",1.96,2.03,1.91,2.02,"833,754","80,100,500","BNT",0.0306122448979592
"2017-09-21",2.15,2.16,1.91,1.98,"752,825","87,787,600","BNT",-0.0790697674418604
"2017-09-20",2.13,2.22,2.09,2.16,"783,909","86,834,400","BNT",0.0140845070422536
"2017-09-19",2.24,2.26,2.1,2.13,"1,031,180","91,303,200","BNT",-0.049107142857143
"2017-09-18",1.95,2.39,1.95,2.24,"1,209,200","79,466,800","BNT",0.148717948717949
"2017-09-17",1.98,2.07,1.82,1.95,"991,284","80,548,500","BNT",-0.0151515151515152
"2017-09-16",1.92,2.2,1.79,1.98,"1,130,950","78,463,700","BNT",0.03125
"2017-09-15",1.73,2.19,1.51,1.95,"1,489,820","70,666,100","BNT",0.127167630057803
"2017-09-14",2.12,2.27,1.66,1.71,"1,091,670","86,380,000","BNT",-0.193396226415094
"2017-09-13",2.33,2.41,2,2.12,"1,345,710","95,127,500","BNT",-0.0901287553648068
"2017-09-12",2.44,2.48,2.22,2.32,"1,835,300","99,525,800","BNT",-0.0491803278688525
"2017-09-11",2.32,2.5,2.25,2.38,"1,080,540","94,445,400","BNT",0.0258620689655173
"2017-09-10",2.4,2.4,2.19,2.31,"1,005,960","97,855,300","BNT",-0.0374999999999999
"2017-09-09",2.45,2.45,2.31,2.4,"639,025","99,889,300","BNT",-0.0204081632653062
"2017-09-08",2.7,2.72,2.33,2.44,"1,249,460","110,091,000","BNT",-0.0962962962962964
"2017-09-07",2.68,2.77,2.55,2.7,"1,503,880","109,440,000","BNT",0.00746268656716419
"2017-09-06",2.52,2.77,2.5,2.69,"1,515,920","102,841,000","BNT",0.0674603174603174
"2017-09-05",2.4,2.58,2.23,2.52,"1,601,870","97,981,300","BNT",0.05
"2017-09-04",2.85,2.85,2.21,2.38,"1,831,740","116,257,000","BNT",-0.164912280701754
"2017-09-03",2.85,2.97,2.7,2.84,"1,272,440","116,382,000","BNT",-0.00350877192982464
"2017-09-02",3.24,3.24,2.73,2.85,"1,526,370","132,026,000","BNT",-0.12037037037037
"2017-09-01",3.16,3.28,3.16,3.23,"2,272,360","129,032,000","BNT",0.0221518987341772
"2017-08-31",3.18,3.23,3.11,3.18,"2,488,720","129,770,000","BNT",0
"2017-08-30",3.18,3.3,3.09,3.18,"3,915,320","129,643,000","BNT",0
"2017-08-29",2.94,3.26,2.81,3.18,"3,987,800","119,990,000","BNT",0.0816326530612246
"2017-08-28",3,3.04,2.85,2.96,"3,378,000","122,132,000","BNT",-0.0133333333333333
"2017-08-27",2.73,3,2.56,2.99,"4,833,680","111,127,000","BNT",0.0952380952380953
"2017-08-26",2.64,2.76,2.56,2.72,"2,847,010","107,676,000","BNT",0.0303030303030303
"2017-08-25",2.69,2.79,2.55,2.64,"1,993,490","109,668,000","BNT",-0.0185873605947955
"2017-08-24",2.66,2.74,2.61,2.71,"2,396,130","108,304,000","BNT",0.0187969924812029
"2017-08-23",2.66,2.75,2.62,2.66,"2,206,580","108,562,000","BNT",0
"2017-08-22",2.72,2.83,2.45,2.67,"2,669,290","110,847,000","BNT",-0.0183823529411766
"2017-08-21",2.57,2.95,2.57,2.72,"3,867,280","104,755,000","BNT",0.058365758754864
"2017-08-20",2.57,2.66,2.51,2.6,"2,516,270","104,879,000","BNT",0.0116731517509729
"2017-08-19",2.6,2.65,2.47,2.58,"2,970,530","105,814,000","BNT",-0.0076923076923077
"2017-08-18",2.69,2.83,2.54,2.6,"3,111,720","109,764,000","BNT",-0.0334572490706319
"2017-08-17",2.74,2.83,2.64,2.7,"2,441,650","111,854,000","BNT",-0.0145985401459854
"2017-08-16",2.6,2.75,2.5,2.75,"3,129,120","106,194,000","BNT",0.0576923076923077
"2017-08-15",2.78,2.79,2.53,2.61,"3,388,150","113,361,000","BNT",-0.0611510791366906
"2017-08-14",2.85,2.9,2.73,2.77,"4,883,460","116,027,000","BNT",-0.0280701754385965
"2017-08-13",2.98,2.98,2.69,2.82,"4,273,330","121,700,000","BNT",-0.0536912751677853
"2017-08-12",2.77,3.09,2.77,2.96,"6,900,550","112,911,000","BNT",0.0685920577617328
"2017-08-11",2.65,2.84,2.61,2.78,"4,985,580","108,132,000","BNT",0.0490566037735849
"2017-08-10",2.57,2.77,2.53,2.65,"2,526,260","104,988,000","BNT",0.0311284046692607
"2017-08-09",2.56,2.68,2.38,2.57,"2,988,450","104,365,000","BNT",0.00390624999999992
"2017-08-08",2.46,2.6,2.44,2.56,"2,240,360","100,239,000","BNT",0.0406504065040651
"2017-08-07",2.36,2.47,2.34,2.45,"2,195,170","96,330,300","BNT",0.0381355932203391
"2017-08-06",2.29,2.42,2.26,2.37,"1,500,290","93,343,900","BNT",0.0349344978165939
"2017-08-05",2.01,2.36,2.01,2.29,"1,305,200","82,060,400","BNT",0.139303482587065
"2017-08-04",2.01,2.06,1.98,2.01,"1,483,470","81,983,800","BNT",0
"2017-08-03",1.99,2.06,1.97,2.01,"1,605,640","80,946,200","BNT",0.0100502512562813
"2017-08-02",2.02,2.06,1.95,1.98,"1,735,610","82,502,600","BNT",-0.0198019801980198
"2017-08-01",1.87,2.1,1.72,2.02,"1,499,590","76,357,400","BNT",0.0802139037433155
"2017-07-31",1.8,1.91,1.43,1.87,"1,465,680","73,290,800","BNT",0.0388888888888889
"2017-07-30",1.83,1.85,1.73,1.81,"1,329,730","74,773,600","BNT",-0.0109289617486339
"2017-07-29",1.8,1.84,1.65,1.83,"1,713,160","73,260,100","BNT",0.0166666666666667
