"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.08,1.28,0.991613,1.28,"69,876","12,198,700","BON",0.185185185185185
"2018-01-09",0.84559,1.22,0.824424,1.08,"75,173","9,546,960","BON",0.277214725812746
"2018-01-08",0.854766,0.969688,0.820963,0.847868,"43,223","9,650,570","BON",-0.00807004490117771
"2018-01-07",0.747284,1.18,0.713459,0.880818,"41,497","8,437,060","BON",0.178692438216261
"2018-01-06",1.04,1.05,0.547453,0.817927,"41,237","11,794,600","BON",-0.213531730769231
"2018-01-05",1.1,1.26,0.731211,1.04,"24,186","12,406,900","BON",-0.0545454545454546
"2018-01-04",0.967765,1.1,0.898633,1.1,"44,179","10,926,400","BON",0.136639576756754
"2018-01-03",0.948861,0.974521,0.820963,0.962485,"61,607","10,712,900","BON",0.0143582674385396
"2018-01-02",0.663286,1.01,0.627095,0.829174,"29,596","7,488,700","BON",0.250100258410399
"2018-01-01",0.711863,0.723151,0.615354,0.663336,"3,414","8,037,150","BON",-0.0681690156673405
"2017-12-31",0.650113,0.729365,0.638068,0.709533,"18,695","7,339,970","BON",0.0913994951646866
"2017-12-30",0.700062,0.714663,0.592344,0.65536,"14,113","7,903,910","BON",-0.0638543443295021
"2017-12-29",0.692241,0.738835,0.6307,0.71579,"41,441","7,815,610","BON",0.0340184993376585
"2017-12-28",0.746937,0.758686,0.63114,0.685174,"60,803","8,433,140","BON",-0.0826883659532196
"2017-12-27",0.824774,0.825128,0.588286,0.753908,"36,453","9,311,940","BON",-0.0859217191618552
"2017-12-26",0.691936,0.832618,0.68918,0.820345,"39,226","7,812,170","BON",0.185579302131989
"2017-12-25",0.499053,0.887005,0.425098,0.692627,"40,228","5,634,460","BON",0.387882649738605
"2017-12-24",0.634542,0.826531,0.368245,0.494029,"31,817","7,164,180","BON",-0.221440030762345
"2017-12-23",0.575958,0.664245,0.57228,0.62757,"21,755","6,502,740","BON",0.0896107007802652
"2017-12-22",0.664873,0.671149,0.488719,0.570562,"20,177","7,506,620","BON",-0.1418481424272
"2017-12-21",0.656307,0.763505,0.62724,0.66258,"18,733","7,409,900","BON",0.00955802695994401
"2017-12-20",0.903122,0.943217,0.634809,0.654609,"27,983","10,196,500","BON",-0.275171017869125
"2017-12-19",0.761928,3.76,0.759946,0.904014,"38,757","8,602,400","BON",0.186482187293287
"2017-12-18",0.780294,0.780294,0.543038,0.727652,"38,901","8,809,750","BON",-0.0674643147326521
"2017-12-17",0.804125,0.843079,0.487831,0.778614,"11,188","9,078,810","BON",-0.0317251671071039
"2017-12-16",0.765602,1.05,0.542605,0.805529,"6,485","8,643,870","BON",0.0521511176825557
"2017-12-15",0.642841,0.892226,0.570822,0.764807,"29,170","7,257,870","BON",0.189729653211292
"2017-12-14",0.803618,0.803618,0.612686,0.641806,"8,286","-","BON",-0.201354374839787
"2017-12-13",1.1,1.12,0.554027,0.805941,"10,437","-","BON",-0.267326363636364
"2017-12-12",1.4,1.5,0.853341,1.1,"2,875","-","BON",-0.214285714285714
"2017-12-11",1.23,1.82,1.22,1.4,"2,236","-","BON",0.138211382113821
"2017-12-10",1.65,1.65,1.02,1.24,"6,070","-","BON",-0.248484848484848
"2017-12-09",1.58,1.78,1.4,1.65,"5,053","-","BON",0.0443037974683543
"2017-12-08",1.94,3.19,0.974622,1.58,"7,975","-","BON",-0.185567010309278
"2017-12-07",1.3,2.48,1.3,1.93,"4,834","-","BON",0.484615384615385
