"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.011019,0.012132,0.009022,0.009805,"5,622","32,102,000","BQ",-0.110173336963427
"2018-01-09",0.011451,0.012639,0.00956,0.011008,"9,645","33,360,500","BQ",-0.0386865775914766
"2018-01-08",0.008164,0.011499,0.007131,0.011486,"9,239","23,786,400","BQ",0.406908378245958
"2018-01-07",0.010566,0.011024,0.006417,0.00817,"15,768","30,782,800","BQ",-0.226765095589627
"2018-01-06",0.009963,0.010633,0.008506,0.010573,"7,097","29,027,000","BQ",0.061226538191308
"2018-01-05",0.008893,0.010951,0.008086,0.009954,"12,738","25,910,200","BQ",0.119307320364331
"2018-01-04",0.01205,0.012816,0.007726,0.008765,"12,666","35,107,300","BQ",-0.272614107883817
"2018-01-03",0.008565,0.013069,0.007915,0.01202,"8,180","23,239,600","BQ",0.403385872737887
"2018-01-02",0.009572,0.010318,0.00661,0.00859,"7,723","25,972,300","BQ",-0.102590890096114
"2018-01-01",0.010094,0.010094,0.008423,0.009561,"7,366","27,389,700","BQ",-0.0528036457301368
"2017-12-31",0.007899,0.010825,0.006835,0.010075,"8,263","21,433,200","BQ",0.275477908596025
"2017-12-30",0.008998,0.008998,0.006993,0.007984,"8,729","24,415,000","BQ",-0.112691709268726
"2017-12-29",0.00863,0.011049,0.007951,0.009014,"7,437","23,416,400","BQ",0.0444959443800694
"2017-12-28",0.010517,0.010705,0.007535,0.008548,"6,438","28,538,600","BQ",-0.187220690310925
"2017-12-27",0.006891,0.013339,0.006456,0.010681,"20,420","18,697,300","BQ",0.549992744159048
"2017-12-26",0.006915,0.007484,0.006225,0.006885,"3,084","18,764,400","BQ",-0.00433839479392632
"2017-12-25",0.007151,0.007619,0.005794,0.006926,"5,456","19,403,600","BQ",-0.0314641308907846
"2017-12-24",0.007386,0.008074,0.006333,0.007828,"10,151","20,040,600","BQ",0.0598429461142702
"2017-12-23",0.006991,0.007828,0.006907,0.007315,"6,989","18,970,100","BQ",0.0463453011014162
"2017-12-22",0.00748,0.007837,0.005894,0.00694,"4,922","20,295,900","BQ",-0.0721925133689839
"2017-12-21",0.007976,0.008609,0.007368,0.007557,"8,242","21,641,400","BQ",-0.0525325977933802
"2017-12-20",0.008613,0.009126,0.007654,0.007958,"9,443","23,370,200","BQ",-0.0760478346685244
"2017-12-19",0.010125,0.010228,0.008029,0.00862,"7,278","27,473,500","BQ",-0.148641975308642
"2017-12-18",0.010005,0.01052,0.008332,0.01012,"9,215","27,148,000","BQ",0.0114942528735633
"2017-12-17",0.00978,0.010777,0.007092,0.009986,"20,599","26,537,500","BQ",0.0210633946830265
"2017-12-16",0.010953,0.011484,0.008257,0.009778,"8,148","29,721,000","BQ",-0.107276545238747
"2017-12-15",0.008818,0.010994,0.008471,0.010937,"9,492","23,928,100","BQ",0.240303923792243
"2017-12-14",0.009893,0.010988,0.008709,0.008805,"9,598","26,845,800","BQ",-0.109976751238249
"2017-12-13",0.010854,0.012004,0.009698,0.009922,"6,952","29,453,100","BQ",-0.0858669614888521
"2017-12-12",0.013233,0.013439,0.010795,0.010845,"11,593","35,909,000","BQ",-0.180457946043981
