"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-06",1.15,1.16,1.14,1.15,"16,585","741,501","BRIA",0
"2018-01-05",0.933581,1.15,0.931251,1.15,"16,642","600,712","BRIA",0.231815985972294
"2018-01-04",0.871725,1.06,0.77886,0.934722,"12,807","560,883","BRIA",0.0722670566979266
"2018-01-03",0.7199,0.872056,0.697,0.871639,"8,452","463,194","BRIA",0.210777885817475
"2018-01-02",0.71,0.7199,0.6995,0.7199,"1,551","456,824","BRIA",0.013943661971831
"2018-01-01",0.5501,0.71,0.5501,0.71,"35","353,940","BRIA",0.290674422832212
"2017-12-31",0.62,0.7198,0.5501,0.5501,"304","398,912","BRIA",-0.112741935483871
"2017-12-30",0.662651,1.11,0.62,0.62,"1","426,348","BRIA",-0.0643641977451177
"2017-12-29",0.664102,0.791923,0.62,0.66297,"239","426,880","BRIA",-0.00170455743244264
"2017-12-28",0.75,1.11,0.66223,0.663682,"107","480,761","BRIA",-0.115090666666667
"2017-12-27",0.720984,0.840852,0.641755,0.75,"716","460,893","BRIA",0.0402449985020473
"2017-12-26",1.01,1.14,0.632984,0.72098,"4,346","645,253","BRIA",-0.286158415841584
"2017-12-25",0.750139,1.02,0.6187,1.01,"11,723","476,826","BRIA",0.346417130691778
"2017-12-24",0.68,0.750131,0.590259,0.750131,"18,901","431,029","BRIA",0.103133823529412
"2017-12-23",0.974295,1.02,0.68,0.68,"9,144","615,940","BRIA",-0.302059437849932
"2017-12-22",0.761959,1.04,0.740751,0.966499,"2,922","480,514","BRIA",0.268439640453095
"2017-12-21",0.822,1.11,0.76,0.761878,"742","517,204","BRIA",-0.0731411192214111
"2017-12-20",0.9793,0.9793,0.73,0.92,"197","614,797","BRIA",-0.0605534565505973
"2017-12-19",0.9,1.12,0.7,0.9793,"1,478","563,686","BRIA",0.088111111111111
"2017-12-18",1.25,1.25,0.9,0.9,"1,210","780,253","BRIA",-0.28
"2017-12-17",0.946163,1.26,0.93857,1.25,"4,466","589,862","BRIA",0.321125429762102
"2017-12-16",1.19,1.19,0.924847,0.946113,"923","741,138","BRIA",-0.204947058823529
"2017-12-15",0.790272,1.35,0.755965,1.19,"4,757","490,479","BRIA",0.505810657596372
"2017-12-14",0.919684,0.929285,0.721306,0.789686,"449","569,524","BRIA",-0.141350724814175
"2017-12-13",0.739686,1.33,0.737688,0.921654,"7,714","455,731","BRIA",0.246007089494732
"2017-12-12",0.513445,0.77229,0.512057,0.739659,"719","314,888","BRIA",0.440580782751804
"2017-12-11",0.57,0.6969,0.513239,0.513239,"1,164","347,620","BRIA",-0.0995807017543859
"2017-12-10",0.563821,0.700396,0.5518,0.57,"988","341,923","BRIA",0.0109591519294243
"2017-12-09",0.6,0.776,0.563057,0.563583,"478","361,817","BRIA",-0.0606950000000001
"2017-12-08",1.17,1.19,0.6,0.6,"1,703","703,898","BRIA",-0.487179487179487
"2017-12-07",0.989019,1.17,0.716549,1.17,"5,069","589,632","BRIA",0.182990417777616
"2017-12-06",0.911175,0.990315,0.68337,0.990315,"5,901","540,102","BRIA",0.0868548851757346
"2017-12-05",0.778869,0.978812,0.527679,0.912263,"17,381","459,018","BRIA",0.171266284830954
"2017-12-04",0.596842,0.833225,0.596784,0.778626,"3,297","349,714","BRIA",0.304576420560215
"2017-12-03",0.721708,0.834013,0.532,0.596669,"435","420,422","BRIA",-0.173254280124372
"2017-12-02",1,1.02,0.721561,0.721561,"299","581,308","BRIA",-0.278439
"2017-12-01",0.922033,1,0.604384,1,"4,137","530,811","BRIA",0.0845598801778245
"2017-11-30",0.953441,1.03,0.797988,0.846889,"956","545,621","BRIA",-0.111755210862549
"2017-11-29",0.891242,1.08,0.849933,0.951226,"4,432","506,982","BRIA",0.0673038299362014
"2017-11-28",1.11,1.18,0.884802,0.891355,"1,383","629,026","BRIA",-0.196977477477478
"2017-11-27",1.14,1.31,0.930898,1.11,"5,830","642,502","BRIA",-0.026315789473684
"2017-11-26",1.12,1.15,0.879117,1.14,"2,085","624,441","BRIA",0.0178571428571427
"2017-11-25",1.02,1.33,1.02,1.12,"1,736","566,758","BRIA",0.0980392156862746
"2017-11-24",1.07,1.37,0.981223,1.02,"8,339","589,018","BRIA",-0.0467289719626169
"2017-11-23",1.31,1.38,0.841426,1.07,"2,454","719,856","BRIA",-0.183206106870229
"2017-11-22",1.3,1.46,1.07,1.31,"5,836","708,493","BRIA",0.0076923076923077
"2017-11-21",1.36,1.38,1.14,1.3,"4,993","738,384","BRIA",-0.0441176470588236
"2017-11-20",1.4,1.4,1.13,1.36,"2,167","756,415","BRIA",-0.0285714285714284
"2017-11-19",1.1,1.43,0.523748,1.4,"6,722","589,148","BRIA",0.272727272727273
"2017-11-18",1.36,1.36,1.05,1.1,"673","724,904","BRIA",-0.191176470588235
"2017-11-17",1.44,1.54,1.21,1.37,"3,057","762,419","BRIA",-0.048611111111111
"2017-11-16",1.6,1.6,1.19,1.45,"2,927","841,503","BRIA",-0.0937500000000001
"2017-11-15",1.51,1.64,1.51,1.6,"1,344","784,317","BRIA",0.0596026490066226
"2017-11-14",1.16,1.58,1.13,1.5,"3,170","600,007","BRIA",0.293103448275862
"2017-11-13",1.07,1.54,1.04,1.16,"5,168","549,838","BRIA",0.0841121495327101
"2017-11-12",1.56,1.58,0.934652,1.52,"5,076","795,918","BRIA",-0.0256410256410257
"2017-11-11",1.65,1.69,1.39,1.56,"2,324","835,505","BRIA",-0.0545454545454545
"2017-11-10",1.68,1.7,1.49,1.65,"2,212","846,223","BRIA",-0.0178571428571429
"2017-11-09",1.73,1.84,1.54,1.68,"2,348","864,705","BRIA",-0.0289017341040463
"2017-11-08",1.54,1.87,1.52,1.73,"3,483","765,261","BRIA",0.123376623376623
"2017-11-07",1.65,2.15,1.44,1.54,"25,149","815,259","BRIA",-0.0666666666666666
"2017-11-06",1.72,1.75,1.55,1.65,"10,713","842,141","BRIA",-0.0406976744186047
"2017-11-05",1.67,1.77,1.52,1.72,"3,953","810,163","BRIA",0.0299401197604791
"2017-11-04",1.69,1.76,1.51,1.67,"10,167","817,506","BRIA",-0.0118343195266272
"2017-11-03",1.97,1.99,1.57,1.69,"3,792","943,209","BRIA",-0.142131979695431
"2017-11-02",1.74,2.27,1.35,1.97,"52,372","826,327","BRIA",0.132183908045977
"2017-11-01",1.14,1.86,1.13,1.74,"25,038","540,165","BRIA",0.526315789473684
"2017-10-31",1.6,1.6,1.02,1.14,"1,970","750,527","BRIA",-0.2875
"2017-10-30",1.62,1.65,1.47,1.6,"3,590","753,458","BRIA",-0.0123456790123457
"2017-10-29",1.73,1.83,1.46,1.62,"7,562","799,564","BRIA",-0.0635838150289017
"2017-10-28",1.62,1.81,1.51,1.73,"9,848","741,861","BRIA",0.0679012345679011
"2017-10-27",1.4,1.86,1.39,1.62,"12,912","636,596","BRIA",0.157142857142857
"2017-10-26",1.17,1.69,1,1.4,"7,575","527,435","BRIA",0.196581196581197
"2017-10-25",0.976667,1.28,0.896347,1.01,"3,486","437,756","BRIA",0.0341293398875974
"2017-10-24",1.07,1.08,0.810163,0.976663,"6,889","475,055","BRIA",-0.0872308411214954
"2017-10-23",1.12,1.15,0.819783,1.07,"4,244","494,878","BRIA",-0.0446428571428572
"2017-10-22",0.806185,1.31,0.662833,1.12,"2,957","352,954","BRIA",0.389259289120983
"2017-10-21",0.604538,0.810052,0.604113,0.80609,"1,050","262,588","BRIA",0.333398396792261
"2017-10-20",0.738177,0.757804,0.53385,0.604668,"1,044","318,090","BRIA",-0.180863126323361
"2017-10-19",0.573793,0.746736,0.556686,0.738104,"3,161","245,104","BRIA",0.286359366531136
"2017-10-18",0.525786,0.618239,0.524682,0.573719,"2,678","220,998","BRIA",0.0911644661516282
