"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.879706,0.899181,0.792599,0.866564,"22,060","4,390,740","BTA",-0.0149390819205507
"2018-01-09",0.829728,0.942836,0.806516,0.886104,"33,463","4,141,110","BTA",0.0679451579312738
"2018-01-08",0.880634,0.897613,0.754233,0.831022,"31,910","4,394,980","BTA",-0.0563366847066999
"2018-01-07",1,1,0.789736,0.883373,"42,781","5,006,690","BTA",-0.116627
"2018-01-06",0.616962,1.34,0.546179,1,"103,723","3,078,790","BTA",0.620845368110192
"2018-01-05",0.518738,0.651349,0.46239,0.527881,"24,344","2,588,510","BTA",0.0176254679626324
"2018-01-04",0.422095,0.5179,0.39267,0.516718,"26,184","2,106,160","BTA",0.224174652625594
"2018-01-03",0.34946,0.47307,0.34946,0.414922,"32,623","1,743,650","BTA",0.187323298803869
"2018-01-02",0.338737,0.353309,0.309299,0.350609,"19,462","1,690,070","BTA",0.0350478394742824
"2018-01-01",0.302217,0.338787,0.29612,0.338787,"7,883","1,507,790","BTA",0.121005767379069
"2017-12-31",0.33989,0.481792,0.30045,0.301383,"12,635","1,695,670","BTA",-0.113292535820413
"2017-12-30",0.33602,0.348972,0.260543,0.344209,"14,361","1,676,290","BTA",0.0243705731801679
"2017-12-29",0.333195,0.359933,0.322823,0.335714,"10,289","1,662,120","BTA",0.00756013745704465
"2017-12-28",0.365474,0.387232,0.31718,0.33189,"6,697","1,823,060","BTA",-0.0918916256696783
"2017-12-27",0.356614,0.396577,0.35024,0.366126,"13,596","1,778,780","BTA",0.0266730975228118
"2017-12-26",0.309497,0.387056,0.297135,0.354334,"13,121","1,543,690","BTA",0.144870548018236
"2017-12-25",0.321882,0.326632,0.297828,0.310547,"6,956","1,605,390","BTA",-0.0352147681448481
"2017-12-24",0.286477,0.303724,0.246505,0.292494,"10,552","1,428,740","BTA",0.0210034313400378
"2017-12-23",0.291538,0.371258,0.242188,0.298101,"7,253","1,453,920","BTA",0.022511645137169
"2017-12-22",0.301805,0.320239,0.230126,0.2892,"4,624","1,505,050","BTA",-0.041765378307185
"2017-12-21",0.390871,0.407835,0.286755,0.291828,"8,157","1,949,120","BTA",-0.2533905047957
"2017-12-20",0.445659,0.445659,0.374278,0.387917,"9,832","2,222,220","BTA",-0.129565430070974
"2017-12-19",0.486342,0.516377,0.423749,0.439392,"8,500","2,424,970","BTA",-0.096537004823766
"2017-12-18",0.455418,0.48482,0.433063,0.48482,"11,314","2,270,670","BTA",0.064560469722321
"2017-12-17",0.42879,0.469928,0.423689,0.451342,"14,432","2,137,820","BTA",0.0525945101331655
"2017-12-16",0.363464,0.432177,0.361716,0.42875,"13,314","1,812,040","BTA",0.179621640657672
"2017-12-15",0.342455,0.376419,0.323655,0.366478,"6,758","1,707,280","BTA",0.0701493626899885
"2017-12-14",0.342784,0.353815,0.304164,0.323488,"6,119","1,708,910","BTA",-0.0562920089619118
"2017-12-13",0.37124,0.390896,0.330211,0.34422,"13,180","1,850,760","BTA",-0.0727831052688288
"2017-12-12",0.359075,0.456087,0.346417,0.363095,"6,040","1,790,080","BTA",0.0111954327090441
"2017-12-11",0.32441,0.369834,0.266519,0.312185,"9,429","1,617,240","BTA",-0.0376837951974353
"2017-12-10",0.318544,0.351775,0.28895,0.328621,"9,008","1,587,970","BTA",0.0316345622582752
"2017-12-09",0.357888,0.382448,0.296742,0.316455,"13,257","1,784,070","BTA",-0.115770855686695
"2017-12-08",0.419451,0.429752,0.331864,0.356629,"10,489","2,090,930","BTA",-0.14977196382891
"2017-12-07",0.274445,0.435362,0.274445,0.403737,"13,343","1,368,060","BTA",0.471103499790486
"2017-12-06",0.214493,0.274863,0.213797,0.274863,"9,063","1,069,190","BTA",0.281454406437506
"2017-12-05",0.189229,0.219574,0.18574,0.214895,"7,431","943,238","BTA",0.135634601461721
"2017-12-04",0.239989,0.257946,0.178509,0.189854,"4,601","1,196,240","BTA",-0.208905408164541
"2017-12-03",0.175784,0.243427,0.174433,0.236874,"2,070","876,188","BTA",0.347528785327447
"2017-12-02",0.243203,0.261556,0.175397,0.175737,"4,402","1,212,220","BTA",-0.277406117523221
"2017-12-01",0.15837,0.27332,0.151912,0.242942,"5,547","789,359","BTA",0.534015280671844
"2017-11-30",0.188709,0.211346,0.135739,0.159114,"3,310","940,562","BTA",-0.15682876810327
"2017-11-29",0.167935,0.220021,0.159131,0.185441,"7,375","837,007","BTA",0.104242712954417
"2017-11-28",0.144042,0.187052,0.143432,0.169239,"6,925","717,907","BTA",0.174928145957429
"2017-11-27",0.135522,0.149426,0.134845,0.143625,"5,595","675,431","BTA",0.0597910302386328
"2017-11-26",0.136329,0.153319,0.133857,0.134326,"6,745","679,441","BTA",-0.0146923985358948
"2017-11-25",0.122658,0.146687,0.121074,0.13725,"6,210","611,298","BTA",0.118964926869833
"2017-11-24",0.127434,0.12892,0.120854,0.123234,"3,862","635,089","BTA",-0.0329582372051415
"2017-11-23",0.129242,0.131844,0.115414,0.127645,"2,055","644,086","BTA",-0.0123566642422741
"2017-11-22",0.125795,0.135576,0.123357,0.135176,"3,653","626,895","BTA",0.0745737111967884
"2017-11-21",0.139902,0.142305,0.124275,0.124994,"4,997","697,185","BTA",-0.106560306500265
"2017-11-20",0.165586,0.168588,0.129738,0.136913,"3,648","825,164","BTA",-0.173160774461609
"2017-11-19",0.124582,0.175687,0.115806,0.166127,"2,436","620,818","BTA",0.333475140871073
"2017-11-18",0.125378,0.131017,0.111231,0.125713,"2,456","624,773","BTA",0.00267192011357656
"2017-11-17",0.126744,0.131961,0.112729,0.125124,"2,324","631,572","BTA",-0.0127816701382313
"2017-11-16",0.127327,0.129451,0.117331,0.127137,"3,811","634,465","BTA",-0.00149222081726575
"2017-11-15",0.119237,0.129497,0.092726,0.126621,"2,863","594,142","BTA",0.0619270863909694
