"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.015185,0.017703,0.011551,0.011865,"927","-","BTC2X",-0.218636812644057
"2018-01-09",0.011131,0.015844,0.011131,0.015178,"1,531","-","BTC2X",0.363579193244093
"2018-01-08",0.010045,0.011585,0.008729,0.011163,"2,371","-","BTC2X",0.111299153807865
"2018-01-07",0.009056,0.010778,0.009034,0.009955,"1,760","-","BTC2X",0.0992712014134276
"2018-01-06",0.009708,0.009795,0.008647,0.00906,"1,647","-","BTC2X",-0.0667490729295426
"2018-01-05",0.0105,0.010954,0.005488,0.009661,"2,304","-","BTC2X",-0.079904761904762
"2018-01-04",0.010477,0.01105,0.010004,0.010544,"157","-","BTC2X",0.00639496038942439
"2018-01-03",0.010255,0.011281,0.009228,0.010461,"2,993","-","BTC2X",0.0200877620672842
"2018-01-02",0.012475,0.014368,0.009088,0.010207,"5,220","-","BTC2X",-0.181803607214429
"2018-01-01",0.010134,0.012769,0.007631,0.012446,"2,670","-","BTC2X",0.228142885336491
"2017-12-31",0.006944,0.012687,0.006888,0.010146,"12,767","-","BTC2X",0.461117511520737
"2017-12-30",0.00732,0.00736,0.00408,0.007005,"3,517","-","BTC2X",-0.0430327868852459
"2017-12-29",0.008454,0.010842,0.006671,0.007324,"9,446","-","BTC2X",-0.133664537497043
"2017-12-28",0.007276,0.011355,0.00517,0.008403,"10,578","-","BTC2X",0.154892798240792
"2017-12-27",0.003545,0.0074,0.003259,0.007288,"3,966","-","BTC2X",1.0558533145275
"2017-12-26",0.004828,0.00502,0.00316,0.004227,"3,136","-","BTC2X",-0.124482187241094
"2017-12-25",0.002766,0.004963,0.00268,0.004827,"1,714","-","BTC2X",0.745119305856833
"2017-12-24",0.00495,0.00495,0.002042,0.002752,"2,433","-","BTC2X",-0.444040404040404
"2017-12-23",0.003301,0.005226,0.002237,0.004892,"1,664","-","BTC2X",0.481975159042714
"2017-12-22",0.004867,0.005029,0.002949,0.003274,"750","-","BTC2X",-0.327306348880214
"2017-12-21",0.005193,0.005464,0.004624,0.004848,"614","-","BTC2X",-0.0664355863662622
"2017-12-20",0.003995,0.005263,0.002267,0.005187,"2,629","-","BTC2X",0.29837296620776
"2017-12-19",0.006317,0.006535,0.003999,0.003999,"7,934","-","BTC2X",-0.366946335285737
"2017-12-18",0.002953,0.006389,0.002953,0.006336,"3,242","-","BTC2X",1.14561462919065
"2017-12-17",0.00631,0.006942,0.002939,0.002957,"5,940","-","BTC2X",-0.531378763866878
"2017-12-16",0.008215,0.008589,0.00628,0.00629,"2,438","-","BTC2X",-0.234327449786975
"2017-12-15",0.007367,0.008526,0.005906,0.0082,"3,020","-","BTC2X",0.113071806705579
"2017-12-14",0.008413,0.00902,0.006697,0.00736,"3,057","-","BTC2X",-0.125163437537145
"2017-12-13",0.006607,0.009441,0.006488,0.008417,"3,495","-","BTC2X",0.273951869229605
"2017-12-12",0.005767,0.007797,0.005249,0.006603,"2,563","-","BTC2X",0.144962718917982
"2017-12-11",0.005247,0.006416,0.004643,0.005804,"5,178","-","BTC2X",0.106155898608729
"2017-12-10",0.006646,0.006646,0.004479,0.005241,"4,183","-","BTC2X",-0.211405356605477
"2017-12-09",0.00543,0.007444,0.005092,0.006625,"11,746","-","BTC2X",0.220073664825046
"2017-12-08",0.006676,0.006812,0.005412,0.005431,"680","-","BTC2X",-0.186488915518274
"2017-12-07",0.007617,0.007844,0.006623,0.006667,"7,573","-","BTC2X",-0.124721018773795
"2017-12-06",0.004238,0.00844,0.004238,0.007649,"9,182","-","BTC2X",0.804860783388391
"2017-12-05",0.004291,0.004408,0.004185,0.004246,"4,029","-","BTC2X",-0.0104870659519925
"2017-12-04",0.003722,0.00613,0.003673,0.004289,"7,046","-","BTC2X",0.152337452982268
"2017-12-03",0.004119,0.004362,0.003129,0.003744,"11,324","-","BTC2X",-0.0910415149308085
"2017-12-02",0.005255,0.007134,0.00347,0.004118,"12,021","-","BTC2X",-0.216365366317793
"2017-12-01",0.003535,0.009587,0.003528,0.005255,"7,777","-","BTC2X",0.486562942008487
"2017-11-30",0.002335,0.007069,0.002329,0.003544,"1,706","-","BTC2X",0.517773019271949
"2017-11-29",0.013107,0.013673,0.00048,0.002306,"4,984","-","BTC2X",-0.82406347753109
"2017-11-28",0.011817,0.014245,0.010146,0.013097,"4,323","-","BTC2X",0.108318524160108
"2017-11-27",0.016232,0.016438,0.010586,0.011833,"2,426","-","BTC2X",-0.27100788565796
"2017-11-26",0.016233,0.017097,0.01372,0.016236,"1,984","-","BTC2X",0.000184808722971695
"2017-11-25",0.01786,0.022559,0.015229,0.016232,"3,804","-","BTC2X",-0.0911534154535275
"2017-11-24",0.015448,0.021718,0.012279,0.017862,"25,099","-","BTC2X",0.156266183324702
"2017-11-23",0.021038,0.021156,0.014398,0.015526,"23,554","-","BTC2X",-0.26200209145356
"2017-11-22",0.021605,0.024171,0.019131,0.02099,"82,295","-","BTC2X",-0.0284656329553343
"2017-11-21",0.015031,0.05494,0.015031,0.021578,"168,650","-","BTC2X",0.435566495908456
"2017-11-20",0.013772,0.01523,0.01375,0.015055,"25,237","-","BTC2X",0.0931600348533257
