"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.016719,0.021315,0.014438,0.016128,"10,240","-","BTCM",-0.0353490041270412
"2018-01-09",0.017898,0.019102,0.016391,0.016699,"6,381","-","BTCM",-0.0669907252206952
"2018-01-08",0.017388,0.019405,0.014181,0.017984,"18,741","-","BTCM",0.0342765125373821
"2018-01-07",0.013686,0.017388,0.013106,0.017369,"7,722","-","BTCM",0.269107116761654
"2018-01-06",0.013786,0.016771,0.012008,0.013696,"7,511","-","BTCM",-0.00652836210648483
"2018-01-05",0.013792,0.016545,0.01242,0.013775,"5,574","-","BTCM",-0.00123259860788861
"2018-01-04",0.012384,0.014849,0.012368,0.013784,"10,034","-","BTCM",0.113049095607235
"2018-01-03",0.015462,0.017512,0.010859,0.0126,"7,719","-","BTCM",-0.185098952270081
"2018-01-02",0.012874,0.018945,0.012874,0.015509,"8,210","-","BTCM",0.204676091346901
"2018-01-01",0.019276,0.023273,0.012871,0.012871,"7,517","-","BTCM",-0.332278481012658
"2017-12-31",0.011899,0.019779,0.011168,0.019779,"7,258","-","BTCM",0.662240524413816
"2017-12-30",0.013354,0.013505,0.010412,0.012025,"6,754","-","BTCM",-0.0995207428485847
"2017-12-29",0.011352,0.013492,0.009719,0.013455,"4,691","-","BTCM",0.185253699788584
"2017-12-28",0.012906,0.013837,0.008505,0.011158,"7,628","-","BTCM",-0.135440880210755
"2017-12-27",0.015014,0.016068,0.010554,0.012933,"11,470","-","BTCM",-0.138603969628347
"2017-12-26",0.012563,0.016292,0.010432,0.015002,"10,628","-","BTCM",0.194141526705405
"2017-12-25",0.014935,0.01532,0.011529,0.012575,"6,926","-","BTCM",-0.158018078339471
"2017-12-24",0.014833,0.017267,0.012017,0.01479,"8,150","-","BTCM",-0.00289894154924839
"2017-12-23",0.017439,0.018413,0.014526,0.015091,"9,620","-","BTCM",-0.134640747749298
"2017-12-22",0.020288,0.021284,0.01324,0.017206,"9,586","-","BTCM",-0.151912460567823
"2017-12-21",0.020761,0.02216,0.017354,0.021089,"13,763","-","BTCM",0.0157988536197678
"2017-12-20",0.023773,0.025274,0.019096,0.020717,"17,312","-","BTCM",-0.128549194464308
"2017-12-19",0.022074,0.028844,0.020011,0.023788,"40,758","-","BTCM",0.0776479115701731
"2017-12-18",0.024249,0.025996,0.01921,0.022039,"21,908","-","BTCM",-0.0911377788774795
"2017-12-17",0.031554,0.032516,0.021847,0.024195,"21,718","-","BTCM",-0.23321924320213
"2017-12-16",0.02927,0.034774,0.026333,0.031335,"43,621","-","BTCM",0.0705500512470106
"2017-12-15",0.023637,0.029894,0.022973,0.028663,"28,077","-","BTCM",0.212632736810932
"2017-12-14",0.019232,0.02744,0.01891,0.023606,"20,238","-","BTCM",0.227433444259567
"2017-12-13",0.027078,0.032939,0.022963,0.027244,"34,216","-","BTCM",0.0061304379939434
"2017-12-12",0.031093,0.033913,0.021425,0.026525,"39,493","-","BTCM",-0.146914096420416
"2017-12-11",0.03732,0.042099,0.028154,0.031148,"72,582","-","BTCM",-0.165380493033226
"2017-12-10",0.037697,0.040168,0.031698,0.037427,"48,514","-","BTCM",-0.00716237366368675
"2017-12-09",0.036369,0.044517,0.032197,0.036503,"94,750","-","BTCM",0.00368445654266002
"2017-12-08",0.021909,0.046622,0.018274,0.036289,"120,015","-","BTCM",0.6563512711671
"2017-12-07",0.040425,0.041608,0.018802,0.022102,"62,668","-","BTCM",-0.45325912183055
"2017-12-06",0.041299,0.048219,0.033203,0.041013,"104,232","-","BTCM",-0.0069251071454515
"2017-12-05",0.063196,0.085734,0.037349,0.0415,"490,882","-","BTCM",-0.343312867903032
"2017-12-04",0.013171,0.094353,0.010919,0.062003,"1,478,910","-","BTCM",3.7075392908663
"2017-12-03",0.009612,0.012816,0.009011,0.01158,"13,769","-","BTCM",0.204744069912609
"2017-12-02",0.010034,0.012858,0.009248,0.009604,"16,979","-","BTCM",-0.0428542953956548
"2017-12-01",0.006422,0.011049,0.005514,0.010042,"22,728","-","BTCM",0.563687324820928
"2017-11-30",0.006039,0.008237,0.005154,0.006453,"8,947","-","BTCM",0.0685543964232489
"2017-11-29",0.006491,0.008345,0.004942,0.005968,"6,150","-","BTCM",-0.0805731012170698
"2017-11-28",0.008014,0.00926,0.006351,0.006506,"13,951","-","BTCM",-0.188170701272773
"2017-11-27",0.007379,0.013192,0.007344,0.009023,"24,243","-","BTCM",0.222794416587613
"2017-11-26",0.012066,0.013997,0.007109,0.008014,"35,066","-","BTCM",-0.335819658544671
"2017-11-25",0.019066,0.019527,0.010332,0.012069,"79,719","-","BTCM",-0.366988356236232
"2017-11-24",0.00981,0.032667,0.00981,0.0191,"266,928","-","BTCM",0.946992864424057
"2017-11-23",0.001928,0.014019,0.001822,0.00983,"86,783","-","BTCM",4.09854771784232
"2017-11-22",0.001164,0.002035,0.001161,0.001926,"1,597","-","BTCM",0.654639175257732
"2017-11-21",0.001488,0.001999,0.001095,0.001162,"905","-","BTCM",-0.219086021505376
"2017-11-20",0.002015,0.002042,0.000773,0.001488,"1,177","-","BTCM",-0.261538461538461
"2017-11-19",0.001926,0.002231,0.0015,0.002016,"1,187","-","BTCM",0.0467289719626168
"2017-11-18",0.001569,0.002093,0.001292,0.001929,"1,034","-","BTCM",0.229445506692161
"2017-11-17",0.001246,0.001872,0.001164,0.001575,"679","-","BTCM",0.264044943820225
"2017-11-16",0.001779,0.002035,0.00116,0.00125,"1,153","-","BTCM",-0.297358066329399
"2017-11-15",0.001839,0.002231,0.001465,0.001828,"1,324","-","BTCM",-0.00598151169113646
"2017-11-14",0.001193,0.001861,0.001193,0.001837,"1,439","-","BTCM",0.539815590947192
"2017-11-13",0.000877,0.001445,0.000877,0.001191,"2,141","-","BTCM",0.358038768529076
