"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.060696,0.077942,0.056412,0.077942,"63,709","1,233,330","BTCRED",0.284137340187162
"2018-01-09",0.061864,0.070171,0.054067,0.060625,"101,550","1,257,070","BTCRED",-0.0200278029225398
"2018-01-08",0.072522,0.079845,0.058894,0.06416,"93,296","1,402,940","BTCRED",-0.115302942555363
"2018-01-07",0.057858,0.076912,0.05782,0.072283,"109,977","1,091,480","BTCRED",0.249317294064779
"2018-01-06",0.07904,0.082573,0.058594,0.061279,"93,145","1,483,190","BTCRED",-0.224709008097166
"2018-01-05",0.088415,0.088415,0.059121,0.078984,"103,377","1,652,030","BTCRED",-0.106667420686535
"2018-01-04",0.108855,0.115614,0.063872,0.087869,"259,385","1,979,510","BTCRED",-0.192788571953516
"2018-01-03",0.159163,0.163421,0.107317,0.112673,"198,426","2,884,820","BTCRED",-0.292090498419859
"2018-01-02",0.133749,0.159562,0.120421,0.158894,"70,718","2,424,200","BTCRED",0.188001405617986
"2018-01-01",0.175461,0.175461,0.124537,0.13365,"155,004","3,180,220","BTCRED",-0.238292270077111
"2017-12-31",0.15527,0.175163,0.146105,0.175163,"48,659","2,814,260","BTCRED",0.128118760868165
"2017-12-30",0.162096,0.179694,0.136795,0.15565,"47,324","2,937,980","BTCRED",-0.0397665580890335
"2017-12-29",0.138277,0.165461,0.125992,0.163375,"58,685","2,506,250","BTCRED",0.181505239483066
"2017-12-28",0.13292,0.146693,0.117714,0.13693,"43,155","2,409,160","BTCRED",0.0301685224195003
"2017-12-27",0.153926,0.160409,0.125838,0.133195,"35,077","2,789,890","BTCRED",-0.134681600249471
"2017-12-26",0.141957,0.173036,0.133766,0.159643,"48,291","2,572,960","BTCRED",0.124587022830857
"2017-12-25",0.136045,0.146375,0.128215,0.142106,"52,544","2,465,810","BTCRED",0.0445514351868868
"2017-12-24",0.141847,0.152794,0.124997,0.134432,"45,514","2,570,970","BTCRED",-0.0522746339365655
"2017-12-23",0.133593,0.160668,0.133593,0.140747,"85,628","2,421,360","BTCRED",0.0535507099922902
"2017-12-22",0.15802,0.190168,0.127858,0.132623,"131,647","2,864,090","BTCRED",-0.16072016200481
"2017-12-21",0.136241,0.196206,0.123845,0.162392,"164,493","2,469,350","BTCRED",0.191946623997182
"2017-12-20",0.156347,0.158493,0.11807,0.136024,"113,354","2,833,780","BTCRED",-0.129986504378082
"2017-12-19",0.203629,0.206313,0.151989,0.156308,"154,452","3,690,750","BTCRED",-0.232388314041713
"2017-12-18",0.213063,0.215871,0.187546,0.203786,"120,508","3,855,350","BTCRED",-0.0435411122531834
"2017-12-17",0.241136,0.242699,0.208194,0.212744,"96,009","4,363,340","BTCRED",-0.117742684626103
"2017-12-16",0.240753,0.258907,0.230822,0.241049,"156,919","4,356,410","BTCRED",0.00122947585284511
"2017-12-15",0.258885,0.26348,0.230985,0.237931,"162,998","4,632,740","BTCRED",-0.0809394132529887
"2017-12-14",0.262585,0.271368,0.219569,0.260622,"242,133","4,620,160","BTCRED",-0.00747567454348113
"2017-12-13",0.220035,0.284833,0.190225,0.260663,"352,304","3,871,510","BTCRED",0.184643352193969
"2017-12-12",0.249889,0.257387,0.210882,0.222844,"204,977","4,334,310","BTCRED",-0.108228053255646
"2017-12-11",0.266611,0.292819,0.253045,0.253179,"239,399","4,624,360","BTCRED",-0.0503805169329097
"2017-12-10",0.245721,0.300418,0.185198,0.267201,"301,754","3,537,660","BTCRED",0.0874162159522386
"2017-12-09",0.297626,0.306543,0.239357,0.243566,"189,383","4,284,940","BTCRED",-0.181637356951342
"2017-12-08",0.295454,0.318044,0.262318,0.298118,"238,471","4,253,680","BTCRED",0.00901663203070529
"2017-12-07",0.338544,0.354126,0.286847,0.290715,"621,769","4,874,040","BTCRED",-0.141278533957181
"2017-12-06",0.280062,0.359151,0.280062,0.341363,"705,492","4,032,080","BTCRED",0.218883675757511
"2017-12-05",0.504446,0.538375,0.276929,0.29078,"1,916,050","7,262,540","BTCRED",-0.423565654202828
"2017-12-04",0.177432,0.814348,0.177432,0.507245,"5,471,500","2,554,500","BTCRED",1.85881351729113
"2017-12-03",0.110944,0.223104,0.10861,0.176319,"816,053","1,597,260","BTCRED",0.589261248918373
"2017-12-02",0.116731,0.117797,0.099535,0.110631,"135,885","1,680,590","BTCRED",-0.052256898338916
"2017-12-01",0.098408,0.124499,0.091505,0.116528,"386,107","1,416,780","BTCRED",0.184131371433217
"2017-11-30",0.052882,0.099289,0.041426,0.099289,"220,404","761,342","BTCRED",0.877557581029462
"2017-11-29",0.041452,0.061671,0.032255,0.052328,"70,771","596,791","BTCRED",0.262375759915082
"2017-11-28",0.047288,0.051759,0.040322,0.041433,"37,044","680,802","BTCRED",-0.123815767213669
"2017-11-27",0.059217,0.061708,0.047037,0.047227,"69,881","592,166","BTCRED",-0.20247564044109
"2017-11-26",0.063359,0.073536,0.054434,0.059203,"94,599","633,590","BTCRED",-0.0655944696096845
"2017-11-25",0.083434,0.083889,0.053883,0.063121,"143,917","834,343","BTCRED",-0.243461898027183
"2017-11-24",0.081323,0.105373,0.074239,0.083579,"217,069","813,231","BTCRED",0.0277412294184916
"2017-11-23",0.156044,0.157056,0.075121,0.081466,"590,643","1,560,440","BTCRED",-0.477929301991746
"2017-11-22",0.061598,0.162988,0.059653,0.156106,"1,141,830","615,980","BTCRED",1.53427059320108
"2017-11-21",0.034718,0.070091,0.034101,0.061739,"180,620","347,181","BTCRED",0.778299441212052
"2017-11-20",0.024979,0.045747,0.023468,0.036838,"91,347","249,792","BTCRED",0.474758797389807
"2017-11-19",0.022284,0.02499,0.019223,0.02492,"25,637","222,837","BTCRED",0.118291150601328
"2017-11-18",0.023066,0.024727,0.019791,0.022353,"17,830","230,664","BTCRED",-0.0309112980143934
"2017-11-17",0.028279,0.029656,0.02077,0.023133,"27,262","282,794","BTCRED",-0.181972488418968
"2017-11-16",0.020352,0.03439,0.017474,0.026748,"55,187","203,519","BTCRED",0.314268867924528
"2017-11-15",0.016582,0.021535,0.014216,0.020299,"20,829","165,817","BTCRED",0.224158726329755
"2017-11-14",0.018619,0.020711,0.012424,0.01657,"25,274","186,191","BTCRED",-0.110048874805306
"2017-11-13",0.006141,0.022645,0.006141,0.019516,"24,482","61,414","BTCRED",2.17798404168702
"2017-11-12",0.008226,0.009054,0.005993,0.006133,"2,186","82,261","BTCRED",-0.25443715049842
"2017-11-11",0.007063,0.008479,0.005548,0.008229,"2,084","70,634","BTCRED",0.165085657652556
"2017-11-10",0.009732,0.010523,0.006077,0.007384,"6,816","97,318","BTCRED",-0.241265926839293
"2017-11-09",0.010305,0.011653,0.009046,0.009725,"4,118","103,049","BTCRED",-0.0562833575934013
"2017-11-08",0.010537,0.012194,0.009179,0.010353,"6,334","105,369","BTCRED",-0.0174622757900731
"2017-11-07",0.016021,0.017303,0.010495,0.010554,"4,943","160,209","BTCRED",-0.341239622994819
"2017-11-06",0.011782,0.017066,0.010255,0.012343,"12,225","117,818","BTCRED",0.0476150059412662
"2017-11-05",0.01417,0.01506,0.011092,0.011767,"2,887","141,701","BTCRED",-0.169583627381793
"2017-11-04",0.016132,0.016132,0.009749,0.014176,"1,451","161,319","BTCRED",-0.12124969005703
"2017-11-03",0.012433,0.018004,0.006592,0.016132,"6,640","124,330","BTCRED",0.297514678677713
"2017-11-02",0.019344,0.021157,0.011855,0.012382,"8,151","193,437","BTCRED",-0.35990488006617
"2017-11-01",0.02031,0.022542,0.017254,0.019294,"9,888","203,095","BTCRED",-0.0500246184145742
"2017-10-31",0.025696,0.029052,0.017303,0.020342,"22,056","256,962","BTCRED",-0.208359277708593
"2017-10-30",0.013391,0.02569,0.011683,0.02569,"27,621","133,910","BTCRED",0.918452692106639
"2017-10-29",0.015675,0.018364,0.013302,0.013418,"14,934","156,753","BTCRED",-0.143987240829346
"2017-10-28",0.019999,0.020646,0.012026,0.015682,"28,747","199,989","BTCRED",-0.215860793039652
"2017-10-27",0.032017,0.032017,0.012654,0.019981,"45,831","320,170","BTCRED",-0.375925289689852
"2017-10-26",0.004114,0.04097,0.004093,0.032033,"162,297","41,144","BTCRED",6.78633932912008
"2017-10-25",0.004138,0.004138,0.0041,0.004123,"2,040","41,384","BTCRED",-0.00362493958434032
