"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.847052,0.913776,0.729827,0.770107,"25,727","14,636,300","BTDX",-0.0908385789774418
"2018-01-09",0.753826,0.86986,0.751315,0.845943,"20,239","12,994,700","BTDX",0.122199287368703
"2018-01-08",0.815599,0.933256,0.716993,0.755886,"45,325","14,024,900","BTDX",-0.0732136748573748
"2018-01-07",0.847629,0.978391,0.816741,0.816741,"39,528","14,539,600","BTDX",-0.0364404710079527
"2018-01-06",0.837959,1.05,0.784835,0.847844,"35,399","14,338,500","BTDX",0.0117965198774642
"2018-01-05",0.672706,0.842912,0.620145,0.806499,"48,257","11,482,400","BTDX",0.198887775640473
"2018-01-04",0.614918,0.756238,0.536795,0.67253,"25,488","10,469,600","BTDX",0.0936905408526015
"2018-01-03",0.530351,0.617696,0.530017,0.611653,"24,020","9,007,410","BTDX",0.153298475915007
"2018-01-02",0.520707,0.558518,0.46478,0.532224,"37,426","8,822,150","BTDX",0.022118004943279
"2018-01-01",0.556548,0.556548,0.484758,0.520748,"22,087","9,405,760","BTDX",-0.0643250896598318
"2017-12-31",0.456967,0.568332,0.438801,0.554421,"12,997","7,703,690","BTDX",0.213262664481243
"2017-12-30",0.557422,0.559213,0.386729,0.46195,"15,234","9,373,960","BTDX",-0.171274187240547
"2017-12-29",0.459184,0.584791,0.376837,0.555905,"39,861","7,702,360","BTDX",0.21063669465835
"2017-12-28",0.505853,0.514127,0.430111,0.45448,"36,550","8,464,180","BTDX",-0.101557171747523
"2017-12-27",0.447019,0.521752,0.445032,0.506916,"26,015","7,460,420","BTDX",0.133992067451272
"2017-12-26",0.362949,0.499694,0.362949,0.446673,"16,808","6,042,000","BTDX",0.230677037269699
"2017-12-25",0.443091,0.449866,0.345408,0.363336,"12,266","7,357,310","BTDX",-0.179996885515616
"2017-12-24",0.464831,0.478956,0.387798,0.438563,"29,407","7,699,260","BTDX",-0.0565108609365555
"2017-12-23",0.423552,0.508696,0.389914,0.460126,"33,441","6,997,500","BTDX",0.0863506724085826
"2017-12-22",0.357029,0.47074,0.278723,0.419595,"15,654","5,883,430","BTDX",0.175240666724552
"2017-12-21",0.470542,0.487702,0.334467,0.355797,"23,761","7,734,300","BTDX",-0.243857083958499
"2017-12-20",0.500055,0.516651,0.392819,0.469318,"24,892","8,198,160","BTDX",-0.0614672386037536
"2017-12-19",0.576665,0.647624,0.265544,0.500503,"168,953","9,429,670","BTDX",-0.132073214084434
"2017-12-18",0.746105,0.746105,0.564046,0.576177,"27,868","12,168,400","BTDX",-0.227753466335167
"2017-12-17",0.782744,0.829562,0.709959,0.743853,"49,161","12,732,600","BTDX",-0.049685465490633
"2017-12-16",0.881289,0.958569,0.577469,0.782643,"84,265","14,299,100","BTDX",-0.111933769739552
"2017-12-15",0.877834,0.879794,0.577621,0.858936,"43,545","14,206,300","BTDX",-0.0215279882073376
"2017-12-14",0.61676,0.944703,0.554687,0.87651,"141,254","9,955,600","BTDX",0.421152474220118
"2017-12-13",0.585394,0.659434,0.533589,0.618746,"10,393","9,424,000","BTDX",0.056973593853029
"2017-12-12",0.770676,0.770676,0.467414,0.584904,"39,890","12,374,400","BTDX",-0.24105071391869
