"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",NA,NA,NA,NA,"1,561","707,918","BTWTY",NA
"2018-01-09",NA,NA,NA,NA,"1,252","751,266","BTWTY",NA
"2018-01-08",NA,NA,NA,NA,"7,395","816,032","BTWTY",NA
"2018-01-07",NA,NA,NA,NA,"3,661","839,900","BTWTY",NA
"2018-01-06",NA,NA,NA,NA,"5,040","777,322","BTWTY",NA
"2018-01-05",NA,NA,NA,NA,"3,314","813,479","BTWTY",NA
"2018-01-04",NA,NA,NA,NA,"3,810","886,997","BTWTY",NA
"2018-01-03",NA,NA,NA,NA,"21,436","925,591","BTWTY",NA
"2018-01-02",NA,NA,NA,NA,"3,959","725,815","BTWTY",NA
"2018-01-01",NA,NA,NA,NA,"1,641","686,533","BTWTY",NA
"2017-12-31",NA,NA,NA,NA,"9,795","679,461","BTWTY",NA
"2017-12-30",NA,NA,NA,NA,"700","583,826","BTWTY",NA
"2017-12-29",NA,NA,NA,NA,"1,950","551,409","BTWTY",NA
"2017-12-28",NA,NA,NA,NA,"7,772","937,685","BTWTY",NA
"2017-12-27",NA,NA,NA,NA,"449","657,776","BTWTY",NA
"2017-12-26",NA,NA,NA,NA,"1,398","639,643","BTWTY",NA
"2017-12-25",NA,NA,NA,NA,"7,803","876,892","BTWTY",NA
"2017-12-24",NA,NA,NA,NA,"2,156","567,002","BTWTY",NA
"2017-12-23",NA,NA,NA,NA,"5,995","787,433","BTWTY",NA
"2017-12-22",NA,NA,NA,NA,"6,191","723,805","BTWTY",NA
"2017-12-21",NA,NA,NA,NA,"5,355","801,683","BTWTY",NA
"2017-12-20",NA,NA,NA,NA,"8,458","505,811","BTWTY",NA
"2017-12-19",NA,NA,NA,NA,"3,623","674,852","BTWTY",NA
"2017-12-18",NA,NA,NA,NA,"4,659","467,656","BTWTY",NA
"2017-12-17",NA,NA,NA,NA,"1,462","527,706","BTWTY",NA
"2017-12-16",NA,NA,NA,NA,"1,953","396,159","BTWTY",NA
"2017-12-15",NA,NA,NA,NA,"2,419","356,975","BTWTY",NA
"2017-12-14",NA,NA,NA,NA,"6,997","433,065","BTWTY",NA
"2017-12-13",NA,NA,NA,NA,"3,003","444,217","BTWTY",NA
"2017-12-12",NA,NA,NA,NA,"1,567","423,335","BTWTY",NA
"2017-12-11",NA,NA,NA,NA,"1,554","386,543","BTWTY",NA
"2017-12-10",NA,NA,NA,NA,"3,957","598,870","BTWTY",NA
"2017-12-09",NA,NA,NA,NA,"808","735,522","BTWTY",NA
"2017-12-08",NA,NA,NA,NA,"10,276","552,349","BTWTY",NA
"2017-12-07",NA,NA,NA,NA,"12,887","411,109","BTWTY",NA
"2017-12-06",NA,NA,NA,NA,"6,221","379,761","BTWTY",NA
"2017-12-05",NA,NA,NA,NA,"1,257","401,867","BTWTY",NA
"2017-12-04",NA,NA,NA,NA,"3,454","351,212","BTWTY",NA
"2017-12-03",NA,NA,NA,NA,"1,252","319,839","BTWTY",NA
"2017-12-02",NA,NA,NA,NA,"1,157","307,217","BTWTY",NA
"2017-12-01",NA,NA,NA,NA,"1,557","282,266","BTWTY",NA
"2017-11-30",NA,NA,NA,NA,"350","270,271","BTWTY",NA
"2017-11-23",NA,NA,NA,NA,"578","295,897","BTWTY",NA
"2017-11-22",NA,NA,NA,NA,"61","236,528","BTWTY",NA
"2017-11-21",NA,NA,NA,NA,"1,078","223,477","BTWTY",NA
"2017-11-20",NA,NA,NA,NA,"578","216,856","BTWTY",NA
"2017-11-19",NA,NA,NA,NA,"321","212,581","BTWTY",NA
"2017-11-18",NA,NA,NA,NA,"565","230,519","BTWTY",NA
"2017-11-17",NA,NA,NA,NA,"11","195,100","BTWTY",NA
"2017-11-16",NA,NA,NA,NA,"4","210,957","BTWTY",NA
"2017-11-15",NA,NA,NA,NA,"393","201,266","BTWTY",NA
"2017-11-14",NA,NA,NA,NA,"221","187,081","BTWTY",NA
"2017-11-13",NA,NA,NA,NA,"162","169,689","BTWTY",NA
"2017-11-11",NA,NA,NA,NA,"797","161,830","BTWTY",NA
"2017-11-10",NA,NA,NA,NA,"724","190,799","BTWTY",NA
"2017-11-09",NA,NA,NA,NA,"401","167,765","BTWTY",NA
"2017-11-08",NA,NA,NA,NA,"857","209,958","BTWTY",NA
"2017-11-07",NA,NA,NA,NA,"190","194,019","BTWTY",NA
"2017-11-06",NA,NA,NA,NA,"2,236","200,043","BTWTY",NA
"2017-11-05",NA,NA,NA,NA,"29","202,789","BTWTY",NA
"2017-11-04",NA,NA,NA,NA,"419","193,597","BTWTY",NA
"2017-11-03",NA,NA,NA,NA,"274","252,458","BTWTY",NA
"2017-11-02",NA,NA,NA,NA,"176","117,667","BTWTY",NA
"2017-11-01",NA,NA,NA,NA,"397","209,356","BTWTY",NA
"2017-10-31",NA,NA,NA,NA,"155","261,833","BTWTY",NA
"2017-10-30",NA,NA,NA,NA,"3","172,531","BTWTY",NA
"2017-10-29",NA,NA,NA,NA,"5","263,787","BTWTY",NA
"2017-10-28",NA,NA,NA,NA,"663","388,106","BTWTY",NA
"2017-10-27",NA,NA,NA,NA,"16","160,416","BTWTY",NA
"2017-10-26",NA,NA,NA,NA,"217","166,124","BTWTY",NA
"2017-10-25",NA,NA,NA,NA,"335","163,777","BTWTY",NA
"2017-10-24",NA,NA,NA,NA,"8","151,671","BTWTY",NA
"2017-10-23",NA,NA,92776.5,NA,"1,466","212,922","BTWTY",NA
"2017-10-22",NA,NA,NA,NA,"454","151,094","BTWTY",NA
"2017-10-21",NA,NA,NA,NA,"61","210,253","BTWTY",NA
"2017-10-20",NA,NA,NA,NA,"336","192,431","BTWTY",NA
"2017-10-19",NA,NA,NA,NA,"111","225,938","BTWTY",NA
