"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",6.5e-05,9.5e-05,6.3e-05,8.4e-05,"4,944","6,642,620","BUN",0.292307692307692
"2018-01-09",0.000113,0.000157,5.6e-05,6.5e-05,"1,398","11,620,400","BUN",-0.424778761061947
"2018-01-08",0.000163,0.000164,9.1e-05,0.000114,"2,369","16,722,100","BUN",-0.300613496932515
"2018-01-07",0.00013,0.000167,0.000113,0.000144,"6,235","13,316,800","BUN",0.107692307692308
"2018-01-06",6.6e-05,0.00012,6.5e-05,0.00012,"983","6,741,800","BUN",0.818181818181818
"2018-01-05",4.9e-05,6.8e-05,3.9e-05,6.6e-05,"230,709","5,024,160","BUN",0.346938775510204
"2018-01-04",6.1e-05,9.1e-05,5.2e-05,5.2e-05,"306,748","6,251,350","BUN",-0.147540983606557
"2018-01-03",3.2e-05,6e-05,2.8e-05,6e-05,"313,086","3,289,780","BUN",0.875
"2018-01-02",1.8e-05,3.3e-05,1.7e-05,3.2e-05,"83,565","1,873,990","BUN",0.777777777777778
"2018-01-01",1.6e-05,1.9e-05,1.4e-05,1.8e-05,"34,503","1,630,610","BUN",0.125
"2017-12-31",1.1e-05,1.6e-05,9e-06,1.6e-05,"12,800","1,103,600","BUN",0.454545454545455
"2017-12-30",1.4e-05,1.4e-05,8e-06,1.1e-05,"7,230","1,428,770","BUN",-0.214285714285714
"2017-12-29",9e-06,1.6e-05,9e-06,1.4e-05,"19,926","874,072","BUN",0.555555555555555
"2017-12-28",8e-06,1.1e-05,8e-06,8e-06,"14,860","805,225","BUN",0
"2017-12-27",8e-06,1.1e-05,7e-06,8e-06,"8,598","831,147","BUN",0
"2017-12-26",1.3e-05,1.3e-05,7e-06,8e-06,"4,106","1,351,990","BUN",-0.384615384615385
"2017-12-25",1.2e-05,2.8e-05,1.2e-05,1.3e-05,"3,311","1,257,280","BUN",0.0833333333333332
"2017-12-24",1.5e-05,1.8e-05,8e-06,1.2e-05,"1,322","1,511,410","BUN",-0.2
"2017-12-23",7e-06,1.9e-05,6e-06,1.5e-05,"2,857","672,275","BUN",1.14285714285714
"2017-12-22",6e-06,7e-06,3e-06,6e-06,"1,142","577,835","BUN",0
"2017-12-21",6e-06,9e-06,4e-06,6e-06,"1,693","608,858","BUN",0
"2017-12-20",5e-06,9e-06,4e-06,9e-06,"3,056","511,360","BUN",0.8
"2017-12-19",5e-06,5e-06,4e-06,5e-06,"1,033","509,782","BUN",0
"2017-12-18",8e-06,8e-06,3e-06,5e-06,"1,798","809,741","BUN",-0.375
"2017-12-17",5e-06,1.1e-05,4e-06,8e-06,"1,600","534,518","BUN",0.6
"2017-12-16",7e-06,7e-06,3e-06,5e-06,"689","687,794","BUN",-0.285714285714286
"2017-12-15",5e-06,8e-06,4e-06,7e-06,"1,563","550,500","BUN",0.4
"2017-12-14",4e-06,6e-06,3e-06,5e-06,"4,173","416,861","BUN",0.25
"2017-12-13",3e-06,7e-06,3e-06,4e-06,"1,195","343,152","BUN",0.333333333333333
"2017-12-12",3e-06,7e-06,3e-06,3e-06,"4,447","307,445","BUN",0
"2017-12-11",3e-06,5e-06,3e-06,3e-06,"553","273,926","BUN",0
"2017-12-10",4e-06,4e-06,2e-06,3e-06,"582","422,014","BUN",-0.25
"2017-12-09",2e-06,5e-06,2e-06,4e-06,"3,176","243,920","BUN",1
"2017-12-08",2e-06,2e-06,2e-06,2e-06,"289","199,735","BUN",0
"2017-12-07",2e-06,2e-06,2e-06,2e-06,"667","202,233","BUN",0
"2017-12-06",3e-06,3e-06,1e-06,2e-06,"2,307","306,742","BUN",-0.333333333333333
"2017-12-05",2e-06,3e-06,2e-06,3e-06,"675","240,369","BUN",0.5
"2017-12-04",3e-06,4e-06,2e-06,2e-06,"699","268,639","BUN",-0.333333333333333
"2017-12-03",3e-06,3e-06,2e-06,3e-06,"344","274,872","BUN",0
"2017-12-02",1e-06,3e-06,1e-06,3e-06,"175","132,245","BUN",2
"2017-12-01",6e-06,8e-06,1e-06,1e-06,"477","575,924","BUN",-0.833333333333333
"2017-11-30",4e-06,6e-06,2e-06,6e-06,"274","377,175","BUN",0.5
"2017-11-29",2e-06,5e-06,2e-06,4e-06,"432","223,044","BUN",1
"2017-11-28",1e-06,2e-06,1e-06,2e-06,"306","147,151","BUN",1
"2017-11-27",2e-06,2e-06,1e-06,1e-06,"847","216,236","BUN",-0.5
"2017-11-26",4e-06,5e-06,2e-06,2e-06,"339","384,014","BUN",-0.5
