"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",14.54,14.54,12.16,13.38,"953,841","28,062,900","BWK",-0.0797799174690508
"2018-01-09",11.37,15.98,10.95,14.52,"1,431,280","21,434,900","BWK",0.277044854881267
"2018-01-08",10.86,11.72,9.79,11.4,"771,451","19,977,400","BWK",0.0497237569060774
"2018-01-07",10.67,12.06,10.54,11.09,"589,588","19,142,200","BWK",0.0393626991565136
"2018-01-06",10.46,12.5,8.41,10.67,"665,319","18,279,400","BWK",0.020076481835564
"2018-01-05",11.6,11.6,9.66,10.38,"616,438","19,742,400","BWK",-0.105172413793103
"2018-01-04",10.27,11.48,9.36,11.03,"798,656","17,003,600","BWK",0.0740019474196689
"2018-01-03",11.22,12.81,9.3,10.49,"792,023","18,068,300","BWK",-0.0650623885918004
"2018-01-02",8.79,13.44,8.72,11.26,"1,169,780","13,762,700","BWK",0.281001137656428
"2018-01-01",7.69,9.43,7.03,8.92,"733,090","11,682,700","BWK",0.159947984395319
"2017-12-31",7.02,9.76,6.3,7.53,"449,195","10,349,800","BWK",0.0726495726495728
"2017-12-30",8.63,8.63,6.36,7.1,"432,949","12,323,000","BWK",-0.17728852838934
"2017-12-29",6.58,10.42,6.58,7.72,"719,029","9,099,830","BWK",0.173252279635258
"2017-12-28",5.39,8.09,4.8,7.01,"659,813","7,203,800","BWK",0.300556586270872
"2017-12-27",4.78,6.08,4.75,5.4,"429,095","6,168,460","BWK",0.129707112970711
"2017-12-26",5.35,5.47,4.06,4.82,"603,565","6,653,700","BWK",-0.0990654205607475
"2017-12-25",5.18,6.72,4.81,5.18,"280,736","6,206,520","BWK",0
"2017-12-24",4.07,6.33,3.63,5.13,"283,842","4,688,280","BWK",0.26044226044226
"2017-12-23",3.48,4.43,3.4,4.02,"188,404","3,846,320","BWK",0.155172413793103
"2017-12-22",3.8,4.17,2.97,3.44,"194,350","4,032,640","BWK",-0.0947368421052631
"2017-12-21",3.7,4.45,3.6,3.79,"224,686","1,995,620","BWK",0.0243243243243243
"2017-12-20",3.96,4.25,3.43,3.69,"247,307","2,140,000","BWK",-0.0681818181818182
"2017-12-19",4.39,4.72,3.68,3.87,"209,805","2,367,240","BWK",-0.118451025056948
"2017-12-18",4.39,4.68,3.9,4.38,"256,184","2,370,330","BWK",-0.00227790432801817
"2017-12-17",4.63,5.12,3.89,4.37,"303,361","2,498,240","BWK",-0.0561555075593952
"2017-12-16",3.15,4.45,3.14,3.94,"300,967","1,699,470","BWK",0.250793650793651
"2017-12-15",3.65,4.01,2.91,3.14,"185,698","1,967,910","BWK",-0.13972602739726
"2017-12-14",4.73,4.97,3.39,3.82,"251,970","2,551,600","BWK",-0.192389006342495
"2017-12-13",5.6,5.66,4.28,4.6,"310,930","3,020,540","BWK",-0.178571428571429
"2017-12-12",6.4,6.57,5.39,5.59,"302,691","3,454,190","BWK",-0.1265625
"2017-12-11",6.25,6.94,4.8,6.68,"586,684","3,372,810","BWK",0.0688
"2017-12-10",4.11,6.77,3.55,6.35,"818,644","-","BWK",0.545012165450121
"2017-12-09",2.27,4.48,2.02,3.92,"386,819","-","BWK",0.726872246696035
"2017-12-08",1.93,2.38,1.92,2.27,"112,613","-","BWK",0.176165803108808
