"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.27,2.27,1.61,1.65,"372","1,297,610","BXT",-0.273127753303965
"2018-01-09",2.57,3.49,1.62,2.26,"1,185","1,471,350","BXT",-0.120622568093385
"2018-01-08",1.98,2.59,1.34,2.58,"728","1,134,780","BXT",0.303030303030303
"2018-01-07",2.02,3.03,1.88,1.99,"1,323","1,155,140","BXT",-0.0148514851485149
"2018-01-06",2,2.02,1.57,2.02,"981","1,143,350","BXT",0.01
"2018-01-05",1.63,2.21,1.55,2,"98","934,931","BXT",0.226993865030675
"2018-01-04",2.01,2.01,1.34,1.63,"637","1,148,080","BXT",-0.189054726368159
"2018-01-03",1.37,2.06,1.36,2,"960","780,853","BXT",0.45985401459854
"2018-01-02",1.69,1.8,1.25,1.37,"668","963,828","BXT",-0.189349112426035
"2018-01-01",2.42,2.6,1.38,1.69,"1,078","1,383,900","BXT",-0.301652892561983
"2017-12-31",0.692844,3.44,0.691419,2.41,"7,673","395,671","BXT",2.47841649779748
"2017-12-30",1.22,1.22,0.503914,0.700409,"459","697,556","BXT",-0.425894262295082
"2017-12-29",0.651371,1.24,0.646216,1.23,"392","371,479","BXT",0.888324779580301
"2017-12-28",0.602796,1.2,0.557792,0.644697,"605","343,607","BXT",0.0695110783747735
"2017-12-27",0.631104,0.659877,0.575208,0.604064,"31","359,413","BXT",-0.0428455531893316
"2017-12-26",0.618269,0.743794,0.604125,0.630648,"28","351,757","BXT",0.0200220292461696
"2017-12-25",0.515684,0.81789,0.504917,0.618901,"186","293,115","BXT",0.200155521598498
"2017-12-24",0.477821,0.950799,0.461203,0.510384,"1,035","271,363","BXT",0.0681489511762772
"2017-12-23",0.751431,0.972279,0.470451,0.472603,"1,040","426,456","BXT",-0.371062679074992
"2017-12-22",0.715671,0.803362,0.505763,0.7444,"412","406,007","BXT",0.0401427471561653
"2017-12-21",0.902542,0.914722,0.686367,0.713199,"229","511,579","BXT",-0.209788574936125
"2017-12-20",0.841727,1.12,0.72534,0.900185,"64","476,918","BXT",0.069450071103814
"2017-12-19",0.74285,1.4,0.694944,0.842557,"1,368","420,500","BXT",0.13422225213704
"2017-12-18",4.93,5.88,0.715417,0.742309,"3,893","2,791,980","BXT",-0.849430223123732
"2017-12-17",0.637533,7.48,0.624847,4.93,"5,117","360,494","BXT",6.73293304032889
"2017-12-16",0.947621,0.960583,0.421098,0.63745,"427","535,419","BXT",-0.327315456284738
"2017-12-15",1.07,1.09,0.540178,0.946292,"2,497","603,222","BXT",-0.115614953271028
"2017-12-14",0.872675,1.09,0.375507,1.07,"6,248","492,333","BXT",0.226115105852694
"2017-12-13",1.15,1.16,0.768294,0.875485,"2,084","647,756","BXT",-0.238708695652174
"2017-12-12",0.326106,1.15,0.322611,1.15,"593","183,723","BXT",2.52646072136054
"2017-12-11",0.567154,1.44,0.325062,0.325062,"2,495","319,204","BXT",-0.426854081960103
"2017-12-10",0.773851,0.773851,0.543838,0.571279,"265","435,217","BXT",-0.261771322903246
"2017-12-09",0.799195,0.90216,0.562029,0.770728,"426","449,226","BXT",-0.035619592214666
"2017-12-08",0.447684,1.57,0.444256,0.800001,"345","251,470","BXT",0.786976974830461
"2017-12-07",0.630023,1.35,0.267167,0.446633,"2,916","353,560","BXT",-0.291084611196734
"2017-12-06",0.867795,1.1,0.581288,0.631108,"263","486,471","BXT",-0.272745291226615
"2017-12-05",0.669152,0.873421,0.592317,0.869723,"647","374,519","BXT",0.299739072736837
"2017-12-04",1,1.01,0.296041,0.667839,"2,957","558,833","BXT",-0.332161
"2017-12-03",0.831859,1.05,0.656399,0.996765,"62","464,165","BXT",0.198237922532545
"2017-12-02",0.844807,1.25,0.754225,0.831065,"1,232","471,389","BXT",-0.0162664371862448
"2017-12-01",0.845358,0.861684,0.764801,0.845526,"776","471,697","BXT",0.000198732371373957
"2017-11-30",0.837358,0.934866,0.682547,0.849568,"250","467,233","BXT",0.0145815768166064
"2017-11-29",0.625678,1.03,0.549439,0.824691,"2,228","349,119","BXT",0.318075751424854
"2017-11-28",0.477646,0.628939,0.459912,0.626301,"271","266,519","BXT",0.311224212073376
"2017-11-27",0.826774,0.867666,0.469601,0.476412,"147","461,327","BXT",-0.423769978252824
"2017-11-26",0.776756,0.851322,0.453433,0.826616,"2,615","433,418","BXT",0.0641900416604442
"2017-11-25",0.646627,0.782238,0.453008,0.777015,"2,214","360,808","BXT",0.201643296676446
"2017-11-24",0.75899,0.792793,0.454479,0.647936,"12","423,517","BXT",-0.146318133308739
"2017-11-23",0.459497,0.772807,0.369714,0.760029,"1,781","256,399","BXT",0.654045619449093
