"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.91,3.21,2.71,2.99,"339,551","5,666,320","BYC",0.0274914089347079
"2018-01-09",3.05,3.59,2.79,2.88,"2,125,100","5,926,560","BYC",-0.0557377049180328
"2018-01-08",2.44,4.2,2.2,3.06,"4,464,840","4,729,670","BYC",0.254098360655738
"2018-01-07",2.25,2.91,2.05,2.44,"479,992","4,357,220","BYC",0.0844444444444444
"2018-01-06",2.43,2.53,2.21,2.25,"217,938","4,715,390","BYC",-0.0740740740740741
"2018-01-05",2.14,2.77,2.06,2.43,"335,063","4,146,820","BYC",0.135514018691589
"2018-01-04",2.06,2.16,1.98,2.09,"65,016","3,978,850","BYC",0.0145631067961164
"2018-01-03",1.99,2.11,1.82,2.11,"96,754","3,840,170","BYC",0.0603015075376884
"2018-01-02",2.02,2.09,1.84,1.99,"145,958","3,907,220","BYC",-0.0148514851485149
"2018-01-01",1.84,2.05,1.72,2.02,"95,212","3,555,880","BYC",0.0978260869565217
"2017-12-31",1.56,1.87,1.51,1.83,"106,388","3,008,340","BYC",0.173076923076923
"2017-12-30",1.98,1.98,1.45,1.58,"124,490","3,811,960","BYC",-0.202020202020202
"2017-12-29",1.85,2.1,1.84,1.98,"209,235","3,568,680","BYC",0.0702702702702702
"2017-12-28",2.03,2.21,1.74,1.83,"394,423","3,902,730","BYC",-0.0985221674876846
"2017-12-27",1.77,2.56,1.65,2.01,"3,324,520","3,398,190","BYC",0.135593220338983
"2017-12-26",1.27,1.99,1.17,1.8,"2,013,010","2,433,300","BYC",0.417322834645669
"2017-12-25",1.07,1.33,1.02,1.27,"266,812","2,058,560","BYC",0.186915887850467
"2017-12-24",1.09,1.13,0.888972,1.06,"117,168","2,098,290","BYC",-0.0275229357798165
"2017-12-23",0.813452,1.24,0.813452,1.07,"274,180","1,560,770","BYC",0.315381854122923
"2017-12-22",1.01,1.02,0.664838,0.830567,"140,585","1,938,220","BYC",-0.177656435643564
"2017-12-21",0.961962,1.19,0.949314,1.01,"184,834","1,842,800","BYC",0.0499375235196401
"2017-12-20",0.987707,1.01,0.881844,0.95945,"46,530","1,890,720","BYC",-0.0286086865841793
"2017-12-19",1.09,1.1,0.963153,0.988681,"75,282","2,090,280","BYC",-0.0929532110091743
"2017-12-18",0.987589,1.1,0.922499,1.1,"112,039","1,887,850","BYC",0.113823665512678
"2017-12-17",0.923,1.01,0.896111,1,"55,429","1,763,010","BYC",0.0834236186348862
"2017-12-16",0.898754,0.965987,0.861642,0.922881,"67,865","1,715,330","BYC",0.0268449431101279
"2017-12-15",0.961751,0.96682,0.736782,0.898022,"178,340","1,834,210","BYC",-0.0662635131130615
"2017-12-14",0.921776,0.960687,0.877773,0.916748,"94,049","1,756,700","BYC",-0.00545468747287848
"2017-12-13",1,1.01,0.90157,0.924744,"104,184","1,910,130","BYC",-0.075256
"2017-12-12",0.908506,1.55,0.850467,1,"2,322,850","1,728,770","BYC",0.100708195653083
"2017-12-11",0.702428,1.13,0.671453,0.905598,"246,357","1,335,560","BYC",0.289239608899417
"2017-12-10",0.841048,0.841048,0.683459,0.707537,"29,458","1,597,820","BYC",-0.158743615108769
