"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.288593,0.290104,0.241269,0.284141,"1,732,520","22,288,300","CANN",-0.0154265695980152
"2018-01-09",0.305149,0.321002,0.276175,0.289239,"1,888,320","23,567,100","CANN",-0.052138463504714
"2018-01-08",0.342582,0.351786,0.258805,0.3067,"2,976,340","26,458,000","CANN",-0.104739887092725
"2018-01-07",0.293004,0.348614,0.280132,0.348159,"2,998,780","22,629,000","CANN",0.188239750993161
"2018-01-06",0.282313,0.303731,0.251558,0.294506,"2,705,220","21,803,400","CANN",0.0431896512027431
"2018-01-05",0.305925,0.307429,0.246863,0.272001,"5,518,910","23,626,900","CANN",-0.110889924000981
"2018-01-04",0.297066,0.362739,0.283238,0.30812,"8,312,390","22,942,800","CANN",0.0372105861996998
"2018-01-03",0.241678,0.376117,0.207709,0.293389,"15,546,600","18,665,100","CANN",0.213966517432286
"2018-01-02",0.260291,0.29423,0.226319,0.241418,"8,513,360","20,102,600","CANN",-0.0725073091270924
"2018-01-01",0.300133,0.403218,0.250219,0.270082,"15,416,100","23,179,700","CANN",-0.100125610979133
"2017-12-31",0.241491,0.604913,0.226768,0.316288,"72,061,700","18,650,600","CANN",0.309729969232808
"2017-12-30",0.129774,0.271113,0.109106,0.237804,"14,570,500","10,022,600","CANN",0.832447177400712
"2017-12-29",0.105836,0.137863,0.105509,0.13053,"2,004,090","8,173,860","CANN",0.233323254847122
"2017-12-28",0.104455,0.105433,0.088159,0.104771,"452,618","8,067,160","CANN",0.00302522617395047
"2017-12-27",0.09335,0.107628,0.090198,0.10354,"731,384","7,209,560","CANN",0.10915907873594
"2017-12-26",0.098089,0.102233,0.083756,0.091942,"499,697","7,575,560","CANN",-0.0626675774041942
"2017-12-25",0.092915,0.102223,0.087872,0.098726,"700,329","7,175,980","CANN",0.0625410321261368
"2017-12-24",0.088768,0.091964,0.0748,0.091964,"907,142","6,855,650","CANN",0.0360039653929344
"2017-12-23",0.095439,0.105316,0.083081,0.087668,"1,369,080","7,370,860","CANN",-0.0814237366275841
"2017-12-22",0.082673,0.102726,0.062044,0.095082,"3,234,510","6,384,930","CANN",0.150097371572339
"2017-12-21",0.087431,0.099422,0.079494,0.082843,"1,019,070","6,752,380","CANN",-0.052475666525603
"2017-12-20",0.078923,0.088491,0.068554,0.087521,"764,547","6,095,340","CANN",0.108941626648759
"2017-12-19",0.086107,0.092219,0.076202,0.079001,"832,784","6,650,180","CANN",-0.0825252302367984
"2017-12-18",0.0796,0.086806,0.077817,0.085475,"635,759","6,147,580","CANN",0.0738065326633165
"2017-12-17",0.076123,0.087752,0.073803,0.078612,"926,991","5,879,050","CANN",0.0326970823535594
"2017-12-16",0.067416,0.080788,0.06636,0.076668,"481,013","5,206,580","CANN",0.137237451050196
"2017-12-15",0.068378,0.070517,0.06377,0.067321,"505,152","5,280,950","CANN",-0.0154581883061802
"2017-12-14",0.070194,0.076469,0.066421,0.069257,"770,890","5,421,170","CANN",-0.0133487192637548
"2017-12-13",0.067194,0.071634,0.064087,0.070404,"397,196","5,189,480","CANN",0.0477721225109383
"2017-12-12",0.070474,0.074527,0.064553,0.066969,"639,892","5,442,820","CANN",-0.0497346539149189
"2017-12-11",0.061306,0.084958,0.060627,0.069919,"774,557","4,734,770","CANN",0.140491958372753
"2017-12-10",0.066193,0.068299,0.052568,0.061753,"330,523","5,112,150","CANN",-0.0670765790944662
"2017-12-09",0.077873,0.087916,0.058565,0.066178,"1,348,370","6,014,190","CANN",-0.150180421969104
