"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.001311,0.001749,0.000897,0.001052,"146,208","20,182,700","CARBON",-0.197559115179253
"2018-01-09",0.002288,0.00246,0.001063,0.001196,"359,691","35,220,200","CARBON",-0.477272727272727
"2018-01-08",0.000959,0.002519,0.000813,0.00229,"948,815","14,768,000","CARBON",1.38790406673618
"2018-01-07",0.000339,0.001171,0.000189,0.000961,"139,562","5,218,430","CARBON",1.83480825958702
"2018-01-06",0.000175,0.000355,0.000173,0.000339,"35,225","2,687,290","CARBON",0.937142857142857
"2018-01-05",0.000162,0.000337,0.000152,0.000174,"21,326","2,492,180","CARBON",0.074074074074074
"2018-01-04",0.00028,3e-04,0.000153,0.000162,"11,529","4,309,780","CARBON",-0.421428571428571
"2018-01-03",0.000153,0.000296,0.000149,0.000279,"3,391","2,355,930","CARBON",0.823529411764706
"2018-01-02",0.000162,0.000288,0.000138,0.000154,"8,862","2,490,640","CARBON",-0.0493827160493827
"2018-01-01",0.000276,0.000279,0.000129,0.000162,"10,467","4,246,380","CARBON",-0.41304347826087
"2017-12-31",0.000251,0.000283,0.000128,0.000275,"10,772","3,862,500","CARBON",0.0956175298804783
"2017-12-30",0.000145,0.000258,0.000124,0.000129,"8,778","2,236,420","CARBON",-0.110344827586207
"2017-12-29",0.000145,0.000279,8e-05,0.000146,"9,198","2,226,840","CARBON",0.00689655172413791
"2017-12-28",0.000155,0.000156,0.000136,0.000143,"432","2,388,210","CARBON",-0.0774193548387096
"2017-12-27",0.000158,0.000166,0.000147,0.000155,"2,892","2,437,630","CARBON",-0.0189873417721518
"2017-12-26",0.000139,0.000161,0.000139,0.000158,"691","2,144,050","CARBON",0.136690647482014
"2017-12-25",0.000141,0.000145,0.000133,0.000139,"598","2,168,260","CARBON",-0.0141843971631207
"2017-12-24",0.000103,0.000139,8.7e-05,0.000139,"2,261","1,585,480","CARBON",0.349514563106796
"2017-12-23",0.000134,0.000178,9.3e-05,0.000102,"36,988","2,061,310","CARBON",-0.238805970149254
"2017-12-22",0.00013,0.000144,0.00011,0.000133,"1,745","2,003,930","CARBON",0.0230769230769232
"2017-12-21",7.4e-05,0.00013,5.9e-05,0.00013,"1,549","1,142,990","CARBON",0.756756756756757
"2017-12-20",0.000126,0.000137,7.4e-05,7.4e-05,"1,732","1,941,990","CARBON",-0.412698412698413
"2017-12-19",8.6e-05,0.000127,5.3e-05,0.000126,"831","1,330,120","CARBON",0.465116279069767
"2017-12-18",9.5e-05,0.000104,6.3e-05,8.6e-05,"539","1,462,890","CARBON",-0.0947368421052632
"2017-12-17",6.6e-05,0.000121,6.2e-05,9.5e-05,"402","1,012,260","CARBON",0.439393939393939
"2017-12-16",0.000167,0.000168,6e-05,6.4e-05,"428","2,562,920","CARBON",-0.616766467065868
"2017-12-15",0.000107,0.000175,8.4e-05,0.000166,"201","1,651,410","CARBON",0.551401869158878
"2017-12-14",0.000112,0.000136,7.3e-05,0.000106,"100","1,721,600","CARBON",-0.0535714285714285
"2017-12-13",0.000118,0.000156,4.8e-05,0.000112,"773","1,817,110","CARBON",-0.0508474576271186
"2017-12-12",4.3e-05,0.000122,3.9e-05,0.000118,"637","654,724","CARBON",1.74418604651163
"2017-12-11",4.1e-05,7.1e-05,3.1e-05,4.2e-05,"160","638,624","CARBON",0.024390243902439
"2017-12-10",8e-05,8.6e-05,3.7e-05,4.2e-05,"28","1,228,100","CARBON",-0.475
"2017-12-09",4.7e-05,0.000108,4.7e-05,7.9e-05,"178","718,961","CARBON",0.680851063829787
"2017-12-08",5.2e-05,5.7e-05,4.2e-05,4.7e-05,"437","806,658","CARBON",-0.0961538461538461
"2017-12-07",9.8e-05,0.000114,3.9e-05,5.2e-05,"505","1,505,180","CARBON",-0.469387755102041
"2017-12-06",7.2e-05,0.000102,5e-05,9.8e-05,"242","1,103,080","CARBON",0.361111111111111
"2017-12-05",8.3e-05,0.000113,7.1e-05,7.2e-05,"1,521","1,273,000","CARBON",-0.132530120481928
"2017-12-04",8.3e-05,9.2e-05,7.1e-05,8.2e-05,"845","1,273,690","CARBON",-0.0120481927710843
"2017-12-03",9.9e-05,0.000104,6e-05,8.3e-05,"1,515","1,522,220","CARBON",-0.161616161616162
"2017-12-02",5.2e-05,1e-04,4e-05,9.9e-05,"358","798,563","CARBON",0.903846153846154
"2017-12-01",3.5e-05,5.7e-05,3.5e-05,5.2e-05,"18","544,320","CARBON",0.485714285714286
"2017-11-30",3.5e-05,4.9e-05,3.4e-05,3.5e-05,"29","531,296","CARBON",0
"2017-11-29",4.8e-05,4.8e-05,2.4e-05,3.4e-05,"505","737,406","CARBON",-0.291666666666667
"2017-11-28",3.4e-05,6.6e-05,3.3e-05,4.8e-05,"575","517,366","CARBON",0.411764705882353
"2017-11-27",4.9e-05,6.2e-05,3.3e-05,3.4e-05,"3,049","750,070","CARBON",-0.306122448979592
"2017-11-26",5.1e-05,7.4e-05,3.3e-05,4.9e-05,"190","792,215","CARBON",-0.0392156862745098
"2017-11-25",8.4e-05,8.6e-05,3.3e-05,5.1e-05,"2,057","1,293,280","CARBON",-0.392857142857143
"2017-11-24",8e-05,0.000117,5.1e-05,8.4e-05,"1,174","1,226,210","CARBON",0.0499999999999999
"2017-11-23",7e-05,8e-05,6.8e-05,8e-05,"38","1,077,760","CARBON",0.142857142857143
"2017-11-22",8.7e-05,9.9e-05,7e-05,7e-05,"16","1,332,790","CARBON",-0.195402298850575
"2017-11-21",5.6e-05,9.5e-05,5.6e-05,8.7e-05,"59","860,876","CARBON",0.553571428571429
"2017-11-20",6.4e-05,7e-05,3.7e-05,5.6e-05,"297","989,696","CARBON",-0.125
"2017-11-19",7.8e-05,0.000126,3.5e-05,6.4e-05,"542","1,194,000","CARBON",-0.17948717948718
"2017-11-18",9e-05,9.8e-05,3.5e-05,7.7e-05,"254","1,381,340","CARBON",-0.144444444444444
"2017-11-17",0.000221,0.000222,5.3e-05,9e-05,"2,001","3,395,470","CARBON",-0.592760180995475
"2017-11-16",5.9e-05,0.001515,1.3e-05,0.00022,"1,937","900,623","CARBON",2.72881355932203
"2017-11-15",2.9e-05,6.7e-05,2.9e-05,5.8e-05,"46","446,869","CARBON",1
"2017-11-14",4.6e-05,4.7e-05,1.3e-05,2.9e-05,"5","702,089","CARBON",-0.369565217391304
"2017-11-13",2e-05,4.6e-05,2e-05,4.6e-05,"20","308,563","CARBON",1.3
"2017-11-12",4.5e-05,4.6e-05,1.9e-05,2e-05,"5","688,463","CARBON",-0.555555555555556
"2017-11-11",4e-05,5.4e-05,3.7e-05,4.5e-05,"13","613,133","CARBON",0.125
"2017-11-10",1.7e-05,4.2e-05,1.4e-05,4e-05,"31","263,102","CARBON",1.35294117647059
"2017-11-09",3.6e-05,4.7e-05,1.7e-05,1.7e-05,"259","558,666","CARBON",-0.527777777777778
