"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.558445,0.558445,0.464644,0.497436,"2","558,445","CASINO",-0.109248001146039
"2018-01-09",0.566614,0.607904,0.532603,0.558089,"3","566,614","CASINO",-0.015045515995016
"2018-01-08",1.87,1.87,0.534032,0.56068,"3","1,872,080","CASINO",-0.700171122994652
"2018-01-07",2.03,2.16,1.74,1.86,"78","2,027,560","CASINO",-0.0837438423645319
"2018-01-06",1.73,2.34,1.7,1.99,"20","1,730,650","CASINO",0.15028901734104
"2018-01-03",1.19,1.29,1.12,1.22,"2","1,193,310","CASINO",0.0252100840336135
"2018-01-02",1.25,1.34,1.01,1.2,"2","1,251,200","CASINO",-0.04
"2018-01-01",1.13,1.28,1.06,1.24,"5","1,133,790","CASINO",0.0973451327433629
"2017-12-29",1.32,1.33,1.25,1.28,"1","1,318,950","CASINO",-0.0303030303030303
"2017-12-28",1.45,1.45,1.18,1.31,"1","1,450,940","CASINO",-0.096551724137931
"2017-12-27",1.76,1.98,1.42,1.46,"1","1,763,510","CASINO",-0.170454545454545
"2017-12-25",1.57,1.74,1.44,1.48,"15","1,569,640","CASINO",-0.0573248407643313
"2017-12-24",1.93,1.96,1.22,1.52,"15","1,934,060","CASINO",-0.212435233160622
"2017-12-23",1.48,2.4,1.48,1.99,"52","1,484,010","CASINO",0.344594594594595
"2017-12-22",1.25,1.97,0.710391,1.48,"6","1,253,380","CASINO",0.184
"2017-12-21",1.02,1.48,1.01,1.25,"34","1,025,000","CASINO",0.225490196078431
"2017-12-19",1.2,1.27,1.08,1.09,"1","1,195,610","CASINO",-0.0916666666666666
"2017-12-18",1.09,3.94,0.998924,1.2,"1","1,093,380","CASINO",0.10091743119266
"2017-12-17",1.03,1.24,0.97311,1.09,"37","1,027,740","CASINO",0.0582524271844661
"2017-12-16",0.734535,1.08,0.728406,1.01,"2","734,535","CASINO",0.375019570204279
"2017-12-15",0.691878,0.753722,0.691008,0.73745,"22","691,878","CASINO",0.0658671037379423
"2017-12-08",0.568287,0.631179,0.568287,0.598193,"7","568,287","CASINO",0.0526248180936745
"2017-12-07",0.443028,0.639666,0.436479,0.566399,"7","443,028","CASINO",0.27847224103217
"2017-12-06",0.490977,0.510357,0.4406,0.446924,"5","490,977","CASINO",-0.089725180609275
"2017-12-03",1.21,1.34,1.19,1.31,"4","1,212,090","CASINO",0.0826446280991736
"2017-12-02",1.22,1.23,1.15,1.2,"4","1,216,640","CASINO",-0.0163934426229508
"2017-12-01",1.12,1.22,1.06,1.2,"4","1,120,810","CASINO",0.0714285714285713
"2017-11-30",1.04,1.17,1,1.12,"1","1,044,680","CASINO",0.076923076923077
"2017-11-29",1.26,1.28,1.02,1.05,"1","1,258,790","CASINO",-0.166666666666667
"2017-11-27",1.03,1.09,1.02,1.07,"3","1,026,610","CASINO",0.0388349514563107
"2017-11-26",1.02,1.06,0.95674,1.03,"3","1,021,920","CASINO",0.00980392156862746
"2017-11-25",0.974659,1.04,0.955232,1.02,"6","974,659","CASINO",0.0465198597663388
"2017-11-22",0.481418,0.501605,0.46289,0.490155,"2","481,418","CASINO",0.0181484697290089
"2017-11-21",0.483921,0.491897,0.455387,0.480958,"2","483,921","CASINO",-0.00612290022545001
"2017-11-20",0.486102,0.492496,0.472476,0.478453,"2","486,102","CASINO",-0.0157353806402771
"2017-11-18",0.778521,0.821438,0.74694,0.796816,"5","778,521","CASINO",0.0234996872274479
"2017-11-17",0.832159,0.841915,0.77181,0.783862,"5","832,159","CASINO",-0.0580381874137034
"2017-11-16",0.570011,0.862733,0.560176,0.81616,"5","570,011","CASINO",0.431832017276859
"2017-11-15",0.46658,0.586306,0.457738,0.569646,"9","466,580","CASINO",0.220896737965622
"2017-11-14",0.465742,0.476545,0.452916,0.466563,"0","465,742","CASINO",0.00176277853403819
"2017-11-12",0.582824,0.582824,0.450997,0.504976,"12","582,824","CASINO",-0.133570340274251
"2017-11-11",0.583085,0.599163,0.527579,0.579704,"13","583,085","CASINO",-0.00579846849087177
"2017-11-10",0.569585,0.605259,0.563476,0.581224,"13","569,585","CASINO",0.0204341757595441
"2017-11-09",0.192728,0.206981,0.185838,0.195749,"0","192,728","CASINO",0.0156749408492798
"2017-11-08",0.182017,0.193081,0.172119,0.191618,"0","182,017","CASINO",0.0527478202585473
"2017-11-07",0.166068,0.18075,0.166068,0.180591,"0","166,068","CASINO",0.0874521280439339
"2017-11-05",0.501164,0.51993,0.488111,0.505821,"2","501,164","CASINO",0.00929236736876534
"2017-11-04",0.492439,0.57314,0.474872,0.497147,"1","492,439","CASINO",0.00956057501538259
"2017-11-03",0.474493,0.507975,0.468525,0.493315,"2","474,493","CASINO",0.0396676031047876
"2017-11-02",0.549844,0.555588,0.466827,0.466827,"1","549,844","CASINO",-0.150982824219233
"2017-11-01",0.563974,0.578359,0.528856,0.550855,"2","563,974","CASINO",-0.0232617106462355
"2017-10-31",0.217379,0.601425,0.214929,0.569066,"2","217,379","CASINO",1.61785177041021
"2017-10-30",0.21905,0.224433,0.209128,0.218614,"8","219,050","CASINO",-0.00199041314768314
"2017-10-27",0.96239,0.99905,0.939656,0.987231,"7","962,390","CASINO",0.0258117810866696
"2017-10-26",1.02,1.03,0.937689,0.968499,"7","1,019,550","CASINO",-0.0504911764705883
"2017-10-25",0.800548,1.07,0.785077,1.03,"7","800,548","CASINO",0.286618666213644
"2017-10-24",0.749925,0.894704,0.711659,0.801961,"35","749,925","CASINO",0.0693882721605495
"2017-10-23",0.730811,0.778082,0.719477,0.745281,"33","730,811","CASINO",0.0197999209097838
"2017-10-20",0.510034,0.519676,0.491575,0.494849,"2","510,034","CASINO",-0.0297725249689236
"2017-10-19",0.514313,0.52672,0.492216,0.510215,"3","514,313","CASINO",-0.00796791059141038
"2017-10-18",0.462645,0.521034,0.188236,0.516015,"3","462,645","CASINO",0.115358428168466
"2017-10-17",0.542513,0.551559,0.430123,0.460847,"1","542,513","CASINO",-0.150532798292391
"2017-10-16",0.553822,0.584308,0.520292,0.542533,"3","553,822","CASINO",-0.0203838056270787
"2017-10-15",0.563167,0.596552,0.463559,0.548913,"3","563,167","CASINO",-0.0253104318967553
"2017-10-14",0.567581,0.591299,0.546394,0.56395,"4","567,581","CASINO",-0.00639732478712299
"2017-10-13",0.558886,0.574968,0.541525,0.560341,"4","558,886","CASINO",0.00260339317857306
"2017-10-10",0.599331,0.630951,0.585974,0.61661,"1","599,331","CASINO",0.0288304793177727
"2017-10-09",0.239476,0.638998,0.219987,0.600148,"1","239,476","CASINO",1.50608829277255
"2017-10-08",0.249565,0.252785,0.238806,0.239601,"3","249,565","CASINO",-0.0399254703183539
"2017-10-07",0.253125,0.256332,0.244421,0.256025,"2","253,125","CASINO",0.0114567901234568
