"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.327987,0.327987,0.266522,0.283596,"3,761,980","106,596,000","CFI",-0.135343778869284
"2018-01-09",0.310305,0.353451,0.301266,0.324758,"6,822,890","100,849,000","CFI",0.0465767551280192
"2018-01-08",0.353358,0.363115,0.265076,0.31244,"4,661,420","114,841,000","CFI",-0.11579757639561
"2018-01-07",0.36723,0.372523,0.340094,0.359427,"3,823,740","119,350,000","CFI",-0.0212482640307165
"2018-01-06",0.376473,0.376473,0.294155,0.367253,"6,517,480","122,354,000","CFI",-0.0244904681079387
"2018-01-05",0.410469,0.463555,0.307892,0.348667,"8,537,610","133,402,000","CFI",-0.150564354433587
"2018-01-04",0.342783,0.476606,0.342565,0.410748,"22,719,300","111,404,000","CFI",0.198274126779916
"2018-01-03",0.28923,0.356479,0.280163,0.334208,"10,909,800","93,999,800","CFI",0.155509456142171
"2018-01-02",0.280888,0.332107,0.266297,0.287498,"7,732,470","91,288,600","CFI",0.0235325111788327
"2018-01-01",0.261472,0.284244,0.236294,0.280764,"4,024,510","84,978,500","CFI",0.0737822787908458
"2017-12-31",0.23683,0.271457,0.23098,0.26472,"2,619,700","76,969,800","CFI",0.117763796816282
"2017-12-30",0.290999,0.290999,0.212644,0.242655,"3,969,390","94,574,700","CFI",-0.16613115508988
"2017-12-29",0.313347,0.323606,0.28585,0.291453,"5,085,900","101,838,000","CFI",-0.0698714205018716
"2017-12-28",0.310515,0.331512,0.251741,0.314912,"9,394,980","100,917,000","CFI",0.0141603465211022
"2017-12-27",0.286792,0.368324,0.267037,0.314505,"13,539,800","93,207,400","CFI",0.0966310078384334
"2017-12-26",0.263476,0.327581,0.241681,0.299169,"14,461,000","85,629,700","CFI",0.135469644293978
"2017-12-25",0.219075,0.302299,0.208942,0.257984,"8,505,970","71,199,300","CFI",0.177605842747917
"2017-12-24",0.191515,0.225569,0.168375,0.21946,"5,595,400","62,242,400","CFI",0.145915463540715
"2017-12-23",0.163973,0.223465,0.163465,0.19006,"3,487,760","53,291,200","CFI",0.159093265354662
"2017-12-22",0.231359,0.231359,0.117604,0.163282,"3,100,200","75,191,700","CFI",-0.294248332677786
"2017-12-21",0.224884,0.250319,0.199123,0.221918,"3,886,810","73,087,200","CFI",-0.0131890218957329
"2017-12-20",0.234026,0.241771,0.185821,0.224172,"3,093,730","76,058,300","CFI",-0.0421064326185979
"2017-12-19",0.205242,0.29169,0.200483,0.234242,"8,268,210","66,703,500","CFI",0.141296615702439
"2017-12-18",0.186791,0.211511,0.173867,0.208004,"4,031,950","60,707,100","CFI",0.113565428741213
"2017-12-17",0.181464,0.201614,0.173913,0.186307,"3,715,790","58,975,900","CFI",0.0266884891769167
"2017-12-16",0.149567,0.217845,0.145839,0.182285,"7,247,900","48,609,300","CFI",0.218751462555243
