"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.110195,0.115844,0.094112,0.112768,"52,156","5,068,990","CFT",0.0233495167657334
"2018-01-09",0.138833,0.158172,0.105291,0.109824,"36,254","6,386,330","CFT",-0.208948881029726
"2018-01-08",0.1592,0.21821,0.137512,0.139275,"77,240","7,323,220","CFT",-0.125157035175879
"2018-01-07",0.167688,0.236399,0.115654,0.159408,"77,418","7,713,660","CFT",-0.0493774151996566
"2018-01-06",0.159543,0.188375,0.150004,0.168138,"51,675","7,339,000","CFT",0.0538726236813901
"2018-01-05",0.135734,0.179703,0.117546,0.158216,"87,048","6,243,760","CFT",0.165632781764333
"2018-01-04",0.170338,0.174068,0.118536,0.136195,"86,336","7,835,560","CFT",-0.200442649320762
"2018-01-03",0.175572,0.205599,0.165052,0.169397,"65,904","8,076,310","CFT",-0.0351707561570183
"2018-01-02",0.119048,0.180011,0.113128,0.1762,"85,607","5,476,190","CFT",0.480075263759156
"2018-01-01",0.165618,0.188475,0.115433,0.118996,"77,685","7,618,430","CFT",-0.281503218249224
"2017-12-31",0.169063,0.197216,0.103602,0.164684,"115,149","7,776,910","CFT",-0.0259015869823675
"2017-12-30",0.184046,0.297141,0.148484,0.170653,"369,342","8,466,120","CFT",-0.0727698510155069
"2017-12-29",0.018235,0.63139,0.018091,0.18121,"1,465,750","838,820","CFT",8.93748286262682
"2017-12-28",0.019064,0.019889,0.016526,0.018049,"1,505","876,964","CFT",-0.0532417121275704
"2017-12-27",0.016101,0.019128,0.01536,0.019104,"1,806","740,623","CFT",0.186510154648779
"2017-12-26",0.015384,0.016277,0.011838,0.016087,"768","707,644","CFT",0.045696827873115
"2017-12-25",0.014109,0.015499,0.002962,0.015394,"331","649,019","CFT",0.0910766177617124
"2017-12-24",0.02298,0.066023,0.012916,0.014068,"309","1,057,080","CFT",-0.387815491731941
"2017-12-23",0.025316,0.031276,0.021555,0.022735,"495","1,164,520","CFT",-0.101951335124032
"2017-12-22",0.029809,0.046124,0.025133,0.025867,"821","1,371,190","CFT",-0.132241940353584
"2017-12-21",0.032211,0.038019,0.018156,0.029207,"2,350","1,481,720","CFT",-0.0932600664369314
"2017-12-20",0.036443,0.049233,0.032128,0.032128,"1,284","1,676,360","CFT",-0.118404083088659
"2017-12-19",0.034642,0.041471,0.018002,0.036478,"1,953","1,593,540","CFT",0.0529992494659661
"2017-12-18",0.016328,0.034613,0.015374,0.034613,"1,026","751,092","CFT",1.11985546300833
"2017-12-17",0.022894,0.02735,0.016181,0.016281,"3,204","1,053,130","CFT",-0.288852974578492
"2017-12-16",0.068308,0.07319,0.021129,0.022788,"3,514","3,142,180","CFT",-0.666393394624348
"2017-12-15",0.02955,0.069355,0.023917,0.068679,"25,621","1,359,320","CFT",1.32416243654822
"2017-12-14",0.011121,0.076479,0.00746,0.029507,"23,988","511,584","CFT",1.65326859095405
"2017-12-13",0.006387,0.011935,0.006118,0.011157,"1,564","293,815","CFT",0.746829497416628
"2017-12-12",0.009372,0.011597,0.006355,0.00638,"168","431,133","CFT",-0.31924882629108
"2017-12-11",0.008748,0.013869,0.006657,0.009336,"2,400","402,416","CFT",0.0672153635116598
