"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",1.46,1.68,0.998005,1.3,"394,476","21,075,600","CHC",-0.10958904109589
"2018-01-09",0.835672,1.79,0.832888,1.46,"741,420","12,052,800","CHC",0.747096947127581
"2018-01-08",0.977097,0.986053,0.814294,0.854868,"319,327","14,084,500","CHC",-0.12509402853555
"2018-01-07",0.619291,1.07,0.578516,0.977651,"619,376","8,921,830","CHC",0.578661727685369
"2018-01-06",0.578593,0.665279,0.537969,0.619585,"97,816","8,330,810","CHC",0.0708477288871452
"2018-01-05",0.604243,0.674732,0.548297,0.559294,"135,587","8,695,380","CHC",-0.0743889461690082
"2018-01-04",0.514982,0.707722,0.468273,0.604205,"153,961","7,406,780","CHC",0.173254599189874
"2018-01-03",0.443683,0.523162,0.420999,0.511165,"93,329","6,377,460","CHC",0.152095076890483
"2018-01-02",0.45624,0.539692,0.392051,0.445232,"158,909","6,554,240","CHC",-0.0241276521129229
"2018-01-01",0.417756,0.526243,0.372687,0.455986,"54,482","5,997,950","CHC",0.0915127490688344
"2017-12-31",0.484054,0.502402,0.364347,0.416426,"130,463","6,946,010","CHC",-0.139711685059931
"2017-12-30",0.555249,0.589486,0.42841,0.489079,"64,599","7,963,210","CHC",-0.119171758976603
"2017-12-29",0.476026,0.630989,0.476026,0.556638,"121,868","6,823,240","CHC",0.169343691310979
"2017-12-28",0.504483,0.528257,0.446944,0.471231,"86,361","7,227,140","CHC",-0.065913023828355
"2017-12-27",0.491057,0.595528,0.453838,0.505501,"142,089","7,030,720","CHC",0.0294141006033922
"2017-12-26",0.424198,0.586333,0.397154,0.490515,"139,641","6,070,050","CHC",0.1563350133664
"2017-12-25",0.329467,0.604343,0.328482,0.424607,"194,763","4,711,800","CHC",0.28876943669624
"2017-12-24",0.316101,0.366223,0.257273,0.326686,"43,889","4,518,190","CHC",0.0334861325968597
"2017-12-23",0.363115,0.395665,0.274288,0.31302,"44,064","5,187,320","CHC",-0.137959048786197
"2017-12-22",0.372212,0.41897,0.228234,0.359656,"32,948","5,314,300","CHC",-0.033733463724974
"2017-12-21",0.341834,0.392092,0.338244,0.370963,"45,501","4,877,820","CHC",0.0852138757408566
"2017-12-20",0.375276,0.375276,0.285786,0.340592,"41,694","5,351,980","CHC",-0.0924226436009763
"2017-12-19",0.384442,0.405208,0.348073,0.375564,"37,313","5,479,680","CHC",-0.023093210419257
"2017-12-18",0.406246,0.40644,0.358378,0.384139,"34,058","5,787,190","CHC",-0.0544177665749324
"2017-12-17",0.414113,0.427542,0.360289,0.405056,"30,604","5,896,010","CHC",-0.021870842016551
"2017-12-16",0.350695,0.41675,0.335068,0.413953,"26,967","4,990,280","CHC",0.180378961775902
"2017-12-15",0.382134,0.426757,0.319913,0.350209,"31,775","5,434,570","CHC",-0.0835439924215065
"2017-12-14",0.416489,0.418769,0.366132,0.381668,"17,643","5,919,760","CHC",-0.0836060496195578
"2017-12-13",0.429768,0.440985,0.389215,0.40666,"36,434","6,105,140","CHC",-0.0537685448893356
"2017-12-12",0.416735,0.470348,0.387779,0.4294,"47,403","5,916,750","CHC",0.0303910158733967
"2017-12-11",0.406828,0.467388,0.380921,0.415475,"50,807","5,772,840","CHC",0.0212546825685547
"2017-12-10",0.36182,0.419018,0.304707,0.409894,"83,190","5,131,360","CHC",0.132867171521751
"2017-12-09",0.441633,0.496785,0.362014,0.363429,"44,687","6,259,870","CHC",-0.177079158486798
"2017-12-08",0.438345,0.489467,0.36634,0.441767,"47,780","6,209,750","CHC",0.00780663632526899
"2017-12-07",0.451668,0.480161,0.343447,0.437327,"46,399","6,394,940","CHC",-0.031751197782442
"2017-12-06",0.512946,0.515404,0.427277,0.452427,"61,075","7,258,630","CHC",-0.117983179515972
"2017-12-05",0.360669,0.573026,0.350398,0.514311,"153,402","5,100,980","CHC",0.425991698759805
"2017-12-04",0.327668,0.376536,0.324849,0.351926,"31,818","4,631,490","CHC",0.0740322521576718
"2017-12-03",0.305881,0.352556,0.297582,0.326598,"23,239","4,321,140","CHC",0.0677289534165247
"2017-12-02",0.296542,0.338734,0.292245,0.305589,"36,374","4,186,890","CHC",0.0305083259706889
"2017-12-01",0.302889,0.339381,0.273667,0.2981,"25,783","4,274,080","CHC",-0.0158110727032016
"2017-11-30",0.288151,0.326628,0.245495,0.304399,"17,509","4,063,760","CHC",0.0563871025955141
"2017-11-29",0.260703,0.358969,0.218358,0.283803,"32,548","3,674,610","CHC",0.088606575298328
"2017-11-28",0.296468,0.352288,0.257098,0.260551,"16,325","4,176,240","CHC",-0.12114966876695
"2017-11-27",0.384422,0.386476,0.261316,0.32323,"54,059","5,412,270","CHC",-0.159179235319519
"2017-11-26",0.358358,0.393769,0.329371,0.384361,"35,431","5,042,340","CHC",0.0725615166955949
"2017-11-25",0.291529,0.358493,0.28953,0.358493,"38,751","4,099,610","CHC",0.229699275200752
"2017-11-24",0.311297,0.347993,0.274897,0.292096,"18,323","4,375,070","CHC",-0.061680645814126
"2017-11-23",0.330828,0.33882,0.287316,0.311731,"17,292","4,646,910","CHC",-0.0577248600481218
"2017-11-22",0.334036,0.387818,0.2876,0.330978,"49,360","4,689,280","CHC",-0.00915470188841923
"2017-11-21",0.39225,0.400229,0.320168,0.333252,"34,834","5,503,280","CHC",-0.150409177820268
"2017-11-20",0.385678,0.405008,0.362641,0.392178,"31,553","5,407,800","CHC",0.016853437323363
"2017-11-19",0.369807,0.436335,0.350993,0.385879,"41,734","5,182,300","CHC",0.0434605077783818
"2017-11-18",0.488063,0.488063,0.340429,0.369751,"58,620","7,826,110","CHC",-0.242411328045765
"2017-11-17",0.347265,0.542535,0.318694,0.443023,"172,740","5,565,530","CHC",0.275749067714858
"2017-11-16",0.255122,0.406592,0.239452,0.363458,"75,318","4,086,590","CHC",0.424643895861588
"2017-11-15",0.284378,0.297327,0.205896,0.25383,"39,175","4,552,950","CHC",-0.107420405235285
"2017-11-14",0.180238,0.324371,0.172071,0.290969,"95,319","2,884,200","CHC",0.614359901907478
"2017-11-13",0.158775,0.197074,0.152547,0.179548,"24,503","2,539,470","CHC",0.130832939694536
"2017-11-12",0.14854,0.171662,0.121732,0.160355,"13,843","2,374,560","CHC",0.0795408644136259
"2017-11-11",0.135921,0.150619,0.128016,0.148648,"4,979","2,171,720","CHC",0.0936352734308901
"2017-11-10",0.143056,0.149101,0.129634,0.136406,"5,581","2,284,560","CHC",-0.0464852924728777
"2017-11-09",0.136253,0.156018,0.128621,0.140817,"6,313","2,174,860","CHC",0.0334965101685833
"2017-11-08",0.119005,0.155359,0.118303,0.136394,"9,581","1,898,600","CHC",0.146119910928112
"2017-11-07",0.118691,0.127016,0.11568,0.119383,"5,148","1,892,650","CHC",0.00583026514226014
"2017-11-06",0.118302,0.13427,0.114985,0.119566,"5,162","1,885,500","CHC",0.0106845192811618
