"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",23.73,23.84,21.2,22.92,"1,363,330","119,936,000","CLOAK",-0.034134007585335
"2018-01-09",25.28,26.45,23.42,23.7,"1,376,650","127,778,000","CLOAK",-0.0625000000000001
"2018-01-08",25.6,30.82,21.74,25.35,"3,485,100","129,353,000","CLOAK",-0.009765625
"2018-01-07",25.64,26.35,23.45,25.58,"1,291,440","129,556,000","CLOAK",-0.00234009360374424
"2018-01-06",22.99,28.35,21.61,25.53,"1,593,060","116,185,000","CLOAK",0.11048281861679
"2018-01-05",27.13,27.35,21.92,22.68,"2,856,200","137,126,000","CLOAK",-0.164025064504239
"2018-01-04",30.07,30.24,25.73,26.95,"2,253,070","151,962,000","CLOAK",-0.103757898237446
"2018-01-03",30.98,34.44,29.7,29.8,"4,073,550","156,579,000","CLOAK",-0.0380890897353131
"2018-01-02",28.93,32.84,26.82,30.96,"5,305,950","146,219,000","CLOAK",0.0701693743518839
"2018-01-01",31,31,25.93,29.18,"2,746,260","156,664,000","CLOAK",-0.0587096774193549
"2017-12-31",29.36,32.83,27.49,30.73,"3,428,290","148,402,000","CLOAK",0.0466621253405995
"2017-12-30",28.39,31.2,23.55,30.06,"6,130,710","143,470,000","CLOAK",0.0588235294117646
"2017-12-29",35.03,35.99,28.13,28.13,"9,704,540","177,010,000","CLOAK",-0.196974022266629
"2017-12-28",29.64,30.5,21.84,28.1,"4,771,310","149,817,000","CLOAK",-0.0519568151147098
"2017-12-27",22.12,27.93,20.18,27.93,"2,271,810","111,765,000","CLOAK",0.262658227848101
"2017-12-26",23.87,26.44,19.12,22.44,"2,336,620","120,632,000","CLOAK",-0.0599078341013825
"2017-12-25",21.06,27.19,20.43,23.66,"3,327,150","106,407,000","CLOAK",0.123456790123457
"2017-12-24",19.67,20.82,17.38,20.82,"1,282,480","99,388,700","CLOAK",0.0584646670055922
"2017-12-23",16.74,21.41,16.13,19.15,"1,368,390","84,576,900","CLOAK",0.143966547192354
"2017-12-22",20.12,20.17,11.46,17.12,"1,726,620","101,695,000","CLOAK",-0.149105367793241
"2017-12-21",15.4,23.45,15.26,20.16,"4,364,390","77,825,400","CLOAK",0.309090909090909
"2017-12-20",16.58,16.71,13.51,15.44,"1,207,210","83,802,400","CLOAK",-0.06875753920386
"2017-12-19",15.1,18.36,15.03,16.35,"2,785,290","76,287,000","CLOAK",0.0827814569536425
"2017-12-18",11.35,15.19,11.05,15.05,"1,635,260","57,341,000","CLOAK",0.325991189427313
"2017-12-17",10.38,11.76,10.17,11.32,"743,529","52,476,700","CLOAK",0.0905587668593448
"2017-12-16",10.16,10.91,9.98,10.38,"618,683","51,321,800","CLOAK",0.0216535433070867
"2017-12-15",10.51,10.98,9.79,10.05,"627,155","53,897,400","CLOAK",-0.0437678401522359
"2017-12-14",9.21,11.12,8.7,10.48,"1,736,470","47,211,000","CLOAK",0.137893593919653
