"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.93,2.94,2.62,2.85,"482,890","-","CLUB",-0.0273037542662116
"2018-01-09",3.07,3.15,2.9,2.96,"684,484","-","CLUB",-0.0358306188925081
"2018-01-08",3.28,3.33,2.86,3.08,"1,566,360","-","CLUB",-0.0609756097560975
"2018-01-07",3.18,3.34,3.04,3.28,"916,777","-","CLUB",0.031446540880503
"2018-01-06",3.13,3.28,2.96,3.19,"996,261","-","CLUB",0.0191693290734824
"2018-01-05",3.11,3.25,2.98,3.12,"1,286,000","-","CLUB",0.00321543408360136
"2018-01-04",3.1,3.23,2.87,3.11,"1,398,150","-","CLUB",0.00322580645161283
"2018-01-03",3.23,3.39,3.03,3.12,"1,102,750","-","CLUB",-0.0340557275541795
"2018-01-02",3.01,3.42,2.88,3.28,"2,737,110","-","CLUB",0.0897009966777409
"2018-01-01",3.01,3.05,2.8,2.95,"573,945","-","CLUB",-0.0199335548172756
"2017-12-31",2.61,3.23,2.55,3.01,"1,327,990","-","CLUB",0.153256704980843
"2017-12-30",2.95,3,2.48,2.62,"580,073","-","CLUB",-0.111864406779661
"2017-12-29",2.96,3.16,2.79,2.96,"1,305,370","-","CLUB",0
"2017-12-28",2.98,3.04,2.67,2.87,"777,283","-","CLUB",-0.0369127516778523
"2017-12-27",3.35,3.49,2.85,3.03,"1,019,240","-","CLUB",-0.0955223880597016
"2017-12-26",3.34,3.49,2.96,3.35,"1,815,770","-","CLUB",0.00299401197604797
"2017-12-25",3.79,4.27,3.38,3.38,"2,575,400","-","CLUB",-0.108179419525066
"2017-12-24",2.65,4.18,2.47,3.8,"6,949,440","-","CLUB",0.433962264150943
"2017-12-23",2.4,2.86,2.36,2.65,"875,675","-","CLUB",0.104166666666667
"2017-12-22",2.8,2.83,1.96,2.42,"868,505","-","CLUB",-0.135714285714286
"2017-12-21",2.69,3.09,2.65,2.77,"2,049,350","-","CLUB",0.0297397769516729
"2017-12-20",3.14,3.14,2.64,2.69,"1,288,750","-","CLUB",-0.143312101910828
"2017-12-19",3.34,3.47,2.92,3.14,"2,027,810","-","CLUB",-0.059880239520958
"2017-12-18",3.1,3.48,2.91,3.34,"1,710,810","-","CLUB",0.0774193548387096
"2017-12-17",3.14,3.23,2.9,3.05,"1,577,380","-","CLUB",-0.0286624203821657
"2017-12-16",3.18,3.4,2.91,3.06,"1,724,070","-","CLUB",-0.0377358490566038
"2017-12-15",3.32,3.51,3.16,3.21,"1,464,870","-","CLUB",-0.0331325301204819
