"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.243171,0.987537,0.193658,0.312483,"63,998","602,308","CNNC",0.285033988427896
"2018-01-09",0.202765,0.246399,0.196651,0.242855,"8,083","502,226","CNNC",0.197716568441299
"2018-01-08",0.263605,0.360558,0.18759,0.203297,"40,215","652,922","CNNC",-0.228781699891884
"2018-01-07",0.254962,0.415839,0.23476,0.263974,"50,594","631,513","CNNC",0.0353464437837794
"2018-01-06",0.325829,0.334506,0.234333,0.255149,"3,345","807,043","CNNC",-0.216923601029988
"2018-01-05",0.261124,0.364475,0.258642,0.325858,"6,920","646,777","CNNC",0.247905209785389
"2018-01-04",0.300654,0.804934,0.221165,0.261061,"44,007","744,686","CNNC",-0.131689583374909
"2018-01-03",0.289907,0.305021,0.222641,0.299038,"5,266","718,069","CNNC",0.0314963074365227
"2018-01-02",0.258603,0.292259,0.223164,0.290915,"2,646","640,531","CNNC",0.124948279795671
"2018-01-01",0.310463,0.315983,0.232534,0.258656,"4,806","768,985","CNNC",-0.166870126230823
"2017-12-31",0.167833,0.311896,0.165889,0.309752,"15,146","415,703","CNNC",0.845596515583944
"2017-12-30",0.153417,0.19848,0.115333,0.169634,"680","379,999","CNNC",0.105705365115991
"2017-12-29",0.176893,0.21652,0.116458,0.153747,"2,589","438,145","CNNC",-0.130847461459753
"2017-12-28",0.145097,0.181037,0.118862,0.175301,"644","359,389","CNNC",0.208164193608414
"2017-12-27",0.150776,0.164861,0.118303,0.145399,"1,762","373,457","CNNC",-0.0356621743513556
"2017-12-26",0.107219,0.198433,0.107219,0.150666,"2,370","265,571","CNNC",0.405217358863634
"2017-12-25",0.111188,0.145487,0.106008,0.107188,"148","275,400","CNNC",-0.0359751052271827
"2017-12-24",0.090898,0.121366,0.085204,0.110093,"523","225,145","CNNC",0.211170762833066
"2017-12-23",0.115554,0.137586,0.090006,0.090086,"672","286,215","CNNC",-0.220399120757395
"2017-12-22",0.129669,0.130908,0.074349,0.114473,"1,000","321,176","CNNC",-0.1171906932266
"2017-12-21",0.180487,0.195495,0.128343,0.129233,"729","447,047","CNNC",-0.28397613124491
"2017-12-20",0.162663,0.181069,0.131801,0.181058,"735","402,898","CNNC",0.113086565475861
"2017-12-19",0.198536,0.199248,0.142422,0.16262,"336","491,753","CNNC",-0.180904218882218
"2017-12-18",0.173319,0.198368,0.150979,0.198368,"3,626","429,291","CNNC",0.144525412678356
"2017-12-17",0.246086,0.259503,0.17284,0.172855,"579","609,528","CNNC",-0.29758295880302
"2017-12-16",0.247447,0.248634,0.098655,0.244916,"1,238","612,899","CNNC",-0.0102284529616443
"2017-12-15",0.138803,0.248315,0.138785,0.247101,"10,000","343,800","CNNC",0.780228093052744
"2017-12-14",0.142839,0.160255,0.133635,0.138603,"1,170","353,797","CNNC",-0.0296557662823178
"2017-12-13",0.180421,0.191366,0.140689,0.143311,"5,478","446,884","CNNC",-0.205685590923451
"2017-12-12",0.270778,0.271297,0.125808,0.180271,"195,993","670,687","CNNC",-0.3342479817415
"2017-12-11",0.082384,0.389028,0.082068,0.243325,"344,755","204,057","CNNC",1.95354680520489
"2017-12-10",0.084441,0.084543,0.070631,0.083055,"213","209,151","CNNC",-0.0164138274061179
"2017-12-09",0.072987,0.127641,0.068753,0.084101,"6,504","180,781","CNNC",0.15227369257539
"2017-12-08",0.084989,0.097522,0.067978,0.07306,"74","210,508","CNNC",-0.140359340620551
"2017-12-07",0.076393,0.088595,0.075738,0.084797,"92","189,217","CNNC",0.110010079457542
"2017-12-06",0.059049,0.076548,0.057493,0.076519,"212","146,258","CNNC",0.295855984013277
"2017-12-05",0.056278,0.071901,0.055687,0.059247,"170","139,395","CNNC",0.0527559614769537
"2017-12-04",0.056265,0.062305,0.052165,0.056168,"194","139,362","CNNC",-0.00172398471518706
"2017-12-03",0.050902,0.067416,0.045552,0.056078,"388","126,078","CNNC",0.101685591921732
"2017-12-02",0.069579,0.071596,0.046043,0.050853,"356","172,339","CNNC",-0.269132928038632
"2017-12-01",0.044925,0.083254,0.044025,0.069609,"12","111,275","CNNC",0.549449081803005
"2017-11-30",0.036867,0.045563,0.036636,0.045141,"180","91,316","CNNC",0.224428350557409
"2017-11-29",0.039712,0.044599,0.03207,0.036317,"190","98,362","CNNC",-0.0854905318291699
"2017-11-28",0.052549,0.055275,0.038437,0.039751,"70","130,158","CNNC",-0.243544120725418
"2017-11-27",0.044302,0.055824,0.044302,0.052541,"20","109,732","CNNC",0.185973545212406
"2017-11-26",0.04562,0.051254,0.042607,0.044292,"211","112,995","CNNC",-0.0291100394563788
"2017-11-25",0.045091,0.045642,0.031239,0.045642,"524","111,685","CNNC",0.0122197334279569
"2017-11-24",0.041154,0.071177,0.040376,0.045182,"1,280","101,934","CNNC",0.0978762696214219
"2017-11-23",0.056512,0.058217,0.040821,0.041212,"1,868","139,975","CNNC",-0.270738958097395
"2017-11-22",0.054303,0.059601,0.050148,0.057307,"32","134,502","CNNC",0.0553192272986759
"2017-11-21",0.040907,0.062629,0.038578,0.054176,"316","101,321","CNNC",0.324369912239959
"2017-11-20",0.057696,0.609558,0.040958,0.040958,"15","142,908","CNNC",-0.290106766500277
"2017-11-19",0.054986,0.058638,0.051358,0.057723,"478","136,195","CNNC",0.0497763066962499
"2017-11-18",0.064199,0.166473,0.052751,0.05505,"16","159,015","CNNC",-0.142510007944049
"2017-11-17",0.055785,0.065382,0.050608,0.064446,"71","138,173","CNNC",0.155256789459532
"2017-11-16",0.052219,0.056908,0.048871,0.055877,"232","129,340","CNNC",0.0700511308144545
"2017-11-15",0.03443,0.056953,0.03443,0.051947,"492","85,279","CNNC",0.508771420273018
"2017-11-14",0.042923,0.043653,0.024945,0.034406,"587","106,317","CNNC",-0.19842508678331
"2017-11-13",0.039216,0.047389,0.039216,0.042833,"95","97,133","CNNC",0.0922327621379029
"2017-11-12",0.046705,0.047533,0.031629,0.039158,"240","115,683","CNNC",-0.161588695000535
"2017-11-11",0.04912,0.050752,0.042359,0.046739,"736","121,664","CNNC",-0.0484731270358305
"2017-11-10",0.073375,0.073628,0.048145,0.049295,"371","181,742","CNNC",-0.328177172061329
"2017-11-09",0.073446,0.08163,0.056873,0.072284,"374","181,917","CNNC",-0.015821147509735
"2017-11-08",0.124217,0.169945,0.055951,0.073521,"2,593","307,672","CNNC",-0.40812449181674
"2017-11-07",0.077624,0.180193,0.068892,0.12474,"13,056","192,266","CNNC",0.606977223539112
"2017-11-06",0.064511,0.235258,0.057028,0.077748,"22,335","159,787","CNNC",0.205189812590101
"2017-11-05",0.075259,0.081032,0.063657,0.064368,"219","186,409","CNNC",-0.144713589072403
"2017-11-04",0.082044,0.082213,0.062732,0.075402,"39","203,215","CNNC",-0.0809565598946908
"2017-11-03",0.039694,0.082532,0.038406,0.082258,"320","98,317","CNNC",1.07230311885927
"2017-11-02",0.072727,0.08025,0.033457,0.039746,"597","180,137","CNNC",-0.45349045058919
"2017-11-01",0.050144,0.07278,0.045941,0.072646,"572","124,201","CNNC",0.448747606892151
"2017-10-31",0.052004,0.053226,0.048763,0.050181,"115","128,809","CNNC",-0.0350549957695562
"2017-10-30",0.056976,0.057022,0.051435,0.052182,"216","141,124","CNNC",-0.0841406908171862
"2017-10-29",0.047544,0.083498,0.045978,0.057309,"1,525","117,762","CNNC",0.205388692579505
"2017-10-28",0.049645,0.054426,0.045298,0.047609,"182","122,964","CNNC",-0.0410111793735523
"2017-10-27",0.04929,0.153801,0.04924,0.049509,"699","122,086","CNNC",0.00444309190505167
"2017-10-26",0.049609,0.050372,0.014195,0.049292,"267","122,876","CNNC",-0.0063899695619746
"2017-10-25",0.042669,0.049703,0.041599,0.049615,"112","105,686","CNNC",0.162787972532752
"2017-10-24",0.042592,0.046684,0.037623,0.042652,"65","105,495","CNNC",0.00140871525169056
"2017-10-23",0.050967,0.053563,0.041186,0.042691,"267","126,239","CNNC",-0.162379578943238
"2017-10-22",0.055538,0.066475,0.050848,0.051049,"71","137,561","CNNC",-0.080827541503115
"2017-10-21",0.050083,0.073506,0.049735,0.055521,"330","124,050","CNNC",0.10857975760238
"2017-10-20",0.046748,0.050965,0.046128,0.050188,"4","115,791","CNNC",0.0735860357662361
"2017-10-19",0.055334,0.062563,0.040389,0.046735,"275","137,056","CNNC",-0.155401742147685
"2017-10-18",0.046673,0.056037,0.044714,0.055305,"13","115,605","CNNC",0.184946328712532
"2017-10-17",0.046607,0.04752,0.044543,0.046671,"5","115,440","CNNC",0.00137318428562222
"2017-10-16",0.026259,0.048487,0.025625,0.0466,"115","65,041","CNNC",0.774629650786397
"2017-10-15",0.04681,0.047138,0.017486,0.026256,"321","115,944","CNNC",-0.439094210638752
"2017-10-14",0.063905,0.069539,0.046633,0.046726,"59","158,285","CNNC",-0.268820906032392
"2017-10-13",0.04418,0.06648,0.043874,0.063887,"15","109,430","CNNC",0.446061566319602
"2017-10-12",0.065014,0.070478,0.043595,0.044045,"940","161,033","CNNC",-0.32253053188544
"2017-10-11",0.104359,0.104652,0.048622,0.064917,"4,203","258,487","CNNC",-0.377945361684186
"2017-10-10",0.038211,0.105198,0.038211,0.104503,"15,689","94,645","CNNC",1.73489309361179
"2017-10-09",0.039225,0.04028,0.03714,0.038214,"253","97,155","CNNC",-0.0257743785850862
"2017-10-08",0.036023,0.049878,0.035925,0.039214,"149","89,225","CNNC",0.0885822946450879
"2017-10-07",0.052113,0.095725,0.035254,0.03612,"16,506","129,078","CNNC",-0.306890795003166
"2017-10-06",0.030879,0.176301,0.030817,0.052096,"2,874","76,484","CNNC",0.687101266232715
"2017-10-05",0.041732,0.042031,0.029452,0.030879,"4","103,365","CNNC",-0.260064219304131
"2017-10-04",0.03175,0.189268,0.031577,0.041713,"11","78,641","CNNC",0.313795275590551
"2017-10-03",0.033858,0.033858,0.031375,0.031676,"13","83,862","CNNC",-0.0644456258491345
"2017-10-02",0.030103,0.034007,0.029741,0.033857,"2","74,561","CNNC",0.124705178885825
"2017-10-01",0.029197,0.030116,0.0287,0.030116,"54","72,319","CNNC",0.0314758365585505
"2017-09-30",0.034753,0.03707,0.028174,0.029181,"4","86,080","CNNC",-0.160331482174201
"2017-09-29",0.024172,0.036124,0.024044,0.034749,"282","59,871","CNNC",0.437572397815655
"2017-09-28",0.037277,0.037338,0.023931,0.02419,"131","92,331","CNNC",-0.351074389033452
"2017-09-27",0.031795,0.059429,0.031795,0.037275,"32","78,753","CNNC",0.172354143733292
"2017-09-26",0.032338,0.032417,0.030391,0.031884,"14","80,098","CNNC",-0.0140392108355494
"2017-09-25",0.035564,0.036709,0.026868,0.032341,"119","88,089","CNNC",-0.0906253514790236
"2017-09-24",0.02856,0.035784,0.022767,0.035601,"183","70,739","CNNC",0.246533613445378
"2017-09-23",0.024707,0.02895,0.024473,0.028562,"477","61,197","CNNC",0.156028655846521
"2017-09-22",0.062345,0.156553,0.024176,0.024778,"179","154,422","CNNC",-0.602566364584169
"2017-09-21",0.031446,0.143239,0.022678,0.062483,"5,809","77,889","CNNC",0.986993576289512
"2017-09-20",0.032212,0.033199,0.031527,0.031601,"16","79,785","CNNC",-0.0189680864274184
"2017-09-19",0.03528,0.03528,0.030843,0.032255,"58","87,385","CNNC",-0.0857426303854875
"2017-09-18",0.032541,0.03662,0.032541,0.035194,"156","80,600","CNNC",0.0815279186257338
"2017-09-17",0.034481,0.034481,0.02821,0.032372,"62","85,405","CNNC",-0.0611641193700879
"2017-09-16",0.036374,0.036472,0.032472,0.034504,"254","90,095","CNNC",-0.0514103480508054
"2017-09-15",0.044573,0.044654,0.035185,0.036469,"136","110,401","CNNC",-0.181814102707917
"2017-09-14",0.049809,0.050471,0.027326,0.044228,"26","123,372","CNNC",-0.112048023449577
"2017-09-13",0.035062,0.057528,0.034314,0.049806,"555","86,844","CNNC",0.420512235468598
"2017-09-12",0.039318,0.044492,0.034532,0.03505,"200","97,385","CNNC",-0.108550790986317
"2017-09-11",0.031012,0.039494,0.022637,0.03933,"46","76,814","CNNC",0.268218754030698
"2017-09-10",0.060246,0.060246,0.028176,0.030915,"300","149,222","CNNC",-0.486853899014042
"2017-09-09",0.04437,0.060354,0.039512,0.060182,"442","109,899","CNNC",0.356366914581925
"2017-09-08",0.045507,0.049751,0.042234,0.044284,"111","112,715","CNNC",-0.0268749862658493
"2017-09-07",0.05363,0.053639,0.042341,0.045498,"47","132,836","CNNC",-0.151631549505874
"2017-09-06",0.037329,0.053869,0.02987,0.053733,"113","92,461","CNNC",0.439443864019931
"2017-09-05",0.051039,0.051039,0.037119,0.037286,"131","126,419","CNNC",-0.269460608554243
"2017-09-04",0.053719,0.053758,0.042902,0.050776,"218","133,057","CNNC",-0.0547850853515516
"2017-09-03",0.053846,0.070112,0.050171,0.053701,"189","133,370","CNNC",-0.00269286483675666
"2017-09-02",0.074728,0.111165,0.05265,0.053811,"4,426","185,093","CNNC",-0.279908468044107
"2017-09-01",0.043482,0.111971,0.042391,0.074633,"10,026","107,700","CNNC",0.716411388620579
"2017-08-31",0.076381,0.077252,0.043438,0.043474,"202","189,188","CNNC",-0.430827038137757
"2017-08-30",0.072499,0.084145,0.056049,0.076515,"307","179,572","CNNC",0.0553938675016208
"2017-08-29",0.057114,0.07419,0.049322,0.072596,"368","141,466","CNNC",0.271071891305109
"2017-08-28",0.059988,0.064631,0.053429,0.057017,"546","148,584","CNNC",-0.0495265719810629
"2017-08-27",0.040889,0.064053,0.040882,0.059927,"694","101,278","CNNC",0.465601995646751
"2017-08-26",0.044004,0.058524,0.040786,0.040878,"46","108,992","CNNC",-0.0710389964548678
