"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.292673,0.365515,0.242749,0.335514,"60,063","1,317,030","COAL",0.146378381333433
"2018-01-09",0.421676,0.4604,0.208609,0.295061,"74,827","1,897,540","COAL",-0.30026608106698
"2018-01-08",0.16285,0.452388,0.140558,0.422828,"130,545","732,823","COAL",1.59642615904206
"2018-01-07",0.136932,0.291054,0.099456,0.16585,"126,763","616,195","COAL",0.211185113779102
"2018-01-06",0.052841,0.140613,0.046297,0.136861,"70,031","237,787","COAL",1.59005317840313
"2018-01-05",0.046305,0.053245,0.04409,0.052798,"5,152","208,375","COAL",0.140222438181622
"2018-01-04",0.04466,0.046807,0.040506,0.04629,"8,680","200,969","COAL",0.0364979847738468
"2018-01-03",0.041674,0.044557,0.040524,0.044419,"2,369","187,533","COAL",0.0658684071603397
"2018-01-02",0.03862,0.043412,0.034989,0.041809,"2,480","173,789","COAL",0.0825737959606421
"2018-01-01",0.041078,0.041078,0.035285,0.038623,"2,253","184,850","COAL",-0.0597643507473588
"2017-12-31",0.0347,0.041545,0.033005,0.040957,"1,281","156,149","COAL",0.180317002881844
"2017-12-30",0.033428,0.038096,0.032121,0.035066,"845","150,427","COAL",0.0490008376211559
"2017-12-29",0.040088,0.042559,0.032227,0.033512,"1,805","180,394","COAL",-0.164039113949311
"2017-12-28",0.037688,0.041822,0.033074,0.039703,"1,297","169,596","COAL",0.0534652939927829
"2017-12-27",0.040987,0.044815,0.03149,0.037762,"3,106","184,440","COAL",-0.0786834850074415
"2017-12-26",0.040992,0.048743,0.039786,0.040956,"1,869","184,462","COAL",-0.000878220140515254
"2017-12-25",0.045349,0.045654,0.039922,0.041024,"1,516","204,072","COAL",-0.0953714525127346
"2017-12-24",0.044268,0.069021,0.037731,0.044943,"1,257","199,205","COAL",0.01524803469775
"2017-12-23",0.060468,0.067188,0.042392,0.043722,"1,226","272,105","COAL",-0.276939869021631
"2017-12-22",0.049653,0.139318,0.03265,0.059687,"3,412","223,439","COAL",0.202082452218396
"2017-12-21",0.044284,0.062111,0.041784,0.049482,"4,797","199,278","COAL",0.117378737241442
"2017-12-20",0.040874,0.066304,0.036417,0.044171,"3,508","183,931","COAL",0.0806625238537946
"2017-12-19",0.048025,0.049409,0.040316,0.040912,"2,395","216,113","COAL",-0.148110359187923
"2017-12-18",0.041721,0.047984,0.040024,0.047984,"1,493","187,746","COAL",0.150116248412071
"2017-12-17",0.042982,0.052381,0.041405,0.041596,"1,767","193,418","COAL",-0.0322460564887627
"2017-12-16",0.043365,0.045759,0.039146,0.042948,"847","195,141","COAL",-0.00961604980975443
"2017-12-15",0.037825,0.04373,0.032917,0.043304,"2,761","170,214","COAL",0.144851288830139
"2017-12-14",0.033908,0.041554,0.033672,0.03777,"4,154","152,588","COAL",0.113896425622272
"2017-12-13",0.038097,0.04207,0.033572,0.034018,"11,145","171,438","COAL",-0.107068798068089
"2017-12-12",0.037888,0.043574,0.037481,0.03806,"839","170,497","COAL",0.00453969594594591
"2017-12-11",0.035068,0.042807,0.033497,0.037767,"3,242","157,806","COAL",0.0769647541918558
"2017-12-10",0.041107,0.046227,0.031848,0.035323,"1,994","184,982","COAL",-0.140705962488141
"2017-12-09",0.042701,0.044405,0.035543,0.040957,"674","192,154","COAL",-0.0408421348446173
"2017-12-08",0.048718,0.054494,0.035347,0.042727,"4,965","219,230","COAL",-0.122973028449444
"2017-12-07",0.050038,0.066767,0.026774,0.048605,"22,606","225,173","COAL",-0.0286382349414444
"2017-12-06",0.037148,0.057531,0.033951,0.050126,"10,576","167,166","COAL",0.349359319478841
"2017-12-05",0.020874,0.039901,0.020719,0.035013,"7,831","93,935","COAL",0.677349813164703
"2017-12-04",0.019933,0.024275,0.019432,0.020833,"1,304","89,697","COAL",0.0451512567099785
"2017-12-03",0.024274,0.025535,0.018481,0.019868,"1,439","109,232","COAL",-0.181511081815935
"2017-12-02",0.028837,0.03821,0.024219,0.024251,"1,548","129,764","COAL",-0.159031799424351
"2017-12-01",0.051599,0.054158,0.023353,0.028861,"2,764","232,194","COAL",-0.440667454795636
"2017-11-30",0.028645,0.053467,0.027914,0.052,"4,770","128,901","COAL",0.815325536742887
"2017-11-29",0.036763,0.038688,0.022496,0.028211,"11,749","165,432","COAL",-0.232625193808993
"2017-11-28",0.063958,0.070601,0.029128,0.036798,"30,313","287,810","COAL",-0.424653678976829
"2017-11-27",0.02892,0.078593,0.024198,0.064179,"116,067","130,141","COAL",1.21919087136929
"2017-11-26",0.010408,0.064786,0.009519,0.028915,"27,098","46,836","COAL",1.77815142198309
"2017-11-25",0.009277,0.01106,0.00918,0.010412,"102","41,748","COAL",0.122345585857497
"2017-11-24",0.009511,0.009691,0.007641,0.009296,"16","42,801","COAL",-0.0226054042687414
"2017-11-23",0.008219,0.01013,0.006584,0.009517,"25","36,984","COAL",0.157926755079693
"2017-11-22",0.007384,0.008263,0.007353,0.008221,"8","33,227","COAL",0.113353196099675
"2017-11-21",0.007912,0.008322,0.006939,0.007366,"18","35,603","COAL",-0.0690091001011123
"2017-11-20",0.008285,0.008303,0.007218,0.00791,"38","37,281","COAL",-0.0452625226312614
"2017-11-19",0.00811,0.008923,0.006673,0.008289,"16","36,497","COAL",0.022071516646116
"2017-11-18",0.007733,0.008335,0.006475,0.008126,"36","34,797","COAL",0.0508211560843139
"2017-11-17",0.008237,0.008431,0.006499,0.007762,"32","37,066","COAL",-0.0576666261988588
"2017-11-16",0.008325,0.009061,0.008126,0.00825,"1,014","37,465","COAL",-0.00900900900900906
"2017-11-15",0.007471,0.008322,0.007471,0.008282,"136","33,620","COAL",0.108553071877928
"2017-11-14",0.007315,0.008078,0.007315,0.007466,"24","32,916","COAL",0.0206425153793575
"2017-11-13",0.006575,0.008941,0.006575,0.007299,"7","29,589","COAL",0.110114068441065
"2017-11-12",0.006806,0.007897,0.005925,0.006566,"1","30,629","COAL",-0.0352630032324421
"2017-11-11",0.007561,0.009047,0.006811,0.006811,"16","34,025","COAL",-0.0991932284089406
"2017-11-10",0.007666,0.007972,0.007087,0.007588,"357","34,498","COAL",-0.0101747978085051
"2017-11-09",0.007841,0.008163,0.007403,0.007651,"1","35,284","COAL",-0.0242316031118481
"2017-11-08",0.007595,0.007849,0.007521,0.007849,"335","34,176","COAL",0.0334430546412113
"2017-11-07",0.006061,0.006142,0.005815,0.005824,"0","27,273","COAL",-0.0391024583402079
"2017-11-06",0.00658,0.007062,0.006066,0.00607,"3","29,610","COAL",-0.0775075987841945
"2017-11-05",0.006713,0.006891,0.006493,0.006566,"6","30,208","COAL",-0.0218978102189782
"2017-11-04",0.007525,0.007622,0.00647,0.006726,"72","33,864","COAL",-0.106179401993355
"2017-11-03",0.008077,0.009188,0.005521,0.007545,"2,411","36,346","COAL",-0.0658660393710538
"2017-11-02",0.006796,0.008408,0.006796,0.008087,"32","30,582","COAL",0.189964685108888
"2017-11-01",0.008248,0.008248,0.006537,0.006788,"1,922","37,117","COAL",-0.177012609117362
"2017-10-31",0.007966,0.008254,0.007888,0.008254,"11","35,848","COAL",0.0361536530253576
"2017-10-30",0.008189,0.008386,0.007846,0.007993,"42","36,849","COAL",-0.0239345463426548
"2017-10-29",0.006848,0.008276,0.00639,0.008237,"62","30,818","COAL",0.202832943925234
"2017-10-28",0.006282,0.008143,0.00574,0.006858,"322","28,270","COAL",0.0916905444126075
