"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.008187,0.010472,0.007205,0.007342,"374","221,855","COXST",-0.103212409918163
"2018-01-09",0.010906,0.03778,0.003354,0.008169,"1,185","295,562","COXST",-0.250962772785623
"2018-01-08",0.00977,0.010871,0.004903,0.010871,"1,424","264,769","COXST",0.112691914022518
"2018-01-07",0.005402,0.009819,0.004991,0.009782,"254","146,403","COXST",0.810810810810811
"2018-01-06",0.005053,0.005509,0.0048,0.005434,"19","136,946","COXST",0.0754007520284978
"2018-01-05",0.009722,0.009989,0.004568,0.005049,"11","263,477","COXST",-0.480662415140918
"2018-01-04",0.005465,0.010462,0.004986,0.00972,"130","148,096","COXST",0.778591033851784
"2018-01-03",0.011117,0.011244,0.005237,0.005457,"100","301,258","COXST",-0.509130161014662
"2018-01-02",0.005243,0.050036,0.005243,0.011153,"2,229","142,096","COXST",1.127217242037
"2018-01-01",0.003779,0.030576,0.00221,0.005196,"452","102,418","COXST",0.374966922466261
"2017-12-31",0.010357,0.010994,0.00367,0.00379,"179","280,665","COXST",-0.634063918123009
"2017-12-30",0.001015,0.010688,0.000832,0.010476,"72","27,499","COXST",9.32118226600985
"2017-12-29",0.000637,0.001028,0.000623,0.001017,"0","17,251","COXST",0.596546310832025
"2017-12-28",0.000635,0.00064,0.000608,0.000632,"2","17,212","COXST",-0.00472440944881901
"2017-12-25",0.000417,0.000437,0.000396,0.000435,"0","11,296","COXST",0.0431654676258993
"2017-12-24",0.000393,0.000418,0.000368,0.000415,"0","10,647","COXST",0.0559796437659033
"2017-12-23",0.012411,0.01325,0.012324,0.013147,"189","336,330","COXST",0.0593022318910644
"2017-12-22",0.007373,0.013343,0.005544,0.012295,"176","199,802","COXST",0.667570866675709
"2017-12-21",0.006995,0.007601,0.006685,0.007355,"53","189,553","COXST",0.0514653323802716
"2017-12-20",0.015816,0.015816,0.000429,0.007007,"6","428,621","COXST",-0.556967627718766
"2017-12-19",0.002168,0.017999,0.00216,0.015828,"111","58,751","COXST",6.30073800738007
"2017-12-18",0.000957,0.004764,0.000914,0.00216,"7","25,924","COXST",1.25705329153605
"2017-12-17",0.001608,0.001646,0.000943,0.000954,"0","43,579","COXST",-0.406716417910448
"2017-12-16",0.001604,0.001618,0.001536,0.001608,"0","43,471","COXST",0.00249376558603497
"2017-12-15",0.004159,0.004296,0.003583,0.004076,"4","112,706","COXST",-0.0199567203654726
"2017-12-14",0.000983,0.004202,0.000976,0.00417,"4","26,627","COXST",3.24211597151577
"2017-12-13",0.001487,0.001584,0.000979,0.000986,"1","40,300","COXST",-0.336919973100202
"2017-12-12",0.003422,0.003794,0.001216,0.001494,"0","92,747","COXST",-0.563413208649912
"2017-12-11",0.001399,0.003443,0.000765,0.003431,"36","37,903","COXST",1.45246604717655
"2017-12-10",0.00266,0.004626,0.0013,0.001403,"0","72,085","COXST",-0.472556390977444
"2017-12-09",0.002561,0.003012,0.002398,0.002652,"0","69,395","COXST",0.0355329949238578
"2017-12-08",0.004903,0.005538,0.002386,0.002568,"0","132,881","COXST",-0.476239037324087
"2017-12-07",0.004533,0.005004,0.002815,0.004892,"8","122,840","COXST",0.0791969997793955
"2017-12-06",0.003861,0.004547,0.003861,0.004541,"32","104,640","COXST",0.176120176120176
"2017-12-05",0.001116,0.003898,0.000232,0.00387,"31","30,237","COXST",2.46774193548387
"2017-12-04",0.001891,0.002011,0.000452,0.001112,"0","51,251","COXST",-0.411951348492861
"2017-12-03",0.001867,0.002014,0.001781,0.001898,"0","50,598","COXST",0.0166041778253883
"2017-12-02",0.001757,0.001893,0.001751,0.001865,"0","47,621","COXST",0.0614684120660215
"2017-12-01",0.001487,0.001492,0.001472,0.001491,"0","40,290","COXST",0.00268997982515123
"2017-11-30",0.001574,0.001621,0.001338,0.001492,"0","42,665","COXST",-0.0520965692503177
"2017-11-29",0.001739,0.001778,0.001515,0.001587,"9","47,125","COXST",-0.0874065554916619
"2017-11-28",0.003393,0.003544,0.003337,0.003539,"1","91,955","COXST",0.0430297671676982
"2017-11-27",0.003453,0.003466,0.003318,0.003392,"3","93,569","COXST",-0.017665797856936
"2017-11-26",0.001633,0.001768,0.001632,0.001718,"0","44,249","COXST",0.0520514390691978
"2017-11-25",0.002873,0.002878,0.001613,0.001628,"0","77,872","COXST",-0.433344935607379
"2017-11-24",0.002813,0.002919,0.002759,0.002879,"0","76,231","COXST",0.0234624955563456
"2017-11-23",0.002859,0.002865,0.002817,0.002817,"0","77,485","COXST",-0.0146904512067156
"2017-11-22",0.003224,0.00361,0.003214,0.003546,"7","87,357","COXST",0.0998759305210919
