"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.034028,0.036248,0.019651,0.029247,"17,372","667,467","CPN",-0.14050193957917
"2018-01-09",0.018674,0.035158,0.0165,0.033984,"24,986","366,295","CPN",0.81985648495234
"2018-01-08",0.018402,0.023119,0.015435,0.018725,"4,542","360,956","CPN",0.0175524399521789
"2018-01-07",0.016858,0.022049,0.013617,0.018428,"12,956","330,680","CPN",0.0931308577529955
"2018-01-06",0.015314,0.020368,0.012688,0.016871,"4,206","300,378","CPN",0.101671672978974
"2018-01-05",0.015443,0.021003,0.014198,0.015321,"3,254","302,916","CPN",-0.00790001942627731
"2018-01-04",0.016866,0.023757,0.014225,0.015429,"5,602","330,827","CPN",-0.0852009960868018
"2018-01-03",0.017327,0.02065,0.011081,0.016783,"8,863","339,861","CPN",-0.0313960870318
"2018-01-02",0.009218,0.019283,0.008468,0.017378,"14,999","180,808","CPN",0.885224560642222
"2018-01-01",0.006989,0.009376,0.00564,0.009216,"3,628","137,098","CPN",0.318643582772929
"2017-12-31",0.00576,0.008261,0.005701,0.006968,"798","112,975","CPN",0.209722222222222
"2017-12-30",0.007115,0.007367,0.005144,0.00582,"964","139,556","CPN",-0.182009838369642
"2017-12-29",0.007126,0.008354,0.005215,0.007133,"2,091","139,777","CPN",0.00098231827111973
"2017-12-28",0.005777,0.007063,0.004622,0.007063,"679","113,312","CPN",0.222606889388956
"2017-12-27",0.006505,0.006864,0.004913,0.005784,"326","127,597","CPN",-0.110837817063797
"2017-12-26",0.005817,0.007177,0.005774,0.006495,"244","114,102","CPN",0.116554925219185
"2017-12-25",0.005491,0.005896,0.0052,0.005823,"448","107,704","CPN",0.0604625751229284
"2017-12-24",0.004718,0.005815,0.004365,0.005449,"69","92,548","CPN",0.154938533276812
"2017-12-23",0.005102,0.00584,0.00423,0.004675,"268","100,082","CPN",-0.0836926695413562
"2017-12-22",0.006126,0.006186,0.00279,0.005055,"503","120,154","CPN",-0.174828599412341
"2017-12-21",0.006662,0.007561,0.005649,0.006104,"361","130,685","CPN",-0.0837586310417293
"2017-12-20",0.005289,0.007251,0.004448,0.006655,"900","103,742","CPN",0.258271885044432
"2017-12-19",0.007561,0.008051,0.003709,0.00529,"523","148,302","CPN",-0.300357095622272
"2017-12-18",0.005924,0.008936,0.005493,0.007547,"4,127","116,197","CPN",0.273970290344362
"2017-12-17",0.004598,0.007249,0.003901,0.005906,"5,150","90,186","CPN",0.284471509351892
"2017-12-16",0.004117,0.004633,0.003523,0.004596,"1,183","80,757","CPN",0.116346854505708
"2017-12-15",0.005639,0.006128,0.0041,0.004117,"135","110,612","CPN",-0.269906011704203
"2017-12-14",0.005253,0.006359,0.003621,0.005631,"919","103,040","CPN",0.0719588806396345
"2017-12-13",0.010376,0.011012,0.005208,0.005269,"600","203,521","CPN",-0.492193523515806
"2017-12-12",0.005046,0.011325,0.00476,0.01034,"398","98,970","CPN",1.04914783987317
"2017-12-11",0.003466,0.005151,0.00345,0.00503,"1,051","67,978","CPN",0.451240623196769
"2017-12-10",0.0039,0.0039,0.003326,0.00349,"90","76,498","CPN",-0.105128205128205
"2017-12-09",0.00287,0.003957,0.002678,0.003893,"49","56,301","CPN",0.356445993031359
"2017-12-08",0.004161,0.004857,0.002643,0.002871,"215","81,625","CPN",-0.310021629416006
"2017-12-07",0.003411,0.004152,0.002775,0.004152,"310","66,899","CPN",0.217238346525946
"2017-12-06",0.003511,0.003787,0.002879,0.003414,"511","68,877","CPN",-0.0276274565650811
"2017-12-05",0.003506,0.003577,0.003451,0.003519,"123","68,764","CPN",0.00370792926411865
"2017-12-04",0.00326,0.003957,0.00285,0.003499,"1,931","63,953","CPN",0.0733128834355828
"2017-12-03",0.002733,0.003778,0.002718,0.00325,"37","53,606","CPN",0.189169410903769
"2017-12-02",0.003483,0.003585,0.002696,0.00273,"108","68,323","CPN",-0.21619293712317
"2017-12-01",0.003312,0.003486,0.002553,0.003486,"774","64,965","CPN",0.052536231884058
"2017-11-30",0.003239,0.003523,0.003067,0.003328,"47","63,524","CPN",0.0274776165483173
"2017-11-29",0.003953,0.004315,0.003,0.003192,"50","77,531","CPN",-0.192512016190235
