"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",6.79,9.53,6.02,8.73,"232,992","10,055,500","CRAVE",0.285714285714286
"2018-01-09",6.84,8.22,5.94,6.78,"62,677","10,119,200","CRAVE",-0.00877192982456135
"2018-01-08",7.83,8.8,6.57,6.86,"57,746","11,577,500","CRAVE",-0.123882503192848
"2018-01-07",9.2,9.2,6.83,7.84,"72,558","13,599,100","CRAVE",-0.147826086956522
"2018-01-06",8.14,9.7,7.92,9.21,"51,776","12,016,800","CRAVE",0.131449631449631
"2018-01-05",7.92,8.26,7.15,8.13,"45,902","11,683,200","CRAVE",0.0265151515151516
"2018-01-04",7.35,8.86,6.62,7.91,"100,300","10,841,200","CRAVE",0.0761904761904763
"2018-01-03",5.63,8.99,5.53,7.31,"143,102","8,301,920","CRAVE",0.298401420959147
"2018-01-02",5.02,6.38,4.83,5.65,"19,528","7,393,970","CRAVE",0.125498007968128
"2018-01-01",5.37,5.79,4.53,5.02,"22,414","7,910,920","CRAVE",-0.0651769087523278
"2017-12-31",5.1,6.33,3.7,5.35,"31,525","7,499,570","CRAVE",0.0490196078431373
"2017-12-30",5.56,6.04,3.82,5.15,"59,096","8,170,870","CRAVE",-0.0737410071942445
"2017-12-29",3.39,8.2,3.35,5.64,"81,907","4,986,430","CRAVE",0.663716814159292
"2017-12-28",3.53,3.55,2.66,3.36,"12,722","5,185,650","CRAVE",-0.0481586402266289
"2017-12-27",3.23,3.54,2.83,3.54,"9,422","4,737,110","CRAVE",0.0959752321981424
"2017-12-26",3.13,4.04,2.52,3.23,"7,718","4,583,100","CRAVE",0.0319488817891374
"2017-12-25",3.22,3.84,2.84,3.13,"10,070","4,712,080","CRAVE",-0.0279503105590063
"2017-12-24",2.82,3.22,2.38,3.19,"8,072","4,128,330","CRAVE",0.131205673758865
"2017-12-23",2.68,3.01,2.29,2.79,"5,129","3,917,350","CRAVE",0.0410447761194029
"2017-12-22",3.31,3.33,2.25,2.65,"1,766","4,837,260","CRAVE",-0.199395770392749
"2017-12-21",2.47,3.6,2.36,3.3,"20,250","3,610,700","CRAVE",0.336032388663967
"2017-12-20",2.15,2.47,1.99,2.47,"26,855","3,141,930","CRAVE",0.148837209302326
"2017-12-19",2.45,2.62,2.08,2.15,"8,306","3,575,600","CRAVE",-0.122448979591837
"2017-12-18",2.33,2.63,2.23,2.45,"9,155","3,394,380","CRAVE",0.0515021459227468
"2017-12-17",2.43,2.68,2.3,2.32,"14,044","3,544,870","CRAVE",-0.0452674897119343
"2017-12-16",2.19,2.45,2.16,2.43,"341","3,191,390","CRAVE",0.109589041095891
"2017-12-15",1.99,2.2,1.99,2.19,"6,997","2,903,010","CRAVE",0.100502512562814
"2017-12-14",1.97,2.16,1.94,1.99,"10,222","2,860,510","CRAVE",0.0101522842639594
"2017-12-13",2.18,2.21,1.91,1.97,"2,609","3,163,840","CRAVE",-0.0963302752293579
"2017-12-12",2.02,2.19,1.98,2.17,"1,496","2,939,930","CRAVE",0.0742574257425742
"2017-12-11",1.84,2.1,1.84,2.02,"4,711","2,679,830","CRAVE",0.0978260869565217
"2017-12-10",1.94,1.99,1.68,1.86,"270","2,816,260","CRAVE",-0.0412371134020618
"2017-12-09",2.02,2.05,1.63,1.93,"3,273","2,924,380","CRAVE",-0.0445544554455446
"2017-12-08",2.24,2.24,1.69,2.02,"5,965","3,244,880","CRAVE",-0.0982142857142858
"2017-12-07",1.78,2.23,1.75,2.23,"12,087","2,579,150","CRAVE",0.252808988764045
"2017-12-06",1.62,2.04,1.62,1.78,"6,087","2,347,930","CRAVE",0.0987654320987654
"2017-12-05",1.63,1.66,1.48,1.63,"6,684","2,352,730","CRAVE",0
"2017-12-04",1.54,1.77,1.36,1.62,"55,979","2,227,900","CRAVE",0.051948051948052
"2017-12-03",1.69,2.01,1.51,1.54,"2,197","2,448,250","CRAVE",-0.0887573964497041
"2017-12-02",1.7,1.81,1.64,1.69,"4,431","2,453,140","CRAVE",-0.00588235294117648
"2017-12-01",1.9,2.06,1.39,1.7,"1,228","2,735,870","CRAVE",-0.105263157894737
"2017-11-30",1.33,1.92,1.28,1.91,"3,961","1,920,960","CRAVE",0.43609022556391
"2017-11-29",1.5,1.74,1.27,1.31,"4,895","2,157,670","CRAVE",-0.126666666666667
"2017-11-28",1.37,1.62,1.36,1.5,"8,267","1,973,390","CRAVE",0.094890510948905
"2017-11-27",1.37,1.77,1.35,1.37,"3,711","1,977,000","CRAVE",0
"2017-11-26",1.48,1.69,1.28,1.37,"3,786","2,135,740","CRAVE",-0.0743243243243242
"2017-11-25",1.42,1.49,1.38,1.49,"2,408","2,036,260","CRAVE",0.0492957746478874
"2017-11-24",1.06,1.43,1.06,1.42,"11,005","1,516,470","CRAVE",0.339622641509434
"2017-11-23",1.4,1.41,0.817939,1.06,"9,163","2,007,200","CRAVE",-0.242857142857143
"2017-11-22",1.48,1.49,1.34,1.4,"2,075","2,127,710","CRAVE",-0.0540540540540541
"2017-11-21",1.5,1.51,1.31,1.48,"3,924","2,155,870","CRAVE",-0.0133333333333333
"2017-11-20",1.62,1.62,1.32,1.5,"8,899","2,326,810","CRAVE",-0.0740740740740741
"2017-11-19",1.54,1.63,1.4,1.62,"3,302","2,208,500","CRAVE",0.051948051948052
"2017-11-18",1.64,1.64,1.38,1.41,"4,337","2,351,030","CRAVE",-0.140243902439024
