"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.735554,1.46,0.716317,1.34,"1,007,050","9,644,310","CREA",0.821756118517471
"2018-01-09",0.723691,0.756161,0.690118,0.730664,"100,093","9,483,910","CREA",0.00963532778492479
"2018-01-08",0.758353,0.786294,0.593645,0.725676,"65,509","9,932,990","CREA",-0.0430894319663799
"2018-01-07",0.825311,0.836207,0.684566,0.759388,"64,949","10,804,700","CREA",-0.0798765556256975
"2018-01-06",0.846667,0.847711,0.664177,0.825917,"46,845","11,078,500","CREA",-0.0245078643669825
"2018-01-05",0.683267,0.878681,0.679043,0.845969,"99,691","8,935,940","CREA",0.238123603218069
"2018-01-04",0.695512,0.750328,0.648602,0.683109,"72,047","9,091,780","CREA",-0.0178329058305249
"2018-01-03",0.615246,0.751815,0.550549,0.691834,"58,378","8,038,600","CREA",0.124483539917366
"2018-01-02",0.603989,0.623349,0.493928,0.6173,"42,666","7,887,180","CREA",0.0220384808332601
"2018-01-01",0.589285,0.631669,0.523603,0.604088,"20,794","7,691,240","CREA",0.025120272873058
"2017-12-31",0.492258,0.620399,0.487353,0.616075,"9,603","6,421,460","CREA",0.251528669925121
"2017-12-30",0.605745,0.677157,0.443721,0.510897,"33,301","7,897,950","CREA",-0.156580739420053
"2017-12-29",0.651548,0.725288,0.584119,0.607261,"62,380","8,490,900","CREA",-0.0679719682970402
"2017-12-28",0.772542,0.772542,0.60545,0.644997,"19,917","10,062,500","CREA",-0.165097819924354
"2017-12-27",0.752193,0.79741,0.716885,0.774066,"80,051","9,792,460","CREA",0.0290789730827062
"2017-12-26",0.669247,0.767943,0.615368,0.750877,"40,091","8,707,900","CREA",0.12197290387555
"2017-12-25",0.624993,0.735058,0.523711,0.69103,"54,073","8,127,510","CREA",0.105660383396294
"2017-12-24",0.688856,0.688856,0.515521,0.618574,"47,583","8,953,330","CREA",-0.102027129037128
"2017-12-23",0.523292,0.735248,0.505216,0.681317,"99,865","6,797,720","CREA",0.301982449569265
"2017-12-22",0.35374,0.552015,0.259695,0.518388,"103,585","4,592,690","CREA",0.465449199977384
"2017-12-21",0.527325,0.529721,0.350567,0.35252,"28,836","6,842,840","CREA",-0.331493860522448
"2017-12-20",0.849331,0.849331,0.442837,0.525948,"23,368","11,016,000","CREA",-0.380750261087844
"2017-12-19",0.493272,0.917163,0.314713,0.850168,"400,056","6,394,330","CREA",0.723527789941452
"2017-12-18",0.429581,0.733821,0.402386,0.492856,"77,376","5,565,810","CREA",0.14729468947649
"2017-12-17",0.437107,0.454397,0.405106,0.428285,"24,826","5,660,440","CREA",-0.0201827012607897
"2017-12-16",0.398789,0.445906,0.387182,0.437006,"16,128","5,161,860","CREA",0.0958326332973076
"2017-12-15",0.369976,0.4325,0.367955,0.398231,"15,124","4,786,290","CREA",0.0763698185828269
"2017-12-14",0.353362,0.409521,0.350896,0.369422,"29,717","4,568,920","CREA",0.0454491428053949
"2017-12-13",0.410774,0.436934,0.336372,0.3545,"4,736","5,308,180","CREA",-0.136995038634383
"2017-12-12",0.369696,0.4676,0.355863,0.410218,"8,571","4,774,900","CREA",0.109608976023544
"2017-12-11",0.351148,0.466076,0.341973,0.368513,"30,155","4,533,020","CREA",0.0494520828824312
"2017-12-10",0.296423,0.386943,0.260387,0.353702,"24,482","3,824,580","CREA",0.193233993313609
"2017-12-09",0.291826,0.331228,0.263308,0.295273,"1,968","3,763,460","CREA",0.0118118330786155
"2017-12-08",0.315579,0.376755,0.240132,0.292116,"8,484","4,067,770","CREA",-0.0743490536442539
"2017-12-07",0.296599,0.364858,0.260411,0.31484,"21,345","3,821,130","CREA",0.0615005445062189
"2017-12-06",0.369061,0.369061,0.271422,0.297449,"8,330","4,752,060","CREA",-0.194038383898597
"2017-12-05",0.263318,0.435045,0.260273,0.369868,"31,746","3,388,660","CREA",0.404643814703135
"2017-12-04",0.245323,0.268221,0.235245,0.268221,"2,864","3,155,370","CREA",0.0933381704935941
"2017-12-03",0.235013,0.278833,0.229795,0.244513,"14,611","3,021,070","CREA",0.0404232957325765
"2017-12-02",0.242648,0.263088,0.233263,0.234788,"11,346","3,117,550","CREA",-0.0323926016286967
"2017-12-01",0.239372,0.254144,0.210644,0.242854,"4,319","3,073,700","CREA",0.0145463964039235
"2017-11-30",0.227858,0.242866,0.200092,0.240566,"1,525","2,924,240","CREA",0.0557715770348199
"2017-11-29",0.268173,0.271751,0.208719,0.224411,"4,853","3,439,870","CREA",-0.163185704750292
"2017-11-28",0.225515,0.278479,0.223245,0.268426,"5,886","2,891,190","CREA",0.19028002571891
"2017-11-27",0.217601,0.237665,0.217601,0.224934,"3,774","2,788,290","CREA",0.0336992936613343
"2017-11-26",0.205225,0.224252,0.203454,0.217564,"2,888","2,628,290","CREA",0.0601242538677063
"2017-11-25",0.194817,0.210345,0.190107,0.205452,"2,963","2,493,640","CREA",0.054589691864673
"2017-11-24",0.198849,0.199878,0.183412,0.195211,"2,995","2,543,990","CREA",-0.018295289390442
"2017-11-23",0.197708,0.219185,0.189254,0.199048,"2,137","2,528,030","CREA",0.00677767212252417
"2017-11-22",0.187487,0.202423,0.184671,0.19778,"9,525","2,395,970","CREA",0.0548998063865763
"2017-11-21",0.196292,0.205469,0.176834,0.187033,"5,714","2,507,130","CREA",-0.0471695229555967
"2017-11-20",0.200123,0.200585,0.170107,0.196256,"5,606","2,554,780","CREA",-0.0193231162834856
"2017-11-19",0.194786,0.203124,0.186732,0.200217,"5,899","2,485,320","CREA",0.0278818806279713
"2017-11-18",0.193984,0.203617,0.188331,0.195148,"5,308","2,473,850","CREA",0.00600049488617617
"2017-11-17",0.196752,0.201603,0.189497,0.19472,"1,029","2,507,950","CREA",-0.0103277222086688
"2017-11-16",0.200937,0.211888,0.191294,0.197075,"10,317","2,559,850","CREA",-0.0192199545131061
"2017-11-15",0.145415,0.200315,0.144305,0.19989,"3,515","1,851,540","CREA",0.374617474125778
"2017-11-14",0.179643,0.188489,0.144899,0.145315,"1,349","2,286,040","CREA",-0.191090106488981
"2017-11-13",0.164326,0.185152,0.163348,0.179263,"4,651","2,090,050","CREA",0.0908985796526417
"2017-11-12",0.16997,0.173829,0.143384,0.164087,"2,695","2,160,590","CREA",-0.0346119903512385
"2017-11-11",0.173841,0.1792,0.161134,0.170095,"1,224","2,208,590","CREA",-0.021548426435651
"2017-11-10",0.184176,0.184963,0.161713,0.174462,"3,645","2,338,610","CREA",-0.0527430284076101
"2017-11-09",0.217354,0.217354,0.165775,0.183631,"4,876","2,758,360","CREA",-0.155152424155985
"2017-11-08",0.159425,0.217595,0.158477,0.217578,"3,024","2,022,040","CREA",0.364767131880194
"2017-11-07",0.172341,0.182514,0.113773,0.159927,"7,776","2,184,650","CREA",-0.0720316117464792
"2017-11-06",0.192435,0.193031,0.164062,0.164062,"1,664","2,438,110","CREA",-0.147441993400369
"2017-11-05",0.191872,0.203275,0.187161,0.192009,"2,077","2,429,590","CREA",0.000714017678452437
"2017-11-04",0.171806,0.19465,0.163194,0.192236,"2,024","2,174,350","CREA",0.118913192787214
"2017-11-03",0.182368,0.187026,0.167013,0.172253,"2,868","2,306,720","CREA",-0.055464774521846
"2017-11-02",0.170551,0.194456,0.170551,0.182608,"14,893","2,156,100","CREA",0.0706943963975584
"2017-11-01",0.170782,0.186604,0.161732,0.170362,"1,564","2,157,780","CREA",-0.00245927556768264
"2017-10-31",0.146431,0.171514,0.143169,0.170901,"5,439","1,849,050","CREA",0.167109423551024
"2017-10-30",0.174599,0.179391,0.141173,0.148049,"3,307","2,203,560","CREA",-0.152062726590645
"2017-10-29",0.163584,0.176278,0.15094,0.175619,"1,871","2,063,440","CREA",0.0735707648669796
"2017-10-28",0.167704,0.175495,0.161741,0.163808,"2,695","2,114,290","CREA",-0.0232314077183608
"2017-10-27",0.159854,0.1728,0.154278,0.167248,"2,062","2,014,310","CREA",0.0462547074205213
"2017-10-26",0.155962,0.166977,0.153748,0.159817,"1,897","1,964,600","CREA",0.0247175594054962
"2017-10-25",0.138983,0.168286,0.136873,0.155981,"3,712","1,750,130","CREA",0.12230272767173
"2017-10-24",0.148353,0.154453,0.131693,0.138926,"1,141","1,867,480","CREA",-0.0635443840030199
"2017-10-23",0.169273,0.169802,0.141185,0.14868,"3,429","2,130,090","CREA",-0.121655550501261
"2017-10-22",0.168534,0.177248,0.150363,0.169538,"1,079","2,120,060","CREA",0.00595725491592204
"2017-10-21",0.155442,0.180949,0.153561,0.16847,"6,345","1,954,690","CREA",0.0838126117780266
"2017-10-20",0.148931,0.170587,0.143658,0.152857,"1,872","1,872,200","CREA",0.0263612008245428
"2017-10-19",0.152186,0.169347,0.144767,0.155921,"10,724","1,912,520","CREA",0.0245423363515699
