"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.001749,0.002059,0.001352,0.001629,"74,184","63,663","CREVA",-0.0686106346483704
"2018-01-09",0.001797,0.002412,0.001513,0.001747,"183,085","65,396","CREVA",-0.0278241513633834
"2018-01-08",0.000679,0.004087,0.000491,0.001943,"705,159","24,702","CREVA",1.86156111929308
"2018-01-07",0.000579,0.000712,0.000494,0.00068,"7,183","21,078","CREVA",0.174438687392055
"2018-01-06",0.000517,0.000691,0.000504,0.00058,"5,108","18,797","CREVA",0.121856866537718
"2018-01-05",0.000759,0.000852,0.000516,0.000516,"12,872","27,623","CREVA",-0.320158102766798
"2018-01-04",0.000671,0.000846,0.000508,0.000759,"5,461","24,416","CREVA",0.131147540983607
"2018-01-03",0.000742,0.000876,0.000505,0.000667,"1,754","26,994","CREVA",-0.101078167115903
"2018-01-02",0.000675,0.000832,0.00047,0.000744,"3,144","24,566","CREVA",0.102222222222222
"2018-01-01",0.00049,0.000687,0.000467,0.000675,"1,832","17,827","CREVA",0.377551020408163
"2017-12-31",0.000533,0.000655,0.000488,0.000488,"1,167","19,381","CREVA",-0.0844277673545967
"2017-12-30",0.000671,0.000698,0.000498,0.000538,"1,246","24,425","CREVA",-0.198211624441133
"2017-12-29",0.000609,0.000797,0.000463,0.000673,"2,990","22,155","CREVA",0.105090311986864
"2017-12-28",0.000475,0.000722,0.000464,0.000603,"2,510","17,275","CREVA",0.269473684210526
"2017-12-27",0.000497,0.00068,0.000453,0.000476,"1,461","18,074","CREVA",-0.0422535211267606
"2017-12-26",0.000557,0.000773,0.000478,0.000496,"2,517","20,276","CREVA",-0.10951526032316
"2017-12-25",0.000564,0.000713,0.000399,0.000558,"1,406","20,525","CREVA",-0.0106382978723405
"2017-12-24",0.000697,0.000697,0.00051,0.000558,"2,343","25,349","CREVA",-0.199426111908178
"2017-12-23",0.000552,0.000778,0.000548,0.000689,"169","20,073","CREVA",0.248188405797102
"2017-12-22",0.000786,0.000793,0.000418,0.000546,"3,287","28,590","CREVA",-0.305343511450382
"2017-12-21",0.000666,0.000837,0.000484,0.000783,"2,866","24,218","CREVA",0.175675675675676
"2017-12-20",0.000842,0.000842,0.000491,0.000664,"3,843","30,650","CREVA",-0.211401425178147
"2017-12-19",0.000957,0.00096,0.000565,0.000882,"7,844","34,814","CREVA",-0.0783699059561128
"2017-12-18",0.000847,0.000955,0.000584,0.000955,"17,184","30,816","CREVA",0.127508854781582
"2017-12-17",0.000779,0.000998,0.000764,0.000844,"586","28,351","CREVA",0.0834403080872915
"2017-12-16",0.000859,0.001078,0.000739,0.000779,"2,963","31,250","CREVA",-0.0931315483119907
"2017-12-15",0.000704,0.001046,0.000689,0.000858,"716","25,621","CREVA",0.21875
"2017-12-14",0.000819,0.000879,0.000701,0.000703,"1,630","29,796","CREVA",-0.141636141636142
"2017-12-13",0.00102,0.001307,0.00078,0.000821,"10,715","37,118","CREVA",-0.195098039215686
"2017-12-12",0.000664,0.001322,0.000497,0.001019,"14,162","24,173","CREVA",0.534638554216867
"2017-12-11",0.000489,0.000714,0.000486,0.000662,"1,973","17,781","CREVA",0.353783231083845
"2017-12-10",0.000455,0.000505,0.000401,0.000492,"4,031","16,567","CREVA",0.0813186813186814
