"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.105643,0.116315,0.096009,0.114066,"32,189","4,748,080","CRM",0.079730791439092
"2018-01-09",0.085583,0.112238,0.081348,0.10058,"120,744","3,846,170","CRM",0.175233399156374
"2018-01-08",0.054642,0.136549,0.054056,0.085817,"120,698","2,455,450","CRM",0.570531825335822
"2018-01-07",0.062105,0.068045,0.047013,0.054719,"11,949","2,790,560","CRM",-0.118927622574672
"2018-01-06",0.054009,0.067929,0.046514,0.06215,"9,559","2,426,590","CRM",0.150734136903109
"2018-01-05",0.053118,0.067067,0.039362,0.053966,"15,998","2,386,340","CRM",0.0159644564930909
"2018-01-04",0.053144,0.056823,0.041798,0.053107,"11,923","2,387,300","CRM",-0.000696221586632458
"2018-01-03",0.041427,0.052957,0.039763,0.052854,"17,021","1,860,820","CRM",0.275834600622782
"2018-01-02",0.040038,0.044619,0.03502,0.041575,"7,964","1,798,270","CRM",0.0383885308956492
"2018-01-01",0.033671,0.043077,0.03069,0.04004,"6,028","1,512,180","CRM",0.189153871283894
"2017-12-31",0.031453,0.040513,0.025052,0.03389,"7,528","1,412,440","CRM",0.0774806854672051
"2017-12-30",0.035872,0.035872,0.029987,0.032079,"1,626","1,610,750","CRM",-0.105737065120428
"2017-12-29",0.025844,0.04,0.021728,0.036065,"6,594","1,160,400","CRM",0.395488314502399
"2017-12-28",0.029105,0.029229,0.022224,0.02558,"341","1,306,700","CRM",-0.121113210788524
"2017-12-27",0.029325,0.030259,0.023684,0.029167,"480","1,316,460","CRM",-0.00538789428815011
"2017-12-26",0.024031,0.029304,0.021391,0.029304,"1,204","1,078,720","CRM",0.219424909491906
"2017-12-25",0.026766,0.027786,0.022009,0.024056,"635","1,201,390","CRM",-0.101247851752223
"2017-12-24",0.022756,0.026764,0.020686,0.026491,"4,651","1,021,290","CRM",0.164132536473897
"2017-12-23",0.02262,0.025452,0.02112,0.022507,"1,627","1,015,100","CRM",-0.00499557913351026
"2017-12-22",0.022336,0.024552,0.017642,0.022408,"1,815","1,002,300","CRM",0.00322349570200569
"2017-12-21",0.022637,0.031284,0.020227,0.022259,"17,845","1,015,710","CRM",-0.0166983257498785
"2017-12-20",0.017642,0.022843,0.015321,0.018041,"1,198","791,504","CRM",0.0226164833919057
"2017-12-19",0.019153,0.019222,0.017297,0.017659,"600","859,237","CRM",-0.0780034459353625
"2017-12-18",0.017641,0.019137,0.016437,0.019137,"1,652","791,349","CRM",0.0848024488407687
