"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",4.34,4.37,3.84,4.32,"243,036","72,553,800","CRW",-0.00460829493087548
"2018-01-09",4.68,5.59,4.27,4.35,"1,794,990","78,165,200","CRW",-0.0705128205128205
"2018-01-08",4.25,4.71,3.88,4.7,"558,548","70,949,100","CRW",0.105882352941177
"2018-01-07",3.97,4.36,3.92,4.26,"250,450","66,183,900","CRW",0.0730478589420654
"2018-01-06",3.64,4.15,3.49,3.97,"183,965","60,569,200","CRW",0.0906593406593407
"2018-01-05",3.78,4.19,3.21,3.63,"767,139","62,931,500","CRW",-0.0396825396825397
"2018-01-04",3.74,3.98,3.47,3.76,"637,444","62,179,200","CRW",0.00534759358288759
"2018-01-03",3.35,4.34,3.03,3.74,"1,635,200","55,727,600","CRW",0.116417910447761
"2018-01-02",2.77,3.73,2.67,3.32,"667,201","46,028,300","CRW",0.1985559566787
"2018-01-01",2.9,2.91,2.6,2.77,"287,172","48,101,900","CRW",-0.0448275862068965
"2017-12-31",2.6,2.98,2.6,2.89,"193,140","43,155,400","CRW",0.111538461538462
"2017-12-30",3.09,3.11,2.51,2.63,"232,790","51,150,800","CRW",-0.148867313915858
"2017-12-29",2.96,3.32,2.83,3.13,"391,480","48,925,300","CRW",0.0574324324324324
"2017-12-28",3.17,3.18,2.78,2.93,"374,179","52,558,200","CRW",-0.0757097791798107
"2017-12-27",3.37,3.43,3.01,3.18,"406,851","55,864,500","CRW",-0.056379821958457
"2017-12-26",3.22,3.7,3.07,3.25,"619,208","53,289,200","CRW",0.00931677018633534
"2017-12-25",2.9,3.39,2.62,3.23,"511,798","47,907,600","CRW",0.113793103448276
"2017-12-24",3.08,3.08,2.42,2.85,"223,688","50,785,300","CRW",-0.0746753246753247
"2017-12-23",2.72,3.25,2.72,3.05,"253,545","44,927,600","CRW",0.121323529411765
"2017-12-22",3.31,3.42,2.19,2.7,"360,560","54,501,200","CRW",-0.18429003021148
"2017-12-21",3.31,3.73,3,3.4,"858,230","54,509,500","CRW",0.0271903323262839
"2017-12-20",3.42,3.62,3.04,3.3,"534,698","56,365,600","CRW",-0.0350877192982456
"2017-12-19",3.54,3.73,3.13,3.44,"784,184","58,243,900","CRW",-0.0282485875706215
"2017-12-18",3.02,3.96,2.93,3.54,"1,316,960","49,573,200","CRW",0.172185430463576
"2017-12-17",2.88,3.21,2.83,2.95,"292,693","47,314,700","CRW",0.0243055555555557
"2017-12-16",2.64,2.97,2.59,2.88,"322,016","43,275,000","CRW",0.0909090909090908
"2017-12-15",2.4,2.67,2.33,2.6,"343,320","39,404,400","CRW",0.0833333333333334
"2017-12-14",2.06,2.5,2.04,2.35,"718,255","33,832,200","CRW",0.140776699029126
"2017-12-13",2.15,2.21,2.03,2.07,"256,901","35,259,200","CRW",-0.0372093023255814
"2017-12-12",2.01,2.26,1.97,2.15,"193,784","32,905,200","CRW",0.0696517412935324
"2017-12-11",1.82,2.17,1.82,2,"217,228","29,829,200","CRW",0.0989010989010989
"2017-12-10",1.74,1.95,1.5,1.84,"206,059","28,484,600","CRW",0.0574712643678161
"2017-12-09",1.92,1.96,1.52,1.74,"121,352","31,271,600","CRW",-0.09375
"2017-12-08",1.87,2.05,1.57,1.8,"172,850","30,535,300","CRW",-0.0374331550802139
"2017-12-07",1.72,1.87,1.52,1.87,"194,838","27,974,600","CRW",0.0872093023255815
"2017-12-06",1.72,1.83,1.61,1.72,"227,031","28,032,000","CRW",0
