"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2017-12-18",0.478298,0.525796,0.456845,0.508835,"540","18,462,900","CSC",0.0638451342050354
"2017-12-17",0.533467,0.54453,0.474663,0.476853,"311","20,592,400","CSC",-0.106124652508965
"2017-12-16",0.476288,0.537613,0.297923,0.533398,"64,500","18,385,300","CSC",0.119906443160441
"2017-12-15",0.445695,0.487834,0.445609,0.47562,"1,029","17,204,400","CSC",0.0671423282738195
"2017-12-14",0.409387,0.448425,0.227614,0.445026,"1,909","15,802,800","CSC",0.0870545474086866
"2017-12-13",0.467628,0.473834,0.333464,0.410705,"1,973","18,051,000","CSC",-0.121727099318262
"2017-12-12",0.277683,0.484469,0.271173,0.467237,"530","10,718,900","CSC",0.682627312439004
"2017-12-11",0.441857,0.483264,0.219707,0.276794,"7,129","17,056,200","CSC",-0.373566561127243
"2017-12-10",0.334333,0.453484,0.263173,0.445071,"523","12,905,600","CSC",0.33122066921303
"2017-12-09",0.397976,0.403873,0.329473,0.332983,"228","15,362,300","CSC",-0.163308842744286
"2017-12-08",0.218808,0.398432,0.185075,0.398377,"32,806","8,446,250","CSC",0.820669262549815
"2017-12-07",0.184496,0.370638,0.184496,0.218295,"1,769","7,121,780","CSC",0.183196383661434
"2017-12-06",0.268425,0.295413,0.165831,0.184814,"6,448","10,361,500","CSC",-0.311487380087548
"2017-12-05",0.283227,0.288157,0.17301,0.269021,"3,089","10,932,900","CSC",-0.0501576473994358
"2017-12-04",0.171892,0.282671,0.167289,0.282671,"4,082","6,635,250","CSC",0.644468619831057
"2017-12-03",0.251585,0.288876,0.1619,0.171325,"13,541","9,711,480","CSC",-0.319017429496989
"2017-12-02",0.215107,0.254234,0.212604,0.251345,"33","8,303,390","CSC",0.168464996490119
"2017-12-01",0.34945,0.353455,0.189176,0.21529,"13,438","13,489,200","CSC",-0.383917584776077
"2017-11-30",0.254658,0.354448,0.208991,0.35119,"29,360","9,830,080","CSC",0.379065256147461
"2017-11-29",0.328003,0.361428,0.225117,0.250805,"8,398","12,661,300","CSC",-0.235357603436554
"2017-11-28",0.30986,0.432904,0.276908,0.32833,"14,517","11,961,000","CSC",0.0596075647066417
"2017-11-27",0.411452,0.492759,0.303522,0.309059,"5,872","15,882,500","CSC",-0.248857703936304
"2017-11-26",0.313431,0.416611,0.280531,0.411373,"21,484","12,098,800","CSC",0.312483449307822
"2017-11-25",0.299185,0.345153,0.254725,0.313535,"13,560","11,548,900","CSC",0.0479636345405018
"2017-11-24",0.292677,0.300422,0.246519,0.299791,"835","11,297,700","CSC",0.0243066588765088
"2017-11-23",0.294944,0.306115,0.250998,0.293077,"7,461","11,385,200","CSC",-0.0063300151893241
"2017-11-22",0.199622,0.301788,0.190453,0.295039,"49,370","7,705,640","CSC",0.477988398072357
"2017-11-21",0.216137,0.26907,0.192285,0.199138,"10,224","8,343,150","CSC",-0.0786491900970217
"2017-11-20",0.216198,0.243899,0.203391,0.216097,"6,443","8,345,490","CSC",-0.000467164358597165
"2017-11-19",0.24119,0.256711,0.200616,0.216299,"1,462","9,310,220","CSC",-0.103200796052904
"2017-11-18",0.213035,0.290603,0.210532,0.241638,"8,500","8,223,400","CSC",0.134264322763865
"2017-11-17",0.275797,0.278857,0.193181,0.213855,"3,188","10,646,100","CSC",-0.2245927258092
"2017-11-16",0.211283,0.309153,0.18335,0.276248,"20,629","8,155,790","CSC",0.307478595059707
"2017-11-15",0.176002,0.219687,0.153,0.193894,"5,262","6,793,890","CSC",0.101657935705276
"2017-11-14",0.144998,0.192238,0.139366,0.175921,"2,935","5,597,110","CSC",0.21326501055187
"2017-11-13",0.172037,0.210914,0.172037,0.210281,"10,714","6,640,820","CSC",0.222301016641769
"2017-11-12",0.127349,0.182648,0.108993,0.171786,"15,958","4,915,820","CSC",0.348938743138933
"2017-11-11",0.145719,0.15526,0.118288,0.127443,"3,463","5,624,940","CSC",-0.125419471722974
"2017-11-10",0.18636,0.242464,0.130009,0.146253,"6,956","7,193,700","CSC",-0.215212491951062
"2017-11-09",0.208674,0.248016,0.184331,0.185808,"658","8,055,080","CSC",-0.109577618677938
"2017-11-08",0.126265,0.211099,0.125514,0.208889,"4,150","4,873,980","CSC",0.654369777848177
"2017-11-07",0.189094,0.207146,0.125088,0.126663,"3,321","7,299,250","CSC",-0.330158545485314
"2017-11-06",0.245636,0.257003,0.188351,0.189397,"348","9,481,850","CSC",-0.228952596524939
"2017-11-05",0.192406,0.29754,0.190498,0.245092,"2,137","7,427,100","CSC",0.273827219525379
"2017-11-04",0.165456,0.299464,0.161744,0.192771,"592","6,386,810","CSC",0.165089208006963
"2017-11-03",0.225267,0.300779,0.164313,0.171967,"6,036","8,695,560","CSC",-0.236608113927029
"2017-11-02",0.225982,0.238513,0.153001,0.225562,"1,092","8,723,160","CSC",-0.00185855510615879
"2017-11-01",0.222603,0.263805,0.168542,0.22573,"1,144","8,592,750","CSC",0.014047429729159
"2017-10-31",0.190756,0.261301,0.153353,0.222766,"6,096","7,363,400","CSC",0.167805992996288
"2017-10-30",0.135814,0.244915,0.075515,0.191406,"27,094","5,242,590","CSC",0.409324517354617
"2017-10-29",0.234862,0.265425,0.125053,0.136608,"14,848","9,065,950","CSC",-0.418347795726852
"2017-10-28",0.253901,0.258331,0.218999,0.235184,"4,274","9,800,880","CSC",-0.0737177088707803
"2017-10-27",0.291553,0.291608,0.252919,0.25321,"444","11,254,300","CSC",-0.13151296676762
"2017-10-26",0.2368,0.340995,0.235389,0.291485,"3,807","9,140,780","CSC",0.230933277027027
"2017-10-25",0.329403,0.334141,0.236818,0.236818,"955","12,715,300","CSC",-0.28106908558817
"2017-10-24",0.27863,0.370571,0.247395,0.329271,"19,737","10,755,500","CSC",0.181749991027528
"2017-10-23",0.264408,0.321407,0.229412,0.279244,"3,058","10,206,500","CSC",0.0561102538501105
"2017-10-22",0.420907,0.42454,0.264738,0.264834,"2,309","16,247,500","CSC",-0.370801626012397
"2017-10-21",0.328544,0.472958,0.303537,0.420779,"37,390","12,682,200","CSC",0.280738652965813
"2017-10-20",0.278539,0.406774,0.278341,0.329236,"6,987","10,751,900","CSC",0.182010418648735
"2017-10-19",0.294124,0.473157,0.187506,0.278461,"15,555","11,353,500","CSC",-0.0532530497341257
"2017-10-18",0.378993,0.468194,0.189226,0.293971,"12,121","14,629,600","CSC",-0.22433659724586
"2017-10-17",0.455817,0.485009,0.281989,0.378966,"32,624","17,595,100","CSC",-0.168600556802401
"2017-10-16",0.270194,0.51753,0.256263,0.455579,"98,254","10,429,800","CSC",0.686118122534179
"2017-10-15",0.244083,0.310584,0.227214,0.270215,"17,142","9,421,880","CSC",0.107061942044305
"2017-10-14",0.289832,0.295887,0.239539,0.243647,"8,095","11,187,900","CSC",-0.159350934334373
"2017-10-13",0.185049,0.302475,0.160479,0.289752,"82,111","7,143,100","CSC",0.565812298364217
"2017-10-12",0.085987,0.220222,0.085778,0.211095,"20,983","3,319,210","CSC",1.45496412248363
"2017-10-11",0.075448,0.096157,0.071449,0.085914,"449","2,912,360","CSC",0.138718057470046
"2017-10-10",0.075172,0.084088,0.074104,0.07546,"137","2,901,720","CSC",0.00383121374980041
"2017-10-09",0.092247,0.096507,0.075177,0.075177,"14,183","3,560,850","CSC",-0.185046668184331
"2017-10-08",0.075719,0.117356,0.075719,0.092224,"8,139","2,922,850","CSC",0.217976993885286
"2017-10-07",0.0695,0.087057,0.06939,0.075744,"1,261","2,682,800","CSC",0.089841726618705
"2017-10-06",0.058546,0.078574,0.052152,0.069478,"11,325","2,259,930","CSC",0.186724968400915
"2017-10-05",0.046773,0.065842,0.046048,0.05155,"1,055","1,805,500","CSC",0.102131571633207
