"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",2.97,2.97,2.24,2.59,"14,102,700","201,658,000","CTR",-0.127946127946128
"2018-01-09",3.28,3.42,2.89,2.96,"12,094,900","223,265,000","CTR",-0.0975609756097561
"2018-01-08",3.64,3.98,2.79,3.31,"15,453,100","247,427,000","CTR",-0.0906593406593407
"2018-01-07",3.22,4,3.09,3.62,"24,243,400","218,694,000","CTR",0.124223602484472
"2018-01-06",3.25,3.68,3.02,3.19,"14,895,000","221,037,000","CTR",-0.0184615384615385
"2018-01-05",3.79,4.23,3,3.26,"20,679,000","257,807,000","CTR",-0.139841688654354
"2018-01-04",4.19,4.43,3.56,3.79,"20,851,200","284,906,000","CTR",-0.0954653937947495
"2018-01-03",2.91,4.2,2.9,4.17,"38,443,200","197,696,000","CTR",0.432989690721649
"2018-01-02",2.11,3.27,2.11,2.88,"26,436,500","143,367,000","CTR",0.364928909952607
"2018-01-01",2.12,2.15,1.97,2.11,"6,016,990","143,968,000","CTR",-0.00471698113207558
"2017-12-31",1.86,2.28,1.83,2.09,"7,783,290","126,405,000","CTR",0.123655913978494
"2017-12-30",2.15,2.15,1.77,1.87,"6,866,790","146,182,000","CTR",-0.130232558139535
"2017-12-29",1.99,2.55,1.95,2.15,"10,326,300","135,437,000","CTR",0.0804020100502512
"2017-12-28",2.11,2.15,1.78,1.97,"7,560,770","143,239,000","CTR",-0.0663507109004739
"2017-12-27",2.2,2.4,2.02,2.11,"8,914,420","149,599,000","CTR",-0.040909090909091
"2017-12-26",2.01,2.68,1.74,2.2,"16,593,400","136,664,000","CTR",0.0945273631840798
"2017-12-25",2.46,2.64,2.05,2.05,"23,027,000","167,001,000","CTR",-0.166666666666667
"2017-12-24",2.85,3.46,2.31,2.44,"40,360,500","193,781,000","CTR",-0.143859649122807
"2017-12-23",1.29,3.11,1.29,2.81,"79,875,900","87,978,300","CTR",1.17829457364341
"2017-12-22",1.06,1.6,0.635276,1.28,"24,662,100","71,753,500","CTR",0.207547169811321
"2017-12-21",1.17,1.24,0.956655,1.05,"10,854,600","79,890,800","CTR",-0.102564102564102
"2017-12-20",1.16,1.34,0.965243,1.17,"16,035,100","78,765,600","CTR",0.00862068965517242
"2017-12-19",0.870844,1.16,0.823551,1.16,"20,221,300","59,217,400","CTR",0.332041100357814
"2017-12-18",0.83901,0.898328,0.667767,0.873157,"10,698,500","57,052,700","CTR",0.0406991573401985
"2017-12-17",0.824071,0.919087,0.753851,0.831197,"12,473,600","56,036,900","CTR",0.00864731315626926
"2017-12-16",0.43704,0.949032,0.422266,0.808459,"18,172,400","29,718,700","CTR",0.849851272194765
"2017-12-15",0.426926,0.456083,0.397786,0.436102,"2,772,360","29,031,000","CTR",0.0214931861727793
"2017-12-14",0.384857,0.424507,0.377814,0.416991,"2,530,160","26,170,200","CTR",0.0834959478455634
"2017-12-13",0.437751,0.456172,0.347714,0.388162,"2,922,850","29,767,100","CTR",-0.11328129461726
"2017-12-12",0.507423,0.533209,0.370939,0.438891,"4,995,040","34,504,800","CTR",-0.13505891534282
"2017-12-11",0.396223,0.60713,0.396223,0.50728,"3,235,150","26,943,200","CTR",0.280289130111074
"2017-12-10",0.448704,0.455224,0.398117,0.401393,"671,299","30,511,900","CTR",-0.105439220510626
"2017-12-09",0.441226,0.486909,0.427199,0.44739,"908,286","30,003,400","CTR",0.0139701649494817
"2017-12-08",0.441587,0.539685,0.392259,0.441733,"1,907,780","30,027,900","CTR",0.00033062567512173
"2017-12-07",0.451636,0.496347,0.423073,0.443867,"1,473,990","30,711,300","CTR",-0.0172019059596666
"2017-12-06",0.467835,0.514318,0.397688,0.451051,"1,654,130","31,812,800","CTR",-0.0358758964164717
"2017-12-05",0.443038,0.518931,0.413896,0.468785,"1,569,030","30,126,600","CTR",0.0581146538220198
"2017-12-04",0.461586,0.470462,0.386681,0.442524,"1,283,200","31,387,800","CTR",-0.0412967464351172
"2017-12-03",0.426408,0.489566,0.41728,0.460594,"707,115","28,995,800","CTR",0.0801720418003414
"2017-12-02",0.426653,0.599341,0.402558,0.426883,"2,564,420","29,012,400","CTR",0.000539079767398818
"2017-12-01",0.481056,0.489166,0.41295,0.414196,"786,232","32,711,800","CTR",-0.138985897691745
"2017-11-30",0.441529,0.493629,0.388869,0.480051,"736,468","30,024,000","CTR",0.0872468173098483
"2017-11-29",0.542785,0.552178,0.387788,0.439823,"978,782","36,909,400","CTR",-0.189692051180486
"2017-11-28",0.588513,0.606676,0.528036,0.542422,"1,029,010","40,018,900","CTR",-0.0783177262014603
"2017-11-27",0.501783,0.645841,0.501783,0.585535,"1,415,420","34,121,300","CTR",0.166908803207761
"2017-11-26",0.53139,0.555323,0.47105,0.501774,"755,989","36,134,500","CTR",-0.055733077400779
"2017-11-25",0.55158,0.557647,0.485651,0.533275,"1,410,350","37,507,400","CTR",-0.0331864824685447
"2017-11-24",0.450931,0.573522,0.412664,0.547935,"2,499,490","30,663,300","CTR",0.215119386336269
"2017-11-23",0.493779,0.497656,0.449985,0.454822,"1,507,110","33,577,000","CTR",-0.0788956192952718
"2017-11-22",0.542944,0.550788,0.473565,0.491116,"1,623,490","36,920,200","CTR",-0.0954573584016031
"2017-11-21",0.583747,0.587015,0.483815,0.535113,"2,045,560","39,694,800","CTR",-0.0833134902620486
"2017-11-20",0.60723,0.613486,0.560509,0.583854,"1,464,510","41,291,700","CTR",-0.0384961217331161
"2017-11-19",0.641658,0.641658,0.569095,0.608311,"1,740,470","43,632,700","CTR",-0.0519700525825282
"2017-11-18",0.543302,0.647491,0.524193,0.644752,"3,042,030","36,944,500","CTR",0.186728559806517
"2017-11-17",0.56113,0.583408,0.536258,0.544583,"1,306,170","38,156,800","CTR",-0.02948871028104
"2017-11-16",0.599,0.614527,0.525865,0.574862,"1,840,890","40,732,000","CTR",-0.0402971619365609
"2017-11-15",0.624774,0.670484,0.582665,0.596661,"3,885,650","42,484,600","CTR",-0.0449970709408523
"2017-11-14",0.59795,0.63959,0.56696,0.623586,"2,993,600","40,660,600","CTR",0.0428731499289238
"2017-11-13",0.561582,0.649889,0.550819,0.586524,"4,400,300","38,187,600","CTR",0.0444138166821587
"2017-11-12",0.662721,0.662721,0.514321,0.560738,"3,145,890","45,065,000","CTR",-0.153885269970319
"2017-11-11",0.488361,0.673106,0.447318,0.664047,"7,893,350","33,208,600","CTR",0.359746171377321
"2017-11-10",0.511748,0.568339,0.43084,0.482649,"3,991,770","34,798,900","CTR",-0.0568619711264138
