"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.000584,0.000585,0.000276,3e-04,"60,812","1,419,040","CUBE",-0.486301369863014
"2018-01-09",0.000301,0.000597,0.00029,0.000583,"26,834","731,646","CUBE",0.93687707641196
"2018-01-08",0.000489,0.00049,0.000292,0.000302,"30,081","1,186,750","CUBE",-0.38241308793456
"2018-01-07",0.000344,0.000515,0.000169,0.000489,"18,688","835,743","CUBE",0.421511627906977
"2018-01-06",0.00051,0.000518,0.000327,0.000516,"9,458","1,237,690","CUBE",0.0117647058823528
"2018-01-05",0.000455,0.000671,0.000299,0.000509,"12,939","1,106,310","CUBE",0.118681318681319
"2018-01-04",0.000456,0.000606,0.000287,0.000455,"67,634","1,108,470","CUBE",-0.0021929824561404
"2018-01-03",0.000445,0.000455,0.000148,0.000454,"17,836","1,081,140","CUBE",0.0202247191011236
"2018-01-02",0.00027,0.000451,0.000136,0.000447,"45,709","655,932","CUBE",0.655555555555556
"2018-01-01",0.00014,0.000275,0.000129,0.00027,"32,232","339,624","CUBE",0.928571428571429
"2017-12-31",0.000127,0.000142,0.000126,0.000139,"4,056","308,851","CUBE",0.0944881889763779
"2017-12-30",0.000145,0.000145,0.000122,0.000129,"4,184","352,121","CUBE",-0.110344827586207
"2017-12-29",0.000145,0.000151,0.000141,0.000145,"5,044","351,435","CUBE",0
"2017-12-28",0.000155,0.000156,0.000136,0.000143,"1,367","376,901","CUBE",-0.0774193548387096
"2017-12-27",0.000158,0.000166,0.000147,0.000155,"961","384,701","CUBE",-0.0189873417721518
"2017-12-26",0.000139,0.000161,0.000139,0.000158,"1,785","338,369","CUBE",0.136690647482014
"2017-12-25",0.000141,0.000145,0.000133,0.000139,"393","342,189","CUBE",-0.0141843971631207
"2017-12-24",0.000146,0.000146,0.000126,0.000139,"331","354,808","CUBE",-0.0479452054794521
"2017-12-23",0.000138,0.000157,0.000136,0.000144,"58","334,968","CUBE",0.0434782608695653
"2017-12-22",0.000157,0.000159,0.000114,0.000137,"22","381,689","CUBE",-0.127388535031847
"2017-12-21",0.000165,0.000174,0.000151,0.000157,"17","400,399","CUBE",-0.0484848484848485
"2017-12-20",0.000176,0.000178,0.000158,0.000164,"5","427,981","CUBE",-0.0681818181818181
